[00:00.000 --> 00:20.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[00:20.000 --> 00:25.000]  Welcome to the Alex Jones Show.
[00:25.000 --> 00:30.000]  I'm David Knight on this Sunday, October 12, 2014.
[00:30.000 --> 00:36.000]  This is the day people are going to remember. This is the day when Ebola spread itself on American shores.
[00:36.000 --> 00:40.000]  It's the first time we've had it transfer within America.
[00:40.000 --> 00:45.000]  And of course, we've already had the first person get it transferred outside of Africa.
[00:45.000 --> 00:48.000]  That was a Spanish nurse. This is another nurse.
[00:48.000 --> 00:52.000]  And we're going to have a special report from Alex Jones on this breaking story.
[00:52.000 --> 00:57.000]  We're going to have that coming up after the break, but it's amazing to look at the reactions to this.
[00:57.000 --> 01:01.000]  And of course, this is intimately tied with our open borders.
[01:01.000 --> 01:04.000]  This is what I would call open borders 2.0.
[01:04.000 --> 01:09.000]  This is where this is leading. We've been talking about how if they leave the borders open,
[01:09.000 --> 01:14.000]  it's not only going to destroy our country in terms of a clowered and piven economic basis.
[01:14.000 --> 01:20.000]  They're also looking at ways to incorporate people into this country who have not become citizens allowing them to vote.
[01:20.000 --> 01:26.000]  We've even got the Mexican consulate paying to shield illegal immigrants in the U.S. from deportation.
[01:26.000 --> 01:30.000]  That's another story that was up on infowars.com that was put up yesterday.
[01:30.000 --> 01:32.000]  Actually, we're going to talk about that as well.
[01:32.000 --> 01:37.000]  But let's get back to this Ebola patient. This was transferred today. We learned about it.
[01:37.000 --> 01:42.000]  It was actually she fell sick on Friday, went into the hospital, and as they reported,
[01:42.000 --> 01:47.000]  she was following procedures as she had been given it, following protocols.
[01:47.000 --> 01:50.000]  And they say, well, obviously the protocols were violated.
[01:50.000 --> 01:55.000]  Yeah, the protocols have been violated in a number of areas for quite some time.
[01:55.000 --> 01:59.000]  We were called fearmongers here when Alex Jones and infowars was talking about
[01:59.000 --> 02:06.000]  not bringing back patients from Africa into the United States and putting him in less than level 4 biohazard containment.
[02:06.000 --> 02:09.000]  We've talked to scientists who do research with Ebola.
[02:09.000 --> 02:12.000]  They were surprised at the breaking of protocols.
[02:12.000 --> 02:14.000]  Other health workers were surprised at that.
[02:14.000 --> 02:20.000]  Even the cleaning guys who cleaned up the vomit on the sidewalk four days after it happened,
[02:20.000 --> 02:22.000]  they wore protective suits.
[02:22.000 --> 02:25.000]  I'm sorry, not the cleanup guys who cleaned up the sidewalk. They did not.
[02:25.000 --> 02:29.000]  They came out with just shirt sleeves and with a high pressure sprayer.
[02:29.000 --> 02:32.000]  But the guys that got to come in, I believe, is the next day on Friday.
[02:32.000 --> 02:35.000]  It was a company I think called the cleaning guys.
[02:35.000 --> 02:39.000]  They said they took the recommendations up a level from what the CDC was recommending.
[02:39.000 --> 02:44.000]  In other words, when you're dealing with something this potentially deadly
[02:44.000 --> 02:47.000]  that has such a high percentage of people who fall ill to it die,
[02:47.000 --> 02:53.000]  when you're dealing with something that's that contagious and we don't have it under control in Africa,
[02:53.000 --> 02:58.000]  wouldn't you want to go an extra level and take an extra level of precaution?
[02:58.000 --> 03:03.000]  Clearly, they are not under control with this, both in Spain as well as here.
[03:03.000 --> 03:10.000]  The Telegraph reports that she was taken in, and this is the optimism, okay? Is the glass half empty or is the glass half full?
[03:10.000 --> 03:18.000]  Well, the Dallas officials put a smiley face on it and said she was taken into isolation within 90 minutes of arriving at the hospital.
[03:18.000 --> 03:23.000]  What was she doing before she was taken into isolation for 90 minutes in the hospital?
[03:23.000 --> 03:26.000]  We saw this happen to the nurse in Spain as well.
[03:26.000 --> 03:33.000]  She tried on three separate occasions over a period of one week to get medical care when her temperature went up.
[03:33.000 --> 03:39.000]  She was somebody they knew was working with the Ebola patient, yet on three occasions they paid no attention to her.
[03:39.000 --> 03:43.000]  Finally, when they realized that she had the disease and they kept her there,
[03:43.000 --> 03:49.000]  they left her in the emergency room for eight hours exposed to people who were coming in as well as to medical staff.
[03:49.000 --> 03:54.000]  When they took her in for treatment, she was so violently ill, she was vomiting and had diarrhea.
