[00:00.000 --> 00:07.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:07.000 --> 00:11.000]  It's Alex Jones and the GCN Radio Network.
[00:16.000 --> 00:19.000]  Welcome my friends, welcome and thank you.
[00:19.000 --> 00:27.000]  This is the live Sunday broadcast, the 10th day of January 2010.
[00:27.000 --> 00:30.000]  We're going to be live here for the next two hours.
[00:30.000 --> 00:32.000]  We're going to have wide open phones.
[00:32.000 --> 00:34.000]  I'll give you that phone number in just a moment.
[00:34.000 --> 00:39.000]  I want first time callers at least in the first hour.
[00:39.000 --> 00:51.000]  I obviously want to get into the fact that they're now announcing that the naked body scanners are to be deployed to the streets of the United States as well as England.
[00:51.000 --> 00:56.000]  The Australian airline companies are saying they are against it and that boycotts are forming.
[00:56.000 --> 01:00.000]  The head of American Airlines has also said that he is against it.
[01:00.000 --> 01:02.000]  And so there's certainly a big backlash.
[01:02.000 --> 01:06.000]  We're having success against these people if we continue to expose them.
[01:06.000 --> 01:14.000]  So I want to go over the latest developments on the naked body scanners coming up in the second hour today tonight.
[01:14.000 --> 01:19.000]  Depending on the time zone you are joining us in, whether you're listening to us on the AM and FM dial,
[01:19.000 --> 01:32.000]  Global Shortwave, the internet at infowars.com, our prisonplanet.com via the streams, or whether you are listening to us later via a podcast or Global Shortwave.
[01:32.000 --> 01:36.000]  So that's coming up in the second hour tonight.
[01:36.000 --> 01:43.000]  Big developments, also some economic developments with what's really happening with our economy here in the United States.
[01:43.000 --> 01:56.000]  The Post Industrial United States is the final vestiges of our industrial capacity weighing into history by design.
[01:56.000 --> 02:04.000]  But the first big issue I want to cover when we get back from break is Timothy Geithner, the head of the Treasury Department,
[02:04.000 --> 02:09.000]  former Goldman Sachs employee, former head of the New York Federal Reserve branch.
[02:09.000 --> 02:14.000]  He's in trouble, and even mainstream media is talking about criminal indictments.
[02:14.000 --> 02:16.000]  He's been called before Congress.
[02:16.000 --> 02:21.000]  This is a big deal, and we're going to be covering it after the break that's coming up.
[02:21.000 --> 02:24.000]  And people always ask me, who is the New World Order?
[02:24.000 --> 02:25.000]  What is the New World Order?
[02:25.000 --> 02:35.000]  The private central banks are the core of the global government, of the private global government, the unelected tyrannical global government.
[02:35.000 --> 02:44.000]  And if we identify them as the real source of the economic problems that we have in this country, we can really turn this planet around.
[02:44.000 --> 02:48.000]  So that is coming up after the break today.
[02:48.000 --> 02:57.000]  Then obviously, the Democrats have been in secret conference committee all week completing the version of the Senate and House bill.
[02:57.000 --> 03:03.000]  That could conceivably be on Obama's desk sometime next week or the week after that.
[03:03.000 --> 03:08.000]  And Democrats are leaving at the state level, at the federal level, leaving their party.
[03:08.000 --> 03:15.000]  Some Democrats are down more than 30 percentage points in the polls, leadership of the Senate involved in this.
[03:15.000 --> 03:17.000]  But they're still saying they're for the bill.
[03:17.000 --> 03:20.000]  Why? Because they're bought and paid for.
[03:20.000 --> 03:22.000]  They're not here to do what's constitutional.
[03:22.000 --> 03:24.000]  They're not here to do what's right.
[03:24.000 --> 03:26.000]  They're not here to do what their constituents want.
[03:26.000 --> 03:28.000]  They're not here to do what's legal and lawful.
[03:28.000 --> 03:34.000]  A whole bunch of state attorney generals are clearly saying that this health bill isn't just unconstitutional.
[03:34.000 --> 03:35.000]  It's illegal.
[03:35.000 --> 03:38.000]  It's just incredible fraud.
[03:38.000 --> 03:45.000]  And depending on what member of the Senate you have for your state, it was written differently for different states at the federal level.
[03:45.000 --> 03:48.000]  So you can't have taxation without representation.
[03:48.000 --> 03:51.000]  You can't have unequal weights and measures.
[03:51.000 --> 03:58.000]  These are just all basic tenets of common law and of our Bill of Rights and Constitution.
[03:58.000 --> 04:00.000]  So that's coming up as well.
[04:00.000 --> 04:03.000]  The dollar continued its plunge last week.
[04:03.000 --> 04:04.000]  Precious metals.
[04:04.000 --> 04:10.000]  New York Gold rises as job data and pressure on the dollar as we predicted.
[04:10.000 --> 04:15.000]  Gold would go down a little bit in late December, but start going back up in January and February.
[04:15.000 --> 04:22.000]  That is continuing with the trend and what the different analysts said that I really respect here on this radio broadcast.
[04:22.000 --> 04:27.000]  Here's the toll-free number to join us on this Sunday, the 10th day of January 2010.
[04:27.000 --> 04:30.000]  888-201-2244.
[04:30.000 --> 04:34.000]  888-201-2244.
[04:34.000 --> 04:43.000]  This Geithner AIG scam could end up being as big as Climate Gate and our fight against the New World Order
[04:43.000 --> 04:46.000]  if we use this against them.
[04:46.000 --> 04:56.000]  If we take the opportunity we've got and press it, we've got a chance to mortally wound the private banking syndicate if we take action.
[04:56.000 --> 05:25.000]  We're getting the initiative right now. Stay with us.
[05:26.000 --> 05:29.000]  888-201-2244.
[05:56.000 --> 06:04.000]  VLUE.com today.
[06:04.000 --> 06:05.000]  Big Brother.
