[00:00.000 --> 00:05.000]  Government cover-ups. You want answers? Well, so does he.
[00:05.000 --> 00:09.000]  He's Alex Jones on the GCN Radio Network.
[00:09.000 --> 00:32.000]  And now, live from Austin, Texas, Alex Jones.
[00:32.000 --> 00:43.000]  All right, ladies and gentlemen, thank you for joining us. It is already Thursday. It is the third day of April 2008.
[00:43.000 --> 00:49.000]  We're going to be live here for the next three hours. I need your help.
[00:49.000 --> 00:57.000]  You know, when we had Willie Nelson on, it took a day or two to get the Associated Press to pick it up, and then it did break nationally.
[00:57.000 --> 01:07.000]  And there was still someone of a news blackout on it, but it did get out in the alternative media, and most Americans ended up hearing about it.
[01:07.000 --> 01:14.000]  And all over the country, when Willie Nelson goes on tour now, people come up to him and say, hey, I heard you on the Alex Jones show.
[01:14.000 --> 01:17.000]  Why is that so important?
[01:17.000 --> 01:31.000]  That is vitally important because that is a sounding board. That's a sonar ping back at us that it had a massive effect and caused a lot of people to wake up and look at the official story.
[01:31.000 --> 01:38.000]  But more importantly, we already have 80-plus percent in some polls, 60-plus percent in other polls.
[01:38.000 --> 01:47.000]  So we know it's way more than half the public say that they believe they've been lied to about the official story.
[01:47.000 --> 01:56.000]  They say that they've been lied to about the official story, but they are afraid to speak out at the water cooler.
[01:56.000 --> 02:00.000]  They're afraid to speak out at the lunch counter or at church.
[02:00.000 --> 02:06.000]  They're afraid to speak out with their friends and family.
[02:06.000 --> 02:16.000]  And when they hear about Governor Ventura going public, when they hear about Willie Nelson going public, when they hear about a high-level Japanese member of parliament going public,
[02:16.000 --> 02:24.000]  when they hear about a highly respected former president of Italy, president for seven years, one of the most respected presidents in modern history,
[02:24.000 --> 02:34.000]  when they hear about CIA section chiefs and Bob Baer, Bill Christiansen, Ray McGovern, the list goes on and on coming out and saying inside job,
[02:34.000 --> 02:38.000]  Michael Meager, who was number three in Blair's government,
[02:38.000 --> 02:44.000]  actress of the year, best actress, Oscar-winning actress, 2008, coming out and saying,
[02:44.000 --> 02:53.000]  hundreds of engineers and scientists and physicists coming out and saying,
[02:53.000 --> 03:10.000]  that creates courage and it makes it easier for others to stand up and go public in the trails that have already been blazed by others.
[03:10.000 --> 03:16.000]  This is so important.
[03:16.000 --> 03:28.000]  I need your help. We all need to help each other. I need you to go to infowars.com and prisonplanet.com. They're the top stories right now.
[03:28.000 --> 03:31.000]  There are three top stories.
[03:31.000 --> 03:48.000]  One is former Governor Jesse Ventura, WTC collapse, a controlled demolition, Navy veteran and movie star, Sabbage's official story, says media covering up truth about attacks.
[03:48.000 --> 04:00.000]  This is powerful information. This is important information. This is information that needs to get out to everybody right now.
[04:00.000 --> 04:13.000]  There's another story dealing with what Ventura said in his incendiary hour and 20 minute interview here yesterday.
[04:13.000 --> 04:20.000]  Jesse Ventura warns of Obama assassination attempt and by exposing government sponsored assassinations,
[04:20.000 --> 04:31.000]  we reduce the chances that they will be committed in the future, not against Obama, but against Ron Paul or others that we know are coming in the future.
[04:31.000 --> 04:46.000]  There's another one I'm dealing with, Jesse Ventura, right up at the top of prisonplanet.com, where 20 plus publishers refuse to care and book Operation Mockingbird behavior, MSNBC silencing him.
[04:46.000 --> 04:53.000]  He broke all this yesterday on this very show. I need your help to carry the ball.
[04:53.000 --> 04:57.000]  It is a big idea. A New World Order.
[04:57.000 --> 05:02.000]  In the near future, Earth is dominated by a powerful world government.
[05:02.000 --> 05:08.000]  It's known as the Builder Bird. Could their objective be world domination?
[05:08.000 --> 05:21.000]  For thousands of years, their dark order grew. Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[05:21.000 --> 05:27.000]  For the first time in history, the elites plan for world government is blown wide open.
[05:27.000 --> 05:31.000]  You will learn the secret that drives the entire New World Order agenda.
[05:31.000 --> 05:34.000]  Builder Bird is making great progress toward a world government.
[05:34.000 --> 05:38.000]  They have no idea. They're not after money. They have all the money they need. They're after power.
[05:38.000 --> 05:47.000]  Order in-game on DVD at prisonplanet.com or infowars.com or watch it online right now at prisonplanet.tv.
[05:47.000 --> 05:52.000]  In-game, blueprint for global enslavement. You have been warned.
[05:52.000 --> 05:56.000]  I'm Dr. Bill Diggle-MD. I'm the Neutromatic Report here on Genesis.
[05:56.000 --> 06:07.000]  Allicin's natural antibiotic from Allomax Neutrocyticals U.S. is a real thing. This amazing molecule is a stabilized antimicrobial antipathogenic killer for a fresh, never-before-available garlic.
[06:07.000 --> 06:15.000]  Allicin's molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and Achilles-fleshed bacteria, MRSA,
[06:15.000 --> 06:27.000]  Acinetobacter infections of ravage or everyday health. Take it daily and remove these stealth pathogens, clearing our bodies of disease activators that cause chronic health issues and means a much higher level of wellness for you and your family.
[06:27.000 --> 06:39.000]  Order today for fighting disease, turning on your immune system, activating infection-fighting properties against sinus, lung, bowel, skin, Lyme disease, nail fungus, colds, flu, ringworm, gum disease, diarrhea, athletes' foot, and cholesterol.
[06:39.000 --> 06:51.000]  Secure online ordering is available at Neutromatica.com or call 888-212-8871. That number again, 888-212-8871 for the most powerful natural antimicrobial available.
[07:23.000 --> 07:31.000]  But if you knew what we haven't yet discovered, you wouldn't waste time listening to the rest of this announcement before charging out and getting a serious food supply.
[07:31.000 --> 07:39.000]  Decide it's food now or probably never, but can you afford to be wrong? Decide now. Place your bet.
[07:39.000 --> 08:02.000]  Can you afford to be wrong? Call 800-409-5633 on the WebEFoodsDirect.com. Call 800-409-5633.
[08:27.000 --> 08:32.000]  I don't want anyone to take for granted how big that Jesse Ventura interview was.
[08:32.000 --> 08:42.000]  This is the former governor of Minnesota, who I met with a year and a half ago, and he said he had questions because he knew the government had staged things with Operation Northwoods,
[08:42.000 --> 08:52.000]  had wanted to stage terror attacks, and then he knew Gulf of Tonkin had been staged against him to Vietnam, but that he still just couldn't believe that they'd carry the attacks out, that they let it happen.
[08:52.000 --> 08:59.000]  And he says that in his new book, but yesterday on this show, and it's the first time he's done it, I was talking to him during a break, and he just said,
[08:59.000 --> 09:09.000]  look, I'm coming all out today. I'm just going to go ahead and say what I really think. I don't know why people come on this show and they just spill their guts.
[09:09.000 --> 09:14.000]  I guess God moves their heart or something, even though they're like Jesse Ventura and don't believe in God.
[09:14.000 --> 09:24.000]  But the point here is he came on the show and he said that the government basically carried out the attacks and they were controlled demolitions.
[09:24.000 --> 09:30.000]  The stories are up on PrisonPlanet.com, right at the top, the three stories written by Paul Watson and Curt Nemo.
[09:30.000 --> 09:40.000]  They need to go to every radio station, every TV station, especially the AP in Minnesota. I need you to fax some, call them, email AP, all over the country, Reuters,
[09:40.000 --> 09:51.000]  the Pioneer Press in Minneapolis, St. Paul, the Star up there in Minneapolis, St. Paul, the Duluth paper.
[09:51.000 --> 09:58.000]  I'm giving you key attack points where I know they'll pick it up. L-A-A-P. I got people working on it here. We have a very small staff.
[09:58.000 --> 10:03.000]  We need your help. Now, they're going to try to block this and keep it from coming out. This is big news.
[10:03.000 --> 10:10.000]  I had to lobby the Associated Press to pick up the Willie Nelson information. So we're going to be talking about that coming up in a few minutes.
[10:10.000 --> 10:21.000]  First, the economy. Ron Paul yesterday on the banking committee in Congress boldly exposed Edward Bernanke and talked about how this country is going into fascism.
[10:21.000 --> 10:30.000]  Fascism is where the private corporate interest control the government and where the government is in league and controls the corporate interest.
[10:30.000 --> 10:37.000]  The Federal Reserve engineered the monetary system that has caused what's happening today. Now they want to get rid of three federal regulatory agencies
[10:37.000 --> 10:49.000]  and the Federal Reserve wants to be judge, jury, executioner, chief inspector, detective, beat cop, chief cook, bottle washer, everything.
[10:49.000 --> 11:00.000]  Just total, this country will be fully run by the Federal Reserve. It's just amazing. So here is Congressman Ron Paul yesterday.
[11:00.000 --> 11:03.000]  Congressman Paul.
[11:03.000 --> 11:08.000]  Thank you, Madam Chairman. Welcome, Chairman Bernanke.
[11:08.000 --> 11:22.000]  There's a political philosophy that advocates the merging together of the interests of business and government at the same time with a loss of civil liberties of the people.
[11:22.000 --> 11:36.000]  And I'm afraid we're moving in that direction, not just in the last year or two, but over many, many years. When you think about, especially since 9-11, there has been some loss of civil liberties that we shouldn't be unconcerned about.
[11:36.000 --> 11:47.000]  There are warrantless searches. There's no really financial privacy or medical privacy in this country. Habeas Corpus has been challenged as well as the internet privacy is being challenged.
[11:47.000 --> 11:57.000]  So civil liberties have been challenged. But the combination of business and government has been ongoing for a good many years, I would say possibly for 100 years.
[11:57.000 --> 12:09.000]  But more so now, and I see what we're doing today, or at least the proposal by Treasury, as a massive move for a lot closer association of business and government.
[12:09.000 --> 12:18.000]  Most everybody's aware of the military-industrial complex and the combination of how military contractors and government are in bed together.
