[00:00:07.705 --> 00:00:10.966]  From the front lines of the information war, it's Alex Jones.
[00:00:10.966 --> 00:00:11.726]  Ladies and gentlemen,
[00:00:29.685 --> 00:00:35.630]  Thank you so much for joining us on this live, worldwide, Sunday edition.
[00:00:35.630 --> 00:00:37.311]  We're here Monday through Friday 11 a.m.
[00:00:37.311 --> 00:00:37.852]  to 3 p.m.
[00:00:37.852 --> 00:00:38.633]  Central.
[00:00:38.633 --> 00:00:40.874]  Back Sundays 4 to 6 p.m.
[00:00:40.874 --> 00:00:41.895]  Central.
[00:00:41.895 --> 00:00:50.523]  And we have just a record audience I can see in there on some of the graphs tuning in today just on the audio streams at InfoWars.com forward slash show.
[00:00:50.523 --> 00:00:55.447]  We are a radio slash TV platform transmission, the first to ever do it.
[00:00:55.447 --> 00:00:56.628]  Now this is the model
[00:00:57.428 --> 00:01:00.870]  of talk radio, not just here in the United States, but worldwide.
[00:01:00.870 --> 00:01:17.321]  And even the content, liberty, nationalism, family, pro-human activity, pro-Renaissance, pro-exploration, pro-wealth, pro-empowerment, pro-strength, the right for you to risk your life, anti-nanny state, we are it.
[00:01:18.101 --> 00:01:20.523]  My dad took my son fishing.
[00:01:20.523 --> 00:01:23.725]  He wanted to for his birthday that was months ago, but he wanted to go down there.
[00:01:23.725 --> 00:01:27.207]  And so they're out there doing deep sea fishing and then fishing and close to shore as well.
[00:01:27.207 --> 00:01:28.988]  And my dad said, I don't know what's going on.
[00:01:28.988 --> 00:01:35.513]  Everywhere are Gadsden flags and come and take it and Patriot apparel.
[00:01:35.513 --> 00:01:38.975]  And he said he's seeing black people, white people, Hispanics, you name it.
[00:01:38.975 --> 00:01:41.516]  It's just all over the place.
[00:01:41.516 --> 00:01:43.298]  The hottest thing is liberty.
[00:01:43.298 --> 00:01:44.819]  It's so exciting.
[00:01:44.819 --> 00:01:46.300]  It's so incredible.
[00:01:47.202 --> 00:01:54.892]  And there is a revolution against tyranny taking place in this country and it's got the globalists so incredibly upset right now.
[00:01:54.892 --> 00:01:55.353]  Wow!
[00:01:55.353 --> 00:02:05.105]  I talked to Roger Stone, the big consummate Trump insider, yesterday in an emergency Saturday transmission I did just for Facebook viewers on Facebook Mentions.
[00:02:06.400 --> 00:02:14.866]  That's got about 300,000 views on YouTube and 200 plus thousand views on Facebook and a bunch of other platforms, but it needs to have millions of views.
[00:02:14.866 --> 00:02:20.491]  But we're going to take an excerpt of that at the bottom of the hour coming up, where he gets into Hillary Clinton.
[00:02:21.772 --> 00:02:31.256]  Not Bernie Sanders being behind the so-called Bernie supporters that showed up to block Trump and free speech there in Chicago.
[00:02:31.256 --> 00:02:37.399]  And this ties into their attempt to shut down free speech in Ohio as well.
[00:02:37.399 --> 00:02:46.583]  And even the Washington Post coming out just simply amazing and saying, should we arrest Donald Trump because he's causing the violence?
[00:02:47.602 --> 00:02:49.224]  That's what they've done in Europe.
[00:02:49.224 --> 00:02:54.829]  You criticize radical Islam, then they, you know, shoot up your TV station or your newspaper, your magazine.
[00:02:54.829 --> 00:02:58.252]  They say you were at fault for your free speech.
[00:02:58.252 --> 00:03:03.818]  You say it's wrong, they're sexually mutilating women, putting beekeeper suits on them and pouring hot oil on their faces and things like that?
[00:03:06.038 --> 00:03:09.523]  Well, now they're saying that you're not allowed to talk about that.
[00:03:09.523 --> 00:03:11.165]  This is how political correctness works.
[00:03:11.165 --> 00:03:12.667]  It's what the left does.
[00:03:12.667 --> 00:03:20.417]  They ally with the most vicious anti-human, anti-woman groups they can, and then attack any men literally seen wearing pants.
[00:03:22.018 --> 00:03:23.278]  This is the empowerment.
[00:03:23.278 --> 00:03:31.061]  They want to make women totally unhappy, be 40-something years old, not able to have kids, and just bitter and hating men, and the state is their husband.
[00:03:31.061 --> 00:03:35.342]  And the whole society is meant to maneuver women into that position.
[00:03:35.342 --> 00:03:44.645]  The whole system is based on maneuvering men into a servile position of arrested development, acting like mindless idiots for their entire life as well, and giving up on women.
[00:03:44.645 --> 00:03:49.446]  This social engineering plan has been used from Japan to the United States with devastating effect.
[00:03:50.066 --> 00:04:03.711]  It was first launched in the 1940s by Edward Bernays of the Department of War, later the Department of Peace, the Department of Defense, 1984 terms, and then now deployed across the entire globe with devastating effect.
[00:04:03.711 --> 00:04:06.492]  So that is all coming up today.
[00:04:06.492 --> 00:04:09.393]  The huge news.
[00:04:09.393 --> 00:04:13.275]  Again, Soros funded MoveOn.org takes credit for violence in Chicago.
[00:04:13.275 --> 00:04:14.995]  They're backing Hillary.
[00:04:14.995 --> 00:04:16.276]  Soros is backing Hillary.
[00:04:16.276 --> 00:04:18.217]  So why is Sanders getting the blame?
[00:04:18.217 --> 00:04:18.937]  I don't like Sanders.
[00:04:19.901 --> 00:04:24.425]  You know, Trump is going after him as well because he knows the public understands that it was people chanting Bernie.
[00:04:24.425 --> 00:04:30.310]  Well, just wait until the evidence is forced out, which we have, that it was actually... I mean, they admit they did it.
[00:04:30.310 --> 00:04:34.474]  MoveOn is aligned with Herr Hitler-y, not with Sanders.
[00:04:34.474 --> 00:04:35.434]  And you're like, well, who cares?
[00:04:35.434 --> 00:04:36.335]  I hate them both.
[00:04:36.335 --> 00:04:37.676]  She's the real frontrunner.
[00:04:37.676 --> 00:04:38.877]  She's the one that you leave behind.
[00:04:38.877 --> 00:04:41.380]  And folks need to understand, she wants to sit back and have Trump
