[00:02.400 --> 00:10.200]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[00:10.200 --> 00:35.520]  We're live, ladies and gentlemen. Thank you so much for joining us. We won't have time to play it, but I just watched it
[00:35.520 --> 00:48.520]  before I went live on this Sunday edition. It is the 21st day of September 2014. It's on our top story, but it's pretty interesting.
[00:48.520 --> 01:05.520]  Video, the Singularity featuring Ray Kurzweil and Alex Jones. It's a pretty hilarious comedy piece put out and RT aired it. Just letting you know that's up there because it happened to remind me of it when I saw it being posted in
[01:05.520 --> 01:29.520]  my voice sounds like it's blown out more than usual. I spoke at Casey Research last night down in San Antonio down at the Hyatt to a packed hall of mining executives, manufacturing executives, you name it, the people that actually employ
[01:29.520 --> 01:44.520]  Americans and they were executives from all over the world. They're meeting to discuss how to survive during an economic implosion, not just here, but on the planetary scale.
[01:44.520 --> 02:01.520]  And the intel from all of these men and women that I was talking to is that it's not a question of if but when. And perhaps tomorrow, when my voice is back during the three hour radio show, I will break down some of the intel I
[02:01.520 --> 02:17.520]  learned there. I gave an hour long speech. I did start screaming a little bit. Something that the executives weren't really used to, but they told me they liked it. So that happened. I am a little bit tired, but folks know that I'll get my second wind here in just a moment.
[02:17.520 --> 02:37.520]  Where to start just incredible speech on the Senate floor Friday by Senator Rand Paul. Here's the headline from info wars.com with the video 600 tons of weapons given to Syrian rebels last year made ISIS stronger.
[02:37.520 --> 02:47.520]  That's like saying that a bear craps in the woods. We gave 600 tons of weapons to Syrian rebels in 2013 alone. Paul says we gave.
[02:47.520 --> 03:01.520]  And that's what is upsetting the system is that they want to just arm Al Qaeda, change the name to confuse us and everybody just go along with it. But General Dempsey said that our allies are arming ISIS last weekend hearings last Monday.
[03:01.520 --> 03:16.520]  So Senator Rand Paul is talking about it. If this issue ever fully gets out there, the American people, it could bring down the entire system, which is good because the system is designed to basically implode the economy, implode the country.
[03:16.520 --> 03:27.520]  And it's designed to create a controlled implosion through which they get full power. So we need to implode their implosion. We need to preempt that to save the Republic.
[03:27.520 --> 03:42.520]  So we've got that stack of news coming up in a very powerful report. We were able to find the entire Al Qaeda cross swords hour long jihadi video that I haven't seen posted anywhere else.
[03:42.520 --> 03:58.520]  Former Staff Sergeant Joe Biggs, who's fought these people repeatedly in two different countries, did a special report on that. We're going to be airing and that integrates him with Rand Paul speech. It's a 45 minute speech. We're going to air the first six minutes or so of it coming up in the next
[03:58.520 --> 04:12.520]  segment. Extremely powerful, as I said. And I am in there a lot of reports today because my voice is just gone. I make a little bit better here in a moment. In fact, I'm not just plugging. I just remembered. Wait, lung cleanse helps me.
[04:12.520 --> 04:22.520]  I don't see my lung cleanse. My lung cleanse is over there on my counter. Somebody give him the lung cleanse before I forget. Thank you. Appreciate that. I guess I can just get up during the one minute break and get it. Thank you.
[04:22.520 --> 04:28.520]  So that could maybe come back and have my voice on the other side. Thank you so much, Nico.
[04:28.520 --> 04:36.520]  So we have that information coming up today. Rand Paul blisters Obama and Clinton calls for GOP diversity.
[04:36.520 --> 04:53.520]  Really big report here. ISIS drives Texas made Toyota trucks apparently not modified for US special forces. Obama faces heat over prospect of expanded war CIA's anti Syria program finances.
[04:53.520 --> 05:02.520]  We hobbyist head choppers. You've got a huge explosion is happening in Ukraine. Break that down and more tell folks how you got introduced to super male and then when super female came out.
[05:02.520 --> 05:14.520]  Tell us what happened after I saw such a huge positive change in my husband. I had to try it for myself. Talk about the effects. I feel great when I wake up in the morning. I have drive to go to the gym. I feel like I look better. I feel better.
[05:14.520 --> 05:28.520]  I feel sexier. I love it. Even if you don't believe in supplements, take the challenge. Get a bottle of super male, a bottle of super female. Check it out for yourself. Consult your physician. Visit info wars at life.com today. This is life changing.
[05:28.520 --> 05:38.520]  The government's Department of Homeland Security is buying up loads of ammo. At the same time, the restricting civilians rights to own and purchase firearms. Can you put two and two together?
[05:38.520 --> 05:47.520]  Infidel body armor can stop every round, including hollow points and 308 sniper rounds is reasonably priced and fully legal. But for how long?
[05:47.520 --> 05:58.520]  Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com. Infidel body armor just won't quit.
[06:17.520 --> 06:31.520]  I am your host, Alex Jones.
[06:55.520 --> 07:06.520]  They came to me about six months ago and said, we can buy a million Twitter followers for $5,000. I said, no, I don't want a million Twitter followers. I want real ones.
[07:06.520 --> 07:17.520]  And I'm not knocking my social media crew. It's just that's what people do. 90-something percent of the White House Twitter followers are fake. Most appears Morgan's are fake.
[07:17.520 --> 07:30.520]  I guess for his $3 million, he must have paid $15,000 or something. I mean, I don't know that. Even though they've had news articles that have scanned the White House one and others and shown the vast majority, nine out of 10 are more fake.
[07:30.520 --> 07:39.520]  No, I don't want fake Twitter followers. You know, Matt Drudge doesn't want them. He's got a half million on one and 300,000 on another. I've got 300,000 on mine.
[07:39.520 --> 07:49.520]  I've got real Facebook people of about $3 million because I got into that early. I came to Twitter late. But I mean, I want real Twitter followers at real Alex Jones.
[07:49.520 --> 08:02.520]  I don't want to send tweets out to fake stuff. It's kind of like people that play second life. And that's what they're into. And they want to own a Lamborghini, imaginary Lamborghini.
[08:02.520 --> 08:09.520]  They want to have the supermodel girlfriend that's imaginary. Well, I don't really want a Lamborghini or a supermodel girlfriend.
[08:09.520 --> 08:25.520]  What I want is liberty and freedom and to have a country in a world my children can grow up in. And the Common Core universe of two plus two equals five is the equivalent of a second life fantasy land matrix presidency.
[08:25.520 --> 08:33.520]  And I ain't buying into it. That's what this comes down to. I want the real thing.
[08:33.520 --> 08:46.520]  Speaking of the real thing in fantasy land colliding total BS colliding with a cold hard truth, Rand Paul came out Friday in a powerful 40 plus minute speech that's up on info wars.com right now.
[08:46.520 --> 09:00.520]  And he said that 60 excuse me 600 tons 600 tons of weapons given to Syrian rebels last year made ISIS stronger. That's two plus two equals four.
[09:00.520 --> 09:12.520]  And it's also on the news being reported that ISIS drives Texas made Toyota trucks made for US special forces. Yeah, they haven't seized weapons caches. They've been given these.
[09:12.520 --> 09:21.520]  Video ISIS terrorists openly commute on subway in Istanbul, Turkey, Turkey's openly giving them artillery support to invade the country.
[09:21.520 --> 09:31.520]  They're allowed to just ride around with their weapons on the bus terminals, but no one else can. You can't have guns in Turkey unless you're al-Qaeda. Then you're totally left alone.
[09:31.520 --> 09:44.520]  So we've got that. Meanwhile, Obama faces heat over prospective expanded war. Oh, see, oh, the left doesn't want him to attack al-Qaeda. Well, don't worry. He's not.
[09:44.520 --> 09:55.520]  General Boykin, former head of Army Special Forces said it's a fake operation last week in World Head Daily. They're blowing up a few trucks. They're not killing anybody. They're not fighting al-Qaeda Saudi Arabia runs it.
[09:55.520 --> 10:08.520]  Our government armed them. They've turned them loose all over the Middle East and Africa. That's what's happening. And because Rand Paul and info wars and others exposed it and Ted Cruz and others, they're being forced now to act like they're fighting al-Qaeda.
[10:08.520 --> 10:19.520]  And then they can even let al-Qaeda attack us again, and then they'll just take more of our freedoms and grandstand. That's what we decided to be is a nation of pure lies and fraud. I love America, but let's admit what we've become.
[10:19.520 --> 10:32.520]  Let's admit what a joke this is. Now, let's go to about six minutes of the speech from the start with Senator Rand Paul breaking it down, pointing out the reality, the reality.
[10:32.520 --> 10:46.520]  How dumb do they think we are that they openly fund and run this group? And now even General Dempsey last week admitted this in Senate testimony of the Armed Services Committee, and Lindsey Graham got hopping mad because the facade is collapsing.
[10:46.520 --> 10:52.520]  The smoke screen is clearing. Here is Senator and hopefully, President Rand Paul.
[10:52.520 --> 10:53.520]  Madam President.
[10:53.520 --> 10:55.520]  Senator from Kentucky.
[10:55.520 --> 11:14.520]  If there is a theme that connects the dots in the Middle East, it is that chaos breeds terrorism. What much of the foreign policy elite failed to grasp, though, is that intervention to topple secular dictators has been the prime source of the chaos.
[11:14.520 --> 11:16.520]  Oh, they know that. They did it.
[11:16.520 --> 11:33.520]  To Assad, to Qaddafi, it's the same history. Intervention topples the secular dictator. Chaos ensues and radical jihadists emerge. The pattern has been repeated time and time again.
[11:33.520 --> 11:42.520]  And yet what we have here is a failure to understand, a failure to reflect on the outcome of our involvement in Arab civil war.
[11:42.520 --> 11:44.520]  No, Wesley Clark admitted it's a secret plan.
[11:44.520 --> 11:46.520]  A nature abhors a vacuum.
[11:46.520 --> 11:47.520]  It's on purpose.
[11:47.520 --> 11:53.520]  Radical jihadists have again and again filled the chaotic vacuum of the Middle East.
[11:53.520 --> 12:06.520]  Secular dictators, despots who frankly do terrorize their own people, are replaced by radical jihadists who seek terror not only at home, but abroad.
[12:06.520 --> 12:16.520]  Intervention when both choices are bad is a mistake. Intervention when both sides are evil is a mistake.
[12:16.520 --> 12:22.520]  Intervention that destabilizes the Middle East is a mistake.
[12:22.520 --> 12:27.520]  And yet here we are again, wading into a civil war.
[12:27.520 --> 12:42.520]  I warned a year ago that involving us in serious civil war was a mistake. That the inescapable irony is that someday the arms we supply would be used against us or Israel.
[12:42.520 --> 12:52.520]  That day's now. ISIS has grabbed up from the U.S., from the Saudis, from the Qataris, weapons by the truckload.
[12:52.520 --> 13:00.520]  And we are now forced to fight against our own weapons, and this body wants to throw more weapons into the mix.
[13:00.520 --> 13:13.520]  Now even those of us who have been reluctant to get involved in Middle Eastern wars feel now that American interests are threatened, that our consulate, that our embassy is threatened.
[13:13.520 --> 13:22.520]  And we feel that if ISIS is left to its own devices, that maybe they will fulfill what they have boasted, an attack on our homeland.
[13:22.520 --> 13:27.520]  So yes, we must now defend ourselves from these barbarous jihadists.
[13:27.520 --> 13:40.520]  But let's not compound the problem by arming feckless rebels in Syria who seem to be merely a pit stop for weapons that are really on their way to ISIS.
[13:40.520 --> 13:49.520]  Remember clearly that the President and his Republican allies have been clamoring for over a year for airstrikes against Assad.
[13:49.520 --> 13:54.520]  Assad was our enemy last year. This year he's our friend.
[13:54.520 --> 14:03.520]  Had all those airstrikes though occurred last year in Syria, today ISIS might be in Damascus.
[14:03.520 --> 14:12.520]  Realize that the unintended consequences of involving ourselves in these complicated thousand year long civil wars,
[14:12.520 --> 14:19.520]  had we bombed Assad last year, ISIS would be more of a threat this year.
[14:19.520 --> 14:24.520]  ISIS may well be in Damascus had we bombed Assad last year.
[14:24.520 --> 14:26.520]  That's right.
[14:26.520 --> 14:35.520]  Had the hawks been successful last year, we would be facing a stronger ISIS likely in charge of all Syria and most of Iraq.
[14:35.520 --> 14:36.520]  They're not hawks, they're traitors.
[14:36.520 --> 14:42.520]  Intervention is not always the answer and often leads to unintended consequences.
[14:42.520 --> 14:49.520]  But some will argue, no, no, it's not intervention that led to this chaos. We didn't have enough intervention.
[14:49.520 --> 14:55.520]  They say if we had only given the rebels more arms, ISIS wouldn't be as strong now.
[14:55.520 --> 14:59.520]  The only problem is the facts argue otherwise.
[14:59.520 --> 15:00.520]  95% is ISIS.
[15:00.520 --> 15:08.520]  We did give arms and assistance to the rebels through secret CIA operations, through our allies, through our erstwhile allies.
[15:08.520 --> 15:18.520]  We gave 600 tons, let me repeat that, we gave 600 tons of weapons to the Syrian rebels in 2013 alone.
[15:18.520 --> 15:23.520]  600 tons of weapons and they cry out and say we haven't done enough.
[15:23.520 --> 15:26.520]  Perhaps we're giving them to people who don't want to fight.
[15:26.520 --> 15:32.520]  Perhaps the fighters from ISIS are taking the weapons that we give to the so-called militants.
[15:32.520 --> 15:34.520]  I haven't even know if Rand Paul was briefed by the Pentagon.
[15:34.520 --> 15:36.520]  They said all the rebels are al-Qaeda.
[15:36.520 --> 15:41.520]  He's just given a soft speech to the public because the public can't handle it.
[15:41.520 --> 15:44.520]  But that's strong compared to those that are saying arm al-Qaeda.
[15:44.520 --> 15:46.520]  So a powerful speech by Rand Paul.
[15:46.520 --> 15:50.520]  We're going to come back with key intel almost really going on straight ahead.
[15:50.520 --> 15:55.520]  InfoWars.infowars.com.
[15:55.520 --> 16:21.520]  Check out the breaking news there right now.
