[00:00.000 --> 00:25.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:25.000 --> 00:31.000]  Monday through Friday from 11 a.m. to 2 p.m. Central Standard Time, we're here live, ladies and gentlemen.
[00:31.000 --> 00:36.000]  And back Sunday's live, 4 to 6 p.m. I did not intend to be out Thursday and Friday,
[00:36.000 --> 00:43.000]  but last year I've had just so much family stuff going on on so many fronts, illnesses, deaths, crises.
[00:43.000 --> 00:48.000]  You know how it is. Some years more bad stuff happens than happens in the previous ten.
[00:48.000 --> 00:51.000]  Some years more good stuff happens in a year than happened in the previous ten.
[00:51.000 --> 00:57.000]  I've had a lot of great stuff happen this year as well. So many times I open up the broadcast with the Tale of Two Cities quote,
[00:57.000 --> 01:04.000]  it was the best of times, it was the worst of times. And then it goes on to talk about that paradox,
[01:04.000 --> 01:12.000]  but I am here live today and intend to be here live tomorrow. And we will obviously open the phones up.
[01:12.000 --> 01:18.000]  I want to try to be disciplined as I say so many times and don't do it and go through all of the really important news.
[01:18.000 --> 01:31.000]  There is so much to get into. There's also a lot of really positive news that I want to look at that just came out today.
[01:31.000 --> 01:36.000]  And every day there are examples of good things that are happening in society in the world.
[01:36.000 --> 01:42.000]  I want to get into some of that coming up. Hershey explores removal of corn syrup.
[01:42.000 --> 01:49.000]  UN poll reveals global population does not believe global warming. It's the most unimportant issue.
[01:49.000 --> 01:56.000]  That's the way the UN cooks these polls is, what's the most important threat? A to Z. And then Z is climate change.
[01:56.000 --> 02:01.000]  They don't let you say, hey, I think it's a fraud. Just what's the least threat?
[02:01.000 --> 02:11.000]  Is it unicorns or is it pixie dust? I mean, and so you can't say unicorns aren't real.
[02:11.000 --> 02:20.000]  You just say it's the least threat of mythical creatures out there from Rumpelstilsten right down the line.
[02:20.000 --> 02:30.000]  Here's another one. San Diego encourages rainwater harvesting with rebates instead of cities everywhere trying to find people that harvest rainwater.
[02:30.000 --> 02:37.000]  Bankster Lobby has tried to sneak derivatives bailout in budget legislation, but it's in trouble as the public learns about it.
[02:37.000 --> 02:52.000]  Wall Street moves to put taxpayers on the hook for derivative trades again, protecting their derivatives, not letting them pay in the free market when they shell them to the public.
[02:52.000 --> 02:59.000]  And see, they'll put your pension fund or your investment in these, especially if they're guaranteed.
