[00:00:00.189 --> 00:00:02.573]  I think so.
[00:00:10.106 --> 00:00:22.981]  Well, last hour we talked about the national news that's downbreaking, about the Big Academy of Sciences here in Texas giving a standing ovation and the highest award to a Malthusian who wants to kill 90% of the population.
[00:00:22.981 --> 00:00:26.145]  We'll get more into that later, even take a few calls on it.
[00:00:26.145 --> 00:00:30.610]  For this next hour, we've got to shift gears into something just as important, an amazing individual,
[00:00:31.730 --> 00:00:38.653]  I'll have to cover his bio when we get back to the next segment, because some stations don't carry this first segment.
[00:00:38.653 --> 00:00:44.215]  But Dr. Robert N. Bowman is president of the Institute for Space and Security Studies.
[00:00:44.215 --> 00:00:50.398]  He's a former fighter pilot, PhD in aeronautics and nuclear engineering from Caltech.
[00:00:50.398 --> 00:00:53.459]  He was the head of the Star Wars program.
[00:00:53.459 --> 00:00:56.080]  That's the strategic defense initiative.
[00:00:56.080 --> 00:00:58.061]  And he is aware of 9-11 being an inside job.
[00:01:01.155 --> 00:01:06.656]  So, we'll be talking about a host of issues with him for this hour and into the next, if he would like to grace us.
[00:01:06.656 --> 00:01:10.477]  And we are extremely honored to be joined by Dr. Bowman.
[00:01:10.477 --> 00:01:11.678]  Dr. Bowman, good to have you on.
[00:01:11.678 --> 00:01:12.958]  Thank you very much.
[00:01:12.958 --> 00:01:13.718]  Good to be here.
[00:01:13.718 --> 00:01:14.818]  Thank you.
[00:01:14.818 --> 00:01:15.939]  There's so much to cover.
[00:01:15.939 --> 00:01:17.559]  Of course, I want to get into 9-11 first.
[00:01:17.559 --> 00:01:24.200]  But, I mean, right now, just tell us about yourself and some of the things you worked on in and out of government.
[00:01:24.200 --> 00:01:27.481]  Well, I flew 101 combat missions in Vietnam.
[00:01:27.481 --> 00:01:29.942]  I was project officer on the nuclear-powered B-70.
[00:01:31.371 --> 00:01:43.357]  And I did run the Star Wars programs under Ford and Carter when their existence was secret, and long before they got the false euphemism of Strategic Defense Initiative.
[00:01:43.357 --> 00:01:45.038]  Because it's really offensive.
[00:01:45.038 --> 00:01:45.999]  Absolutely.
[00:01:45.999 --> 00:01:52.462]  And that's what I told the President in 1977 when I was directing the programs.
[00:01:52.462 --> 00:01:55.904]  Boy, there's a lot of stuff up there in orbit right now, isn't there?
[00:01:55.904 --> 00:01:57.845]  There is indeed.
[00:01:57.845 --> 00:02:00.466]  I think we have been successful to keep
[00:02:01.321 --> 00:02:09.928]  Weapons out of space so far, but you know, I don't know how long we can continue.
[00:02:09.928 --> 00:02:25.260]  Just a side issue, and I want to come back and get right into 9-11 and then into Star Wars and the rest of it, but have you heard of this Dr. Eric R. Bianca, big UT professor, calling for the extermination of 90% of the population?
[00:02:25.260 --> 00:02:30.144]  Oh, I've heard some rumblings of stuff, but nothing like that, no.
[00:02:30.954 --> 00:02:38.040]  I tell you, this population control agenda just keeps coming up and up again at very high levels of our government and other governments.
[00:02:38.040 --> 00:02:42.524]  It seems to me just to be an excuse for destroying freedoms.
[00:02:42.524 --> 00:02:43.725]  Absolutely.
[00:02:43.725 --> 00:02:44.746]  Absolutely.
[00:02:44.746 --> 00:02:57.037]  When I drive through Montana and a lot of this country the way I do, and see the miles and miles and miles of nothing but miles,
[00:02:58.502 --> 00:03:16.280]  Yeah, I have to take this population control thing a little with a grain of salt because we can absorb a lot more people if we don't have all of the resources to support them going to the big corporations and the global robber barons.
[00:03:16.280 --> 00:03:18.643]  For warmongering an empire.
[00:03:18.643 --> 00:03:19.364]  Yeah, right.
[00:03:20.339 --> 00:03:23.221]  Of course, you also are the presidential candidate for the Reform Party.
[00:03:23.221 --> 00:03:26.583]  I mean, your bio is so lengthy, but it's important for listeners to hear it.
[00:03:26.583 --> 00:03:32.808]  So we're going to take a three-minute break here, sir, and then we're going to come back and spend the rest of the hour with you.
[00:03:32.808 --> 00:03:36.170]  Dr. Bowman, why don't you give us some of your websites first, though?
[00:03:36.170 --> 00:03:37.431]  Sure.
[00:03:37.431 --> 00:03:40.133]  RMBowman.com.
[00:03:41.514 --> 00:04:08.239]  is my personal website and there's uh... on that you click on the homepage of space and security news united catholic church my two thousand presidential campaign i have a new website for my congressional campaign and that is bowman two thousand six dot com all right and i you also have a position uh... there uh... as a uh... i would say a a a pastor as well tell us about that
[00:04:09.364 --> 00:04:19.247]  I'm the presiding Archbishop of the United Catholic Church, which is an independent Catholic Church, not under the control of the Vatican.
