[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:34.000]  We are live. It is the last day of July, 2011. Next stop, 2012. And we're going to be live here as we are every Sunday.
[00:34.000 --> 00:57.000]  4 to 6 p.m. Central, 5 to 7 Eastern, 3 to 5 Mountain, 2 to 4 Pacific. And we have incredibly intense and important news and information that we're going to be covering today, obviously.
[00:57.000 --> 01:05.000]  And so I hope that you will stay with us through the two hours of the show today.
[01:05.000 --> 01:21.000]  I hope that you will take notes on the information that we are going to cover, because the different developments in our society are of the utmost importance, obviously.
[01:21.000 --> 01:35.000]  And as I do so many Sundays, when I tend to be more reflective, I'm going to attempt to not go into a bunch of ranting and raving today, but actually get into all of the news.
[01:35.000 --> 01:47.000]  Obviously, when we come back from break, we're going to get into the whole debt ceiling false debate that gets everybody to obsess on the credit rating.
[01:47.000 --> 02:04.000]  And on raising the debt and going into more debt, instead of asking why are we in this debt and where is most of the money actually owed and will the debt ceiling, or even making these paltry cuts the Republicans are calling for, fix things.
[02:04.000 --> 02:14.000]  And the answer is no. So we're going to be going over all of that. And we have the headlines here that top Senator Republicans with the Democrats are very close to a deal.
[02:14.000 --> 02:21.000]  On default, White House TOP discussed potential debt limit packed with 48 hours left to go.
[02:21.000 --> 02:27.000]  But don't worry, the private rating agencies, S&P, Moody's and others are saying it doesn't matter.
[02:27.000 --> 02:37.000]  Either debt plan will make you lose your AAA rating and that's out of the Hill newspaper there in DC with the inside scoop from Capitol Hill.
[02:37.000 --> 02:49.000]  I want to talk about what a loss of AAA rating is going to mean because it's a foregone conclusion that the debt has been defaulted on the minute we signed on to that 1.5 quadrillion in derivatives.
[02:49.000 --> 02:59.000]  And so we'll discuss either way, no matter what happens, where this country is headed until we get out of the private Federal Reserve's control.
[02:59.000 --> 03:07.000]  And I've got a lot of news also on the economy that we're going to be going over today.
[03:07.000 --> 03:14.000]  Obviously, we're going to get into the latest on Fast and Furious. We're going to have a video report.
[03:14.000 --> 03:19.000]  It's going to be up on infowars.com and prisonpana.com by the end of the show today.
[03:19.000 --> 03:29.000]  I may even premiere that special report that we worked on Friday, Saturday and Aaron's up here on Sunday, completing it right now.
[03:29.000 --> 03:31.000]  Very powerful report.
[03:31.000 --> 03:39.000]  Video report to accompany this text report by Paul Joseph Watson and Aaron Dykes.
[03:39.000 --> 03:46.000]  Exclusive ATF intimidates gun owners with home visits.
[03:46.000 --> 03:53.000]  And we're going to be going over this report obviously here on the show today.
[03:53.000 --> 03:55.000]  And we have another report here from infowars.com.
[03:55.000 --> 04:06.000]  Gun grabbers in Congress exploit Fast and Furious and introduce the flotilla of new victim disarmament, anti-second amendment, anti-freedom moves.
[04:06.000 --> 04:11.000]  So that's just some of what we're going to be going over in that area.
[04:11.000 --> 04:21.000]  And we are going to continue looking at some other news items dealing with how our young people are being basically implanted into the matrix.
[04:21.000 --> 04:30.000]  Facebook and Twitter are creating a vain generation of self-obsessed people with childlike need for Facebook.
[04:30.000 --> 04:32.000]  Feedback type garbage.
[04:32.000 --> 04:34.000]  Warrant's top scientist.
[04:34.000 --> 04:36.000]  And that goes together with this French news agency.
[04:36.000 --> 04:41.000]  Xbox addict dies from blood clot.
[04:41.000 --> 04:43.000]  Another one I never got to last week, but I'm going to cover today. We have time.
[04:43.000 --> 04:47.000]  Peer pressure causes people to literally alter their memories of recent events.
[04:47.000 --> 04:50.000]  Why won't people wake up and face reality?
[04:50.000 --> 04:52.000]  It's because of stuff like this.
[04:52.000 --> 04:59.000]  We're going to be going over all straight ahead.
[04:59.000 --> 05:03.000]  Hi, this is Steve Shank and Babs Rosberg with eFoods Direct.
[05:03.000 --> 05:10.000]  Babs, you work a lot with shipping and things are going absolutely nuts with this new independent smoth Patriot pack that eFoods is giving away.
[05:10.000 --> 05:15.000]  The way things are going, we're shipping thousands of these great little Patriot packs out.
[05:15.000 --> 05:19.000]  Just an example, Sherry from Arkansas made a $1,300 order.
[05:19.000 --> 05:24.000]  We shipped her five free Patriot packs, $750 more free food.
[05:24.000 --> 05:27.000]  Folks are really surprised at what we're actually giving away.
[05:27.000 --> 05:38.000]  Now folks, we've had 235 years of freedom in this country, so for every $235 worth of food ordered, we give away $149 Patriot pack free.
[05:38.000 --> 05:47.000]  To order the best food on the planet, call 800-409-5633 or go to eFoodsDirect.com slash Alex.
[05:47.000 --> 05:59.000]  A free 12-day supply Patriot pack with every $235 worth of food ordered, call 800-409-5633 or eFoodsDirect.com slash Alex.
[06:17.000 --> 06:26.000]  48 hours out from a total default on the debt to the foreign governments and private Federal Reserve
[06:26.000 --> 06:35.000]  that have taken over this country through economic fraud and have engaged in a conquest that the British Empire couldn't succeed in,
[06:35.000 --> 06:41.000]  that Hitler couldn't succeed in, that the Soviets couldn't succeed at.
[06:41.000 --> 06:50.000]  They have conquered us through fraud by stealth, but the moment you become aware of the private banking cartels' global government
[06:50.000 --> 06:56.000]  that they're publicly admitting now they're setting up that you'll pay your VAT taxes too, your carbon taxes, and the rest of it,
