[00:00:01.936 --> 00:00:04.940]  You want answers?
[00:00:04.940 --> 00:00:05.861]  Well, so does he.
[00:00:05.861 --> 00:00:10.708]  He's Alex Jones on the GCN Radio Network.
[00:00:10.708 --> 00:00:14.754]  And now, live from Austin, Texas, Alex Jones.
[00:00:15.948 --> 00:00:19.832]  I would have loved to have given the listeners a heads up.
[00:00:19.832 --> 00:00:22.274]  It is the 23rd day of July 2008.
[00:00:22.274 --> 00:00:31.121]  I would have loved to have given people a chance to tell their friends, family, neighbors to tune in.
[00:00:31.121 --> 00:00:34.524]  But I said last Friday I was going to call Willie Nelson over the weekend.
[00:00:35.365 --> 00:00:53.858]  And try to get him on as a guest this week to speak out against an attack on Iran and of course to support Congressman Dennis Kucinich and his co-sponsors who this Friday are going to be before the House Judiciary Committee bringing forward evidence of the crimes of George W. Bush.
[00:00:55.199 --> 00:00:56.620]  Well, I didn't call him this weekend.
[00:00:56.620 --> 00:00:58.461]  I didn't call him this week.
[00:00:58.461 --> 00:00:59.382]  Time just flies by.
[00:00:59.382 --> 00:01:02.964]  I called him this morning, and he said, well, today's a good time to do it.
[00:01:02.964 --> 00:01:04.205]  In fact, earlier the better.
[00:01:04.205 --> 00:01:05.465]  Let's go!
[00:01:05.465 --> 00:01:13.891]  So, we're scheduled to have Willie Nelson on in about five minutes, starting in the second segment of the radio show today.
[00:01:13.891 --> 00:01:15.091]  And in fact, I meant to have
[00:01:16.152 --> 00:01:18.353]  He has 35 articles of impeachment in front of me.
[00:01:18.353 --> 00:01:20.654]  Will somebody Google that?
[00:01:20.654 --> 00:01:26.197]  So I have that when I don't even have time to prepare for this because I literally called Nelson about 45 minutes ago.
[00:01:26.197 --> 00:01:32.980]  I was in the middle of getting ready for the normal show, trying to set him up Thursday, Friday, or next week, and he said, well, today's better.
[00:01:32.980 --> 00:01:41.564]  So Willie Nelson will be on with us from the tour bus coming up in about five minutes.
[00:01:41.564 --> 00:01:44.246]  Ron Paul narrowly escaped death.
[00:01:45.083 --> 00:01:53.309]  Remember with Payne Stewart in 2000, the famous golfer, the aircraft, the Learjet depressurized, all aboard were killed.
[00:01:53.309 --> 00:01:56.531]  It's a high mortality rate when this happens.
[00:01:56.531 --> 00:02:05.778]  This happened with the congressman and seven other congressmen out of Texas when they took off from Houston and then had to do an emergency landing.
[00:02:07.202 --> 00:02:10.446]  Ron Paul was scheduled to be on tomorrow.
[00:02:10.446 --> 00:02:17.414]  I wonder if this little snafu will get in the way of that, to be talking about the Iran war, what's happening with the economy and a lot more.
[00:02:17.414 --> 00:02:19.797]  But Congressman Ron Paul is scheduled tomorrow.
[00:02:19.797 --> 00:02:23.041]  We're also lining up Dennis Kucinich tomorrow or Friday.
[00:02:23.041 --> 00:02:24.442]  So a very, very busy week.
[00:02:25.283 --> 00:02:36.070]  We don't like to announce these big guests until we pretty much introduce them onto the show for you to ensure that that happens, but a lot of important information as we continue to track things here for you.
[00:02:36.070 --> 00:02:42.775]  Trey, my producer, has landed another gigantic guest for two weeks from now, but I'm not going to hold my breath.
[00:02:42.775 --> 00:02:43.916]  We'll just see if that happens.
[00:02:43.916 --> 00:02:47.058]  The person is set up for two weeks from now, roughly.
[00:02:47.058 --> 00:02:50.340]  I'm not going to get into it, just a heads up on that.
[00:02:50.340 --> 00:02:51.221]  It's pretty big.
[00:02:52.105 --> 00:02:53.607]  Okay.
[00:02:53.607 --> 00:02:58.674]  Flight carrying Ron Paul, others in to Congress makes emergency landing.
[00:02:58.674 --> 00:03:00.336]  KHOU News.
[00:03:00.336 --> 00:03:07.686]  Houston, a Continental Airlines flight carrying seven members of Congress from Houston to Washington was forced to make an emergency landing after it lost cabin pressure.
[00:03:10.151 --> 00:03:20.797]  Yesterday afternoon, Flight 458 was bound for Reagan National Airport, but was diverted and landed safely in New Orleans, a spokesman for Representative Ted Poe told 11 News.
[00:03:20.797 --> 00:03:32.465]  Poe and fellow congressmen Nick Lapson, Ron Paul, John Carter, Ciro Rodriguez, Solomon Ortiz, and Henry Julliard were aboard the flight, said Poe's press secretary.
[00:03:33.445 --> 00:03:40.291]  Ironically, the seven congressmen were trying to get back in time for a Tuesday night vote on an aviation safety bill.
[00:03:40.291 --> 00:03:44.855]  A spokesman for one of the representatives said there were 118 people total aboard the plane.
[00:03:46.798 --> 00:03:48.239]  Spokesman Julia King said.
[00:03:48.239 --> 00:04:00.024]  Alright, I'm going to take you out with a little 10-minute report that's up on InfoWars.com of Dennis Kucinich eloquently asking you for support for his impeachment move, which definitely puts his life in danger.
[00:04:00.024 --> 00:04:03.966]  Let's go ahead and go out to break with Congressman Dennis Kucinich.
