[00:00.000 --> 00:18.400]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:43.000]  The scenes you're witnessing in Afghanistan are about to prelude to what is coming to
[00:43.000 --> 00:45.660]  civilization near you.
[00:45.660 --> 00:51.800]  It's Monday, August 16th, the year is 2021.
[00:51.800 --> 00:58.200]  And as usual, Infowars will exclusively reveal to the world exactly what's happening and
[00:58.200 --> 01:07.400]  why it's happening and the fact that the collapse of Afghanistan is a deliberate globalist plan.
[01:07.400 --> 01:13.360]  We have all the evidence, we have all the admissions, and we also have history.
[01:13.360 --> 01:22.160]  What did retreating empires always do when they pulled out of an area?
[01:22.160 --> 01:24.240]  They would burn everything to the ground.
[01:24.240 --> 01:28.640]  It's called scorched earth.
[01:28.640 --> 01:34.640]  And after 20 years of so-called nation building, the decision has been made across the planet
[01:34.640 --> 01:39.920]  with the great reset to destabilize the world.
[01:39.920 --> 01:44.520]  And that's why the exact same forces during the Arab Spring promoted by CNN and Google
[01:44.520 --> 01:51.880]  and the rest of the criminals, promoted the Muslim Brotherhood, the Wahhabist majority
[01:51.880 --> 01:59.160]  sect of Islam to launch offensive operations all over Africa, the Middle East, Europe,
[01:59.160 --> 02:05.200]  and Asia, Central Asia, Southeast Asia, you name it, they launched them everywhere, from
[02:05.200 --> 02:17.560]  the Philippines to New York City, from the capital of California to the capital of Afghanistan.
[02:17.560 --> 02:23.680]  This group has been protected by the Saudi Arabians and others forever.
[02:23.680 --> 02:27.440]  It was set up by British intelligence over 100 years ago.
[02:27.440 --> 02:31.920]  Go back to Lawrence of Arabia, that's a true story, not just a Hollywood movie.
[02:31.920 --> 02:38.440]  And so just like there was the airlift of Evel after 9-11, where over 100,000 Afghan troops
[02:38.440 --> 02:45.560]  were airlifted out of Kabul and the other main cities of Afghanistan by the U.S. military
[02:45.560 --> 02:53.160]  and their orders, they've basically now been allowed back in with the spectacle of the
[02:53.160 --> 03:00.840]  collapsing civilization so that in the very near future, U.S. forces will be forced to
[03:00.840 --> 03:10.320]  go back in yet again, and you will see the ongoing 2.2 trillion that has already been
[03:10.320 --> 03:22.800]  transferred to the globalist military industrial complex, look, tame in comparison, the decision
[03:22.800 --> 03:27.120]  has been made to have a post-industrial world.
[03:27.120 --> 03:31.760]  But the globalists, while they implode something, always transfer the wealth of technology to
[03:31.760 --> 03:32.760]  themselves.
[03:32.760 --> 03:37.800]  This is also being done in the sick minds of the globalists that have blamed Trump and
[03:37.800 --> 03:41.480]  wanted to pull out without a totally different plan of how to do that.
[03:41.480 --> 03:46.680]  And of course, now communist China that controls the puppet Biden and much of the globalist
[03:46.680 --> 03:53.080]  system is moving in to take over, but not with force, but with economic deals.
[03:53.080 --> 03:56.680]  The United States is designed to be bankrupted.
[03:56.680 --> 04:04.000]  The same CIA that orchestrated this collapse is the same CIA that funds transgenderism and
[04:04.000 --> 04:10.080]  men in women's bathrooms and drag queen story time and anti-fuck, no borders, no wall, no
[04:10.080 --> 04:11.080]  USA at all.
[04:11.080 --> 04:15.440]  That's why everybody watches Jimmy Fallon, and they say, yay, white people aren't the
[04:15.440 --> 04:20.320]  majority anymore, and they flash the applause and the white people clap.
[04:20.320 --> 04:22.640]  That's CIA.
[04:22.640 --> 04:23.840]  That's race-based politics.
[04:23.840 --> 04:26.160]  That's to Biden conquer.
[04:26.160 --> 04:31.240]  So everyone's saying Biden's an idiot, Biden is a moron, Biden should design.
[04:31.240 --> 04:32.240]  Biden is an idiot.
[04:32.240 --> 04:33.240]  Biden is a moron.
[04:33.240 --> 04:34.240]  Biden was not elected president.
[04:34.240 --> 04:37.280]  He should resign, but he's not running anything.
[04:37.280 --> 04:41.080]  This has all been done by design, just like he did at the campaign.
[04:41.080 --> 04:46.960]  He just sits there at Camp David down at the swimming pool and plays Mario Kart while the
[04:46.960 --> 04:49.800]  globalist discredit and bankrupt America.
[04:49.800 --> 04:53.800]  This is all designed to destroy confidence in America while bankrupting us while they
[04:53.800 --> 04:58.080]  then turn the security forces inward against the American people declaring us terrorists.
[04:58.080 --> 05:03.640]  You say you want to fight tyranny.
