whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20150824_Mon_Alex.wav' (171515403 samples, 10719.7 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:08.600]   We now take you live to the Central Texas Command Center in the heart of the Resistance.
[00:00:08.600 --> 00:00:13.600]   You're listening to the Alex Jones Show.
[00:00:13.600 --> 00:00:19.400]   Ladies and gentlemen, it is Monday, the 24th day of August 2015.
[00:00:19.400 --> 00:00:26.360]   I'm Alex Jones coming to you with a recorded report from Monday morning, about an hour
[00:00:26.360 --> 00:00:30.480]   and a half before the broadcast starts.
[00:00:30.480 --> 00:00:36.360]   I will be calling in live later via a connection in Chicago.
[00:00:36.360 --> 00:00:40.800]   David Knight will be hosting the broadcast.
[00:00:40.800 --> 00:00:49.440]   Again, ladies and gentlemen, we saw Asian stock markets plunge massively in their trading.
[00:00:49.440 --> 00:00:53.280]   Now we will have more intel as the U.S. stock market opens.
[00:00:53.280 --> 00:00:59.640]   Obviously, by the time you hear this report, the stock market has opened.
[00:00:59.640 --> 00:01:10.440]   In the futures market, the stock market was down 800-plus points in the futures market.
[00:01:10.440 --> 00:01:15.160]   Falling market tie is lowering all boats around the world.
[00:01:15.160 --> 00:01:22.600]   Oil has sunk in its price yet again another 4%.
[00:01:22.600 --> 00:01:29.320]   This is massive, but regardless of all the current technicals, it's key to understand
[00:01:29.320 --> 00:01:35.440]   that Infowars.com and our family of guests and researchers absolutely predicted this
[00:01:35.440 --> 00:01:36.440]   with precision.
[00:01:36.440 --> 00:01:41.400]   It's not about the laurels that we predicted what is happening.
[00:01:41.400 --> 00:01:46.240]   It's about the fact that we know what the problem is and we know how to fix it.
[00:01:46.240 --> 00:01:51.160]   That's why we toot our horn and explain that we're the ones that exposed this more accurately
[00:01:51.160 --> 00:01:52.680]   than anybody else.
[00:01:52.680 --> 00:01:59.800]   This is an orchestrated global financial consolidation and the globalists are giving themselves the
[00:01:59.800 --> 00:02:05.960]   literally hundreds of trillions in different currencies by devaluing the currencies and
[00:02:05.960 --> 00:02:08.480]   giving themselves first use of it.
[00:02:08.480 --> 00:02:13.160]   They are also, through the private central banks, consolidating control, giving themselves
[00:02:13.160 --> 00:02:15.240]   0% interest.
