[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[00:13.000 --> 00:16.000]  front lines of the Info War.
[00:16.000 --> 00:24.000]  Here we are, ladies and gentlemen, Tuesday, December 12, 2017.
[00:24.000 --> 00:26.000]  I'm your host, Alex Jones.
[00:26.000 --> 00:32.000]  I'm going to be co-hosting today with Owen Shroyer. We've got a lot of special reports as well coming up.
[00:32.000 --> 00:35.000]  Ladies and gentlemen, it's judgment day.
[00:35.000 --> 00:44.000]  What are the Alabama voters going to do in the special election for, of course, the Attorney General, Jeff Sessions?
[00:44.000 --> 00:47.000]  What's going to happen with Roy Moore today?
[00:47.000 --> 00:53.000]  Well, they're saying in different polls he's five to ten points behind, but we saw that, of course, with President Trump.
[00:53.000 --> 00:58.000]  And a lot of the computer bots that said Trump was actually going to win are saying the same thing about Roy Moore,
[00:58.000 --> 01:05.000]  that the Democrats and pollsters are targeting certain groups that they know either politically won't say how they're really going to vote
[01:05.000 --> 01:11.000]  because they want a virtue signal and claim they're anti-More, or they were already Democrat voters that are being targeted.
[01:11.000 --> 01:18.000]  We're going to walk through all of this, but now they're saying Roy Moore is an anti-Semi for saying he's not an anti-Semi.
[01:18.000 --> 01:22.000]  And then they said, we have friends that are Jewish. We have lawyers that are Jewish.
[01:22.000 --> 01:30.000]  Oh my gosh, it's the liberal tokenism. You said the word Jew. That's anti-Semitic.
[01:30.000 --> 01:37.000]  This is how the left and the political correct operatives destroy society, and it's amazing.
[01:37.000 --> 01:41.000]  So no evidence of the things they say against Moore.
[01:41.000 --> 01:45.000]  A lot of the evidence has been proven to be fake. The so-called evidence has been proven to be fake.
[01:45.000 --> 01:49.000]  No real evidence. The evidence they put forward has all been fake, all been lies,
[01:49.000 --> 01:59.000]  or have all been women who are daughters of women that Roy Moore took away from them.
[01:59.000 --> 02:07.000]  I mean, imagine he's a lawyer in cases in a custody battle where he beats the mom and the daughter goes to the dad,
[02:07.000 --> 02:14.000]  and then the daughter, all these years later, when she'd been in his office all of ten minutes, says this happened to her in his law office.
[02:14.000 --> 02:19.000]  And this is incredible. It's why people don't listen to ex-husbands that make stuff up or ex-wives.
