[00:00.000 --> 00:20.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[00:20.000 --> 00:29.000]  We're live my friends, it's Sunday the 12th day of April 2015.
[00:29.000 --> 00:43.000]  Well, three days ago the National Guard came out and said that infowars.com was not welcome at a so-called dirty bomb exercise in Southern California that ties into the major J. Helm operations coming up in a few months.
[00:43.000 --> 00:49.000]  And now we know why. We ended up getting sent footage from that event that they didn't want us at.
[00:49.000 --> 00:55.000]  And it was a crowd control, basically martial law operation that videos up on infowars.com.
[00:55.000 --> 01:00.000]  That said, I'm not going to really get into that issue today. We've been covering that a lot.
[01:00.000 --> 01:04.000]  The things we're going to be breaking down are legion.
[01:04.000 --> 01:17.000]  Tony Blair, former Prime Minister of England, big globalist has come out and basically even British newspapers are calling him a megalomaniac saying democracy doesn't work.
[01:17.000 --> 01:22.000]  The answer basically is totalitarianism.
[01:22.000 --> 01:28.000]  And he says he's not happy with what governments are doing, so he wants to head up a corporate global governance.
[01:28.000 --> 01:31.000]  Well, it's a corporate global governance we're already in.
[01:31.000 --> 01:36.000]  But then they're blaming what's happening in our nations on the globalist policy.
[01:36.000 --> 01:39.000]  So their answer is give us more power.
[01:39.000 --> 01:44.000]  He's on the cover of Newsweek saying democracy isn't working.
[01:44.000 --> 01:53.000]  Just like Newsweek says, the case for killing granny. And he's also come out and said that England can't leave the euro, that that will cripple the nation.
[01:53.000 --> 02:02.000]  That's because 83%, according to Lord Moncton, and it's admitted by their parliament, of their laws in the UK are made by the EU.
[02:02.000 --> 02:06.000]  Just like most of our laws are now made by these unelected global bodies.
[02:06.000 --> 02:11.000]  I had a fellow walk up to me last night at a movie theater and he said, you know, have you heard of the Global Leadership Council?
[02:11.000 --> 02:16.000]  And I went, yeah, it's a Rockefeller spinoff. And he said, but they have their own security council, all these powerful people are on it.
[02:16.000 --> 02:28.000]  And I said, yeah, there's over 50 of these groups. It's all run by the same people to create the illusion that all these corporate institutions and all these governmental institutions want what's being set up now.
[02:28.000 --> 02:33.000]  But it's a couple hundred of the same people that run all these major global institutions.
[02:33.000 --> 02:46.000]  People like Hillary Clinton, who has announced she's running for president today, we're going to be playing her announcement video that's truly disgusting about fighting for the little guy against the establishment.
[02:46.000 --> 02:53.000]  I'd be like the Queen of England putting out a video about fighting against the establishment. It makes me truly want to throw up.
[02:53.000 --> 03:01.000]  She admits she's going to use the Obama strategy advisors. Hillary will mimic Obama's reelection campaign.
[03:01.000 --> 03:06.000]  So with Obama, it's all race diversion with hurdle all be feminism.
[03:06.000 --> 03:17.000]  And that's what Greenwald saying. And there's a graphic on the front page of info wars.com. Glenn Greenwald opposition to her, meaning Hillary, Hillary.
[03:17.000 --> 03:23.000]  I mean, if Obama is the black Hitler, she definitely is the female Hitler.
[03:23.000 --> 03:30.000]  They go, how dare you said of our Lord and savior, whatever opposition to her is going to be depicted as misogynistic.
[03:30.000 --> 03:41.000]  It's going to be this completely symbolic message that's going to overshadow the fact that she'll do nothing but continue everything in pursuit of her own power.
[03:41.000 --> 03:47.000]  Well, beyond her own sickening power, she's totally blackmailed and totally compromised.
[03:47.000 --> 03:54.000]  So we're going to look at Hillary get the Rand Paul's powerful response to Clinton.
[03:54.000 --> 04:01.000]  Obama has met with Raul Castro in Panama will give me the details of that.
[04:01.000 --> 04:09.000]  Obama absolves Castro absolves Obama of fault for US imperialist aggression. What a sick joke.
[04:09.000 --> 04:16.000]  We'll look at revealed US government programs secretly injected citizens with plutonium and uranium more out on that.
[04:16.000 --> 04:26.000]  Mexico murders, new arrest and slangs of 43 college students who dared protest the mayor's wife.
[04:26.000 --> 04:28.000]  Boy, they could take some freedom down in Mexico.
[04:28.000 --> 04:42.000]  Instead, I've got stacks of news articles here about how all sexes rape on colleges and all these fake reports from Rolling Stone and others making up rapes to make the cause celeb that men are bad raping women.
[04:42.000 --> 04:49.000]  And that's the epidemic. While, meanwhile, globally, all hell breaks loose and humanity itself is under attack.
[04:49.000 --> 04:55.000]  That's coming up plus breathtaking footage from NASA astronauts spacewalking with go pros.
[04:55.000 --> 04:57.000]  The video's on infowars.com.
[04:57.000 --> 05:12.000]  Stay well.
[05:28.000 --> 05:30.000]  Alex Jones here.
[05:30.000 --> 05:39.000]  For the last two years, I've been working with top doctors, nutritionist and chemist to design a nutraceutical formulation that has truly life changing health benefits.
[05:39.000 --> 05:51.000]  Introducing the all new ancient defense herbal immunity blend, experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[05:51.000 --> 05:59.000]  Visit infowarslife.com or call 1-888-253-3139. That's infowarslife.com.
[06:21.000 --> 06:37.000]  Hey, who needs to change? You just keep the Obama's and Bush's and Clinton's in power forever.
[06:37.000 --> 06:51.000]  I say the Obama's because you know they're going to run his wife, Michelle, at some point and say that you're racist and against women if you don't vote for her.
[06:51.000 --> 07:03.000]  And they're already announcing less than two hours after she made her formal announcement that they'll be running a repeat of the whole Obama run where if you don't support her, you are anti-woman.
[07:03.000 --> 07:17.000]  It's hard to guess that that was going to be the case. Hillary says that she's going to be crusading is her words for the middle class and the common person against the elites.
[07:17.000 --> 07:39.000]  That's why she's basically bought and paid for by Goldman Sachs, JP Morgan, the megamanks, supports Obamacare, gang raping everybody's medical records and jacking up your prices as the insurance companies worldwide are in an orgy of profits over the giant screw job that is Obamacare that was written with the Republican leadership involved.
[07:39.000 --> 07:59.000]  The advisors, Hillary will mimic Obama's reelection campaign. That's right, Hillary Clinton's presidential campaign will center on boosting economic security for the middle class and expanding opportunities for working families while casting the former senator and secretary of state as a tenacious fighter,
[07:59.000 --> 08:17.000]  able to get results to senior advisors said Saturday. President Barack Obama, all but endorsed her saying, I think she would make an excellent president. We're going to play her new promo video here in a moment that is her formal announcement.
[08:17.000 --> 08:35.000]  Continuing here, there's a disgusting quote in here again about how she's going to fight the little guy. Oh, hell no. Clinton stale presidential plan wrong for the nation. An article out of the New York Post, the real issue is Clinton fatigue and national exhaustion from having been there done that too many times before.
[08:35.000 --> 08:53.000]  Absolutely. The public gets that we don't want another bush. We don't want another Clinton. I forget who said it, but the presidency is not a crown to be passed back and forth between two families.
[08:53.000 --> 09:13.000]  I assume we'll just have one family in charge will be like North Korea will have a communistic Royal House. Rand Paul slams Hillary Clinton's grand hypocrisy. I think the thing it is about the Clintons is that there's a certain sense that they think they're above the law.
[09:13.000 --> 09:20.000]  We've got a clip of what he had to say today on meet the press.
[09:20.000 --> 09:32.000]  I think the thing is about the Clintons is that there's a certain sense that they think they're above the law. And I think there's also this grand hypocrisy for the Clintons in the sense that we've got this whole thing.
[09:32.000 --> 09:40.000]  This war on women thing that they like to talk about. And yet Hillary Clinton has taken money from countries that rape victims are publicly lashed in Saudi Arabia.
[09:40.000 --> 09:54.000]  A woman was gang raped by seven men. She was publicly lashed 90 times. And then she was convicted of being in the car with an unmarried man. We should be boycotting, voluntarily boycotting a country, not buying stuff from a country that does that.
[09:54.000 --> 09:57.000]  Do you want to boycott? So if you're president, Saudi Arabia, you're no longer an ally.
[09:57.000 --> 10:09.000]  Well, I think that's a little different than what I'm saying. I'm talking about, remember with South Africa, you know, there was much of it that was voluntary boycott saying, you know what, personally, you know, I'm going to try to sell my university not to invest in this country
[10:09.000 --> 10:19.000]  because of what they do to women. And see, I think I would expect Hillary Clinton, if she believes in women's rights, she should be calling for a boycott of Saudi Arabia instead. She's accepting tens of millions of dollars.
[10:19.000 --> 10:24.000]  And I think it looks unseemly. And there's going to be some explaining she's going to have to come up with.
[10:24.000 --> 10:33.000]  That is an incredibly pro-human statement. It's not pro-woman or pro-man. It shouldn't be man or woman's issues. It's human issues.
[10:33.000 --> 10:44.000]  And do we want our daughters to live under that type of oppression? Do we want to support countries like Saudi Arabia that are so oppressive, they make apartheid look like a cakewalk?
[10:44.000 --> 10:58.000]  I mean, Saudi Arabia is a lunatic asylum with the elite they've got over there, completely above the law, involved in every form of bizarre decadence you can imagine for the elites, but not the general public.
[10:58.000 --> 11:10.000]  And you never hear a word, as infowars.com points out on a weekly basis, from Gloria Steinem or any of the feminists about ISIS murdering women in mass all over the world, our government funding them, on and on and on.
[11:10.000 --> 11:22.000]  It's just all, you support Hillary and what she wants, government-run healthcare, victim disarmament, open borders, higher taxes, or you're against women.
[11:22.000 --> 11:32.000]  And then she puts out her campaign ad, lesbians hugging and basically kissing on each other. I'm going to talk about this later in the broadcast, but here's the deal.
[11:32.000 --> 11:48.000]  I am sick of being force-fed this. It's not that I'm not open-minded and I can't handle it. I want my kids to be able to go to school and not be taught in the first grade about Heather having two mommies or Billy having two daddies.
[11:48.000 --> 12:01.000]  That's just not what you're supposed to be teaching kids. You want to re-engineer society. You don't like what the parents may be teaching them, so you want to get in there first and set the precedent that you are the parents.
[12:01.000 --> 12:18.000]  In fact, I'm going to talk about this later in the broadcast. I went and saw last night, it's in theaters, the movie about James Randy. I was robbed going and seeing an honest liar.
[12:18.000 --> 12:41.000]  It's got one of the highest rotten tomatoes ratings, 98% ever. It's got a 7.9 on IMDB and it was unwatchable. I'm a documentary filmmaker. I'm here to tell you all it was was clips off YouTube, the first half, the second half was nothing but him and his husband, an illegal alien from
[12:41.000 --> 12:53.000]  Ohio and it was all about legalizing the open borders and what a victim he is living in some mansion with his 40-year-old, 40-year younger boyfriend.
[12:53.000 --> 13:12.000]  I had to sit there and watch it because James Randy has attacked me many times for made-up stuff and so I wanted to go see it and what he did was expose a lot of real frauds, preachers that have people with radio transmitters reading into their ears, carnival type stuff.
[13:12.000 --> 13:29.000]  And of course, James Randy is a former carny himself, so it takes one to know one, but then he basically just endorses socialism and liberalism on every front and attacks me. We have a clip of it coming up because I think water fluoridation is bad.
[13:29.000 --> 13:44.000]  And there's 25 Harvard studies that came out two years ago. Reuters reported saying it lowers IQ and gives you bone cancer. You've got almost 100% of the scientists of the EPA two separate times sending a letter saying take it out.
