[00:00.000 --> 00:02.000]  We've got it
[00:07.480 --> 00:09.580]  Waging war on corruption
[00:09.580 --> 00:35.260]  It's Alex Jones coming to you live from the front lines of the Infowar
[00:35.260 --> 00:42.300]  It is the fifth day of May 2013 on this Sunday edition. We're going to be here, Lord willing,
[00:42.300 --> 00:51.060]  for the next two hours. And I am back in studio. And if we give the TV viewers a document cam
[00:51.060 --> 00:58.020]  shot, all of this is fresh news. And I have looked over and read about 90% of this scanned
[00:58.020 --> 01:08.440]  over the other 10% or so. And I'm really going to attempt to go over all of this here today.
[01:08.440 --> 01:13.620]  The only time that you will see me with non computer printout news articles is when I've
[01:13.620 --> 01:19.420]  been on the road. And Friday morning in Dallas before I got back to Austin, Texas, or Friday
[01:19.420 --> 01:24.780]  afternoon, I should say, I had these articles and also ran into some Saturday newspapers
[01:24.780 --> 01:31.620]  here in Austin that we're going to be getting into here today as well.
[01:31.620 --> 01:38.920]  But wow, there is so much to cover. Obviously, number one, Israel has launched a bunch of
[01:38.920 --> 01:47.820]  bombing campaigns or sorties into Syria. Syria for over 26 months has been under globalist
[01:47.820 --> 01:54.820]  attack. And again, I don't romanticize Assad. The point is he did nothing to anybody outside
[01:54.820 --> 02:00.100]  of his nation and is a benevolent dictator compared to his father.
[02:00.100 --> 02:07.580]  Just like I wasn't a fan of Hasim Mubarak of Egypt. But as dictators go, he was not
[02:07.580 --> 02:14.340]  as repressive as many and he was Western backed. And so when our government in NATO took him
[02:14.340 --> 02:20.480]  out and put something even worse in, I said, wow, man, this is really, really illustrative
[02:20.480 --> 02:24.180]  of just how ruthless the people are running our society.
[02:24.180 --> 02:32.380]  And here's the key to all this. They don't care one micron about you or I's interest
[02:32.380 --> 02:37.740]  as well. And when there's no checks and balances, when there's no protection, the bottom basically
[02:37.740 --> 02:41.940]  drops out. I run into so many people that go, well, they have to do this because you
[02:41.940 --> 02:46.820]  know, so what if they use Al Qaeda to bring down Assad, cuz Assad's bad too.
