[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:14.000]  It's Alex Jones and the GCN Radio Network.
[00:14.000 --> 00:18.000]  It's Sunday, the 16th of May, 2010.
[00:18.000 --> 00:23.000]  We're going to be live here for the next two hours. Thank you for joining us.
[00:23.000 --> 00:33.000]  I have a lot of important news I want to cover today, but I mainly want to get into what's happening with the banking structure worldwide.
[00:33.000 --> 00:40.000]  It was $160 billion they needed a week ago, then $600 billion, then $1 trillion, now several trillion.
[00:40.000 --> 00:47.000]  They need your tax money. The private central banks can't tell you where the money's going, but if you don't give them the money,
[00:47.000 --> 00:55.000]  they're threatening to exacerbate the depression that they have designed.
[00:55.000 --> 01:02.000]  And the larger debate is, are the globalists losing control of a crisis they created?
[01:02.000 --> 01:06.000]  We know they created the crisis. That's not debatable. We have their internal emails.
[01:06.000 --> 01:21.000]  They changed the laws. They plan to create a global debt bubble and then loan the world fiat money back and set up a banking dictatorship via a global constitution of the G20,
[01:21.000 --> 01:27.000]  with worldwide financial taxes, VAT taxes, carbon taxes.
[01:27.000 --> 01:42.000]  But now it is really starting to get out of control and is actually becoming contagion that is causing real criticism in the fingers of the people of the planet
[01:42.000 --> 01:46.000]  to be pointed in the right direction, J.P. Morgan Chase, Goldman Sachs, and others.
[01:46.000 --> 01:54.000]  So when we come back from this quick break, I'm going to get into all of this banking news today.
[01:54.000 --> 02:04.000]  And then in other stacks of news, we have an article up on infowars.com that's boiled down.
[02:04.000 --> 02:17.000]  And it says, tie military slaughter of red shirts intensifies, and this shows a population valiantly standing up against a illegitimate corrupt government that has been looting them and robbing them.
[02:17.000 --> 02:25.000]  And militarized police are shooting men, women, and children in the streets every day.
[02:25.000 --> 02:33.000]  22 dead just in the last two days, 170 wounded, and that's probably a low number from Voice of America.
[02:33.000 --> 02:48.000]  But I was watching these videos and it showed tie citizens with slingshots that you would buy at 7-Eleven, you know, little plastic handled rubber band slingshot.
[02:48.000 --> 02:50.000]  I mean, I've bought them for my son and daughter.
[02:50.000 --> 02:56.000]  We put 10 cans up in the backyard and from about 10 feet away, they try to knock the 10 cans over.
[02:56.000 --> 03:09.000]  It's not a wrist rocket that you can kill somebody with a big ball bearing, which by the way is a great low-tech weapon to defend yourself if you don't have firearms or some type of sword.
[03:09.000 --> 03:22.000]  But these people are fighting a heavily militarized, heavily armed army that has M16s and grenade launchers in the capital city of Thailand with slingshots.
[03:22.000 --> 03:27.000]  I mean, so I'm going to play some of that video later. In fact, I sent you guys that video.
[03:27.000 --> 03:30.000]  Do you have that whole list of tie videos?
[03:30.000 --> 03:32.000]  It's video number two from Thailand.
[03:32.000 --> 03:34.000]  It's probably the only one we're going to play.
[03:34.000 --> 03:41.000]  And then there's other stories like this one that I, I mean, you see articles like this out of the Herald's son.
[03:41.000 --> 03:45.000]  Parents pimp kids for swine flu test.
[03:45.000 --> 03:53.000]  Parents are enrolling children as young as nine months old in drug trials in exchange for hundreds of dollars in cash.
[03:53.000 --> 03:55.000]  And then we have another story here.
[03:55.000 --> 03:58.000]  New York midwives lose right to deliver babies at home.
[03:58.000 --> 04:01.000]  This is the medical tyranny.
[04:01.000 --> 04:07.000]  And I'd actually already seen this in history books and in Pentagon reports, but here it is admitted.
[04:07.000 --> 04:15.000]  London Telegraph USSR planned nuclear attack on China in 1969, but the United States said no.
[04:15.000 --> 04:19.000]  That's because the United States put Mao Zedong into power in 1949.
[04:19.000 --> 04:22.000]  And that has been declassified.
[04:22.000 --> 04:27.000]  And I'm not saying it was good that the Russians wanted to nuke them.
[04:27.000 --> 04:34.000]  But this is just a really bird's eye view into all of this so that that's coming up.
[04:34.000 --> 04:38.000]  So scientists forecast decades of ash clouds.
[04:38.000 --> 04:45.000]  Many more of Iceland's volcanoes seem to be stirring and they know that's a thousand year, 1100 year cycle.
[04:45.000 --> 04:53.000]  Will Al Gore put a tax on the volcanoes and maybe wave a magic wand if we buy another 24 bedroom palace?
[04:53.000 --> 04:56.000]  Will he fix the evil carbon being spewed by these?
[04:56.000 --> 05:01.000]  We'll be right back, ladies and gentlemen.
[05:01.000 --> 05:05.000]  Hi, folks. This is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[05:05.000 --> 05:14.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[05:14.000 --> 05:18.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[05:18.000 --> 05:25.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[05:25.000 --> 05:30.000]  and also delivers the silver nanoparticles instantly into the bloodstream
[05:30.000 --> 05:34.000]  with continued legislation threatening the sale of nano-silver products.
[05:34.000 --> 05:39.000]  You can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[05:39.000 --> 05:45.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[05:45.000 --> 05:52.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[05:52.000 --> 06:00.000]  That's www.silverlungs.com.
[06:23.000 --> 06:38.000]  Well, in the 13 years of Infowars.com, I guess almost 14 years of Infowars.com, we've never had this much traffic.
[06:38.000 --> 06:45.000]  If you go up to Alexa.com and type in Infowars.com, just one of the big rating services,
[06:45.000 --> 06:55.000]  Infowars is only right at about 10% behind the Drudge Report right now.
[06:55.000 --> 06:59.000]  Now, I don't expect for that to continue because that's how we always work.
[06:59.000 --> 07:05.000]  We go to a new level, then it goes back down, but always overall the graph is up.
[07:05.000 --> 07:11.000]  But I tell you, that is very, very exciting to see that much traffic coming into the site.
[07:11.000 --> 07:17.000]  And that just shows the population down there, another gauge, another indicator,
[07:17.000 --> 07:27.000]  another yardstick, barometer, measurement of the fact that the type of information we cover on this radio broadcast
[07:27.000 --> 07:30.000]  is becoming extremely mainstream.
[07:30.000 --> 07:31.000]  And that's good.
[07:31.000 --> 07:38.000]  Before I get into all the news, I went out to the Texas Hill Country for a birthday party.
[07:38.000 --> 07:45.000]  One of my son's friends was having a camping camp out birthday party at a little house they had
[07:45.000 --> 07:50.000]  out in Wemberley, beautiful Wemberley, right by this creek.
[07:50.000 --> 07:55.000]  And there were probably 10 other kids there with their parents.
[07:55.000 --> 07:58.000]  And most of them didn't know who I was.
[07:58.000 --> 08:03.000]  Some of them did and were listeners and fans.
[08:03.000 --> 08:06.000]  I think three of the 10 families.
[08:06.000 --> 08:10.000]  But all the other ones were completely anti-New World Order.
[08:10.000 --> 08:14.000]  And they were doctors and lawyers and people like that.
[08:14.000 --> 08:19.000]  They were all really intelligent and high-class, nice people.
[08:19.000 --> 08:24.000]  And they were going, yeah, next door is John Wayne's grandkids.
[08:24.000 --> 08:27.000]  They're leaving the country because of the New World Order.
[08:27.000 --> 08:29.000]  They're moving to Costa Rica.
[08:29.000 --> 08:32.000]  And I talked to all these other well-to-do people in Austin,
[08:32.000 --> 08:36.000]  and they know they're really well-to-do people who all left years ago
[08:36.000 --> 08:38.000]  because of the global government taking over.
[08:38.000 --> 08:41.000]  And the word is they're going to take basically everybody's property
[08:41.000 --> 08:45.000]  and just raise taxes on everything and just rob the middle class
[08:45.000 --> 08:48.000]  until it doesn't exist anymore.
[08:48.000 --> 08:58.000]  But that was interesting to see that yet again because everywhere I go,
[08:58.000 --> 09:00.000]  I mean, these people really knew their stuff.
[09:00.000 --> 09:04.000]  Everybody I talked to at the party while the kids were running around
[09:04.000 --> 09:10.000]  wild in the woods and playing in the stream was fully aware of basically everything
[09:10.000 --> 09:17.000]  and had a deep understanding of it and knew exactly what was going on currently.
[09:17.000 --> 09:22.000]  And then I talked to them and I said, is this something going on in Wemberley?
[09:22.000 --> 09:24.000]  And they said, yeah, no.
[09:24.000 --> 09:29.000]  They said more than half the population of Wemberley now is fully aware
[09:29.000 --> 09:36.000]  and basically dug in against the New World Order.
[09:36.000 --> 09:39.000]  But then some people are just completely evacuating the country.
[09:39.000 --> 09:41.000]  So it's gone in phases.
[09:41.000 --> 09:44.000]  And I first started telling you about this five years ago
[09:44.000 --> 09:47.000]  when I discovered that a lot of the wealth of this nation,
[09:47.000 --> 09:50.000]  both the brain trust wealth, the professional wealth,
[09:50.000 --> 09:55.000]  but also of money wealth, is fleeing the nation.
[09:55.000 --> 10:04.000]  And a lot of that is because I was talking to one of the wealthiest women in America.
[10:04.000 --> 10:07.000]  I guess this is three years ago.
[10:07.000 --> 10:15.000]  And she said that the United States basically won't exist in the near future financially.
[10:15.000 --> 10:21.000]  And then I went and looked her up and there was her picture found out she was for real,
[10:21.000 --> 10:27.000]  found out that she owned a defense contractor company and all this other stuff.
[10:27.000 --> 10:33.000]  And she knew because she's up there at the higher echelons and also lives in New York at the time
[10:33.000 --> 10:35.000]  and understood how real this was.
[10:35.000 --> 10:39.000]  So I hope the average yuppie who only cares about basketball and football
[10:39.000 --> 10:42.000]  and who thinks they're cool and who laughs at danger
[10:42.000 --> 10:45.000]  and thinks that as long as they don't care about things, they don't exist,
[10:45.000 --> 10:48.000]  let me explain something to you.
[10:48.000 --> 10:50.000]  Let me explain something to you.
[10:50.000 --> 10:53.000]  It's now been in the mainstream news.
[10:53.000 --> 10:54.000]  In fact, pull it up.
[10:54.000 --> 11:00.000]  The one I saw two weeks ago was record number of Americans leaving over taxes,
[11:00.000 --> 11:02.000]  record number of American ex-patriots.
[11:02.000 --> 11:08.000]  And then in the article it talked about, it's the highest earners, the highest degree levels.
[11:08.000 --> 11:12.000]  The most intelligent people are fleeing the United States.
[11:12.000 --> 11:16.000]  Now, they're leaving because they are in and around the elite.
[11:16.000 --> 11:18.000]  They're part of the elite.
[11:18.000 --> 11:20.000]  They hear it.
[11:20.000 --> 11:22.000]  And there I was talking to medical doctors and others.
[11:22.000 --> 11:29.000]  They were going, oh, yeah, no, it's, you know, total eugenics, total world government takeover.
[11:29.000 --> 11:34.000]  I was talking to one doctor who hadn't even heard my show,
[11:34.000 --> 11:37.000]  hadn't even heard me discussing it.
[11:37.000 --> 11:39.000]  And he already knew about it.
[11:39.000 --> 11:42.000]  I said, well, you know about all the new types of vaccines they're coming out with
[11:42.000 --> 11:44.000]  that actually go into the brain.
[11:44.000 --> 11:52.000]  And he said, yes, attack the neuroreceptor nerve endings and basically re-engineer your brain
[11:52.000 --> 11:54.000]  and turn you into a zombie.
[11:54.000 --> 11:55.000]  And I said, yeah.
[11:55.000 --> 11:57.000]  And he already knew all about that.
[11:57.000 --> 12:01.000]  And I mean, that's the type of stuff we're facing.
[12:01.000 --> 12:08.000]  And I never said Alex Jones should be the great messenger of all this information.
[12:08.000 --> 12:13.000]  There's the headline, American ex-pats giving up citizenship in record numbers.
[12:13.000 --> 12:17.000]  And what publication is that out of?
[12:17.000 --> 12:19.000]  I believe I saw that in AP.
[12:19.000 --> 12:21.000]  It's way across the room on the computer screen.
[12:21.000 --> 12:22.000]  I can't read it.
[12:22.000 --> 12:25.000]  Look, I'm going to get into what's happening with the banking collapse here in a moment
[12:25.000 --> 12:28.000]  and how it's by design or is it by design?
[12:28.000 --> 12:29.000]  Has it gotten out of control?
[12:29.000 --> 12:36.000]  A lot of experts that I really trust and believe in like Bob Chapman, Gerald Salente
[12:36.000 --> 12:44.000]  and others say that they did design, oh, it's New York Times, said that they did design this
[12:44.000 --> 12:45.000]  collapse and we have their emails.
[12:45.000 --> 12:51.000]  We have their internal memorandum, but that it's now gotten out of control.
[12:51.000 --> 12:57.000]  Now, Dr. Paul Craig Roberts, the founder of Reaganomics, Wall Street Journal, former editor,
[12:57.000 --> 13:04.000]  head of policy, department of treasury, he had always argued with me up until this year
[13:04.000 --> 13:08.000]  saying, no, the big banks and Wall Street are just out of control.
[13:08.000 --> 13:13.000]  They're on Prozac, which makes you overconfident, something like 25% of them.
[13:13.000 --> 13:14.000]  They're crazy.
[13:14.000 --> 13:18.000]  Now, he's flipped the other way and says, no, it's clearly engineered.
[13:18.000 --> 13:22.000]  They want to destroy the economy by design to control us and consolidate power.
[13:22.000 --> 13:23.000]  Well, that's not debatable.
[13:23.000 --> 13:31.000]  They want to destroy it and take out the middle class as all tyrannies and despotisms have always done.
