[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[00:00:06.354 --> 00:00:07.554]  The Quickening is here.
[00:00:07.554 --> 00:00:10.736]  This is the most important podcast I've ever done.
[00:00:10.736 --> 00:00:12.216]  It's Thursday, March 9th, 2023.
[00:00:12.216 --> 00:00:15.558]  Grab yourself a ticket.
[00:00:15.558 --> 00:00:16.918]  InfoWars.
[00:00:16.918 --> 00:00:26.922]  The most banned network in the world.
[00:00:26.922 --> 00:00:27.983]  The Quickening is here.
[00:00:30.967 --> 00:00:40.549]  The entire Deep State's criminal coup over America and much of the world is being completely decloaked on every front.
[00:00:40.549 --> 00:00:45.650]  You can stick a fork in the New World Order and they're done.
[00:00:45.650 --> 00:00:48.191]  They cannot win.
[00:00:48.191 --> 00:00:57.493]  They will fall unless they start a nuclear war or a cyber attack total power outage.
[00:00:57.493 --> 00:01:00.454]  They will lose, not the next week, not the next month, probably not the next year,
[00:01:02.128 --> 00:01:06.270]  But there is a total awakening happening.
[00:01:06.270 --> 00:01:10.272]  The fortunes of liberty have completely turned against the enemy.
[00:01:10.272 --> 00:01:18.616]  The Great Awakening, countering their Great Reset, has successfully entered orbit.
[00:01:18.616 --> 00:01:24.139]  Characterizing it, as an analogy, as a Saturn rocket.
[00:01:24.139 --> 00:01:26.380]  It successfully launched.
[00:01:26.380 --> 00:01:28.261]  We are now in orbit.
[00:01:29.414 --> 00:01:31.296]  Now the question is, what comes after that?
[00:01:31.296 --> 00:01:37.101]  The enemy has already been defeated, but I'll use the Terminator analogy from the 1980s.
[00:01:37.101 --> 00:01:51.556]  All Skynet can do is try to send somebody back from the future to the past, and the equivalent of that is starting a nuclear war or a total cyber attack, a complete reset, not their slow cut off the power cause collapse of society.
[00:01:53.160 --> 00:01:56.701]  Cut off the resources and impose as the saviors over that collapse.
[00:01:56.701 --> 00:01:59.762]  Their program to do that is now in the zeitgeist.
[00:01:59.762 --> 00:02:00.882]  People know it.
[00:02:00.882 --> 00:02:04.924]  They're exponentially getting dialed in.
[00:02:04.924 --> 00:02:10.986]  I have almost reached the point of obsolescence, which has been my goal.
[00:02:10.986 --> 00:02:19.568]  Now, it's still going to be one hell of a fight, but pretty soon the whole public, more than half the public, is going to be Alex Jones.
[00:02:19.568 --> 00:02:21.489]  The conversion to reality is here.
[00:02:22.892 --> 00:02:28.556]  And you got all the losers that bet on Satan and bet on the New World Order.
[00:02:28.556 --> 00:02:32.558]  They're never going to give up because it's a spiritual thing, but they're done.
