[00:00:00.237 --> 00:00:00.486]  We're good.
[00:01:28.740 --> 00:01:29.641]  It's Monday, May 6, 2019.
[00:01:29.641 --> 00:01:31.262]  I'm your host, Alex Jones.
[00:01:31.262 --> 00:01:38.528]  We're going to be here for the next four hours in the War Room with Owen Troyer's coming up.
[00:01:38.528 --> 00:01:45.994]  I've really thought about the best way to describe what we're facing, and it's like this.
[00:01:45.994 --> 00:01:50.897]  When the settlers first began to come to the New World,
[00:01:51.960 --> 00:01:56.144]  Their technology was a little bit more advanced than the Native Americans.
[00:01:56.144 --> 00:01:58.186]  They had gunpowder.
[00:01:58.186 --> 00:01:59.767]  They had the wheel.
[00:01:59.767 --> 00:02:06.374]  They had a few other things.
[00:02:06.374 --> 00:02:13.981]  And within just a hundred years or so, most of the Native population had been removed or extincted.
[00:02:15.734 --> 00:02:23.317]  And so the best allegory here is, what happens when an advanced civilization comes into contact with an older civilization?
[00:02:23.317 --> 00:02:38.242]  A lot of times the people in the older civilization don't even know what they're looking at, don't even know what they're dealing with, don't even know what they're facing.
[00:02:38.242 --> 00:02:40.823]  And that's really it here.
[00:02:40.823 --> 00:02:41.503]  The system
[00:02:44.960 --> 00:02:46.443]  Thinks you're stupid.
[00:02:46.443 --> 00:02:51.513]  And the system knows you're busy, and the system knows you don't have a lot of time to pay attention to minutia.
[00:02:51.513 --> 00:02:55.540]  So they launch these big, giant system-wide operations that are aimed at you.
[00:02:57.543 --> 00:02:59.645]  And they always give you a cover story of what it is.
[00:02:59.645 --> 00:03:02.928]  Oh, we just took a few extremists off Facebook.
[00:03:02.928 --> 00:03:05.189]  Oh, we just made this safe for you.
[00:03:05.189 --> 00:03:13.316]  And then really what it is, is a gag order on 2.2 million people telling them they can't say Alex Jones's name unless it's negative.
[00:03:13.316 --> 00:03:14.597]  That's a press release.
[00:03:14.597 --> 00:03:17.620]  That's beyond 1984.
[00:03:17.620 --> 00:03:18.801]  That's beyond Brave New World.
[00:03:20.782 --> 00:03:27.364]  And then they put out a listing that says, well, that's because he and Paul Watson are listed as terrorists and child molesters.
[00:03:27.364 --> 00:03:31.306]  Actual criminal designation that the banks have through Interpol.
[00:03:31.306 --> 00:03:33.727]  I told you this last year, we were designated as this.
[00:03:33.727 --> 00:03:35.828]  Now you see it at Facebook publicly.
[00:03:35.828 --> 00:03:39.749]  And it's the social credit score and it's rolling out for everyone.
[00:03:39.749 --> 00:03:41.930]  Now think about the magnitude of that.
[00:03:41.930 --> 00:03:45.531]  Instead, the Republicans are debating, oh, these are private companies.
[00:03:45.531 --> 00:03:46.712]  Are we allowed to stop them?
[00:03:48.445 --> 00:03:55.907]  Morally, Google and Apple have moved to China and are helping surveil and oppress and arrest the population.
[00:03:55.907 --> 00:04:00.348]  And our government has said, especially the Republicans, that's illegal and evil and they should stop.
[00:04:00.348 --> 00:04:12.472]  But they haven't stopped because they don't respect you because you're stupid, you're ignorant, you're not informed, or you're arrogant sitting up there in your committees and you think that you actually know what's going on.
[00:04:12.472 --> 00:04:14.252]  You don't know what's going on.
[00:04:14.252 --> 00:04:17.493]  Because technology and everything has leapt way forward
[00:04:20.063 --> 00:04:24.705]  And Big Tech's been so arrogant that usually when they get called to Congress, they just refuse.
[00:04:24.705 --> 00:04:30.709]  Until Congress finally stands up and does something, and that was the Pentagon demanding it.
[00:04:30.709 --> 00:04:39.773]  So, I'm going to try to articulate what's happening, and again, the magnitude of this is so ultra-massive.
[00:04:39.773 --> 00:04:40.594]  So incredible.
[00:04:41.502 --> 00:04:45.583]  I've been doing a lot of research into Google and YouTube censorship.
[00:05:05.385 --> 00:05:13.892]  And I've noticed that there's one type of video that is the most censored, the most buried, the most suppressed.
[00:05:13.892 --> 00:05:26.262]  And that's the videos where you saw in 2016 election night all the arrogant leftist authoritarians like the Young Turks and others get so butthurt when Trump won.
[00:05:26.262 --> 00:05:28.184]  They don't want us to have that victory.
[00:05:28.184 --> 00:05:30.866]  They don't want us to remember what political action did.
[00:05:32.210 --> 00:05:36.552]  And that's why the globalists, Hillary and others, are trying to shut InfoWars down.
[00:05:36.552 --> 00:05:40.813]  This is a fight about taking your speech away, not just my speech.
