whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20190103_Thu_Alex.wav' (230270851 samples, 14391.9 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:24.000]   Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:24.000 --> 00:00:41.600]   Ladies and gentlemen, just kicked off another global transmission, the most demonized, most
[00:00:41.600 --> 00:00:46.880]   hated, most lied about broadcast in the world by corrupt global corporations, by chi-coms,
[00:00:46.880 --> 00:00:52.240]   by communists, by pedophiles, by scumbags, by fractional reserve banking cartels.
[00:00:52.240 --> 00:00:58.880]   Thank you so much for joining us as we steam into what I have predicted and what many others
[00:00:58.880 --> 00:01:05.280]   have predicted is going to be one hell of a tumultuous, out of control, dangerous year.
[00:01:05.280 --> 00:01:08.720]   There's going to be a lot of opportunity and also a lot of
[00:01:08.720 --> 00:01:13.600]   civil unrest, a lot of economic turmoil, I think a lot of war.
[00:01:13.600 --> 00:01:19.440]   So everybody better decide which side they're on. A lot of people don't even know what sides
[00:01:19.440 --> 00:01:24.160]   there are. That's why the globalists don't want this show on the air because we're laying out
[00:01:24.160 --> 00:01:29.600]   from the globalist own white papers, their own statements, how the cow ate the old cabbage
[00:01:29.600 --> 00:01:35.920]   and creating a very accurate map for folks to overlay with the disinformation that they see
[00:01:35.920 --> 00:01:41.920]   in mainstream media to try to then come up with a solution to counter the globalist technocracy.
[00:01:43.280 --> 00:01:50.000]   Obviously, Apple just tanked more than 10 percent. The stock market, Dow Jones Industrial
[00:01:50.000 --> 00:01:56.480]   Average is down 650 points and still dropping. Oh, and Bloomberg's got the big headline right
[00:01:56.480 --> 00:02:04.960]   here. It's up on Infowars.com. It's up on Newswars.com. Bloomberg, the Trump slump.
[00:02:04.960 --> 00:02:11.760]   Why the market said goodbye to the Trump bump? Well, because the Federal Reserve raised a bunch
[00:02:11.760 --> 00:02:17.360]   of interest rates and signaled with regulations that the Democrats in the deep state were going
[00:02:17.360 --> 00:02:22.800]   to ignore all of the innovations and the attempt to release a lot of hidden technology to get us
[00:02:22.800 --> 00:02:28.800]   out of the technology slump. That they're blaming on the global market downturn right now.
