[00:00.000 --> 00:20.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:20.000 --> 00:33.000]  We see the earth from here. You got it. Crystal Method bringing us in.
[00:33.000 --> 00:41.000]  Well, folks, thank you for joining us on the Special Father's Day Worldwide Transmission, June 15, 2014.
[00:41.000 --> 00:52.000]  And I myself am a father of three. And to be a father is to be a guardian of your children. And to be a guardian of your children is to be a guardian of the larger civilization and society.
[00:52.000 --> 01:05.000]  And to have fraternity between men and women, men and men, women and women, humanity as a family, trying to reach for our better angels, not fall to our more wicked ones.
[01:05.000 --> 01:13.000]  To paraphrase some poet or laureate who talked about men's better angels. I don't remember who said that or I would give them credit.
[01:13.000 --> 01:22.000]  Perhaps the guys can look it up because plagiarizing is not my conscious goal here. Again, thank you for joining us on this Worldwide Transmission.
[01:22.000 --> 01:35.000]  More and more, the Sunday show is evolving. And I say that because I hear the rebroadcast sometimes and I think it really is better. And it's also growing in audience.
[01:35.000 --> 01:43.000]  So we thank you for joining us and being on this quest together, fellow travelers in liberty, not in communism and collectivism.
[01:43.000 --> 01:55.000]  It's a quest for human empowerment, true human consciousness, and a rejection of the globalist, synthetic, artificial consciousness and construct that we're being sold.
[01:55.000 --> 02:02.000]  Now on this Father's Day transmission, it's just jam-packed. We couldn't get Larry Pratt on because he's out of town right now.
[02:02.000 --> 02:11.000]  But Mike Hammond, the lawyer and legal head analyst and counsel for Gunners of America will be joining us coming up in the next segment.
[02:11.000 --> 02:19.000]  Just the bone-chilling statements made last week by Obama on CBS News that, hey, we got to do something. Australia just banned the guns.
[02:19.000 --> 02:27.000]  You know, we need something like that. I mean, we're talking banning everything down to single shot. That's all you're allowed to have with a special license.
[02:27.000 --> 02:33.000]  The crime rate just exploded with muggings and stabbings and that's on record. So they're going with that model.
[02:33.000 --> 02:37.000]  He brought up the Port Arthur massacre and said, that's the way to go.
[02:37.000 --> 02:47.000]  Then I want to highlight, from earlier in the week, some of the key statements of the Nash D'Souza, the political prisoner for a while and now being persecuted,
[02:47.000 --> 02:53.000]  facing ten years in prison for doing something that I believe wasn't even illegal from looking at the campaign finance laws.
[02:53.000 --> 03:01.000]  We're going to discuss the attack on free speech and play some clips from when he was on with us. I think it was last Monday.
[03:01.000 --> 03:07.000]  Then we're going to premiere something that I think was pretty powerful. I do say so myself.
[03:07.000 --> 03:22.000]  I gave a keynote speech actually right after their main speaker, T. Boone Pickens, spoke up in Dallas at the Stansbury Society, Stansbury Research event.
[03:22.000 --> 03:28.000]  And it was a 22 minute speech or so, but we've cut it down to about 20 minutes for the segments.
[03:28.000 --> 03:34.000]  And so my speech that folks in the office said, man, they sent us a copy of this.
[03:34.000 --> 03:38.000]  This hasn't aired yet anywhere. You want to air this? And I don't usually air my speeches.
[03:38.000 --> 03:41.000]  They said, no, it's really good. And I sat down and watched it and it was good.
[03:41.000 --> 03:46.000]  And there was a little PowerPoint I put together with Buckley, my cousin, who works here in the office.
[03:46.000 --> 03:49.000]  And so I don't usually do PowerPoints. So it's also a PowerPoint.
[03:49.000 --> 03:56.000]  So if you're a radio listener, you go to infowars.com, you can also see the PowerPoint slides that go along with the little speech.
[03:56.000 --> 04:01.000]  So we're going to premiere that speech here. It's not even on YouTube yet.
[04:01.000 --> 04:06.000]  I think if I can get somebody on Sunday to post it, we've got folks working on Sunday.
[04:06.000 --> 04:14.000]  We'll put it on the front page of infowars.com by the end of the transmission this evening.
[04:14.000 --> 04:19.000]  And then we'll also put what we're going to be premiering up on YouTube for everybody that's a radio listener.
[04:19.000 --> 04:27.000]  So you can actually see it, not just hear it. Ron Paul interview that Kit Daniels, one of our great writers and also TV reporters,
[04:27.000 --> 04:33.000]  did with Ron Paul on Common Core, The Future of the World Want More.
[04:33.000 --> 04:37.000]  And it's a very powerful interview because Kit let him talk.
[04:37.000 --> 04:41.000]  So how do I keep myself from interrupting? I have other people interview people.
[04:41.000 --> 04:44.000]  So that's all little self-deprecations, always good.
[04:44.000 --> 04:49.000]  That's coming up, a premiere of a Ron Paul interview. Nobody's heard yet or seen yet.
[04:49.000 --> 04:56.000]  And then something else special as well. It's a big Father's Day present to myself and to you and to all of us.
[04:56.000 --> 05:00.000]  It's a win-win-win-win-win. That's the way Liberty works.
[05:00.000 --> 05:05.000]  The globalists have controlled the mainstream media for a long time, but now they're expanding,
[05:05.000 --> 05:11.000]  making the weaponization even more vicious and deceptive. All the major networks are state-run.
[05:11.000 --> 05:14.000]  We are partnering this year with the NFL.
[05:14.000 --> 05:18.000]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[05:18.000 --> 05:21.000]  MSNBC tells us that our children belong to the state.
[05:21.000 --> 05:25.000]  We have to break through our kind of private idea that kids belong to their parents,
[05:25.000 --> 05:29.000]  or kids belong to their families and recognize that kids belong to whole communities.
[05:29.000 --> 05:33.000]  It is more important than ever to realize that we are not the alternative media.
[05:33.000 --> 05:37.000]  We are the true media. The establishment dinosaur press is dying.
[05:37.000 --> 05:41.000]  We are in an information war, and we are losing that war.
[05:41.000 --> 05:45.000]  Join us at infowarsnews.com and prisonplanet.tv.
[05:45.000 --> 05:48.000]  Members can share their memberships with up to 11 people.
[05:48.000 --> 05:56.000]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[05:56.000 --> 05:59.000]  Join us at prisonplanet.tv.
[05:59.000 --> 06:06.000]  You have the power. Humanity has the power. We have the power.
[06:06.000 --> 06:10.000]  Do you want to fight? You better believe you got one.
[06:12.000 --> 06:19.000]  Rallying Patriots worldwide in defense of human liberty. It's Alex Jones.
[06:19.000 --> 06:30.000]  Ladies and gentlemen, I'm giving myself a Father's Day present here on the 15th day of June, 2014.
[06:30.000 --> 06:37.000]  I am standing up for the Second Amendment, the right to self-defense that any free human has.
[06:37.000 --> 06:43.000]  I'm standing up for my children. That's the gift I want is my two daughters and my son to grow up in a country
[06:43.000 --> 06:49.000]  like I grew up in where we have a right to keep and bear arms, unlike parts of the nation that aren't part of the U.S.,
[06:49.000 --> 06:52.000]  Chicago, New York, and D.C. that have the highest crime rates in the country,
[06:52.000 --> 06:55.000]  where they have an abolition of the citizen's right to keep and bear arms.
[06:55.000 --> 06:59.000]  Despite the fact, five years ago, the Supreme Court in D.C. vs. Heller said,
[06:59.000 --> 07:01.000]  you've got to let people defend themselves.
[07:01.000 --> 07:08.000]  Now joining us for this segment is the Chief Legislative Council for Gun Owners of America.
[07:08.000 --> 07:13.000]  And you can always tell when the attack on the Second Amendment is heating up because you'll suddenly start hearing NRA,
[07:13.000 --> 07:15.000]  G.O.A. on every week.
[07:15.000 --> 07:18.000]  You heard Larry Pratt, the head of Gun Owners, on last Sunday.
[07:18.000 --> 07:24.000]  Well, now we've got their Chief Legislative Council, their lawyer who's up on Capitol Hill here,
[07:24.000 --> 07:28.000]  to discuss a bunch of chilling statements we saw in the New York Times last week by the White House saying,
[07:28.000 --> 07:30.000]  we're getting ready to use executive orders.
[07:30.000 --> 07:36.000]  And then Obama talked to CBS News, and you can watch the full interview at infowars.com, or Reuters,
[07:36.000 --> 07:38.000]  and RT also reported on it.
[07:38.000 --> 07:41.000]  And he basically said, look, we need to go ahead and do what Australia did.
[07:41.000 --> 07:45.000]  Well, Australia banned guns, everything but single shot.
[07:45.000 --> 07:48.000]  It made you get a license for that, and their muggings and crime rate went up.
[07:48.000 --> 07:51.000]  Here's the RT headline. Reuters had a similar headline.
[07:51.000 --> 07:55.000]  Obama cites Australia's gun confiscation program as an example for U.S.
[07:55.000 --> 08:02.000]  Remember, he promised during the campaign to not come after anybody's guns, and so did Joe Biden.
[08:02.000 --> 08:06.000]  So here's part of that clip, and we'll find out how bad it is.
[08:06.000 --> 08:10.000]  Is this another attempt, like it did last year, to come after the Second Amendment?
[08:10.000 --> 08:12.000]  Here's a clip from CBS News.
[08:12.000 --> 08:22.000]  A couple of decades ago, Australia had a mass shooting, similar to Columbine or Newtown.
[08:22.000 --> 08:26.000]  And Australia just said, well, that's it.
[08:26.000 --> 08:29.000]  We're not doing, we're not seeing that again.
[08:29.000 --> 08:36.000]  And basically imposed very severe, tough gun laws,
[08:36.000 --> 08:40.000]  and they haven't had a mass shooting since.
[08:40.000 --> 08:45.000]  I mean, our levels of gun violence are off the charts.
[08:45.000 --> 08:49.000]  There's no advanced developed country on earth that would put up with this.
[08:49.000 --> 08:50.000]  Total lives.
[08:50.000 --> 08:52.000]  The U.S. is one of the lowest crime rates in the industrialized world.
[08:52.000 --> 08:53.000]  Justice Department's own numbers.
[08:53.000 --> 08:55.000]  Overall shootings are down 52 percent.
[08:55.000 --> 08:58.000]  Justice Department own numbers from 92 to 2011.
[08:58.000 --> 09:00.000]  Mass shootings are flat.
[09:00.000 --> 09:02.000]  Most of them are gang-related.
[09:02.000 --> 09:05.000]  Honeybees kill over 100 people more than mass shootings every year.
[09:05.000 --> 09:11.000]  Even Esquire looked into that and did an article on it when I was in one of their articles last year and did find.
[09:11.000 --> 09:15.000]  There's a whole separate article from the interview with me going, yes, honeybees are more dangerous.
[09:15.000 --> 09:17.000]  I mean, this is ridiculous.
[09:17.000 --> 09:21.000]  And there isn't an epidemic, and Australia has had more mass shootings.
[09:21.000 --> 09:25.000]  You're always going to have stuff like this, but enough of me breaking that down.
[09:25.000 --> 09:32.000]  I wanted to get a quick update on this Sunday, on this Father's Day from Mike Hammond with Gun Owners of America, gunowners.org.
[09:32.000 --> 09:38.000]  Are they warming up for another full-scale assault on the Second Amendment, this time extrajudicially?
[09:38.000 --> 09:44.000]  He's already legalizing the illegals and telling them, you know, if you can get here, you're legal and overflowing the military bases.
[09:44.000 --> 09:47.000]  I mean, this seems to be ruled by decree.
[09:47.000 --> 09:49.000]  I think they have a name for that, don't they?
[09:49.000 --> 09:57.000]  Yeah, it's basically Ignorance of the Constitution, among other things, and perhaps also treason.
[09:57.000 --> 10:04.000]  But the answer is yes, I think we need to be concerned about what's happening.
[10:04.000 --> 10:07.000]  You don't pop the cork until they bang the gavel.
[10:07.000 --> 10:14.000]  And specifically, Harry Reid is now saying, and Dick Durbin, who's the number two guy in the Democratic leadership,
[10:14.000 --> 10:19.000]  is now saying, well, maybe it's time to bring up Toomey Manchin. You remember what that was?
[10:19.000 --> 10:26.000]  That was, you can't buy a gun in this country without going through a gun dealer.
[10:26.000 --> 10:34.000]  Well, guess what they're trying to do at the same time as they're trying to require you to go through a gun dealer in order to buy a gun?
[10:34.000 --> 10:40.000]  They're trying to shut down the gun dealers, and they do that by what's called Operation Choke Point
[10:40.000 --> 10:46.000]  and the Department of Justice, in which they have effectively said,
[10:46.000 --> 10:55.000]  we're going to classify gun dealers along with pornographers, along with people who sell drug paraphernalia,
[10:55.000 --> 10:58.000]  along with payday loan people.
[10:58.000 --> 11:04.000]  And as a result, we're going to make every effort to dry up credit for the gun dealers and gun manufacturers,
