[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[00:00:10.216 --> 00:00:10.656]  The year is 2020.
[00:00:10.656 --> 00:00:14.277]  We're 66 days out from the election.
[00:00:14.277 --> 00:00:21.060]  And Rand Paul almost got killed by a mob screaming, we're gonna kill you, who attacked and knocked police down and tried to strangle him.
[00:00:21.060 --> 00:00:28.642]  Remember, he already had six ribs broken and a lung punctured, and the media celebrated it and said too bad they didn't kill him.
[00:00:28.642 --> 00:00:32.524]  CNN's also been caught covering up the fact that one of the men that got shot in the arm
[00:00:34.048 --> 00:00:43.575]  In Wisconsin, had a firearm extended and was saying he was going to attack the man that defended himself, who's now being charged with murder one.
[00:00:43.575 --> 00:00:48.158]  Here's one of the top generals of the forces of the globalists calling for the violence.
[00:00:48.158 --> 00:00:58.125]  Already, you have members of your cabinet that are being booed out of restaurants.
[00:00:58.125 --> 00:01:00.607]  You have protesters taking up at their house.
[00:01:02.228 --> 00:01:05.671]  Alright, and you can see the hate out there.
[00:01:31.516 --> 00:01:47.246]  And the operating system of the Democrats is no borders, no wall, no USA at all, get rid of America, burn American flags, Democrat demonstrations all over the country every weekend, every night, in most big cities, where they burn American flags, piss on them, cut them in half with guillotines, but they want all this free stuff.
[00:01:47.246 --> 00:01:48.947]  So what it is is class warfare.
[00:01:48.947 --> 00:01:59.354]  All the big megacorporations, except for Trump and a few billionaires, it's like 9-9-1, basically, want to get rid of the country's existence, and want to get rid of the middle class.
[00:02:00.550 --> 00:02:02.632]  I feel like I'm about to go on a f***ing rampage!
[00:02:29.650 --> 00:02:30.751]  Civilians!
[00:02:30.751 --> 00:02:31.952]  Civilians!
[00:02:31.952 --> 00:02:36.955]  When AR-15s are out there shooting and killing protesters!
[00:02:36.955 --> 00:02:42.019]  And you motherfuckers want to get on TikTok and talk about, what if he did this?
[00:02:42.019 --> 00:02:44.060]  What if he did this?
[00:02:44.060 --> 00:02:46.582]  Talking about Democrats won a fucking war!
[00:02:46.582 --> 00:02:53.287]  But y'all out there walking around with fucking AR-15s shooting people!
[00:02:53.287 --> 00:02:55.088]  And the police are passing out waters!
[00:03:04.003 --> 00:03:05.644]  F*** your hate!
[00:03:05.644 --> 00:03:06.104]  F*** you!
[00:03:06.104 --> 00:03:06.564]  F*** America!
[00:03:06.564 --> 00:03:08.804]  I don't give a f*** no more!
[00:03:08.804 --> 00:03:09.545]  Y'all want war?
[00:03:09.545 --> 00:03:10.985]  Let's do this s***!
[00:03:10.985 --> 00:03:12.445]  F*** y'all!
[00:03:12.445 --> 00:03:17.247]  Nobody gives a damn about y'all f***ing fellas!
[00:03:17.247 --> 00:03:19.447]  Ma'am, we don't want to go to war with you.
[00:03:19.447 --> 00:03:22.748]  We'll happily get you a ticket to North Korea?
[00:03:22.748 --> 00:03:26.649]  Maybe Syria?
[00:03:26.649 --> 00:03:27.850]  Maybe one of the better countries?
[00:03:28.877 --> 00:03:30.898]  Somewhere else, like maybe Brazil.
[00:03:30.898 --> 00:03:35.301]  It's a pretty country, a lot of cool people, but got a lot of problems, a lot less wealth, a lot more crime.
[00:03:35.301 --> 00:03:37.282]  I mean, just please leave.
[00:03:37.282 --> 00:03:44.686]  No, but you're a racist idiot, brainwashed by the whole system, throwing a fit like a toddler.
[00:03:44.686 --> 00:03:49.129]  You're literally flouncing around like a two-year-old throwing a fit.
[00:03:49.129 --> 00:03:50.289]  And we know you're going to want to rampage.
[00:03:50.289 --> 00:03:51.110]  It's going to be white people.
[00:03:51.110 --> 00:03:56.613]  I've got a stack of white people, little kids mainly, getting shot and killed and stabbed and beaten, old people getting killed because they're white.
[00:03:57.619 --> 00:03:59.760]  Because you're a bunch of racist, crazy people.
[00:03:59.760 --> 00:04:02.202]  And it's weirdo white people leading you.
[00:04:02.202 --> 00:04:06.145]  Like Joseph D. Rosenbaum.
[00:04:06.145 --> 00:04:11.468]  And the other guy chasing Rittenhouse around with a gun in his hand.
[00:04:11.468 --> 00:04:15.211]  But you watch CNN, you don't see one single word.
[00:04:15.211 --> 00:04:18.313]  Here, let's look at them trying to kill Senator Durand Paul last night.
[00:04:18.313 --> 00:04:22.035]  Even though he actually introduced the bill for the young black girl that got killed.
[00:04:22.035 --> 00:04:23.716]  They're screaming her name and him.
[00:04:23.716 --> 00:04:24.797]  Talk about poignant.
[00:04:24.797 --> 00:04:25.598]  We'll go to break with this.
[00:04:27.522 --> 00:04:29.202]  Thank you.
[00:04:29.202 --> 00:04:29.723]  Thank you.
[00:04:29.723 --> 00:04:30.263]  Thank you.
[00:04:54.889 --> 00:04:58.850]  We'll come back with a full video of the attacks.
[00:04:58.850 --> 00:05:00.790]  I'm not going to lie to you.
[00:05:00.790 --> 00:05:04.631]  I want to stay in the fight against Soros and Hillary and the New World Order.
[00:05:04.631 --> 00:05:09.932]  And the only way I do is if you buy a lot of products at Infowarshore.com.
[00:05:09.932 --> 00:05:20.815]  You've got to sell a lot of vitamins and a lot of minerals and a lot of fish oil and a lot of t-shirts and a lot of water filters to fund an operation to face the globalists and all the DNC lawsuits.
[00:05:20.815 --> 00:05:22.375]  But they're so close to losing right now.
[00:05:23.561 --> 00:05:31.845]  Plus, I go out, just like with Info, and I bring you the very best items, the very best products that I personally use and I love.
[00:05:31.845 --> 00:05:42.890]  So, go to InfoWarsTour.com, check out the products, get some today, share them with friends, review them, and know that you cannot lose because you're funding the InfoWars that's fighting the globalists.
[00:05:42.890 --> 00:05:44.150]  Plus, these are great products.
[00:05:44.150 --> 00:05:46.952]  But I want to thank you for keeping me in the game.
[00:05:46.952 --> 00:05:49.013]  I want to thank you for funding our operation.
[00:05:49.873 --> 00:05:55.080]  So continue to spread the word and fund InfoWars and InfoWarsTour.com and I salute you once again.
[00:06:14.509 --> 00:06:21.373]  Ladies and gentlemen, we are live broadcasting worldwide on this Friday, August 28th.
[00:06:21.373 --> 00:06:25.215]  Global transmission of the Alex Jones Show.
[00:06:25.215 --> 00:06:34.080]  Strap yourselves in because the Deep State's attempt to overthrow society and civilization and launch a race war is going into high gear.
[00:06:34.080 --> 00:06:37.362]  This is the attempt at class warfare.
[00:06:38.598 --> 00:07:00.559]  With megabanks and trillion-dollar companies that own death camps and slave factories in China orchestrating a war between angry, young, radicalized leftists who believe they're about to get everything free, as Bernie Sanders promised them, if they'll just go out and kill white people and burn things down.
[00:07:02.032 --> 00:07:03.454]  Absolutely insane.
[00:07:03.454 --> 00:07:16.287]  Number one, the top nine richest groups on average are Asians in the United States, then it's white people, then it's Hispanics, and then black folks, and poor Appalachians and stuff like that.
[00:07:16.287 --> 00:07:19.911]  There are a lot of black folks doing good, but the idea of all these billionaires
