[00:00.000 --> 00:14.000]  🎵
[00:14.000 --> 00:18.000]  🎵 All the times I've come 🎵
[00:18.000 --> 00:24.000]  🎵 Fear for down there again 🎵
[00:24.000 --> 00:29.000]  🎵 Seasons don't feel the breeze but 🎵
[00:29.000 --> 00:32.000]  🎵 Not to the wind, the sun or the rain 🎵
[00:32.000 --> 00:34.000]  🎵 We can be right there 🎵
[00:34.000 --> 00:36.000]  🎵 Come on baby 🎵
[00:36.000 --> 00:38.000]  🎵 Don't feel the breeze but 🎵
[00:38.000 --> 00:39.000]  🎵 Baby take my hand 🎵
[00:39.000 --> 00:41.000]  🎵 Don't feel the breeze but 🎵
[00:41.000 --> 00:43.000]  🎵 We'll be able to fly 🎵
[00:43.000 --> 00:45.000]  🎵 Don't feel the breeze but 🎵
[00:45.000 --> 00:47.000]  🎵 Baby I'm the man 🎵
[00:47.000 --> 00:53.000]  I was told by our law enforcement sources that he shot several cops
[00:53.000 --> 00:59.000]  and security personnel who just left at that
[00:59.000 --> 01:07.000]  and I of course said there were shots going off before the main attack on the crowds
[01:07.000 --> 01:12.000]  and you can clearly hear the shots going on 35-40 seconds before
[01:12.000 --> 01:20.000]  a different cyclical rate and then the heavier gun go off right above Mandalay Bay
[01:20.000 --> 01:25.000]  right where they say shots were coming from caught by the taxi driver
[01:25.000 --> 01:27.000]  and there's countless videos of this
[01:27.000 --> 01:29.000]  and why am I opening the broadcast up with this today
[01:29.000 --> 01:35.000]  nine days after one of the worst terror attacks in our country's history
[01:35.000 --> 01:38.000]  it's because they're doing two big things
[01:38.000 --> 01:42.000]  they're having Newsweek take the lead on this information
[01:42.000 --> 01:44.000]  while at the same time quietly letting the truth out
[01:44.000 --> 01:49.000]  so that as more comes out they don't get burned too bad
[01:49.000 --> 01:52.000]  they're running big headline articles in Newsweek
[01:52.000 --> 01:55.000]  and a bunch of other places saying Alex Jones claims there was a second shooter
[01:55.000 --> 01:59.000]  and here's his proof from Monday where you can hear the gun going off
[01:59.000 --> 02:01.000]  it looks like a muzzle flash
[02:01.000 --> 02:05.000]  but by the end of the day we found other videos it was a strobe light
[02:05.000 --> 02:07.000]  and we said okay we were speculating there
[02:07.000 --> 02:10.000]  we're trying to find out what really happened like everybody else is doing
[02:10.000 --> 02:12.000]  that's totally normal
[02:12.000 --> 02:16.000]  they ran it today
[02:16.000 --> 02:24.000]  and a bunch of publications like I just said it this week
[02:24.000 --> 02:28.000]  when I said it last week
[02:28.000 --> 02:32.000]  this is just amazing how deceptive these people are
[02:32.000 --> 02:34.000]  no wonder it's hard for folks to figure out what's going on
[02:34.000 --> 02:37.000]  because I can't even keep track of their lies anymore
[02:37.000 --> 02:42.000]  and then here's the big takeaway
[02:42.000 --> 02:47.000]  they now come out and completely contradict their official story
[02:47.000 --> 02:53.000]  and basically admit okay ISIS may be involved
[02:53.000 --> 02:57.000]  Newsweek has an article now looking at it and maybe they are
[02:57.000 --> 03:00.000]  remember we said that day one from our sources
[03:00.000 --> 03:02.000]  but even bigger
[03:02.000 --> 03:04.000]  Newsweek LA Times usual suspects
[03:04.000 --> 03:07.000]  Las Vegas gunman shot security guard a full six minutes
[03:07.000 --> 03:16.000]  before opening fire on concert goers police revealed
[03:16.000 --> 03:20.000]  what have we been telling you what have witnesses said
[03:20.000 --> 03:23.000]  they've said other people were shot guns were going on before
[03:23.000 --> 03:28.000]  you've got casinos a mile away with a report and glass shot out shell casings
[03:28.000 --> 03:32.000]  cops jumping on top of people saying get down everybody locked down
[03:32.000 --> 03:37.000]  I mean this is all going on there's all sorts of gunfire
[03:37.000 --> 03:40.000]  and they're not telling folks I guess they don't want to scare people
[03:40.000 --> 03:43.000]  away from these tourist destinations or whatever
[03:43.000 --> 03:47.000]  that this was an ISIS attack just like they do to casinos in the Middle East
[03:47.000 --> 03:53.000]  just like they do in India to shopping districts and entertainment districts
[03:53.000 --> 03:56.000]  I mean this goes on all the time in other parts of the world
