[00:00:01.033 --> 00:00:10.420]  Prepare yourself for a talk radio experience like no other.
[00:00:10.420 --> 00:00:13.181]  He stands for truth.
[00:00:13.181 --> 00:00:16.404]  He stands for justice.
[00:00:16.404 --> 00:00:18.825]  He stands for what's right.
[00:00:18.825 --> 00:00:22.128]  This is the Alex Jones Show.
[00:00:22.128 --> 00:00:23.929]  Call Alex now, toll free.
[00:00:24.984 --> 00:00:30.508]  At 877-590-5525.
[00:00:30.508 --> 00:00:37.013]  Now live from Austin, Texas, here's Alex Jones.
[00:00:37.013 --> 00:00:40.076]  All right, ladies and gentlemen, I am not Alex Jones.
[00:00:40.076 --> 00:00:43.398]  I am Jason Burmess, sitting in for the great Alex Jones.
[00:00:43.398 --> 00:00:45.580]  He's going to be taking off for the entire week.
[00:00:45.580 --> 00:00:52.165]  A much deserved rest, but I can guarantee you this, we're still going to have a blitz of news that the mainstream is not going to be telling you about.
[00:00:53.254 --> 00:00:57.737]  And today I really want to focus on Obama and Biden.
[00:00:57.737 --> 00:01:00.179]  You know, we're going to talk about the financial crisis as well.
[00:01:00.179 --> 00:01:07.365]  But I think it's really important that we talk about Obama and Biden because they're going to be sworn in on the 20th.
[00:01:07.365 --> 00:01:08.986]  And a lot of people out there
[00:01:09.927 --> 00:01:11.949]  Still don't understand what a threat this is.
[00:01:11.949 --> 00:01:16.934]  Now, I'm going to show you that Obama is under the same control that Bush is under.
[00:01:16.934 --> 00:01:20.037]  The same internationalists are backing him, giving him advice.
[00:01:20.037 --> 00:01:33.671]  You know, this should become apparent when people like Henry Kissinger go on CNBC, and we're going to play the clip for you, and say, once again, that this is a great opportunity for our next commander-in-chief, our new leader, to bring in a new world order.
[00:01:34.437 --> 00:01:38.078]  You know, this term just keeps coming up again and again and again.
[00:01:38.078 --> 00:01:43.280]  And, you know, a clip that I didn't get pulled up, but we're going to pull it up, is a Colbert clip.
[00:01:43.280 --> 00:01:52.123]  Everybody enjoys Stephen Colbert, you know, the right-wing pundit that is really just political satire, but he does it well.
