[00:00:00.029 --> 00:00:00.271]  What's up?
[00:00:17.594 --> 00:00:29.758]  George Soros is banned in his home country of Hungary, the Philippines, Turkey, Russia, Poland, and Pakistan, but his presence in the United States, and more importantly, its elections, couldn't be stronger.
[00:00:29.758 --> 00:00:46.603]  During the 2016 presidential elections, we discovered that Lord Mark Malik Brown, chairman of the company Smartmatics, which caused voting machine chaos in countries all over the world, served on Soros' Open Society Foundation's global board.
[00:00:46.883 --> 00:01:11.575]  Not satisfied with simply rigging the voting machines, Soros is renting Christian evangelicals, as the Washington Times reported, and the National Review reported all the way back in 2010 that the progressive evangelical organization Sojourners, headed by Jim Wallace, had received grants from the Open Society Institute, the foundation of left-wing billionaire George Soros.
[00:01:11.875 --> 00:01:20.740]  Is it any wonder that Christianity Today, which wrote a glowing article of Soros' immigration strategy, savagely attacked President Trump?
[00:01:20.740 --> 00:01:30.845]  The question is, when does his behavior, which is described as immoral accurately, rise to the level where he's no longer fit to serve office?
[00:01:30.845 --> 00:01:34.627]  And to me, we crossed that line with the impeachment hearings.
[00:01:34.907 --> 00:01:46.179]  So it's better late than never that Attorney General Barr is commenting on the damage to our criminal justice system that Soros-backed district attorneys are waging across the United States.
[00:01:46.179 --> 00:01:53.126]  You talked in your piece about social justice DAs, and you put social justice in quotes.
[00:01:53.126 --> 00:01:53.967]  What do you mean by that?
[00:01:53.967 --> 00:01:55.749]  What does that mean, social justice DAs?
[00:01:56.289 --> 00:02:25.488]  Well, there's been this recent development where George Soros has been coming in largely in Democratic primaries where there's not going to be much voter turnout and putting in a lot of money to elect people who are not very supportive of law enforcement and don't view the office as bringing to trial and prosecuting criminals, but pursuing other social agendas.
[00:02:26.008 --> 00:02:34.833]  And they have started to win in a number of cities and they have, in my view, not given the proper support to the police.
[00:02:34.833 --> 00:02:42.377]  And they're following policies that are ultimately going to lead to an increase in violent crime and more victims.
[00:02:42.377 --> 00:02:52.263]  The pushback on Rudy Giuliani's investigation into Soros and the Obama administration's back ties in the Ukraine has been branded a bumbling scavenger hunt.
[00:02:52.443 --> 00:03:03.845]  But as The Hill previously reported, it turns out that the group that Ukrainian law enforcement was probing was co-founded by the Obama administration and liberal mega-donor George Soros.
[00:03:03.845 --> 00:03:14.807]  And it was collaborating with the FBI agents investigating then-Trump campaign manager Paul Manafort's business activities with pro-Russian figures in Ukraine.
[00:03:14.807 --> 00:03:18.488]  The implied message to Ukraine's prosecutors was clear.
[00:03:18.488 --> 00:03:22.289]  Don't target ANTAC, the Anti-Corruption Action Center,
[00:03:22.409 --> 00:03:22.609]  I think?
[00:03:43.277 --> 00:03:44.198]  We're good to go.
