[00:00.000 --> 00:16.000]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[00:16.000 --> 00:29.000]  From the front lines of the Information War, it's Alex Jones.
[00:29.000 --> 00:47.000]  All right, it was nine days ago that we gave the exclusives that the president was going to release the JFK files when mainstream media said that he decided not to. The next morning he said, no, I am barring new info.
[00:47.000 --> 01:01.000]  2800 files were released, but the last 200 or so were held back by the CIA in a mutinous action against the president. Well, a day and a half later on Saturday night, he went ahead and ordered them to release those regardless.
[01:01.000 --> 01:16.000]  And now we know why they didn't want them released. I spent hours last night and today digging through them, and it is bombshell. Not just what came out in the final tranche of 200 plus documents, but the 2800 are incredible.
[01:16.000 --> 01:27.000]  And we're learning more by the minute with our listeners reading through it, our crew going over it. I mean, you're going to have revelations while we're on air in the next two hours.
[01:27.000 --> 01:40.000]  That said, I then got a call earlier today from one of my sources that I made some other phone calls, and I just want to reveal to you right up front here, just like we broke the JFK info.
[01:40.000 --> 01:55.000]  A lot of folks think it's a man of four that will be or who has been indicted by the federal grand jury out of the swamp, the swamp jury that would indict a ham sandwich or anything related to John Wayne out of the district of criminals there in D.C.
[01:55.000 --> 02:12.000]  I would never go after Mueller with all of his Russian ties or uranium deals on the tarmac or Bill Clinton meeting on the tarmac with the Attorney General or all their Clinton Foundation activities or uranium one, but they would certainly be more than happy to go after
[02:12.000 --> 02:27.000]  a man of four for 13 wire transfers from perfectly legal offshore multinational mega counts. That was the word we got months ago. They were going to go after not filing paperwork properly on offshore accounts.
[02:27.000 --> 02:43.000]  Google can pay CRO tax and IBM can and all these other big corporations and keep their money offshore. But if you keep after tax money offshore like manifold, we're going to put you in jail. We're going to claim it's illegal or claim you didn't fill out all your IRS forms correctly.
[02:43.000 --> 02:57.000]  So you engage in perjury. The government can lie as much as they want. So that's all they've got. And I'm going to reveal to you after the break that yes, it's Paul Manafort is going to be indicted. It's two of his aides.
[02:57.000 --> 03:17.000]  And I've got both names now of the aides, but I'm only been asked to release one of the names because we've not been able to talk to the other person yet and don't want to break this for themselves and their families because we don't know if they've been contacted by the federal aides as Manafort and one of his other aides were contacted today.
[03:17.000 --> 03:31.000]  So remember, we broke back on September 19 that he would be indicted. He was told he would be indicted, which shows federal grand jury tampering and seven days later than the New York Times using my same source, Roger Stone confirmed the information.
[03:31.000 --> 03:51.000]  See, they told him ahead of time, you roll over and make up stuff about Trump and sing like a canary. Sing like a cockatoo. We're going to throw you under the bus. Well, Manafort hadn't rolled over yet, but they think inditing two of his employees will get them to imagine whatever.
[03:51.000 --> 04:02.000]  Not the FBI, but the special council made up by deep state Democrats with this anointed at former FBI head like he's God, man.
[04:02.000 --> 04:18.000]  I mean, God in heaven doesn't make decisions according to CNN. It's just Mr. Uranium One, Mr. Tarmac, Mr. 10 Russian companies that let him be an investor with no money down when their bylaws say 10 million investment.
[04:18.000 --> 04:31.000]  What are you going to do if you're Mueller and Comey and Hillary and for the pedestals and they're all up their eyeballs and Russian payoffs, that's globalism, the sell out of America hand over fist. What are you going to do?
[04:31.000 --> 04:47.000]  Well, you just come out and say Russia, Russia, Russia. Alex Jones is a Russian spy, according to them. Tucker Carlson is a Russian spy. Anyone who doesn't, Matt Drudge, anyone that doesn't sell out the country is a Russian spy, except those knee deep in Russian funding.
[04:47.000 --> 04:57.000]  So you'll learn tomorrow's news today on the other side. Please spread the word. They're trying to block this transmission. So spreading it is a revolutionary act.
[05:17.000 --> 05:33.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals. This essential mineral is necessary in order to produce thyroid hormones, which influence every cell, tissue and organ in the body.
[05:33.000 --> 05:50.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog. Survival Shield X2 and Biotru Selenium work together to support the systems in your body. Take control of your chemistry today with this super combo.
[05:50.000 --> 06:18.000]  Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[06:18.000 --> 06:28.000]  You want to stop tyranny? Well so does he. Live from the infowars.com studios, it's Alex Jones.
[06:28.000 --> 06:42.000]  Well, on Friday we had dozens of members of Congress call for Robert Mueller to resign. Many others called for his indictment.
[06:42.000 --> 06:53.000]  After it turned out he was in Tarmac deals that I know you heard about from us years ago, but it's now mainstream news. Tarmac deals with the KGB slash FSB getting them secret weapons grade uranium.
[06:53.000 --> 07:02.000]  And he's on the board of 10 companies with no investment being given massive payments and the uranium one and now it's hundreds of millions of dollars.
[07:02.000 --> 07:15.000]  Not the 30 million to the podests as we've been reporting for two years here. Two weeks ago or a week ago, the reporter that broke the uranium one information on the podests as her car blew up in Milan.
[07:15.000 --> 07:27.000]  So there's a lot going on here. But who would have thought that they would then zig when we zag? Well, we know they would.
[07:27.000 --> 07:42.000]  And so Friday Mueller, the arrogant stuff suit example of the swamp, the bottom of the swamp.
[07:42.000 --> 07:50.000]  It was Malta where they had the car bomb. Sorry, I was going from memory and saying Milan Malta car bomb kills Panama Papers Journalist London Guardian.
[07:50.000 --> 08:06.000]  So they're trying to tie up all the loose ends right now. And so that's why they announced on Friday that there was a big group of indictments or indictment coming out indictment or indictments coming out on Monday.
[08:06.000 --> 08:25.000]  And obviously a lot of folks thought it would be Paul Manafort. Well, we did a little bit of investigating and here is the latest intel directly from the sources. Urgent Paul Manafort and his campaign deputy will in all capitals be indicted tomorrow morning with a third
[08:25.000 --> 08:37.000]  unidentified person. And I'll stop right there. The identified deputy is Rick Gates, a deputy of Paul Manafort. They do not know the charge.
[08:37.000 --> 08:41.000]  And the source does not know the charge.
[08:41.000 --> 08:59.000]  I'm going to stop right there. That's just one of my sources. Just like we told you that Trump is going to release the JFK files nine days ago. They came out the same day and said Jones is insane. We've been told by Pompeo at the CIA they will not be released.
[08:59.000 --> 09:16.000]  And then they tried that double cross on Friday, not releasing 200 files. Trump said you will release it. And last night they did. And that moves us to the rest of the story, ladies and gentlemen.
[09:16.000 --> 09:33.000]  Trump confirms all JFK files are released after latest clash with spy agencies can read the full zero head story with videos we've embedded upon info wars dot com and news wars dot com and more and more. That's where you better be going because Facebook, Twitter,
[09:33.000 --> 09:38.000]  YouTube have all blocked us using live streams.
[09:38.000 --> 09:49.000]  Since we put out the JFK info and the Manafort info, since they know we have direct pipelines, the president, they are not prepared to let us do that. So we have to use sub accounts.
[09:49.000 --> 10:02.000]  Other people's accounts to stream videos and like whack-a-mole they shut those down daily. So if you're watching on YouTube or Facebook or Twitter, you are watching a whack-a-mole who will be gone tomorrow.
[10:02.000 --> 10:13.000]  And we go through a lot of gesticulations to get them back up. So they want Web ID where governments say oh you have an ID to get online so that they can try to stop us.
[10:13.000 --> 10:24.000]  And the stuff they hate is our own video of the president's press conference or a whistleblower from the CIA. I mean they cannot stand it.
[10:24.000 --> 10:32.000]  So you need to go to info wars dot com, forward slash show to find the free apps, the podcasts, our own audio feeds, our own video feeds.
[10:32.000 --> 10:37.000]  And I'd much less send you somewhere else in these big communities so we don't have to pay with a bandwidth.
[10:37.000 --> 10:45.000]  But that's where you go more and more if you don't want to be censored.
[10:45.000 --> 10:49.000]  So what is in the JFK files? I've got to be honest with you.
[10:49.000 --> 10:54.000]  I said on air a week and a half ago or nine days ago with Roger that I thought they'd black it all out.
[10:54.000 --> 11:01.000]  Or I thought that they would pull back a lot of it. But Trump came through again in ways I can't believe.
[11:01.000 --> 11:14.000]  And it is the Surgeon General office. It is the FBI of the CIA in their own official documents saying Kennedy was shot from the overpass in the throat and from the grassy knolls out of the head.
[11:14.000 --> 11:22.000]  And that LBJ was a KKK member and that Kennedy was preparing to bring that out.
[11:22.000 --> 11:27.000]  And that they were going to stage terror attacks in America to declare martial law.
[11:27.000 --> 11:32.000]  And that Hitler was still alive in Argentina.
[11:32.000 --> 11:38.000]  And with photos I mean, wow, this is something else.
[11:38.000 --> 11:44.000]  Probably should have started the broadcast with that today. But I mean, I need to spend time with my family some.
[11:44.000 --> 11:52.000]  But I've been spending hours a day just clicking on the files, reading it and then seeing what my crews come up with, what you, the viewers and listeners have done.
