[00:00:01.000 --> 00:00:03.000]  InfoWars, tomorrow's news, today.
[00:00:03.000 --> 00:00:07.000]  It's Tuesday, June 27th, 2023, and I am still live on InfoWars.
[00:00:07.000 --> 00:00:14.000]  It's Tuesday, June 27th, 2023, and I am still in Florida, broadcasting to the amazing studios of the River Church here with the great Rodney Howard Brown.
[00:00:37.000 --> 00:00:46.000]  Because I'm not coming home to Austin tomorrow or this week, I have decided to go to Omaha, Nebraska.
[00:00:46.000 --> 00:00:49.000]  But I'll be broadcasting tomorrow, here live, on an airplane.
[00:00:49.000 --> 00:00:51.000]  And I'll be broadcasting right through Sunday.
[00:00:51.000 --> 00:00:53.000]  You won't miss a show. It's all the breaking news.
[00:00:53.000 --> 00:01:00.000]  But my wife's father is going through heart failure, and he could die.
[00:01:00.000 --> 00:01:05.000]  And I don't want to be dramatic, but I was going to be with my wife for that.
[00:01:05.000 --> 00:01:08.000]  And our youngest child.
[00:01:08.000 --> 00:01:10.000]  And so please pray for John Wolfe.
[00:01:10.000 --> 00:01:14.000]  We know the power of God. He's a great guy, a Christian man.
[00:01:14.000 --> 00:01:19.000]  And he's had a pacemaker for five years, but hadn't been in for a checkup in a year.
[00:01:19.000 --> 00:01:22.000]  And he finally went in for one, and he had conjectured heart failure.
[00:01:22.000 --> 00:01:24.000]  He was really, really sick and having trouble walking.
[00:01:24.000 --> 00:01:30.000]  And the pacemaker, once they finally read it, said he'd been having a lot of serious heart problems last year.
[00:01:31.000 --> 00:01:35.000]  And so he's been in and out, and there have been some times where he wasn't fully conscious,
[00:01:35.000 --> 00:01:37.000]  and didn't want to see visitors and things.
[00:01:37.000 --> 00:01:40.000]  So it's just a serious situation. A lot of other stuff going on health-wise.
[00:01:40.000 --> 00:01:43.000]  One of his lungs is completely full of fluid from the heart failure.
[00:01:43.000 --> 00:01:46.000]  And so we could lose him, so please pray for him.
[00:01:46.000 --> 00:01:50.000]  But I will be back in studio starting next Monday.
[00:01:50.000 --> 00:01:56.000]  That said, though, I'm going to be doing a very powerful broadcast there as well from Omaha, Nebraska.
[00:01:56.000 --> 00:01:59.000]  While my wife's in the hospital with him, and I'll be visiting him at night.
[00:01:59.000 --> 00:02:03.000]  Wow, we have an incredible broadcast lined up for you today.
[00:02:03.000 --> 00:02:09.000]  To say that everything we talked about has unfortunately now happened is an understatement.
[00:02:09.000 --> 00:02:16.000]  We are witnessing a corporate world government takeover, an annihilation of our sovereignty,
[00:02:16.000 --> 00:02:19.000]  a pedophilic, satanic agenda out in the open.
[00:02:19.000 --> 00:02:26.000]  But we're also seeing mainline talk show hosts and top hosts on Fox, not just Trigger Carlson,
[00:02:26.000 --> 00:02:31.000]  come right out against the New World Order and say our government's been hijacked by globalist forces.
[00:02:31.000 --> 00:02:34.000]  They're running giant child kidnapping rings.
