[00:00.000 --> 00:18.000]  Infowars, tomorrow's news, today.
[00:31.000 --> 00:41.000]  Social media from the CCP rarely ever makes its way into American pop culture.
[00:41.000 --> 00:51.000]  But in early 2020, they went viral with radical videos of forced quarantines and sealing people into their own dwellings with welding torches.
[00:51.000 --> 00:57.000]  Were Americans shown all this to make our own lockdowns seem less devastating?
[00:57.000 --> 01:03.000]  And if so, what are we to make of the new social media blitz coming out of Shanghai?
[01:03.000 --> 01:06.000]  People are being starved in their own homes.
[01:06.000 --> 01:09.000]  Their pets are being killed.
[01:09.000 --> 01:19.000]  And it's getting so hellish that suicide is seemingly an everyday part of life now in Shanghai.
[01:19.000 --> 01:26.000]  Just because things are feeling a bit more liberating in America doesn't mean the lockdowns are over.
[01:26.000 --> 01:32.000]  How in the hell are these Democrats going to win an election without another lockdown?
[01:32.000 --> 01:38.000]  They are already setting up the narrative and have invested in new mobile testing machines.
[01:38.000 --> 01:49.000]  If you think Trump is somehow going to save you, even though he helped in the last lockdown and proudly gave birth to the deadly vaccines, he just sided with Dr. Oz.
[01:49.000 --> 02:00.000]  The way I endorse another person today, Dr. Oz in Pennsylvania. Dr. Oz. Great guy, good man, good man, Harvard educated.
[02:00.000 --> 02:04.000]  And Dr. Oz loves the CCP lockdown model.
[02:04.000 --> 02:08.000]  And the Chinese numbers have dropped dramatically, which is fantastic news.
[02:08.000 --> 02:11.000]  And it's also valuable for us to understand why they were able to do that.
[02:11.000 --> 02:21.000]  If you look inside of Wuhan province, they had a catastrophe. But outside the province, which of course they quarantined in the largest movement of its nature ever, 60 million people blocked in that space.
[02:21.000 --> 02:27.000]  But the rest of the country was relatively spare. They didn't have the big spikes, the huge crises that Wuhan experienced.
[02:27.000 --> 02:34.000]  And it took the country to a very different direction. We just have to copy what they did, take their blueprint and repeat it here in this country.
[02:34.000 --> 02:37.000]  And we started that aggressively over the last week.
[02:37.000 --> 02:49.000]  In trauma-based mind control, the abuser alternates between abuse and comfort, which forms a bond with the victim, known in pop culture as Stockholm syndrome.
[02:49.000 --> 02:53.000]  This might not work on you, but they are not doing it for you.
[02:53.000 --> 03:02.000]  They want the majority on their side when they start arresting people like you for forced vaccination, and of course, gun confiscation.
[03:02.000 --> 03:16.000]  Well, China has a number of problems, two of which are that their complete lockdown, which was their approach, a strictest lockdown that you'd never be able to implement in the United States.
[03:16.000 --> 03:26.000]  Although that prevents the spread of infection, I remember early on they were saying, and I think accurately, that they were doing better than almost anybody else.
[03:26.000 --> 03:33.000]  But lockdown has its consequences. You use lockdowns to get people vaccinated.
[03:33.000 --> 03:59.000]  Reporting for InfoWars, this is Greg Rees.
[03:59.000 --> 04:12.000]  A bioweapon release could be the thing they'd release to bring in a world government to counter a global problem, and the UN has said that a global pandemic is the only thing that may save their world government.
[04:12.000 --> 04:19.000]  This is a biological warfare agent that had leaked out of the Wuhan laboratory.
[04:19.000 --> 04:38.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe, you got one!
[04:38.000 --> 05:01.000]  From the front lines of the information war, it's Alex Jones.
[05:01.000 --> 05:14.000]  Over the years, InfoWars has produced more than 200 amazing, patriot, Americana, Second Amendment pro-liberty themed t-shirts, ball caps, flags, you name it.
[05:14.000 --> 05:20.000]  All of the apparel and the flags are being sold at cost right now. That's just regular plain chain shirts.
[05:20.000 --> 05:31.000]  That is all sorts of designer shirts that cost us $15, $20, $25 to produce. We used to sell for $40, we're selling them for $15, selling them for $20, whatever the shirt costs us.
[05:31.000 --> 05:35.000]  If a shirt costs $5, we're selling it for $5 for us to actually produce.
[05:35.000 --> 05:47.000]  If it costs $10, we're selling it for $10. And we've got hoodies, and we've got long sleeves, and we've got short sleeves, we've got them all, and we've got to liquidate them all, and they're limited edition, because we're never going to make any of these designs.
[05:47.000 --> 05:53.000]  Again, we are going to come out with some new designs that will be limited, limited edition in the future.
[05:53.000 --> 05:58.000]  We've got to sell this to keep InfoWars on the air, plus it spreads the word, InfoWarsStore.com.
[05:58.000 --> 06:11.000]  Here's historic apparel now, InfoWarsStore.com.
[06:11.000 --> 06:20.000]  From the front lines of the Information War, it's Alex Jones.
[06:20.000 --> 06:28.000]  So here we are on this Monday, April 18th edition of the Alex Jones show in the year 2022.
[06:28.000 --> 06:46.000]  And we see worldwide depression, we see worldwide inflation, we see planetary starvation, we see massive wars, we see collapsing borders, we see open pedophilia promotion by every major western media outlet of any size.
[06:46.000 --> 07:01.000]  It is just an unspeakable moment in human history to know that we've been turned over to evil, that we've aborted billions of babies on a planetary scale, and that God is now withdrawing his protection from us.
[07:01.000 --> 07:07.000]  And evil and corruption is being allowed to absolutely run rampant.
[07:07.000 --> 07:18.000]  Alright, I'm going to say something here, and I'm not going to talk about it again today, and it will be basically my statement on the subject that I'm going to move on.
[07:18.000 --> 07:31.000]  But it's just this, I am not declaring bankruptcy, and InfoWars is not declaring bankruptcy, it's a Chapter 11 reorganization in the federal courts.
[07:31.000 --> 07:41.000]  So you can go and show them their books, they can come in and look at your books, and know that we don't have 16 million in a secret bank account, or 5 million, or 3 million.
[07:41.000 --> 07:51.000]  And know that what has been claimed by the Texas courts that are very political and the Connecticut court is not correct and is not true.
[07:51.000 --> 08:03.000]  And whether that's successful or not, in the long term, this will be an issue for the bankruptcy courts one way or another, and it's just time for that to happen.
[08:03.000 --> 08:11.000]  And it's time for people to be able to see that I don't have 5 million dollars, I don't have 3 million dollars.
[08:11.000 --> 08:18.000]  We have less than 3 million dollars cash, and we need that money to buy future product to be able to operate.
[08:18.000 --> 08:21.000]  So I'm essentially making no money, which is fine.
[08:21.000 --> 08:34.000]  The whole purpose of this place was not for Alex Jones to make a bunch of money, but it takes a bunch of money to run an independent, self-sufficient media operation with 3, 4, 5, 6, 7, 8 million people a day,
