[00:00.000 --> 00:26.000]  You want to stop tyranny well so does he live from the infowars.com studios it's Alex Jones
[01:00.000 --> 01:06.000]  level misdemeanor so you knowingly give somebody a virus that can cause an autoimmune disease
[01:06.000 --> 01:13.000]  that makes you slowly die over five to ten years but that's okay Governor Jerry Brown signed it
[01:13.000 --> 01:22.000]  and talked about equality well it's not evil to have a disease be it leprosy HIV hepatitis
[01:22.000 --> 01:29.000]  whatever but it's certainly evil to give it to someone but they're saying no that's okay
[01:29.000 --> 01:33.000]  that's okay and I want to get into the psychology of the insane democratic party here because
[01:33.000 --> 01:39.000]  when HIV goes from a lower numbers like it is to exploding the next five years and a few years
[01:39.000 --> 01:45.000]  we're still here as a planet don't have nuclear war I will go back to this show and say here I am in 2017
[01:45.000 --> 01:52.000]  saying within three to five years California will have a 200% increase in HIV.
[01:52.000 --> 01:55.000]  Glad to be here at the AIDS Walk really important for getting a message out.
[01:55.000 --> 02:00.000]  They will also complain and say we need single-payer we need social health care the reason we have HIV
[02:00.000 --> 02:05.000]  is because we don't have free health care no the reason you have HIV is because it is a culture now
[02:05.000 --> 02:11.000]  in the gay community that I first read about 20 years ago in Rolling Stone to give other people HIV.
[02:11.000 --> 02:20.000]  It's truly nihilistic so here's the article progress LA Times knowingly exposing others to HIV
[02:20.000 --> 02:29.000]  no longer a felony in California it's the same thing as a parking ticket so it's essentially legalized
[02:29.000 --> 02:33.000]  and here's the LA Times Governor Jerry Brown signed a bill Friday that lowers from a felony to a
[02:33.000 --> 02:38.000]  misdemeanor the crime of knowingly exposing a sexual partner to HIV without disclosing the infection.
[02:38.000 --> 02:42.000]  How about hepatitis how about everything else the measure also applies to those who give blood
[02:42.000 --> 02:48.000]  without telling blood bank they're HIV positive oh wow don't tell the blood bank you're HIV positive
[02:48.000 --> 02:53.000]  this is a religion this is Satanism folks because they can get away with this thing with anything
[02:53.000 --> 02:58.000]  this is totally insane remember the Clintons for over a decade knew that all the blood coming out of their
[02:58.000 --> 03:02.000]  prisons was infected with HIV and hepatitis all of it because they would mix it together
[03:02.000 --> 03:07.000]  and they would sell it into Canada and say it was all clean and then Bayer would buy it
[03:07.000 --> 03:13.000]  turn into factor 8 and Bayer knew it all had HIV in it and they still shipped it out as population reduction
[03:13.000 --> 03:21.000]  it's in the documents so this takes bug chasing to a whole new level this isn't two guys getting together
