[00:00:01.616 --> 00:00:03.397]  We are on the march.
[00:00:03.397 --> 00:00:06.579]  The Empire is on the run.
[00:00:06.579 --> 00:00:12.043]  Alex Jones and the GCN Radio Network.
[00:00:12.043 --> 00:00:16.245]  It doesn't have much time.
[00:00:33.510 --> 00:00:42.338]  Because if the globalists win, they're going to butcher the entire Bill of Rights and Constitution and deliver us into the hands of slavery.
[00:00:42.338 --> 00:00:52.928]  The sands of time for liberty are running low unless we breathe life back into the animated contest of liberty.
[00:00:55.097 --> 00:00:57.259]  Ladies and gentlemen, thank you so much for joining us.
[00:00:57.259 --> 00:01:03.303]  I am on the road here on this Sunday Worldwide Transmission.
[00:01:03.303 --> 00:01:06.426]  It is already the ninth day of March, 2014.
[00:01:06.426 --> 00:01:24.160]  I'm going to be here with you sporadically throughout the transmission with David Knight there in the catbird seat, there in the crow's nest, running the show from deep in the heart of Texas, Austin, Texas, and Anthony Gucciardi, who's been in downtown Austin interviewing the trendies and
[00:01:24.600 --> 00:01:33.289]  Folks that want to come here and basically strike it rich in the media tech landscape, a new gold rush, folks.
[00:01:33.289 --> 00:01:43.500]  He's going to be talking about some of the cultural analysis he's been doing with those folks and the fact that the entire fake liberal facade of cultural control
[00:01:44.341 --> 00:01:49.765]  Has and is continuing to accelerate its downward spiral and collapse.
[00:01:49.765 --> 00:01:52.887]  So Anthony Gucciardi and David Knight coming up today.
[00:01:52.887 --> 00:01:56.189]  I will be here with you until the bottom of the hour.
[00:01:56.189 --> 00:02:02.433]  And we have some other special reports coming up in the second hour of the Global Transmission as well.
[00:02:02.433 --> 00:02:05.856]  And I'll be back in the studio tomorrow from 11 a.m.
[00:02:05.856 --> 00:02:06.476]  to 2 p.m.
[00:02:06.476 --> 00:02:08.377]  Central for the weekday broadcast.
[00:02:09.790 --> 00:02:13.632]  When we come back, we've got it up on InfoWars.com right now.
[00:02:13.632 --> 00:02:30.882]  This is a big story because South by Southwest Conference is put on by a man named Louis Black for the last 30 years, who is a total gun banner, a total globalist, a total authoritarian fake leftist who's waged petty war against the First Amendment here in town for a long time.
[00:02:30.882 --> 00:02:36.405]  He tried to have the police arrest our reporters last year, handing out free copies of InfoWars magazine.
[00:02:37.705 --> 00:02:50.489]  He has now teamed up with Mayor Bloomberg and the Mayor Organization to put on anti-gun symposiums throughout South by Southwest, one of the biggest media and film and music interactives in the world.
