[00:00:16.196 --> 00:00:17.317]  InfoWars.
[00:00:17.317 --> 00:00:18.518]  Tomorrow's news.
[00:00:18.518 --> 00:00:18.878]  Today.
[00:00:25.891 --> 00:00:36.878]  Ladies and gentlemen, we have an absolutely loaded Sunday edition of the Alex Jones Show here on this October 23rd, 2022.
[00:00:36.878 --> 00:00:44.002]  Now, I have no time to waste, so let me get right into the news.
[00:00:44.002 --> 00:00:46.304]  Now, in China, Xi Jinping
[00:00:47.984 --> 00:00:56.271]  ...has now been given more power than any Chinese dictator, even more than Mao Zedong.
[00:00:56.271 --> 00:01:03.036]  But you could say that was the last dictator in China that had as much authoritarian power as Xi Jinping.
[00:01:03.036 --> 00:01:11.623]  But Xi Jinping is now surpassing even Mao Zedong, the communist leader with hundreds of millions of dead Chinese people.
[00:01:12.705 --> 00:01:14.006]  Under his watch.
[00:01:14.006 --> 00:01:17.349]  That's what the left-wing ideology always concludes with.
[00:01:17.349 --> 00:01:36.846]  And so, in a display of his power for the world, and a display of his coldness and his callousness towards anybody else that might think they're on the same page as him, former Chinese leader is escorted out of Communist Party Congress in front of world media.
[00:01:36.846 --> 00:01:38.267]  And you can see it in the clip here.
[00:01:40.734 --> 00:01:42.515]  He is confused.
[00:01:42.515 --> 00:01:54.023]  Hu Jintao, former Chinese President Hu Jintao, is confused as security comes to grab him away and Xi Jinping won't even look at him.
[00:01:54.023 --> 00:01:57.165]  And Jintao grabs him and tries to say, hey, what is this?
[00:01:57.165 --> 00:01:58.006]  This is some misunderstanding.
[00:01:58.006 --> 00:02:00.327]  Why am I being escorted out by security?
[00:02:00.327 --> 00:02:02.009]  What the heck is going on here?
[00:02:02.009 --> 00:02:03.710]  Kind of refuses it at first.
[00:02:03.710 --> 00:02:04.951]  And then he says, Xi, what's going on?
[00:02:04.951 --> 00:02:07.292]  And Xi just shakes his head and says, yep, you got to go.
[00:02:07.292 --> 00:02:08.153]  Yep, that's it for you.
[00:02:10.081 --> 00:02:26.906]  I am the unilateral dictator now, and just like in 1984, we are going to erase the history, we are going to erase the past, because nobody can be thought of as president ever in Chinese history except me, Xi Jinping.
[00:02:27.586 --> 00:02:43.635]  And so when you consider that aggression towards his own fellow party members and leaders, imagine what they'll do to Taiwan or Hong Kong in the near future, as they know Joe Biden is a weak leader of America.
[00:02:43.635 --> 00:02:45.316]  So that's what's going on there.
[00:02:45.316 --> 00:02:54.361]  Then, and it's been very few people outside of InfoWars, folks, very few people have been willing to tell you this, but of course we right here at InfoWars have been telling you this,
[00:02:55.606 --> 00:03:02.927]  The United States Army already has soldiers on the front lines fighting Russians in Ukraine.
[00:03:04.209 --> 00:03:06.250]  This has been going on for months.
[00:03:06.250 --> 00:03:16.235]  Now, the way the Biden administration has legally justified this, which is a completely illegitimate, illegal war against Russia and Ukraine, is they say, oh, these are just volunteers.
[00:03:16.235 --> 00:03:19.836]  But now they've taken the mask off and they've admitted, yep, the U.S.
[00:03:19.836 --> 00:03:23.778]  military is in Ukraine fighting Russians on the front lines.
[00:03:23.778 --> 00:03:25.359]  No votes in Congress.
[00:03:25.359 --> 00:03:26.580]  No declaration of war.
[00:03:26.580 --> 00:03:27.680]  They're just doing it.
[00:03:27.680 --> 00:03:33.503]  Here, let's show you this clip from CBS News this weekend, clip two, as they're now admitting all of it.
[00:03:35.859 --> 00:03:39.402]  They're America's go-to combat troops.
[00:03:39.402 --> 00:03:40.183]  Go, go, go, go!
[00:03:40.183 --> 00:03:44.727]  The soldiers of the 101st Airborne Division, now the closest U.S.
[00:03:44.727 --> 00:03:47.429]  forces to the fight in Ukraine.
[00:03:47.429 --> 00:04:02.703]  We joined Colonel Edwin Mathaitis and Brigadier General John Lubas on board a Black Hawk helicopter where we flew along the coast of the Black Sea, across those same waters from Russian-held territory in Ukraine, including Crimea.
[00:04:03.583 --> 00:04:04.584]  Considered Russia now.
[00:04:04.584 --> 00:04:06.685]  What are you preparing for?
[00:04:06.685 --> 00:04:08.186]  We have two major tasks, right?
[00:04:08.186 --> 00:04:12.708]  To assure our allies and deter our adversaries from doing anything.
[00:04:12.708 --> 00:04:18.352]  Fully aware those adversaries have eyes on everything this close.
[00:04:18.352 --> 00:04:19.592]  Is that part of it?
[00:04:19.592 --> 00:04:20.633]  That's the tire part of it.
[00:04:20.633 --> 00:04:22.314]  Alright, so that's fine guys.
[00:04:22.314 --> 00:04:23.895]  You can go ahead and pull it down.
[00:04:23.895 --> 00:04:25.896]  Now, I've got multiple news clips.
[00:04:25.896 --> 00:04:26.777]  It's the same thing, so...
[00:04:28.513 --> 00:04:37.476]  The order has been given, for whatever reason, the order has been given this weekend to let the American people know that their army is fighting Russians in Ukraine.
[00:04:37.476 --> 00:04:44.658]  Go ahead and let the American people know that we are illegally, illegitimately, but now we're showing you we are at war with Russia.
[00:04:45.558 --> 00:04:47.040]  They've been doing this for months.
[00:04:47.040 --> 00:04:48.762]  Now they're actually telling you.
[00:04:48.762 --> 00:04:52.966]  So what are they... So that's about six months old that the U.S.
[00:04:52.966 --> 00:04:55.889]  military is killing Russians and fighting Russians in Ukraine.
[00:04:55.889 --> 00:04:57.070]  So what's next?
[00:04:57.070 --> 00:05:00.874]  What are they doing now is the question.
[00:05:00.874 --> 00:05:06.460]  Don't let the globalist monsters and their mercenary minions be successful at silencing you.
[00:05:07.631 --> 00:05:21.421]  And the Globalist's number one mission is to silence InfoWars because they rightly see us as one of the main beacons of resistance alerting the people, not just of America, but the world to the threat of the Globalist and their censorship and tyranny.
[00:05:21.421 --> 00:05:35.530]  That's why it's so essential today, now more than ever, to share links for InfoWars.com and to also financially support InfoWars.com at the most critical time on our fight by using promo code 1776 at checkout so you get an additional 10% off.
[00:05:37.093 --> 00:05:38.954]  These people are coming for your birthright.
[00:05:38.954 --> 00:05:40.135]  They're coming for your First Amendment.
[00:05:40.135 --> 00:05:43.577]  They admit, once they've silenced us, they're coming for you.
[00:05:43.577 --> 00:05:46.359]  I'm in your hands, and I'm asking for your support now.
[00:05:46.359 --> 00:05:50.662]  You have my commitment to never give up or back down, but I could give out without your support.
[00:05:50.662 --> 00:06:00.929]  Thank you for all your past support, and I'm encouraging you now to redouble your efforts at InfoWarsTore.com with promo code 1776 for an additional 10% off on the already big sales and huge discounts.
[00:06:10.353 --> 00:06:15.216]  Big Brother, mainstream media, government cover-ups.
[00:06:15.216 --> 00:06:16.876]  You want to stop tyranny?
[00:06:16.876 --> 00:06:18.537]  Well, so does he.
[00:06:18.537 --> 00:06:23.640]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:23.640 --> 00:06:30.984]  And now, your host, Owen Troyer.
[00:06:30.984 --> 00:06:38.208]  So, you just saw the American media this weekend has been given the green light to let you know
[00:06:39.198 --> 00:06:43.870]  That you are unofficially at war with Russia in Ukraine.
[00:06:45.296 --> 00:06:49.840]  So I don't know why they've decided to roll those reports this weekend.
[00:06:49.840 --> 00:06:54.083]  I don't know why they've decided to let you know that that's been going on and show you the front lines.
[00:06:54.083 --> 00:07:00.328]  We've seen other clips, similar clips, but those have been in international news stories, Ukrainian news stories.
[00:07:00.328 --> 00:07:03.430]  So the green light's been given to the American media.
[00:07:03.430 --> 00:07:11.917]  All right, go ahead and let the American people know that we are at war with Russia in Ukraine and that we have troops on the ground right now fighting Russians.
[00:07:11.917 --> 00:07:13.818]  Now that's been going on for about six months.
[00:07:14.741 --> 00:07:24.375]  But the fact that they're now giving it the green light to let the American public know about it tells me that they're setting up their next phase of this operation right now.
[00:07:25.444 --> 00:07:35.353]  So the question then becomes, what is the Biden administration going to do to escalate their agenda of war against Russia?
[00:07:35.353 --> 00:07:46.442]  Which, of course, any expert and anybody with any sanity knows could lead to a nuclear conflict or even World War III, which would be devastating to the planet and just a horrific thing.
[00:07:46.442 --> 00:07:48.925]  But the Biden administration is greenlighting that as well.
[00:07:50.049 --> 00:07:51.750]  Now I don't want to spend too much time on that.
[00:07:51.750 --> 00:07:53.112]  We covered that in the last segment.
[00:07:53.112 --> 00:07:57.055]  I'm mentioning it now and I want to move on but I will just say this in closing.
[00:07:57.055 --> 00:08:05.422]  Let's not forget as the mainstream media and the American left comes after Elon Musk because he's an independent thinker.
[00:08:05.422 --> 00:08:14.630]  Let's not forget that they were hemming and hawing at Elon Musk earlier this year when he wanted to buy Twitter and it looks like that purchase may go through.
[00:08:15.560 --> 00:08:31.385]  The liberals at Twitter are trying to put it off until after the midterms because they want to use it to help rig the midterms with the censorship and the Democrat Party propaganda being promoted onto your news feeds and everyone else's news feeds that doesn't know any better.
[00:08:31.385 --> 00:08:33.226]  But remember, they told Elon Musk
[00:08:34.665 --> 00:08:46.136]  You're greedy, you're selfish, you're a bad person because you could solve world hunger with six billion dollars and you won't do that.
[00:08:46.136 --> 00:08:50.320]  Why won't you give six billion dollars to the UN to solve world hunger, Elon Musk?
[00:08:50.320 --> 00:08:51.361]  You're a bad guy.
[00:08:51.361 --> 00:08:53.383]  You're a horrible person, Elon Musk.
[00:08:53.383 --> 00:08:56.366]  You won't give six billion dollars to the UN to solve world hunger.
[00:08:56.366 --> 00:08:57.828]  But as of today,
[00:08:59.448 --> 00:09:04.255]  The Biden administration has given upwards of nearly $100 billion to the war in Ukraine.
[00:09:08.888 --> 00:09:20.075]  So according to the UN and the American left, the Biden administration could have solved world hunger 20 times over with the amount of money they've given to Ukraine.
[00:09:20.075 --> 00:09:28.261]  But I guess what are we supposed to take from that other than war is more important than solving world hunger to the Biden administration?
[00:09:28.261 --> 00:09:31.983]  I don't know how you can take anything other than that away from
[00:09:33.106 --> 00:09:34.106]  Those two developments.
[00:09:34.106 --> 00:09:37.848]  But of course, the truth is they were never serious about solving world hunger.
[00:09:37.848 --> 00:09:41.170]  They were never serious about that $6 billion to solve world hunger.
[00:09:41.170 --> 00:09:48.273]  That was just an attack against Elon Musk because they didn't like what he was doing and they were trying to bully, intimidate, and harass him.
[00:09:48.273 --> 00:09:50.214]  So that's what really gets proven here.
