[00:00:01.050 --> 00:00:02.652]  You want answers?
[00:00:02.652 --> 00:00:04.573]  Well, so does he.
[00:00:04.573 --> 00:00:08.397]  He's Alex Jones on the GCN Radio Network.
[00:00:08.397 --> 00:00:12.701]  And now, live from Austin, Texas, Alex Jones.
[00:00:12.701 --> 00:00:21.110]  Alright, in this hour, we'll get into all the official moves to tax and regulate free speech on the internet.
[00:00:21.110 --> 00:00:22.371]  Taxation on the net, here it is.
[00:00:23.303 --> 00:00:24.724]  Uh, Total Police State News.
[00:00:24.724 --> 00:00:27.725]  We'll get more into the camps, just in your face.
[00:00:27.725 --> 00:00:31.586]  And we now know the name of the current, uh, Homeland Security plan.
[00:00:31.586 --> 00:00:33.087]  It's called Endgame.
[00:00:33.087 --> 00:00:34.587]  It's called THE Endgame.
[00:00:34.587 --> 00:00:35.068]  Endgame.
[00:00:35.068 --> 00:00:36.088]  Operation Endgame.
[00:00:37.012 --> 00:00:38.673]  And Paul Watson's riding shotgun with us.
[00:00:38.673 --> 00:00:46.358]  I know that John and Elias and Paul and Rodney have been holding for a while, so we'll go to you early in the next segment after Paul covers some of the news.
[00:00:46.358 --> 00:00:52.161]  Paul Watson, you have been a busy little beaver, updating the site two, three times a day, writing multiple articles a day.
[00:00:52.161 --> 00:00:54.303]  I've been working with you on those as well.
[00:00:54.303 --> 00:00:56.504]  And there is so much to cover.
[00:00:56.504 --> 00:00:59.626]  And now it's basically admitted the government killed Diana, just calmly.
[00:00:59.626 --> 00:01:00.347]  We'll talk about that.
[00:01:00.347 --> 00:01:01.647]  There's so much going on.
[00:01:01.647 --> 00:01:03.208]  Thanks for coming on with us, Paul.
[00:01:03.208 --> 00:01:04.169]  Good to be back, Alex.
[00:01:05.060 --> 00:01:14.445]  The camp situation, you're facing similar legislation that's passed there, the civilian internment facilities, the Rational Relocation Centers as they're called in your news.
[00:01:14.445 --> 00:01:16.046]  Let's get into the camps right now.
[00:01:16.046 --> 00:01:23.330]  Well yeah, we have a situation whereby the president has declared himself to be a dictator.
[00:01:23.330 --> 00:01:27.412]  His cabinet have written memos saying that he's above the law.
[00:01:27.412 --> 00:01:33.495]  And his advisors are debating the legality of torturing children in front of their parents.
[00:01:34.597 --> 00:01:58.136]  So, as if that wasn't totalitarian enough, a company that's being engaged in, and actually lobbies for, the continuance of human trafficking and sex slaves, little girls and women, Halliburton and their subsidiary, Brown and Root, have been given a contract to build camps in America.
[00:01:58.136 --> 00:02:00.258]  And the parallel with Britain, as you mentioned,
[00:02:01.192 --> 00:02:17.903]  It's interesting because in America it was in the Washington Post that 325,000 are on the terrorist watch list but they assured us that only a tiny fraction are American citizens which I don't buy that for a second because
[00:02:18.981 --> 00:02:35.973]  The UK government admitted that it had 119,000 people, UK citizens, in the terror database under Section 44 of the Terrorism Act, which is basically a stop-and-search procedure which is being... And I was put in that.
[00:02:35.973 --> 00:02:39.855]  You were there and witnessed me being given the paperwork and put into the system.
[00:02:39.855 --> 00:02:42.437]  Yeah, they asked for your address, your details, your name.
[00:02:43.678 --> 00:02:44.739]  That's a free society.
[00:02:44.739 --> 00:02:49.005]  Secret police coming up to a camera crew and saying you're being put in the terror database.
[00:02:49.005 --> 00:02:49.806]  It's a free society.
[00:02:49.806 --> 00:02:52.609]  It's good to have secret agents and police milling around.
[00:02:52.609 --> 00:02:53.831]  That's freedom.
[00:02:53.831 --> 00:02:59.138]  Yeah, for the crime of filming some floral tribute outside of a tube station.
[00:03:00.979 --> 00:03:10.581]  Well, I mean, that's a conservative figure, 109,000, because it was taken before the London bombings, when they outrightly started doing it to everybody.
[00:03:10.581 --> 00:03:11.881]  Well, here's the analogy.
[00:03:11.881 --> 00:03:22.624]  If the Bush administration was, say, a dictatorship dog show, you know, they were looking for the pure breeds, all the markings, all the stature of a pure, dark, bloody,
[00:03:23.404 --> 00:03:26.045]  Ruthless tyranny, they would win the show.
[00:03:26.045 --> 00:03:35.008]  I mean, what they're setting up is the most gleaming, glistening, blistered with weapon systems all over it, and openly announcing pure evil.
[00:03:35.008 --> 00:03:39.729]  I mean, the Nazis didn't get up and say, we torture children in front of their parents to death.
[00:03:39.729 --> 00:03:41.830]  I mean, we've hit new levels here, folks.
