[00:00.000 --> 00:12.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:12.000 --> 00:26.000]  Here we are live, thank you so much for joining us, I'm your host Alex Jones, we'll be here
[00:26.000 --> 00:36.000]  in just two hours, it's already Sunday the 26th of February 2017, we're almost two months through
[00:36.000 --> 00:44.000]  the new year and 40-something days into what you'd call the attempt of nationalism and individualism
[00:44.000 --> 00:51.000]  to reassert itself over the globalist, which is just nothing but a corporate form of colonialism
[00:51.000 --> 00:58.000]  and world government over the nation-state, the family and the individual in an attempt to create
[00:58.000 --> 01:07.000]  a global consolidation over humanity. Trump continues to amaze, in fact, I've got to set aside a day
[01:07.000 --> 01:13.000]  just to go over all of our research and try to chronicle everything Trump's done legislatively,
[01:13.000 --> 01:20.000]  politically, culturally, spiritually, because all the time I just remember something else amazing he did
[01:20.000 --> 01:26.000]  and listen, I'm not just here cheerleading Trump, it's a fact you really can't avoid this.
[01:26.000 --> 01:31.000]  He came out in the last few days and said I'm not going to the White House Correspondence Dinner.
[01:31.000 --> 01:37.000]  You've turned it into a demonization of the presidency and a bullying fest and I'm the only reason
[01:37.000 --> 01:43.000]  there's ratings, MSM only has ratings when I'm on your channel, so guess what, I'm not going.
[01:43.000 --> 01:47.000]  He was actually nicer than that, but guaranteed that's the obvious reason.
[01:47.000 --> 01:53.000]  I kept saying weeks ago when MSM was like we're going to boycott or we're going to attack Trump with this,
[01:53.000 --> 02:00.000]  I said don't go and I said what is CNN and MSNBC doing the front row of the White House, press the court,
[02:00.000 --> 02:06.000]  let them in but just don't always just go to them like we're going to kiss their butt and they'll finally be nice.
[02:06.000 --> 02:13.000]  I say have a lottery where you literally put your name in as press, it scrambles it,
[02:13.000 --> 02:20.000]  and then they hand out a hundred of them or something, seriously.
[02:20.000 --> 02:28.000]  But now this week they had a press conference without CNN, The New York Times and others being there.
[02:28.000 --> 02:37.000]  Isn't that beautiful? Because hey, a lot of the times regular newspapers, radio stations, TV networks, stuff bigger than you.
