[00:00:01.596 --> 00:00:02.618]  It's official.
[00:00:03.118 --> 00:00:06.083]  They're now admitting Zelensky and NATO have lost the war in Ukraine.
[00:00:06.603 --> 00:00:07.985]  It's Tuesday, December 12th, 2023.
[00:00:08.686 --> 00:00:10.789]  This is gonna be one hell of a transmission.
[00:00:10.809 --> 00:00:12.632]  Tell everybody you know, tune in now.
[00:00:15.236 --> 00:00:16.037]  InfoWars.
[00:00:16.357 --> 00:00:17.920]  Tomorrow's news, today.
[00:00:25.578 --> 00:00:32.307]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:32.508 --> 00:00:34.671]  You better believe you got one!
[00:00:35.151 --> 00:00:41.760]  From the front lines of the Information War, it's Alex Jones.
[00:00:59.924 --> 00:01:24.626]  Former Italian Health Minister Roberto Speranza is under investigation for homicide after emails reveal that from the very start of the vaccinations he knew the shots were killing people and gave orders to local health authorities to conceal deaths and serious side effects in order to reassure Italian citizens of their safety and to not jeopardize the vaccination campaign.
[00:01:25.286 --> 00:01:29.190]  The story has been reported on both German and Italian news networks.
[00:01:29.871 --> 00:01:32.073]  I will now provide an English translation.
[00:01:33.334 --> 00:01:42.664]  The Rome Public Prosecutor's Office is investigating Roberto Speranza, the Italian government's health minister, during the time of COVID measures.
[00:01:43.144 --> 00:01:45.687]  He was responsible for the vaccination campaign.
[00:01:46.307 --> 00:01:53.892]  The investigations are the result of complaints related to the so-called AIFA emails from the Italian Medicines Agency.
[00:01:54.472 --> 00:01:59.715]  The former director of AIFA, Nicola Magrini, is also under investigation.
[00:02:00.295 --> 00:02:08.160]  The publication of these internal emails revealed that they had been aware of the dangers of the COVID vaccination from the start.
[00:02:08.720 --> 00:02:15.084]  The accusation is that the responsible minister and the head of the drug authority, knowingly and deliberately,
[00:02:15.544 --> 00:02:19.668]  Exposed the unsuspecting Italian population to this risk.
[00:02:20.228 --> 00:02:23.611]  Yes, they encouraged Italians to get vaccinated.
[00:02:24.091 --> 00:02:27.975]  Vaccination was even made mandatory for certain professional groups.
[00:02:28.455 --> 00:02:30.437]  Consequently, many side effects.
[00:02:30.777 --> 00:02:32.997]  Including fatal ones came to light.
[00:02:33.478 --> 00:02:38.018]  The investigations are for murder, serious bodily harm, and more.
[00:02:38.418 --> 00:02:56.662]  Because Speranza and Magrini evidently gave instructions to the local health authorities to conceal the deaths and serious side effects that occurred immediately after the vaccinations began in order not to jeopardize the vaccination campaign and to reassure the citizens about their safety.
[00:02:57.262 --> 00:03:02.589]  The responsible minister and the head of IEFA are now expected to answer for these actions.
[00:03:03.070 --> 00:03:12.822]  According to the complaints from the police unions and the financial police, as well as from the private organization, Listen to Me, which represents 4,200 people damaged by vaccines.
[00:03:15.806 --> 00:03:21.471]  In Italy, police officers and teachers were subjected to mandatory COVID vaccination.
[00:03:21.871 --> 00:03:28.877]  Here is the former health minister, Roberto Speranza, proudly announcing vaccination statistics in Italy.
[00:03:29.738 --> 00:03:34.562]  We have now reached a massively significant percentage of vaccinated people in Italy, 89.41%.
[00:03:34.602 --> 00:03:37.184]  Therefore, currently in Italy, just over 10% of the population remains unvaccinated.
[00:03:45.071 --> 00:03:51.895]  Well, today, Roberto Speranza is under investigation for lies he allegedly told about vaccines.
[00:03:52.395 --> 00:03:56.797]  Among the crimes he is accused of are ideological falsehood and murder.
[00:03:57.298 --> 00:04:00.780]  Look, this is the document we are showing you tonight exclusively.
[00:04:01.240 --> 00:04:13.447]  It states the former minister, Roberto Speranza, along with Nicola Magrini, the former general manager of AIFA, are both registered in the investigative records of the Rome Prosecutor's Office.
[00:04:14.287 --> 00:04:25.255]  Last week, the House of Representatives of the Philippines passed a resolution to investigate over 260,000 unexplained excess deaths in 2021 and 67,000 unexplained excess deaths in 2022.
[00:04:25.315 --> 00:04:27.936]  The next day, they were hit by a 7.6 magnitude earthquake.
[00:04:27.976 --> 00:04:29.818]  Reporting for InfoWars, this is Greg Reese.
[00:05:01.224 --> 00:05:04.686]  Never forget that the answer to 1984 is 1776.
[00:05:06.087 --> 00:05:10.329]  We've come a long way in the fight against tyranny, and it's been listeners and viewers like you that have kept us on air.
[00:05:10.489 --> 00:05:20.255]  That's why we bring you the very best products, so you love them, so you enjoy them, as you come back and get them again and again, so we can stay on the air in the fight against the globalists, because it's viewers like you that keep this operation on air.
[00:05:20.715 --> 00:05:21.316]  And here we are.
[00:05:21.356 --> 00:05:22.217]  Another Christmas is here.
[00:05:22.577 --> 00:05:23.819]  Being the biggest sale of the year.
[00:05:24.259 --> 00:05:25.180]  Storewide free shipping.
[00:05:25.541 --> 00:05:26.582]  Double Patriot points.
[00:05:26.942 --> 00:05:28.104]  Up to 60% off.
[00:05:28.484 --> 00:05:29.185]  Storewide.
[00:05:29.425 --> 00:05:31.147]  My new book, The Great Awakening.
[00:05:31.428 --> 00:05:32.749]  Get a signed or unsigned copy.
[00:05:32.869 --> 00:05:33.530]  It's all there.
[00:05:33.770 --> 00:05:34.231]  X2.
[00:05:34.571 --> 00:05:35.713]  Finally back in stock.
[00:05:36.033 --> 00:05:36.774]  Turbo Force.
[00:05:37.014 --> 00:05:38.154]  Finally, back in stock.
[00:05:38.274 --> 00:05:40.735]  It's all there at InfoWarStore.com.
[00:05:41.035 --> 00:05:42.535]  So I want to wish you all a Merry Christmas.
[00:05:42.555 --> 00:05:44.396]  I want to thank you all for your support.
[00:05:44.416 --> 00:05:45.316]  We're in this fight together.
[00:05:45.336 --> 00:05:55.239]  And I want to encourage you now to get storewide free shipping, double Patriot points, up to 60% off on all the great products at InfoWarStore.com or 888-253-3139.
[00:05:55.279 --> 00:05:56.139]  InfoWarStore.com.
[00:06:07.609 --> 00:06:11.510]  If you are receiving this transmission, you are the resistance.
[00:06:12.590 --> 00:06:17.871]  Live from Freedom Command Central, it's the Alex Jones Show!
[00:06:31.894 --> 00:06:32.654]  We're live!
[00:06:33.134 --> 00:06:35.375]  Another historic transmission now begins.
[00:06:36.408 --> 00:06:37.568]  Tuesday, December 12th, 2023.
