[00:00.000 --> 00:11.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:19.000 --> 00:27.000]  The globalists are a bunch of entitled nobodies that were handed power by the Robber Baron class in the last hundred years.
[00:27.000 --> 00:33.000]  They were handed power to try to control the population and all they've done is screwed everything up
[00:33.000 --> 00:39.000]  and basically created a lot of unintentional comedy as they get more and more insane.
[00:39.000 --> 00:46.000]  Like Morgan Friedman coming out yesterday and saying that basically we are at war with Russia.
[00:46.000 --> 00:52.000]  He basically then goes on to declare war on Russia and says there are enemy.
[00:52.000 --> 01:00.000]  It's the same talking point that they have put out on many other outlets, many other publications from GQ to CNN.
[01:00.000 --> 01:07.000]  Heath Oberman's been spouting it. Russians scum. We are now at war with Russia. We are at war.
[01:07.000 --> 01:13.000]  These are quotes from Morgan Friedman and they just follow the same insane beyond McCarthyite statement
[01:13.000 --> 01:19.000]  because McCarthy was right about the Democratic Party and the Russians when some of them were communists back then.
[01:19.000 --> 01:24.000]  And their government was led by it. It is amazing. That's all coming up.
[01:24.000 --> 01:31.000]  And video of Hillary saying she's the modern day Paul Revere. Yes, I'm not joking. I talk about unintentional comedy.
[01:31.000 --> 01:38.000]  There it is. It's very sickening. That's up on newswars.com and infowars.com.
[01:38.000 --> 01:44.000]  Dr. Carlson is on fire in a clip we're going to play. He says we live in a country with deeply corrupt institutions
[01:44.000 --> 01:55.000]  breaking down the illegal spotting on Trump and on his coterie of advisors and campaign officials.
[01:55.000 --> 02:03.000]  Caught red-handed. And we have an epic fail video coming up of late night comedy.
[02:03.000 --> 02:16.000]  Late night comedy. So-called teleprompter reader programs where they sit there and engage in comedy about as funny as your neighbor's dog
[02:16.000 --> 02:23.000]  going to the bathroom on your front lawn and just demonize America, demonize flyover country, demonize Christians
[02:23.000 --> 02:29.000]  and lie about Trump and say over and over again, he's an idiot. He's a liar. He's a scumbag. He's a fool.
[02:29.000 --> 02:35.000]  Nobody tapped him. Nobody tapped Trump Tower. Nobody tapped his campaign chairman.
[02:35.000 --> 02:43.000]  And now we know that Trump was absolutely correct because it's all coming out in court and it's all coming out in congressional investigations.
[02:43.000 --> 02:52.000]  They were using the FISA court. They were using the FBI. They were using the Justice Department and that's just what we know about.
[02:52.000 --> 03:01.000]  But remember, we saw James Clapper, the guy that a few years ago said, we don't spy on any Americans ever.
[03:01.000 --> 03:08.000]  Which was total perjury. He's the same guy making the rounds going, oh, no, no, no, no, no.
[03:08.000 --> 03:13.000]  We've never spied on Trump. And of course, he's been proven to be a liar.
[03:13.000 --> 03:22.000]  Talk about egg on their face. And he's another doddering, arrogant nobody who was put there by the corrupt establishment
[03:22.000 --> 03:29.000]  because he'll engage in any criminal activity he can. He'll engage in bald face lying to you over and over again.
[03:29.000 --> 03:37.000]  He's another sniveling nobody who's been feeding off this country forever and is an absolute disgusting creature.
[03:37.000 --> 03:47.000]  Now, yesterday, right after I got off air, a huge earthquake, 7.1 hit right in the middle of Mexico City.
[03:47.000 --> 03:53.000]  Mexico City is built on a giant fault line and is surrounded by extinct volcanoes.
[03:53.000 --> 04:02.000]  Some of them though are semi-active. And I saw the videos of folks out, you know, on the river laughing as the wave slosh back and forth
[04:02.000 --> 04:08.000]  or people standing around videotaping hotels, swimming pools, sloshing back and forth.
[04:08.000 --> 04:16.000]  But then we began to learn that it's now more than 248 killed. That's the latest numbers out, at least 20 children.
[04:16.000 --> 04:26.000]  So this is a disaster, obviously, and absolutely horrible and hits one of the largest cities in the world.
[04:26.000 --> 04:34.000]  20 people in the city, another 15 million metro, 35 million people. This is just terrible.
[04:34.000 --> 04:41.000]  And I knew it was going to be bad financially yesterday, but we didn't get reports for hours of deaths.
[04:41.000 --> 04:48.000]  This is really a giant disaster. I mean, wow. And just like it said in biblical times, things come in clusters.
[04:48.000 --> 04:54.000]  We've got the biggest hurricane ever to hit areas of the Caribbean. We're going to be getting into as well.
[04:54.000 --> 04:58.000]  It's all coming up. Stay with us. And we've got Trump's speech at the UN.
[05:24.000 --> 05:28.000]  We esteem too lightly. It is dearness only that gives everything its value.
[05:28.000 --> 05:37.000]  Heaven knows how to put a proper price on its goods, and it would be strange indeed if so celestial an article as freedom should not be highly rated.
[05:37.000 --> 05:45.000]  Britain, with an army to enforce her tyranny, has declared that she has a right not only to tax, but to bind us in all cases whatsoever.
[05:45.000 --> 05:51.000]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon Earth.
[05:51.000 --> 05:56.000]  Even the expression is impious, for so unlimited a power can only belong to God.
[05:56.000 --> 06:00.000]  Thomas Paine, The American Crisis.
[06:00.000 --> 06:08.000]  As most of you already know, I am a voracious consumer of news and information, and in the last four or five years doing more and more research,
[06:08.000 --> 06:18.000]  I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[06:18.000 --> 06:27.000]  Our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing, and so I set out to develop caveman,
[06:27.000 --> 06:38.000]  but to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[06:38.000 --> 06:48.000]  Info Wars isn't just fighting the globalist, we're getting results, and we're expanding in the face of the complete media assault and winning because of your support.
[06:48.000 --> 07:10.000]  Caveman is back in stock, people absolutely love it, so please secure your caveman today at infowarslife.com or by calling toll-free, triple-A-253-3139.
[07:19.000 --> 07:27.000]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticle.
[07:27.000 --> 07:30.000]  The larger the particle, the safer it is for your body.
[07:30.000 --> 07:39.000]  The organic oils help hydrate the skin, leaving it nice and smooth, the truly natural fragrance-free sunscreen for the most sensitive skin.
[07:39.000 --> 07:50.000]  Emrex Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life. Naturally protect your skin with SPF 30 sunscreen lotion by Emrex Essentials.
[07:50.000 --> 07:53.000]  Stop exposing yourself and your family to toxic ingredients.
[07:53.000 --> 08:16.000]  Visit infowarsstore.com and learn more about the new SPF 30 sunscreen lotion.
[08:16.000 --> 08:36.000]  We now take you live to the Central Texas Command Center in the heart of the resistance, it's Alex Jones.
[08:36.000 --> 08:59.000]  Wow, just last week we saw a 8.1 earthquake hit southern Mexico, northern Central America, Guatemala, and we pointed out that much of the Americas that goes along the Pacific Rim has been overdue for megacwates,
[08:59.000 --> 09:06.000]  according to most of the seismologists and experts out there.
[09:06.000 --> 09:19.000]  And you can see how all along the Pacific Rim, down the Pacific coast of North America, Central America, and South America, you see big giant quakes going off, particularly in Mexico in the last two weeks.
[09:19.000 --> 09:39.000]  Now you know who's next in line, El Norte. So we're dealing with a 7.1 that hit right dead smack middle in the big valley surrounded by volcanoes that is Mexico City.
[09:39.000 --> 09:59.000]  And you've got the rest of the Pacific Rim, the most active it's been in recorded history. And that earthquake that hit Mexico a week and a half ago was the biggest ever recorded since they've had seismology, since they've had seismographs.
[09:59.000 --> 10:22.000]  And the latest numbers to come out, they're rising by the hour, unfortunately, 20 children, school children, among the 248 killed in Mexico after their school collapsed during a 7.1 magnitude earthquake that triggered explosions, collapsed buildings and sent people fleeing into the streets.
[10:22.000 --> 10:39.000]  And the footage is obviously dramatic. We're talking about swimming pools being completely emptied out because they're sloshing so hard. We're talking about 5, 10, 15 story buildings collapsing, larger buildings partially collapsing.
[10:39.000 --> 10:55.000]  And we were covering it right as the broadcast ended yesterday. It went into Owen Shroyer and Roger Stone and the war room that there's three to six p.m. central now, syndicated radio slash television. So we had live coverage of that, but I had no idea.
[10:55.000 --> 11:13.000]  There's so many videos we saw where people taking it stride or just holding on to a tree that it killed so many people and undoubtedly this is so big that this is the biggest disaster probably ever in Mexico history because the population is triple what it was just 50 years ago.
[11:13.000 --> 11:27.000]  So, metrically, as populations go up, as there's more buildings, as there's more infrastructure, earthquakes, even if you have more sturdy buildings are still going to statistically kill more people.
[11:27.000 --> 11:35.000]  And California is due for an eight or larger at any time.
[11:35.000 --> 11:45.000]  So just put that in your pipe and smoke it. So we should all be praying for Mexico and trying to send support down there as well.
[11:45.000 --> 12:04.000]  However, the different charities and organizations see see best for us to donate. Obviously smaller charities are generally better that have long track records of helping folks. The Red Cross love my wife to death.
[12:04.000 --> 12:21.000]  I noticed a checkbook laying there and she's written a big check to the Red Cross and I said, baby, I know you're smart. But if you're going to give the charities, please do research. I gave a check to Salvation Army for what happened in Florida and a week before what happened in Houston.
[12:21.000 --> 12:35.000]  Not because I'm some goody two shoes guy, but it's just the right thing to do. Plus the Salvation Army, about 90% of the food, the shelter, the blankets, the educational training, things like that actually gets to the people.
[12:35.000 --> 12:45.000]  And it's a Christian organization. And it's far from perfect. It's got its problems. But the Red Cross is an anti-gun, anti-Christian organization. A lot of good people volunteer for it.
[12:45.000 --> 12:59.000]  Like my wife. But it's just so frustrating because you don't want to tell somebody, hey, you're given to a bad charity. You don't want to put somebody down. So everybody just do your research. That's all I'm saying.
[12:59.000 --> 13:16.000]  Because the Red Cross is a globalist organization. At least 248 people are dead after a 7.1 magnitude earthquake hit Mexico yesterday, causing widespread devastation across Mexico where a school has collapsed.
[13:16.000 --> 13:31.000]  20 children and two adults were confirmed dead after being found in the debris of the Rebsman School with a further 30 children and eight adults still missing as 2am today.
[13:31.000 --> 13:50.000]  The tremor struck near the state town of Robaso. Am I pronouncing that right? About 75 miles southeast of Mexico City and came on the anniversary of another devastating earthquake in 1985.
[13:50.000 --> 14:05.000]  See how history rhymes or repeats itself? It also came just days after another 8.1 magnitude earthquake which struck Chiapas killed at least 98 people and hours after nationwide emergency practice drills.
[14:05.000 --> 14:17.000]  Horrifying images coming out of the country's capital show rubble strewn across roads and enormous chunks of collapsed buildings laying on the ground with hundreds of terrified locals fleeing onto the streets.
[14:17.000 --> 14:30.000]  Volunteer rescue worker Pedro Serrano, 29, a doctor who was one of the rescuers who managed to make it inside a collapsed school where he found a classroom with all of the occupants dead.
[14:30.000 --> 14:35.000]  That's not a fun job, is that? Oh man, that's horrible.
[14:35.000 --> 14:54.000]  Mexico earthquake has killed a lot of people, so pray for folks, give them support, and most importantly, realize that this is a very, very unstable planet we live on, very close to a big, unstable sun.
[14:54.000 --> 15:05.000]  And the only thing constant is change. And so when they tell you, pay your carbon taxes or they seize on this and say, oh look, it's Trump's fault, God is cursing us, which the Democrats and liberals are doing.
[15:05.000 --> 15:13.000]  I have a big story from infowars.com showing it. You have to understand that this is part of life on this planet.
[15:13.000 --> 15:35.000]  And this is what happens. So if a tsunami hits you or an earthquake happens, that's not because you're an evil person, it's because that's the ever-changing planet we live on, hurricanes, cyclones, typhoons, earthquakes, volcanoes.
[15:35.000 --> 15:46.000]  When Mount St. Helens blew up in what, 1980, and killed thousands of people, it's not because Oregon was evil and deserved it.
[15:46.000 --> 15:56.000]  It was because we live on an active volcanic planet. That's why. It's part of life.
[15:56.000 --> 16:11.000]  The way God curses us is us cursing ourselves and being corrupt and being evil and letting corruption take over. And if you look at all of the abuses of government and corrupt institutions, it's hundreds of times what natural disasters are.
[16:11.000 --> 16:20.000]  And I love how the left always says it's voodoo when some Christian preacher says, we've been hit by a hurricane because there's gay people in Florida or whatever.
[16:20.000 --> 16:27.000]  And quite frankly, that is discrediting voodoo, in my view. The preacher doesn't speak for God.
[16:27.000 --> 16:43.000]  But it's just as bad when some leftist says, good, God sent a hurricane to kill all the rednecks in Texas or kill all the Trump voters in Florida when movie stars come out and say that.
[16:43.000 --> 16:54.000]  It's mental illness. It's wrong when people like Jennifer Lawrence say that.
[16:54.000 --> 16:57.000]  We're going to be covering it all. And here's a report.
[16:57.000 --> 17:05.000]  Trump offers condolences to Mexico after 7.1 quake left to still attack the president on Twitter.
[17:05.000 --> 17:18.000]  God bless the people of Mexico. City Trump tweeted and stated within minutes of the 7.1 magnitude earthquake striking Mexico City Tuesday, President Trump and his wife offered swift condolences.
[17:18.000 --> 17:25.000]  But that wasn't enough for leftists, many of whom didn't bother to check whether the U.S. president had commented on the earthquake.
[17:25.000 --> 17:34.000]  Instead of focusing on the relief efforts, Trump haters predictably use the latest Mexico City quake as another opportunity to attack Trump.
[17:34.000 --> 17:42.000]  City catches on fire, two deadly hurricanes and counting, and at least 50 people die from earthquake.
[17:42.000 --> 17:51.000]  Trump, yeah, no climate, no real. What does that mean for Mr. Trihorse?
[17:51.000 --> 18:03.000]  It's another stupid voodoo statement. Others even blame Trump for the earthquake, and others asked if Trump would finally acknowledge climate change with one stating, God's not helping, so we have to.
[18:03.000 --> 18:09.000]  Wanting Trump to again come out and make statements he'd already made.
[18:09.000 --> 18:15.000]  Here's another statement, waiting for Trump to ignore the earthquake in Mexico City, still deny climate change is a thing.
[18:15.000 --> 18:21.000]  So now they're saying earthquakes are man-made anthropogenic climate change.
[18:21.000 --> 18:30.000]  First it was global freezing was man in the 80s, then it was global warming, then it started cooling off a little bit, they went, it's just changed, period.
[18:30.000 --> 18:37.000]  And now they've moved on with the total made up garbage that earthquakes are caused by humans.
[18:37.000 --> 18:48.000]  No, they're caused by the gigantic sun that's firing all different sorts of ions and different radiation wavelengths at the giant earth.
[18:48.000 --> 19:06.000]  And then that energy goes in and builds up on the outside and penetrates the crust and it causes electromagnetic reflections with the nickel core of the planet.
[19:06.000 --> 19:12.000]  It's got so much gravity, it's solid, even though it's super hot.
[19:12.000 --> 19:25.000]  And then that causes all sorts of reflections back and forth between the crust, the mantle and the core of the earth with the sun's radiation and that's directly linked to earthquakes.
[19:25.000 --> 19:34.000]  What's been happening the last three weeks, mega mass coronal ejections from the sun.
[19:34.000 --> 19:46.000]  And they haven't been directly hitting us as they shoot out like flamethrowers, but then as the sun turns, the dissipated storms still hit us and they're massive and they blow out satellites.
[19:46.000 --> 19:50.000]  And if you're an astronaut up there and one of them hits you, it'll kill you.
[19:50.000 --> 19:59.000]  And that's what's driving these earthquakes is the sun, the sun, the sun, the sun, the sun will be back.
[19:59.000 --> 20:08.000]  You want to save money in a place that gives you growth, control and certainty without stock market risk or tax risk and you want guarantees and you want it all tax free.
[20:08.000 --> 20:10.000]  That's a tall order.
[20:10.000 --> 20:14.000]  But you can get all of that with properly designed participating whole life insurance.
[20:14.000 --> 20:17.000]  Most people think life insurance pays after you're dead.
[20:17.000 --> 20:18.000]  That's true.
[20:18.000 --> 20:22.000]  But you can have tax free access to use your life insurance while you're alive.
[20:22.000 --> 20:29.000]  Get the free book to find out how call 702-6607000.
[20:52.000 --> 20:58.000]  Check out the promotion sales tab at katiearmor.com.
[20:58.000 --> 21:04.000]  After being sold out for months, our best selling Super Blue fluoride toothpaste is now back in stock at m4store.com.
[21:04.000 --> 21:07.000]  The first shipment of Super Blue sold out in one week.
