[00:00.000 --> 00:24.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:24.000 --> 00:42.000]  Well, we're going to talk about what's really important here today, ladies and gentlemen.
[00:42.000 --> 00:53.000]  At least in the last 30 minutes of the broadcast, in about an hour and a half, we're going to talk about the Dallas Cowboys and the Green Bay Packers game Dallas losing in the fourth quarter.
[00:53.000 --> 00:58.000]  With two touchdowns, because I'm the big sports broadcaster now.
[00:58.000 --> 01:06.000]  We're going to talk conspiracy. I'm not a conspiracy theorist, but everyone I know, I didn't watch the game.
[01:06.000 --> 01:13.000]  Even though I was at a laser tag place with my children, they had it up on big screen televisions everywhere.
[01:13.000 --> 01:19.000]  The parents were all there ignoring their children and watching the game. So I saw some of it, but I wasn't officially watching it.
[01:19.000 --> 01:25.000]  He is a controversy. Did Des Bryant get robbed of an amazing catch?
[01:25.000 --> 01:36.000]  Well, I've seen the play replayed over and over again. I'm no NFL ref, but call me a turnip plant if he didn't catch the ball fair and square.
[01:36.000 --> 01:38.000]  And there were some other plays like that.
[01:38.000 --> 01:51.000]  So we called Brian two. He, of course, has been a guest on everything from ESPN to you name it. He wrote the fixes in.
[01:51.000 --> 02:03.000]  Professional sports, but also right now the high school sports has massive betting on it and fixing games, fixing boxing matches is ubiquitous.
[02:03.000 --> 02:15.000]  There is a massive cultural conspiracy, though, of not wanting to admit it because it's become the center of American life, at least the center of American male life.
[02:15.000 --> 02:21.000]  So we will talk to the author of The Fix is Ian.
[02:21.000 --> 02:29.000]  You know what? Let's just get him on at the start of the second hour. I said the last 30 minutes. Let's do the start of the second hour if he can do it.
[02:29.000 --> 02:34.000]  I know we called him on short notice. We called him and I said, does this look staged because a lot of stuff we call him on.
[02:34.000 --> 02:40.000]  He says, no, it doesn't look staged. He said very, very suspicious and he's gotten into the secretive FBI files.
[02:40.000 --> 02:48.000]  You name it and gotten documents out. Nobody else has. So he is the expert on fixing games. That is from a journalist perspective.
[02:48.000 --> 02:55.000]  Obviously, we know who the real expert is. Be somebody like Don King or folks out in Las Vegas.
