[00:00.000 --> 00:01.840]  replace the
[00:01.840 --> 00:10.340]  charger in the sun, plug in your application and you have power. Disconnect your application, the system automatically begins charging its own rechargeable batteries.
[00:10.340 --> 00:19.200]  Get the incredible Berkey solar charger for only $75 by calling new millennium at 888-8034-438
[00:19.200 --> 00:25.200]  and tell them Alex Jones sent you. That's toll-free-888-8034-438.
[00:25.200 --> 00:34.200]  Waging war on corruption, Alex Jones on the GCN Radio Network.
[00:40.200 --> 00:52.200]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN Radio Network.
[00:52.200 --> 00:56.200]  Live from Austin, Texas, Alex Jones.
[00:58.200 --> 01:04.200]  It is January 1st, 2007. Unbelievable.
[01:04.200 --> 01:10.200]  Wide open phones in this third hour at 1-800-2599-241.
[01:10.200 --> 01:16.200]  Coming up, U.S. licensed a snoop on all air travelers' emails.
[01:16.200 --> 01:26.200]  They're not just going to get into your email account. See, everything's hooked directly into them now, but they're selling it that it's just for foreign travelers from England to the U.S.
[01:26.200 --> 01:28.200]  Now, it's everybody. We'll get into that.
[01:28.200 --> 01:33.200]  We will also get into a bunch of news on the economy.
[01:33.200 --> 01:44.200]  A lot of key news coming up this hour, and I will play a clip of my September 11th radio show in the next segment.
[01:44.200 --> 01:49.200]  I'll do that starting the next segment and set it up and tell you why I'm playing it.
[01:49.200 --> 01:55.200]  First time it's been, well, I played a little bit of it last time. I'm going to play more today.
[01:55.200 --> 02:03.200]  But, you know, in fact, I was telling you, John, to play that 12 minutes in. Why don't we start playing that?
[02:03.200 --> 02:10.200]  Why don't we start playing that like 8 minutes in as a better setup in the Jimmy Wright, the engineer?
[02:10.200 --> 02:18.200]  Or just maybe when the second segment starts, we'll skip the break that day because it was 9-11.
[02:18.200 --> 02:21.200]  But that's coming up in, of course, your calls.
[02:21.200 --> 02:26.200]  Back to the Saddam thing. Everybody got confused. They said, well, there's clearly a fake Saddam.
[02:26.200 --> 02:33.200]  And Saddam admittedly had upwards of 10 body doubles at any one time. They admit many of our presidents would do it.
[02:33.200 --> 02:40.200]  Like when Bush comes to town, a lot of times they'll have one guy that looks like him in a limo drive and then with a big convoy as a diversion
[02:40.200 --> 02:45.200]  and then a helicopter will land on the lawn of the person's house he's going to for a fundraiser.
[02:45.200 --> 02:52.200]  You know, they do that. Just a lot of the doubles aren't that good. They only have to look like doubles at a distance.
[02:52.200 --> 02:56.200]  A lot of times the Bush daughters, this has been picked up by the press, will go to a baseball game.
[02:56.200 --> 03:04.200]  They don't have a dark-haired and a blonde-haired girl with similar look, just similar in sitting in front of them who were, quote, their friends.
[03:04.200 --> 03:07.200]  They're always so stupid. They don't know they're being recruited for that.
[03:07.200 --> 03:12.200]  And then they stick them right in front of them at these events.
[03:12.200 --> 03:16.200]  Perfect case of compartmentalization.
[03:16.200 --> 03:18.200]  So we know Saddam has doubles.
[03:18.200 --> 03:32.200]  And we know clearly from the measurements of the face, from the cleft of the chin, from the teeth that the individual in the olive drab outfit with the effeminate face
[03:32.200 --> 03:38.200]  doesn't have a fire in the eyes. The eyes have it. Isn't Saddam Hussein?
[03:38.200 --> 03:42.200]  The guy they hung was Saddam Hussein.
[03:42.200 --> 03:44.200]  Now, was it a superimposed video of him?
[03:44.200 --> 03:50.200]  Was that all edited together? It may be real video of Saddam somewhere else, superimposed.
[03:50.200 --> 03:54.200]  They can do that very easily with morphing and technologies that are decades old.
[03:54.200 --> 03:59.200]  But that had the fire in the eyes. That was the real Saddam Hussein.
[03:59.200 --> 04:01.200]  And I tend to believe it was real.
[04:01.200 --> 04:07.200]  But again, there's so many facets to why I come to that conclusion.
[04:07.200 --> 04:09.200]  And it doesn't mean I'm right.
[04:09.200 --> 04:16.200]  But everybody got confused thinking the guy in the spider hole was a Saddam when it was.
[04:16.200 --> 04:23.200]  Because they look at the other doubles, namely the last double we saw, who wasn't a very good double.
[04:23.200 --> 04:26.200]  And then they act like that Saddam people do.
[04:26.200 --> 04:33.200]  And then compare it to the spider Saddam, the spider hole Saddam, and then say, well, then one of them's fake.
[04:33.200 --> 04:39.200]  Well, I'd seen a lot of old photos of Saddam, a lot of old video, but after they hung him and built up the hanging,
[04:39.200 --> 04:44.200]  I did watch hours of TV. I don't normally, but I watched hours of TV at home and at the office.
[04:44.200 --> 04:47.200]  Probably five hours of it. I was riveting.
[04:47.200 --> 04:50.200]  And they showed all this old footage I hadn't seen in years.
[04:50.200 --> 04:53.200]  And it showed the skinnier, younger Saddam.
[04:53.200 --> 04:56.200]  And it was the same guy they'd hung.
[04:56.200 --> 05:00.200]  Getting to see all those old state TV stuff.
[05:00.200 --> 05:03.200]  Yeah, it was the same guy.
[05:03.200 --> 05:07.200]  The guy they found in the spider hole, the guy who'd lost all the weight.
[05:07.200 --> 05:11.200]  See, he gained weight up until the war, and then he lost a lot of weight after.
[05:11.200 --> 05:13.200]  That was Saddam Hussein.
[05:13.200 --> 05:18.200]  Now I will briefly talk about the propaganda value of this video.
[05:18.200 --> 05:20.200]  Okay, briefly.
[05:20.200 --> 05:24.200]  And then we'll go to this clip and back to your calls and the news.
[05:24.200 --> 05:27.200]  JonesReport.com, infowars.net.
[05:27.200 --> 05:30.200]  MarshallLaw911.info.
[05:30.200 --> 05:33.200]  Or just some of our family of sites. Check them out today.
[05:38.200 --> 05:42.200]  It's here after a year in production and traveling the distant lands.
[05:42.200 --> 05:44.200]  My new film Terror Storm is complete.
[05:44.200 --> 05:49.200]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks
[05:49.200 --> 05:52.200]  against their own populations as a pretext to enslave them.
[05:52.200 --> 05:56.200]  Terror Storm proves that not only was 9-11 an inside job,
[05:56.200 --> 06:00.200]  but the attacks of 7-7 in London were carried out by British intelligence.
[06:00.200 --> 06:03.200]  Terror Storm Chronicles, the lies that took us to war in Iran,
[06:03.200 --> 06:09.200]  a White House program to disseminate fake news, NSA spy, secret police torture,
[06:09.200 --> 06:12.200]  the latest 9-11 information, and much, much more.
[06:12.200 --> 06:16.200]  Terror Storm is the definitive guide to the history of government sponsored terrorism.
[06:16.200 --> 06:18.200]  It's an anthology of government crimes.
[06:18.200 --> 06:22.200]  Terror Storm is a film that everyone who wants to be truly informed must see.
[06:22.200 --> 06:26.200]  Get your copy today at infowars.com or prisonplanet.com,
[06:26.200 --> 06:31.200]  or by calling toll-free 1-888-2533139,
[06:31.200 --> 06:35.200]  or watch it right now online at prisonplanet.tv.
[06:35.200 --> 06:41.200]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[06:41.200 --> 06:46.200]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere,
[06:46.200 --> 06:49.200]  which are then readily absorbed into the body.
[06:49.200 --> 06:53.200]  Medical course potassium iodate gives you virtually complete protection
[06:53.200 --> 06:56.200]  from the most feared consequence of a nuclear accident.
