[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:21.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:21.000 --> 00:26.000]  Welcome to the Alex Jones Show on this Tuesday, December 29, 2014.
[00:26.000 --> 00:28.000]  I'm David Knight, your host today.
[00:28.000 --> 00:36.000]  We're going to have a vintage report from Alex Jones talking about the venal culture coming up in this hour.
[00:36.000 --> 00:39.000]  We've seen this happen with the Sony interview.
[00:39.000 --> 00:46.000]  We saw that transform from just silly gossip about stars that just really took over the media.
[00:46.000 --> 00:52.000]  Then it turned into a kind of a sigh-up for the CIA, this North Korean narrative.
[00:52.000 --> 00:57.000]  What they wound up doing was promoting assassination and internet control.
[00:57.000 --> 01:01.000]  It all worked out pretty well for Sony, worked out pretty well for the US government.
[01:01.000 --> 01:04.000]  You've got people standing up, singing God Bless America,
[01:04.000 --> 01:09.000]  seeing going to this stupid comedy as an act of patriotism.
[01:09.000 --> 01:11.000]  That's the kind of desperate straights we're in.
[01:11.000 --> 01:13.000]  That's why this is an information war.
[01:13.000 --> 01:15.000]  We need to get people to understand what's going on.
[01:15.000 --> 01:17.000]  We're going to talk about what's behind that.
[01:17.000 --> 01:20.000]  We're also going to talk about the other aspect of assassination.
[01:20.000 --> 01:22.000]  Joe Biggs is going to also be joining us this hour.
[01:22.000 --> 01:23.000]  He's going to be live in the studio.
[01:23.000 --> 01:27.000]  We're going to talk about a new email that actually it's new to me.
[01:27.000 --> 01:33.000]  It's an email from the stash of emails that WikiLeaks got from Stratfor several years ago.
[01:33.000 --> 01:36.000]  It's about five million emails, but I don't think they saw this email.
[01:36.000 --> 01:40.000]  At least we didn't see this before and talk about it until just recently.
[01:40.000 --> 01:47.000]  It's an email between people within Stratfor talking about John Brennan's witch hunt against journalists.
[01:47.000 --> 01:53.000]  We're going to talk to Joe Biggs about that because, of course, Joe Biggs got involved here with InfoWars.
[01:53.000 --> 01:59.000]  When he started investigating the death of his friend, we believe it was an assassination, Michael Hastings.
[01:59.000 --> 02:05.000]  He was one of the people who really took this seriously, more seriously even than Michael Hastings' wife,
[02:05.000 --> 02:11.000]  who after her ties with the administration, she kind of just went quiet.
[02:11.000 --> 02:15.000]  Initially, she seemed to be very upset about it, but then she went quiet.
[02:15.000 --> 02:19.000]  So Joe kept investigating that. That's why we wanted to have Joe Biggs here.
[02:19.000 --> 02:25.000]  We're also going to have John Rappaport joining us in the third hour talking about another kind of Psyop.
[02:25.000 --> 02:30.000]  This Psyop in the war of GMO, whether or not we're going to have our food label.
[02:30.000 --> 02:37.000]  But more importantly, I think, is looking at the real source, maybe adjusting our way that we're looking at this issue.
[02:37.000 --> 02:43.000]  Maybe it's not really about labeling. Maybe it's about just stopping it at the source.
[02:43.000 --> 02:50.000]  We've had victories in that. And as John Rappaport talks about in an article that we had on InfoWars.com this last weekend,
[02:50.000 --> 02:57.000]  you can see that right there if you're looking at it, the secret GMO war, double agents betrayal and greed.
[02:57.000 --> 03:01.000]  And so we're going to talk to him about that article and about a lot of other things that have just come out about GMO,
[03:01.000 --> 03:03.000]  where he thinks this is going to head this year.
[03:03.000 --> 03:11.000]  We've got an article up today on InfoWars.com, a new article about Monsanto trying to assert a patent over tomatoes.
[03:11.000 --> 03:20.000]  There's a non-GMO tomato at that. And as Alex pointed out yesterday, there's also the issue of states trying to crack down on the transfer of seeds.
[03:20.000 --> 03:26.000]  They're attacking our freedoms at the most fundamental basic level when they're coming at our food.
[03:26.000 --> 03:30.000]  It's a very dangerous precedent. Of course, it's all about the corporations.
[03:30.000 --> 03:33.000]  We're going to talk about what's going to happen with Obamacare.
[03:33.000 --> 03:39.000]  A lot of people are going to get surprised with some very large taxes this year because they haven't signed up for Obamacare.
[03:39.000 --> 03:43.000]  And I think there's three headlines on the Drudge Report that really kind of lay this out.
[03:43.000 --> 03:50.000]  You really shouldn't be surprised that the GOP did absolutely nothing about Obamacare, but rather funded it for another year.
[03:50.000 --> 03:54.000]  We shouldn't be surprised about that. Just think about these three headlines.
[03:54.000 --> 03:56.000]  Being uninsured in America will cost you more.
[03:56.000 --> 04:00.000]  New IRS rules are going to crack down on nonprofit hospitals.
[04:00.000 --> 04:05.000]  And Jeb Bush eases out of some businesses like a firm that was helped by Obamacare.
[04:05.000 --> 04:09.000]  Yeah, he cashed in big time on Obamacare.
[04:09.000 --> 04:16.000]  And so don't expect the Republicans who are making money out of this and the Republican corporations that are really making,
[04:16.000 --> 04:21.000]  not Republican corporations, but corporations that are running both Republicans and the Democrats.
[04:21.000 --> 04:25.000]  Alex Jones has been talking about this. We've been talking about this here at InfoWars from the very beginning.
[04:25.000 --> 04:30.000]  It is nothing but a massive transfer of wealth from the American public to the corporations.
[04:30.000 --> 04:36.000]  They're going to force you to buy their products and then you have people like Jeb Bush raking it in.
[04:36.000 --> 04:41.000]  They're not going to do anything to stop Obamacare. Mitt Romney's not going to do anything to stop it.
[04:41.000 --> 04:46.000]  He was working with Gruber to get it enforced in Massachusetts. That was the template for what we've got.
[04:46.000 --> 05:01.000]  Stay with us. We're going to be right back.
[05:16.000 --> 05:33.000]  The average person's life is filled with unexpected challenges.
[05:33.000 --> 05:40.000]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality,
[05:40.000 --> 05:49.000]  specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[05:49.000 --> 05:59.000]  Supercharge and conquer your world at InfoWarsLife.com or call 1-88-253-3139.
[05:59.000 --> 06:04.000]  Several months back, I started taking your nation ironing and your super male.
[06:04.000 --> 06:09.000]  Prior to this, I was barely walking. Now I'm able to function as a human again.
[06:09.000 --> 06:13.000]  InfoWarsLife.com. You've heard the callers of the show.
[06:13.000 --> 06:21.000]  Your products are great. I use DNA force, I use X2, super male vitality, and lung cleanse.
[06:21.000 --> 06:23.000]  Every day they're great stuff.
[06:23.000 --> 06:29.000]  Whether it's survival shield, nascent iodine, or DNA force, super male vitality, super female vitality,
[06:29.000 --> 06:36.000]  lung cleanse, fluoride shield, oxy-pounder, I believe that all of these products will blow you away
[06:36.000 --> 06:41.000]  like they've done the thousands of other customers that have visited InfoWarsLife.com.
