[00:00:05.563 --> 00:00:06.103]  Forget it!
[00:00:06.103 --> 00:00:07.084]  I'll do it live!
[00:00:07.084 --> 00:00:07.725]  I said forget it!
[00:00:07.725 --> 00:00:08.825]  I'll do it live!
[00:00:34.212 --> 00:00:36.815]  Well, Bill O'Reilly, we do it live every day.
[00:00:36.815 --> 00:00:39.598]  We were just talking about that video.
[00:00:39.598 --> 00:00:43.402]  It's been out for a year, where he blows up and is cussing and screaming at everybody.
[00:00:43.402 --> 00:00:48.928]  Right before he goes live, then they go live, and he suddenly on TV goes, Hello, and that's it for tonight.
[00:00:48.928 --> 00:00:53.193]  We'll take you out with the music of Sting, and the police, or whatever.
[00:00:54.278 --> 00:00:57.039]  All right, ladies and gentlemen, I am fired up for some reason.
[00:00:57.039 --> 00:00:59.979]  We are going into very dangerous waters, very scary waters.
[00:00:59.979 --> 00:01:04.281]  A lot of bad things are happening around the world, but also some good things are happening.
[00:01:04.281 --> 00:01:10.982]  People are waking up to tyranny all across the globe.
[00:01:10.982 --> 00:01:21.145]  And so I guess things have to get bad before humanity can shine, before people can rediscover liberty and freedom and find out why it was so important.
[00:01:22.540 --> 00:01:27.724]  Because the alternative is darkest tyranny.
[00:01:27.724 --> 00:01:39.674]  We're going to be live here for the next four hours today, and we only have one guest because I want to be able to open the phones up yet again for the listeners.
[00:01:39.674 --> 00:01:46.580]  And I want to just put out the note here that first-time callers will go to the head of the line.
[00:01:48.390 --> 00:01:50.711]  And I would love to get reports from all over the world.
[00:01:50.711 --> 00:02:11.962]  I would love to hear about what you think is going to happen coming into the new year from France, and Japan, and China, and South Africa, and Mexico, and Venezuela, Nicaragua, Jamaica, Deutschland, Switzerland, Ireland, England, Canada,
[00:02:14.588 --> 00:02:16.148]  Iceland, the list goes on and on.
[00:02:16.148 --> 00:02:24.190]  I want to hear from people all over the world today, and I am going to your calls when I start the next segment at 1-800-259-9231.
[00:02:24.190 --> 00:02:30.892]  I did okay taking a lot of calls yesterday, but not as many as I wanted to.
[00:02:30.892 --> 00:02:36.113]  Today we are going to do it because it is the last transmission of the year.
[00:02:36.113 --> 00:02:37.393]  It is December 31st, 2008.
[00:02:42.779 --> 00:02:53.604]  My last live broadcast of a tumultuous year, and I want the listeners, the great listeners of this show to have a chance to be involved on air.
[00:02:53.604 --> 00:02:56.786]  We're launching a lot of new initiatives against the New World Order going into the new year.
[00:02:56.786 --> 00:03:04.010]  There's no doubt we're going to have a worldwide depression that will become apparent to everyone in 2009.
[00:03:04.010 --> 00:03:12.194]  But you know, our forebearers, whether they be black, white, doesn't matter, went through a lot, and adversity is what builds character
[00:03:14.315 --> 00:03:20.442]  Plenty breeds decadence and monstrous creatures.
[00:03:20.442 --> 00:03:31.855]  So, whereas I don't look forward to what we are going into, I know there will be a cleansing, puritive thing overall in the final equation for all of us.
[00:03:33.433 --> 00:03:46.285]  So, last transmission of the year, ladies and gentlemen, 1-800-259-9231, with a smattering of important news and information throughout the show.
[00:03:46.285 --> 00:03:50.149]  We have the Pennsylvania Independent Consumers Farmers Association head,
[00:03:51.801 --> 00:04:00.606]  Joining us, the Amish can't come on because it's against their religion to be involved in technology when they're SWAT teamed over giving milk to their neighbors.
[00:04:00.606 --> 00:04:04.128]  The Mennonites can't do it either.
[00:04:04.128 --> 00:04:11.912]  The other Christian family whose son's been in Iraq two tours, even that isn't enough for the New World Order.
[00:04:11.912 --> 00:04:14.694]  They got SWAT teamed for selling eggs without a license.
[00:04:16.274 --> 00:04:17.774]  So the total tyranny coming in.
[00:04:17.774 --> 00:04:20.235]  We're going to talk to him coming up in about an hour and a half.
[00:04:20.235 --> 00:04:21.716]  But I want to open the phones up.
[00:04:21.716 --> 00:04:28.718]  He's only on with us for 30 minutes, but it's an important subject, so I want to go over what's happening all over the country, but particularly in Pennsylvania.
[00:04:28.718 --> 00:04:30.538]  So that is coming up.
[00:04:30.538 --> 00:04:37.640]  When we come back, I'm going to tell you about the news, the main news we'll be covering today, and then we're going directly to your calls.
[00:04:37.640 --> 00:04:38.960]  I want to hear from everybody out there.
[00:04:38.960 --> 00:04:40.701]  I want to hear from knowledgeable folks.
[00:04:43.126 --> 00:04:48.693]  If you're completely stoned and having trouble talking, we don't want you to call.
[00:04:48.693 --> 00:04:49.254]  1-800-259-9231.
[00:04:49.254 --> 00:04:55.482]  Neocon Bolton says Gaza conflict may result in US attack on Iran.
[00:04:55.482 --> 00:04:57.164]  He said that on Fox News.
[00:04:57.164 --> 00:04:58.226]  That's just some of what's coming up.
[00:04:58.226 --> 00:04:59.227]  Stay with us.
[00:04:59.227 --> 00:05:00.108]  Infowars.com!
[00:05:01.957 --> 00:05:03.639]  Hello friends, this is Alex Jones.
[00:05:03.639 --> 00:05:08.384]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:05:08.384 --> 00:05:11.348]  We need to be independent, and food and water is the key.
[00:05:11.348 --> 00:05:14.411]  You'll never have to stand in a bread line if you have your own bread.
[00:05:14.411 --> 00:05:20.258]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:05:20.518 --> 00:05:26.320]  Our elective representatives wanted a good ol' boy bailout for the special interest, so they ignored your screams not to do it.
[00:05:26.320 --> 00:05:28.140]  They turned off the telephones and email.
[00:05:28.140 --> 00:05:32.121]  They voted to print $850 billion at least out of thin air.
[00:05:32.121 --> 00:05:34.922]  This money now owns the American and European banks.
