[00:00:05.214 --> 00:00:06.834]  Wednesday, October 12, 2016.
[00:00:06.834 --> 00:00:09.536]  Danny Williams is in the green room.
[00:00:09.536 --> 00:00:10.816]  He's going to be live.
[00:00:10.816 --> 00:00:12.297]  The reported son of Bill Clinton.
[00:00:12.297 --> 00:00:14.358]  I believe he is the son of Bill Clinton.
[00:00:14.358 --> 00:00:15.659]  But first, a key report.
[00:00:15.659 --> 00:00:16.800]  Stay with us.
[00:00:16.800 --> 00:00:17.380]  Yeah, that's it.
[00:00:17.380 --> 00:00:17.880]  With the gold.
[00:00:17.880 --> 00:00:21.742]  I've got to use some Tic Tacs just in case I start kissing her.
[00:00:21.742 --> 00:00:24.684]  You know, I'm automatically attracted to beautiful women.
[00:00:24.684 --> 00:00:25.724]  I just start kissing them.
[00:00:25.724 --> 00:00:27.125]  It's like a magnet.
[00:00:27.125 --> 00:00:29.046]  I don't need to wait.
[00:00:29.046 --> 00:00:31.027]  And when you're a star, they let you do it.
[00:00:31.027 --> 00:00:31.767]  You can do anything.
[00:00:31.767 --> 00:00:32.267]  Whatever you want.
[00:00:35.023 --> 00:00:36.543]  I can do anything.
[00:00:36.543 --> 00:00:55.749]  This latest controversy marks a divide when those who are aware of the CIA-controlled media protecting the interests of the multinational corporate elite's pawn, Hillary Clinton, react in disgust, and the disgust from those who still think that reality is as it seems.
[00:00:56.169 --> 00:00:59.534]  Are we going to hold that to Hillary Clinton, to the things when she apologized?
[00:00:59.534 --> 00:01:00.475]  Oh, wait a minute.
[00:01:00.475 --> 00:01:04.220]  She never really apologized for insults.
[00:01:04.220 --> 00:01:08.787]  What did you do the day you saw the tape of this man boasting about grabbing a woman's a**?
[00:01:09.426 --> 00:01:17.973]  If only they could just open their eyes for a moment, they would actually see that totalitarianism is warping that accepted reality.
[00:01:17.973 --> 00:01:22.936]  George Orwell described totalitarianism as such, a society living by and for continuous warfare
[00:01:38.528 --> 00:01:59.875]  Hillary Clinton is just the latest villain from a long line of mind-controlling ne'er-do-wells that have ruled over the United States since it was inevitably infiltrated by the global elite's central bank scam in 1913.
[00:02:01.255 --> 00:02:05.517]  Systematically kept in line by methods of manufactured terror.
[00:02:05.517 --> 00:02:07.198]  Building 7 I often hear about.
[00:02:07.198 --> 00:02:08.719]  No plane hit building 7.
[00:02:08.719 --> 00:02:10.840]  Why did building 7 come down?
[00:02:10.840 --> 00:02:11.821]  What do you tell people?
[00:02:11.821 --> 00:02:13.201]  What is building 7?
[00:02:13.201 --> 00:02:13.782]  Building 7.
[00:02:13.782 --> 00:02:15.222]  I have no idea.
[00:02:15.222 --> 00:02:15.943]  I've never heard that.
[00:02:17.844 --> 00:02:19.545]  More money for the Pentagon when its own auditors admit
[00:02:33.749 --> 00:02:34.369]  We know it's gone.
[00:03:02.322 --> 00:03:03.642]  We don't know what they're spending on.
[00:03:03.642 --> 00:03:06.643]  What Trump said amounts to nothing.
[00:03:06.643 --> 00:03:15.726]  Nothing compared to her husband's rape victims, some of them brutally raped, only to be attacked publicly by Hillary after the deed was done.
[00:03:15.726 --> 00:03:30.191]  She grabbed ahold of my arm and my hand, and she pulls me into her, and she says with this very angry look on her face, which had been so pleasant seconds before, and in a low voice this,
[00:03:30.911 --> 00:03:34.572]  Do you understand everything you do?
[00:03:34.572 --> 00:03:36.053]  And that frightened me.
[00:03:36.053 --> 00:03:37.093]  I felt like she knew.
[00:03:37.093 --> 00:03:38.754]  That he raped you?
[00:03:38.754 --> 00:03:41.855]  Yes, and that she was telling me to keep quiet.
[00:03:41.855 --> 00:03:50.658]  Nothing compared to the savagery Middle Eastern women endure and Hillary ignores, only to push the divide and conquer refugee invasion narrative.
[00:03:50.658 --> 00:03:56.100]  A fiction that will eventually lead to the rape of thousands of unsuspecting American women and children.
[00:03:56.360 --> 00:04:00.644]  Nothing compared to the bodies hidden along Hillary's path to power.
[00:04:00.644 --> 00:04:10.292]  Nothing compared to the thousands that have died in the name of Secretary of State Hillary Clinton's rape of Northern Africa due to the conquest of rich men's wars.
[00:04:10.292 --> 00:04:19.040]  Perpetual wars fought in the perceived name of freedom and democracy, only benefiting the wealthy that become wealthier by playing both sides.
[00:04:19.420 --> 00:04:19.841]  We're good to go.
[00:04:34.957 --> 00:04:37.079]  We'll be back with Danny Williams and more.
[00:05:00.185 --> 00:05:12.615]  In the second presidential debate, Donald J. Trump came out and really called out Bill Clinton for his rapes, and how Hillary Clinton enabled him and helped cover it up, and also threatened people in the process.
[00:05:12.615 --> 00:05:14.616]  Now we have an article by Breitbart.com.
[00:05:14.616 --> 00:05:15.777]  Exclusive video!
[00:05:15.777 --> 00:05:16.998]  Clinton's defenders.
[00:05:16.998 --> 00:05:20.301]  These are crimes terrified of enabler Hillary.
[00:05:20.501 --> 00:05:39.144]  In an exclusive video interview at the presidential suite of the historic Watergate Hotel, the victims of Bill Clinton's alleged sexual assault Juanita Broderick, Kathleen Wiley, and Paula Jones got together for the first time in person to express their personal fear of Hillary Clinton and to warn voters that Clinton does not stand for women's issues.
[00:05:39.144 --> 00:05:41.405]  Something we've been saying since day one.
[00:05:41.405 --> 00:05:43.005]  She doesn't care about you women.
[00:05:43.005 --> 00:05:43.305]  Why?
[00:05:43.305 --> 00:05:44.545]  Because she's a pander.
[00:05:44.545 --> 00:05:45.765]  She gets rapists off.
[00:05:45.765 --> 00:05:46.985]  She lives with a rapist.
[00:05:46.985 --> 00:05:48.546]  She enables rapists.
[00:05:48.546 --> 00:05:49.866]  So, on November 8th,
[00:05:50.166 --> 00:05:56.527]  Make sure you get up off your couch and go and vote for the man who will make America great again.
[00:05:56.527 --> 00:06:00.148]  This has been Joe Biggs with InfoWars.com.
[00:06:00.148 --> 00:06:00.788]  Uh, yeah.
[00:06:00.788 --> 00:06:06.630]  First of all, I want to say Secret 12, X2, Supermail, Brain Force, Frostigart, Silver Bullet.
[00:06:06.630 --> 00:06:07.570]  I use them all.
[00:06:07.570 --> 00:06:08.550]  They're phenomenal.
[00:06:08.550 --> 00:06:09.290]  They work.
[00:06:09.290 --> 00:06:10.190]  Buy them, folks.
[00:06:10.190 --> 00:06:12.471]  I want to thank you guys for putting those out there.
[00:06:12.851 --> 00:06:19.378]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine products.
[00:06:19.378 --> 00:06:20.739]  Welcome to the InfoWar.
[00:06:20.739 --> 00:06:26.625]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWar at the same time.
[00:06:26.625 --> 00:06:27.346]  I'm a nine-year listener.
[00:06:27.346 --> 00:06:32.011]  I buy all the nutraceuticals, CoqFX, niacin, iodine... Alright, let me ask you a question.
[00:06:32.011 --> 00:06:32.892]  Have they worked for you?
[00:06:33.052 --> 00:06:35.893]  They're the most unbelievable products I've ever had in my life.
[00:06:35.893 --> 00:06:37.254]  What products are you taking?
