[00:00:00.409 --> 00:00:02.792]  Find out right now!
[00:00:02.792 --> 00:00:09.698]  For just $89.95, $89.95, the Fuel Mule works on any furnace too, no matter what fuel it uses.
[00:00:09.698 --> 00:00:20.708]  Call 866-880-7826, 866-880-STAN, or go to TheFuelMule.com and help save money and reduce our dependence on foreign oil.
[00:00:20.708 --> 00:00:24.291]  The Fuel Mule works and will pay for itself in just a few months, guaranteed.
[00:00:28.041 --> 00:00:39.604]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:39.604 --> 00:00:40.924]  Big Brother.
[00:00:40.924 --> 00:00:42.685]  Mainstream media.
[00:00:42.685 --> 00:00:44.445]  Government cover-ups.
[00:00:44.445 --> 00:00:46.025]  You want answers?
[00:00:46.025 --> 00:00:47.586]  Well, so does he.
[00:00:47.586 --> 00:00:51.767]  He's Alex Jones on the GCN Radio Network.
[00:00:51.767 --> 00:00:55.828]  And now, live from Austin, Texas, Alex Jones.
[00:00:57.856 --> 00:00:58.617]  Oh, yeah.
[00:01:13.732 --> 00:01:15.233]  Welcome, ladies and gentlemen.
[00:01:15.233 --> 00:01:15.774]  Welcome.
[00:01:15.774 --> 00:01:23.960]  It is Friday, the 27th day of April 2007, and we're going to be live here for the next three hours.
[00:01:23.960 --> 00:01:36.309]  We have a German expert on the disappearance of the honey bees here in the United States and in Europe joining us coming up in the second hour.
[00:01:36.309 --> 00:01:42.994]  In 30 minutes, Ted Pike, Pastor Ted Pike, to give us an update on the continual assault on the First Amendment
[00:01:44.095 --> 00:01:48.157]  By the forces of tyranny in the New World Order.
[00:01:48.157 --> 00:01:56.861]  This is one of the most serious assaults in the 20-plus year history of attacks directly on the First Amendment.
[00:01:56.861 --> 00:01:59.202]  He will be joining us coming up in 30 minutes.
[00:01:59.202 --> 00:02:11.927]  They have legislation introduced right now, and it's going to be a huge battle, not just today, but throughout next week as they attempt to pass an actual ban on free speech in the United States.
[00:02:11.927 --> 00:02:13.148]  Now, I want to be clear here.
[00:02:14.938 --> 00:02:19.162]  They have arrested Christians for praying on street corners.
[00:02:19.162 --> 00:02:24.368]  They have arrested demonstrators for holding up signs that say no blood for oil.
[00:02:24.368 --> 00:02:33.998]  Luke Rudowski of New York 9-11 Truth called us about, it was on April 11th, the day it happened.
[00:02:34.634 --> 00:02:37.655]  And said, I was just detained, arrested by the police.
