[00:00.000 --> 00:22.120]  InfoWars, tomorrow's news, today.
[00:22.120 --> 00:26.080]  Listers and viewers know that I don't give you positive information just to butter you
[00:26.080 --> 00:27.080]  up and make you feel good.
[00:27.080 --> 00:28.560]  We're not dogged to feel good here.
[00:28.560 --> 00:32.320]  Told you the Q thing wasn't real, told you Biden wasn't going to be removed on January
[00:32.320 --> 00:38.360]  21st inauguration, told you basically everything that's come true.
[00:38.360 --> 00:43.160]  But when things are positive, I'm going to tell you about it.
[00:43.160 --> 00:45.640]  And the whole New World Order agenda is in deep trouble.
[00:45.640 --> 00:50.000]  We have panicked videos from the first day, official day yesterday.
[00:50.000 --> 00:53.880]  Now we're tracking the second day that we're going to be playing Clips Up with Paul Joseph
[00:53.880 --> 00:56.320]  Watson coming up in the next segment.
[00:56.320 --> 00:59.760]  These are just insane clips.
[00:59.760 --> 01:04.520]  John Kerry says, what we're doing to the planet is extraterrestrial, like we're extraterrestrials.
[01:04.520 --> 01:07.440]  I told you, they believe they're becoming a new species.
[01:07.440 --> 01:11.040]  This is a real transhumanist cult and they are making aliens here.
[01:11.040 --> 01:15.040]  They're making new synthetic life forms, they're crossing species together.
[01:15.040 --> 01:20.880]  They're creating new particles with the Hadron superconducting supercollider using human
[01:20.880 --> 01:21.880]  minds.
[01:21.880 --> 01:25.200]  I wait to hear what Klaus Schwab had to say, it's all coming up next segment.
[01:25.200 --> 01:29.320]  But the crew has done a great job, the best job ever lining up today's broadcast that
[01:29.320 --> 01:34.200]  runs from 8 a.m. this morning with Harrison Smith to a little bit past midnight tonight
[01:34.200 --> 01:38.040]  and the site to share so we can get around the sensors and get everybody in and millions
[01:38.040 --> 01:42.960]  and millions of more folks waking up what's really happening in the information war is
[01:42.960 --> 01:45.480]  conspiracyfact.info.
[01:45.480 --> 01:51.320]  Klaus Schwab in their new annual report says the number one threat is anti-globalist disinformation,
[01:51.320 --> 01:55.400]  meaning Alex Jones, Paul Joseph Watson, Tucker Carlson, people like that.
[01:55.400 --> 02:00.440]  So coming up today, Paul Joseph Watson joins us in about four minutes, then we are going
[02:00.440 --> 02:01.880]  to have Mark Passio on.
[02:01.880 --> 02:09.240]  Hotep Jesus, Drew Hernandez, Gavin McGinnis, Dr. Judy Mikovits, Maria Z, Roger Stone, Savannah
[02:09.240 --> 02:16.640]  Hernandez, Darren Beatty, by the way Savannah's at DeBose, Matt Baker, Dan Dix, Tom Rins,
[02:16.640 --> 02:22.640]  Jay Dyer with a big spars update, new developments, Edward Dowd, Mickey Willis in studio, Alex
[02:22.640 --> 02:28.480]  Stein, Dr. Stella Immanuel, Robert Barnes, and a lot more, ladies and gentlemen.
[02:28.480 --> 02:34.760]  So this is going to be one hell of a transmission lined up for you today and I'm asking all
[02:34.760 --> 02:39.000]  the listeners of the info war to share in your email, your text message, however you
[02:39.000 --> 02:44.000]  can word of mouth, infowars.com, forward slash show on Twitter, on Instagram, on Facebook,
[02:44.000 --> 02:52.160]  on Google, on Apple platforms, share conspiracyfact.info, one word, conspiracyfact.info, that takes
