[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[00:29.800 --> 00:38.800]  And the Midwest, 60 below in Chicago. How's that for your global warming? We're going to be breaking it all down today.
[00:38.800 --> 00:44.800]  Again, I'm Alex Jones, your host. This is the most attacked, light about, censored, demonized broadcast in the world,
[00:44.800 --> 00:50.800]  because we've been the cutting edge of launching, with our great listeners and activist supporters,
[00:50.800 --> 00:59.800]  1776 worldwide, Americana, huge populist awakenings, pro-capitalist, pro-Christian, pro-western civilization move.
[00:59.800 --> 01:04.800]  We are the detonator. And the globalists know that, and they want us out of the game,
[01:04.800 --> 01:10.800]  but our listeners are not beside us. They're all around us and at the heart of what we do.
[01:10.800 --> 01:15.800]  So you're beside us, you're behind us, you're at the heart of what we do. You're at every point of the compass when it comes to this fight.
[01:15.800 --> 01:23.800]  You are the info war, ladies and gentlemen. A lot of times something breaks right before I go on air that changes the course of the show.
[01:23.800 --> 01:33.800]  And I was sitting back about two hours ago, driving into work, and I said, you know, I like President Trump,
[01:33.800 --> 01:36.800]  and he's done a great job getting good judges in and standing up to the media.
[01:36.800 --> 01:45.800]  The only area he's really done a bad job is not standing up for himself and really going after the swamp that's all around him
[01:45.800 --> 01:51.800]  and allowing them to continue to do things that are unconstitutional. In fact, I meant to send this to the crew.
[01:51.800 --> 02:02.800]  You guys print me, Mueller tried to get job with Trump. That was the day before Rosenstein signed him up as the special prosecutor,
[02:02.800 --> 02:09.800]  was literally because he asked for a job from Trump and Trump wouldn't do it. People forget that, but that's a side issue.
[02:09.800 --> 02:18.800]  There's so many things bouncing around in my head before I go live that I haven't really decided what I was going to cover first.
[02:18.800 --> 02:23.800]  But I thought before I got here that I said, you know what, I'm going to print up some autism statistics,
[02:23.800 --> 02:29.800]  and I'm going to print up some numbers about how they've gone from five vaccines to over a hundred they want you to take.
[02:29.800 --> 02:36.800]  And I'm going to get into the fact that it's third world populations coming in that are spreading disease in this country.
[02:36.800 --> 02:46.800]  And then they pointed anti-vaxxers, even though you do the research, it's not anti-vaxxers that are spreading the measles, the mumps, the rubella and things like that.
[02:46.800 --> 02:56.800]  And I had forgotten that two hours ago I decided to come in and cover vaccines because I don't want to just cover Trump or Roger Stone.
[02:56.800 --> 03:04.800]  And I like Roger, but it's taken all the oxygen out of the room of all the incredible stuff going on around the world.
[03:04.800 --> 03:13.800]  I ran on the edge of war with Israel, what's happening in Venezuela, what's Soros saying, get ready for China to collapse, which I agree with,
[03:13.800 --> 03:16.800]  but that's only because Soros is jumping on the bandwagon.
[03:16.800 --> 03:24.800]  A lot of listeners love the show, but they also say, Alex, we want you to get back to secret society some and the globalist
[03:24.800 --> 03:33.800]  and the esoteric and weather modification because the last three years it's been all Trump all the time.
[03:33.800 --> 03:36.800]  And that's because we've been in an epic civil war with the globalists.
[03:36.800 --> 03:38.800]  And there'll still be a lot of Trump here.
[03:38.800 --> 03:43.800]  It's just that I don't want to cover every facet of everything Trump does.
[03:43.800 --> 03:50.800]  I want to cover the big things that matter when Trump does it instead of just looking at all the minutiae and all the BS.
[03:50.800 --> 03:58.800]  I mean, sure, it's funny when USA Today comes out and says fact check, Trump didn't have burgers stacked a mile high.
[03:58.800 --> 04:01.800]  He had hundreds of hamburgers on a table.
[04:01.800 --> 04:03.800]  It's obviously hyperbole.
[04:03.800 --> 04:05.800]  So yeah, you can talk about something like that.
[04:05.800 --> 04:08.800]  It's funny, but is it really serious?
[04:08.800 --> 04:10.800]  Is it hardcore?
[04:10.800 --> 04:17.800]  And the answer is no, because this country in this world is facing the globalist counteroffensive.
[04:17.800 --> 04:21.800]  We've got to respond to that and we're going to respond to that here today.
[04:21.800 --> 04:26.800]  So just as I was about to go live, I'd forgotten about this.
[04:26.800 --> 04:36.800]  The whole vaccine issue and the producer walks in and says Fox News right now has a doctor on saying arrest people that don't take vaccines, which is the new push.
[04:36.800 --> 04:38.800]  Because oh my gosh, there's some measles.
[04:38.800 --> 04:43.800]  How about arrest people that let illegal aliens in with drug resistant TB measles?
[04:43.800 --> 04:44.800]  You name it.
[04:44.800 --> 04:47.800]  When that's going on, don't check them like Ellis Island did.
[04:47.800 --> 04:48.800]  Just let them in.
[04:48.800 --> 04:52.800]  But then turn around and say, though, if you're well educated, you know that vaccines are dangerous.
[04:52.800 --> 05:19.800]  Well, you need to go to jail if you don't shoot your kid up to them till their eyes roll up in their head and die.
[05:19.800 --> 05:27.800]  Use for hundreds of years to provide you focus, clarity, and a boost of energy on the go.
[05:27.800 --> 05:33.800]  Simply take a packet, mix it into the indicated amount of water, and enjoy.
[05:33.800 --> 05:41.800]  With 14 servings per box for a two week or more supply, this is the formula to stock up on whenever you need a boost.
[05:41.800 --> 05:44.800]  Perfect for work, in the car, or at home.
[05:44.800 --> 05:49.800]  Turbo Force is the ultimate answer to a sluggish day. Don't let your day slow you down.
[05:49.800 --> 06:18.800]  Perk Up with Turbo Force at InfowarsStore.com.
[06:18.800 --> 06:26.800]  Coming to you live from the Infowars.com studios in the recaptured state of Texas.
[06:26.800 --> 06:31.800]  It's Alex Jones.
[06:31.800 --> 06:34.800]  Another week we've now launched.
[06:34.800 --> 06:39.800]  It is the 28th day of January 2019 on this Monday edition.
[06:39.800 --> 06:40.800]  Thank you for joining us.
[06:40.800 --> 06:46.800]  My voice is a little bit more gravelly than normal because we're in the midst of the Cedar Fever, as they call it.
[06:46.800 --> 06:53.800]  It's really the Mountain Juniper, an invasive species brought in by Europeans in the last 200 years.
[06:53.800 --> 07:00.800]  It is a prolific tree that takes over, steals all the water, kills the oak trees, kills all the meadows, and needs to be eradicated.
[07:00.800 --> 07:05.800]  So of course it's a protected tree by the local environmental groups, because it's so asinine.
[07:05.800 --> 07:15.800]  Just like Obama made an invasive fish in Oregon and Northern California endangered, even though it wasn't endangered,
[07:15.800 --> 07:25.800]  they keep all the mountain water from the upland lakes from the farmers to then take their property and turn it over to the big corporations to build houses on it later.
[07:25.800 --> 07:28.800]  See, that's how my brain works is one connection to the next.
[07:28.800 --> 07:29.800]  And that's another good thing.
[07:29.800 --> 07:36.800]  Trump did beside executive order saying you can have the water out of those federally controlled lakes in those mountains.
[07:36.800 --> 07:46.800]  Because, you know, I've been trying to weigh all the good things that Trump has done versus the bad things that Trump has done,
[07:46.800 --> 08:00.800]  because Trump really is seen by the globalist as a mandate or a figurehead of nationalism and populism and capitalism re-insurgents.
[08:00.800 --> 08:17.800]  And if Trump can be destroyed, if Trump can be discredited, they believe that will start the process of retaking all these other countries that they've been controlling and putting into poverty and exploiting.
[08:17.800 --> 08:20.800]  So it's important to defend Trump when he's doing the right thing.
[08:20.800 --> 08:23.800]  It's important to keep his feet to the fire when he's not.
[08:23.800 --> 08:35.800]  But there is the fact that letting everything be about Trump makes it to where they are able to destroy him or cripple him, then somehow it cripples us.
[08:35.800 --> 08:40.800]  And my identity is not President Trump.
[08:40.800 --> 08:44.800]  My identity is not Roger Stone, because I support Roger.
[08:44.800 --> 08:46.800]  I know he's being railroaded.
[08:46.800 --> 08:52.800]  I support President Trump that he's doing a great job overall, get frustrated with him.
[08:52.800 --> 09:01.800]  But at the same time, my destiny is not bound to Trump and is not bound to Roger Stone.
[09:01.800 --> 09:04.800]  We launched 1776 Part 2.
[09:04.800 --> 09:06.800]  We launched the global populist movement.
[09:06.800 --> 09:18.800]  We launched the global nationalist movement and the belief that globalism would become so obviously oppressive and authoritarian that we should promote its nationalistic counterpart to it.
[09:18.800 --> 09:27.800]  And we're definitely the detonator in that overall resistance.
[09:27.800 --> 09:39.800]  And so that's the point that I'm making here is that Trump didn't bring us to the party.
[09:39.800 --> 09:41.800]  We brought Trump to the party.
[09:41.800 --> 10:04.800]  And I say that not to put Trump down, but everybody understands Trump wrote in on a nationalist, populist wave that you created with what you did in the streets and on the internet and talking to your friends and family and what you did with your action.
[10:04.800 --> 10:07.800]  And that's critical to understand that there are more waves coming.
[10:07.800 --> 10:14.800]  Remember that Vice interview I did right when Trump was president-elect and I said, don't worry, bigger waves are coming.
[10:14.800 --> 10:16.800]  Trump's only riding on that wave.
[10:16.800 --> 10:17.800]  And that's not to belittle Trump.
[10:17.800 --> 10:25.800]  It's to explain that they believe they can destroy Trump and destroy our global awakening, our new renaissance.
[10:25.800 --> 10:28.800]  That is not what's happening.
[10:28.800 --> 10:38.800]  And so my statement now that this isn't all about Trump is not because I think he's about to be brought down for sure.
[10:38.800 --> 10:46.800]  It's so that people understand that if Trump is destroyed, it should not be a demoralizing effect because we're on the march and the globalists are on the run all over the world.
[10:46.800 --> 10:59.800]  And that's something they need to understand as well that the forces of human liberty that refuses to submit to their tyranny are not going to back away or not going to go quietly into the night ever.
[10:59.800 --> 11:05.800]  No matter what they push, no matter what they do, no matter how much propaganda they spew out at us.
[11:05.800 --> 11:29.800]  But there's also a paradox to this of the global awakening. It's gotten the criminals, the parasites, the control freaks, the lazy masses, the nanny state minions to really get mobilized and escalate their nastiness and their deception and their hatefulness to really a weaponized level.
[11:29.800 --> 11:35.800]  To our now, yes, it's made things more stark and more obvious and documents just how perilous the situation is.
