[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[00:00:03.860 --> 00:00:15.088]  If the common people of the world continue to stall and allow the elite technocratic eugenicists to promote their psychotic agenda and their tentacles in government affecting our daily lives.
[00:00:15.088 --> 00:00:16.529]  We penetrate the cabinets.
[00:00:16.849 --> 00:00:28.862]  Klaus Schwab is the head of the World Economic Forum and he bragged how his subversive WEF, World Economic Forum, has quoted infiltrated governments around the world in the interest of transparency.
[00:00:28.862 --> 00:00:34.729]  Could the member please name which cabinet ministers are on board with the WEF's agenda?
[00:00:35.209 --> 00:00:42.413]  The member was in a really good question there, but the audio is really, really bad, and the video is really, really bad as well.
[00:00:42.413 --> 00:00:46.815]  Mr. Speaker, that member is promoting open disinformation.
[00:00:46.815 --> 00:00:55.079]  The World Economic Forum is pushing for a global ID by 2026, fueled by blaming the average citizen for their carbon footprint.
[00:00:55.079 --> 00:00:56.419]  Why is the World Economic Forum
[00:00:58.200 --> 00:01:00.741]  Why are we looking into it?
[00:01:00.741 --> 00:01:02.462]  Why is it such an important topic for us?
[00:01:02.462 --> 00:01:04.763]  It's also a very important tool for financial inclusion.
[00:01:17.409 --> 00:01:29.514]  The starting point where a number of actors, you know, from the international development community and the private sector and everything in between have started to come together to think about what principles should be governing the use of these systems.
[00:01:29.514 --> 00:01:35.896]  Yet, not a word from the Bilderberg attending industries that continue to produce endocrine system hormone blocks.
[00:01:35.936 --> 00:01:36.596]  I don't know.
[00:01:54.304 --> 00:01:56.626]  When did this stuff start getting into our food supply?
[00:02:16.423 --> 00:02:24.328]  The growth of these chemicals tracks with the growth of the petrochemical industry.
[00:02:24.328 --> 00:02:34.253]  So, back in 1950, there's this better living through chemistry that everyone's talking about, and everybody is just wanting everything made of plastic.
[00:02:34.253 --> 00:02:38.716]  That's just one example of the many chemicals that can affect our hormone system.
[00:02:39.176 --> 00:02:46.924]  When waves are breaking, they create these mists, but they're actually transferring microplastics from the ocean into the air that we're breathing.
[00:02:46.924 --> 00:02:59.737]  By analyzing air samples from two Auckland locations, Dr. Joel Rindelaw's team of researchers calculated that 74 metric tons of microplastics drop over the city each year.
[00:02:59.737 --> 00:03:01.839]  And it could have consequences for our health.
[00:03:02.179 --> 00:03:05.482]  Because microplastics have been detected in human lungs.
[00:03:05.482 --> 00:03:20.236]  Furthermore, in a recent study it was observed that the Y-chromosome found in the male species is degenerating and will eventually disappear, leading scientists to hypothesize that a new male chromosome will eventually replace the Y-chromosome.
[00:03:20.396 --> 00:03:34.664]  Meanwhile, the replacement for the labor of mankind is here, as a turning point has been reached in robotic AI technology, allowing robots to see objects of varying shapes and sizes and adjust their grasp accordingly.
[00:03:34.664 --> 00:03:38.046]  This will rapidly replace millions of workers.
[00:03:38.046 --> 00:03:45.491]  As World Economic Forum tainted areas lead the way on pushing people to commit suicide for merely being a burden on the state,
[00:03:45.859 --> 00:03:48.983]  Imagine choosing death over homelessness.
[00:03:48.983 --> 00:03:49.965]  That's what one St.
[00:03:49.965 --> 00:03:52.027]  Catharines man is contemplating.
[00:03:52.027 --> 00:04:00.098]  Tonight on City News, we continue to delve into medically assisted dying and how some believe it is their only option to living in poverty.
[00:04:00.759 --> 00:04:13.468]  All of these and many more major crises that face the future of humanity are tacitly collected under the net of the New World Order by its assets in the World Economic Forum in the United Nations.
[00:04:13.468 --> 00:04:26.398]  Rather than allow the populace to properly face their fate, the architects protecting global corporate interests pose as our saviors, projecting steadfast organization
[00:04:26.878 --> 00:04:34.402]  Now the United Nations is warning the coronavirus crisis has put the world on the brink of a hunger pandemic.
[00:04:34.402 --> 00:04:38.744]  265 million people could face acute food shortages by the end of the year.
[00:04:38.744 --> 00:04:41.525]  That is double last year's projections.
[00:04:41.525 --> 00:04:46.108]  While rapidly fomenting order out of chaos.
[00:04:46.108 --> 00:04:53.351]  Humanity must respond to this new world order dogma or vanish under the boot of the coming totalitarianism.
[00:04:53.351 --> 00:04:54.612]  John Bowne reporting.
[00:04:55.418 --> 00:04:57.919]  Excellent report by John Bowne at Bandot Video.
[00:04:57.919 --> 00:05:01.101]  Share it like your life depends on it.
[00:05:01.101 --> 00:05:05.624]  Introducing our new incredible supplement line, InfoWars MD.
[00:05:05.624 --> 00:05:18.071]  Now in 60 seconds, it's hard to tell you how incredible these products are, but all of these products are already sold on store shelves under other brand names for up to twice the cost we're selling it to you.
[00:05:18.071 --> 00:05:19.251]  These are high-end.
[00:05:19.251 --> 00:05:20.312]  These are the very best.
[00:05:20.632 --> 00:05:23.114]  You know our Body's Ultimate Turmeric Formula is amazing?
[00:05:23.114 --> 00:05:23.635]  Well, guess what?
[00:05:23.635 --> 00:05:29.421]  We now have Turmeric 95 that's basically the same formula for a lower price.
[00:05:29.421 --> 00:05:32.063]  CBD oil of the highest quality.
[00:05:32.063 --> 00:05:38.930]  Up to 50% less than major competitors selling the exact high-quality, full-spectrum CBD.
[00:05:38.930 --> 00:05:44.155]  And it goes on for all the new InfoWars MD products at InfoWarsStore.com.
[00:05:44.155 --> 00:05:45.116]  The highest quality.
[00:05:45.396 --> 00:05:54.192]  Directly from the manufacturer to your door at prices up to 50%, in some cases 100% lower than what they're sold for in stores.
[00:05:54.192 --> 00:05:56.175]  M4 Wars MD at M4WarsStore.com
[00:06:12.959 --> 00:06:15.561]  Waging war on corruption.
[00:06:15.561 --> 00:06:16.961]  It's Alex Jones.
[00:06:29.259 --> 00:06:32.000]  You see, we've messed up, conservatives.
[00:06:32.000 --> 00:06:34.801]  I'm going to give you guys a little dose of reality.
[00:06:34.801 --> 00:06:41.983]  We've given too much power to big tech because we've allowed them to control the narrative.
[00:06:41.983 --> 00:06:47.604]  But we've also allowed them to control the narrative because we stay on their platforms.
[00:06:47.604 --> 00:06:49.104]  And that is a problem.
[00:06:49.104 --> 00:06:50.465]  I want you all to know something.
[00:06:50.465 --> 00:06:52.625]  Alex Jones was right.
[00:06:52.625 --> 00:06:54.566]  This is an information war.
