[00:00:05.134 --> 00:00:09.959]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.959 --> 00:00:11.561]  You want answers?
[00:00:11.561 --> 00:00:13.103]  Well, so does he.
[00:00:13.103 --> 00:00:17.287]  He's Alex Jones on the GCN Radio Network.
[00:00:17.287 --> 00:00:21.351]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.450 --> 00:00:30.072]  Hello on this Friday, 6-21, this is David Knight, and we are here live in Austin, but Alex Jones is not here.
[00:00:30.072 --> 00:00:34.394]  Actually, Alex is working on the next big blockbuster.
[00:00:34.394 --> 00:00:37.014]  The next installment of the Obama Deception.
[00:00:37.014 --> 00:00:38.195]  You know, it's very important.
[00:00:38.795 --> 00:00:43.716]  These documentaries, people ask why we cover Hollywood, why we review films, why we do documentaries.
[00:00:43.716 --> 00:00:49.638]  In a documentary, you can lay out the facts in a way that you just don't have time to cover it on the news.
[00:00:49.638 --> 00:00:55.820]  So we can cover what's happening, and it's important that you know what's going on, keep your ear to the ground, and keep informed.
[00:00:55.820 --> 00:01:02.302]  But when you really want to understand what's behind the news, when you really want to get the broader and deeper picture,
[00:01:02.922 --> 00:01:04.503]  Nothing does that like a documentary.
[00:01:04.503 --> 00:01:06.003]  So we're all about documentaries here.
[00:01:06.003 --> 00:01:21.368]  As a matter of fact, we've got an exclusive on State of Mind, which is a new documentary coming out from the people that brought us The Noble Lie, which was a expose of the Oklahoma City bombing.
[00:01:21.368 --> 00:01:24.429]  State of Mind, the psychology of mind control.
[00:01:24.429 --> 00:01:28.611]  And if you pre-book that right now, you get a free copy of The American Dream.
[00:01:28.611 --> 00:01:29.231]  It's a great
[00:01:29.881 --> 00:01:36.564]  Cartoon version that explains what's going on with our banking system, how we got into this mess, follows the money trail.
[00:01:36.564 --> 00:01:40.206]  It does it in a very fun, very informative way for people.
[00:01:40.206 --> 00:01:42.067]  It's a great way to wake people up.
[00:01:42.067 --> 00:01:44.788]  But you know, the mind control thing is also very important.
[00:01:44.788 --> 00:01:51.212]  It's important for people to understand that this is something that is not just, you know, tinfoil hat conspiracy stuff.
[00:01:51.212 --> 00:01:53.513]  This is something that's been going on for a long time.
[00:01:54.173 --> 00:02:00.196]  It's been discussed, it's been released in classified documents that have been declassified.
[00:02:00.196 --> 00:02:07.981]  The government's been working on this since the fifties at least, and this is something that is in our second hour.
[00:02:07.981 --> 00:02:14.344]  We're going to have on the show Dr. William Pepper, and he is actually defending Sirhan Sirhan.
[00:02:14.344 --> 00:02:16.326]  You might think that's an open and shut case.
[00:02:16.326 --> 00:02:18.247]  Actually, it isn't.
[00:02:18.247 --> 00:02:20.988]  There's some new evidence that was brought to light by some
[00:02:22.469 --> 00:02:23.810]  Advances in technology.
[00:02:23.810 --> 00:02:33.873]  In 2004, they discovered an audio recording that had not really been analyzed before, and they didn't really have the technology to analyze it before 2004.
[00:02:33.873 --> 00:02:46.138]  But with this new technology, with this new recording, they heard that there were not just eight gunshots, that is what could be held from Sirhan Sirhan's gun, but actually 13.
[00:02:46.138 --> 00:02:49.980]  And so we're going to be talking to Dr. Pepper, and he was also involved in
[00:02:51.013 --> 00:03:01.340]  A trial of James Earl Ray, the accused assassin of Martin Luther King, and he never had a trial because he confessed.
[00:03:01.340 --> 00:03:08.666]  Seems like they always manage to get people to have a confession plea bargain them down to a life in prison or something like that.
