[00:00:15.521 --> 00:00:18.163]  InfoWars, tomorrow's news today.
[00:00:38.726 --> 00:00:39.246]  Thank you.
[00:00:56.039 --> 00:01:09.618]  The history of the last 32 years that I've been the director of NIAID will tell the next administration that there's no doubt in anyone's mind that they will be faced with the challenges that their predecessors were faced with.
[00:01:11.926 --> 00:01:15.607]  Ladies and gentlemen, this is an emergency transmission.
[00:01:15.607 --> 00:01:18.748]  Saturday, April 3rd, 2021.
[00:01:18.748 --> 00:01:19.928]  I am your host, Alex Jones.
[00:01:19.928 --> 00:01:25.050]  I want to thank the crew for coming in and doing a great job with us here.
[00:01:25.050 --> 00:01:32.812]  I have two of our great investigative researchers, Rob Dew and Mike Halperin, here with me in studio.
[00:01:32.812 --> 00:01:37.854]  And we again want to thank all the viewers and listeners that have tuned in to this information.
[00:01:37.854 --> 00:01:39.234]  It could not be of any
[00:01:40.453 --> 00:01:41.614]  Wow, he knows about a surprise!
[00:02:09.326 --> 00:02:31.801]  And then out of the Wuhan lab that even Newsweek and Reuters report, he basically controlled 11 programs on of gain of function viruses, chimera viruses in the Corona family, even listed and called COVID-21, COVID-25, COVID-2019.
[00:02:31.801 --> 00:02:36.264]  This individual then had John Hopkins that he basically runs with Bill Gates.
[00:02:36.264 --> 00:02:37.285]  We'll show you all the documents.
[00:02:39.093 --> 00:02:45.535]  Develop war games, two months after Trump got into office, laying all of this out.
[00:02:45.535 --> 00:02:47.556]  So we're going to show you the documents.
[00:02:47.556 --> 00:02:53.058]  We're going to show you the quotes, and then you're going to see in real time as they rolled it out.
[00:02:53.058 --> 00:02:56.520]  Now, most people that are informed have heard about event 201.
[00:02:56.520 --> 00:02:59.081]  They've heard about Operation Lockstep.
[00:02:59.081 --> 00:03:00.801]  They've heard about Crimson Contagion.
[00:03:00.801 --> 00:03:05.523]  They've heard about Disease X and the UN drills.
[00:03:05.523 --> 00:03:07.344]  But have you heard about SPARS?
[00:03:08.818 --> 00:03:09.318]  2025, 2028.
[00:03:09.318 --> 00:03:25.681]  It is all of those plans together, but not set in the near future like those previous drills were, but set out a few more years in the future, but it's actually paralleling the time we're in now.
[00:03:25.681 --> 00:03:27.761]  So just superimpose 2025 to 2028 with 2020 to 2023.
[00:03:27.761 --> 00:03:28.922]  And it is exactly
[00:03:37.847 --> 00:03:38.767]  What's happening now?
[00:03:38.767 --> 00:03:41.288]  Here's what's devastating.
[00:03:41.288 --> 00:03:46.050]  We're about 13 months into the simulation that, again, is not really a simulation.
[00:03:46.050 --> 00:03:49.111]  They're using that to cover their operations.
[00:03:49.111 --> 00:03:51.852]  In case they get caught with the documents, they just say it's part of the drill.
[00:03:51.852 --> 00:03:56.373]  That's a classic operation by intelligence agencies, governments, but also health agencies.
[00:03:59.344 --> 00:04:16.491]  Next, they say that within six months to a year of people being inoculated with these experimental GMO gene therapies, that you will have massive brain damage and spongiform encephalopathy, basically, or prion disease, mad cow disease.
[00:04:16.491 --> 00:04:18.312]  Now, it's not just them saying this.
[00:04:18.312 --> 00:04:22.614]  This is in 2017, they produced this document.
[00:04:22.614 --> 00:04:25.195]  Bradford Fauci says, the surprise is coming soon.
[00:04:27.270 --> 00:04:33.372]  And they say in there, it's going to cause encephalopathy in children and adults, you name it.
[00:04:33.372 --> 00:04:40.293]  And there's going to be a huge outcry and they're going to blame the politicians, not Big Pharma, for speeding it up.
[00:04:40.293 --> 00:04:41.834]  That Trump really stepped into it.
[00:04:41.834 --> 00:04:44.094]  He got set up big time, ladies and gentlemen.
[00:04:44.094 --> 00:04:46.615]  So I want to explain something.
[00:04:46.615 --> 00:04:52.196]  We could go for 10 hours straight just reading and not scratch the surface of this.
[00:04:52.196 --> 00:04:55.277]  We have read all of this together that you see.
[00:04:56.564 --> 00:04:59.067]  Mike Alperin, Rob Dew, the rest of the crew.
[00:04:59.067 --> 00:05:10.700]  And when you see it, I have been physically nauseous before we went on air today because this, this, this is the smoking gun.
[00:05:10.700 --> 00:05:12.783]  And these, these, these mad scientist types.
[00:05:15.600 --> 00:05:19.603]  Literally think we're too stupid to figure this out and stop them, and they're not even hiding what they're doing.
[00:05:19.603 --> 00:05:31.531]  And then I've got Ted Turner and Bill Gates and all the rest of them admitting, and Klaus Schwab, oh, this is really to lower the human population and cut carbon, and we need climate lockdowns now, and this has been wonderful.
[00:05:31.531 --> 00:05:32.792]  And look, I've got headlines right here.
[00:05:32.792 --> 00:05:33.813]  The Times of London.
[00:05:33.813 --> 00:05:38.476]  Billionaire club in bid to curb overpopulation.
[00:05:38.476 --> 00:05:42.699]  And then it goes into how they're taking control of the world medical system through the UN.
[00:05:44.209 --> 00:05:46.630]  To carry out this depopulation.
[00:05:46.630 --> 00:05:51.933]  This article is from more than 10 years ago.
[00:05:51.933 --> 00:05:55.494]  And I literally have hundreds of these.
[00:05:55.494 --> 00:06:00.396]  I just mentioned to you spongiform encephalopathy or prion disease.
[00:06:00.396 --> 00:06:02.737]  Microbiology Infectious Diseases Journal.
[00:06:02.737 --> 00:06:06.739]  COVID-19 RNA-based vaccines and the risk of prion disease.
[00:06:06.739 --> 00:06:11.942]  That was put out in 2021 by prestigious scientists.
[00:06:11.942 --> 00:06:12.482]  Here's the deal.
[00:06:13.999 --> 00:06:33.324]  It's in the SPARS 2025-2028 document that that's going to be the huge crisis that they'll then have the medical system take over and get more control and get a giant global bailout, a giant global Marshall Fund, Marshall Plan for.
[00:06:33.324 --> 00:06:39.906]  So again, as I keep saying, if they create a crisis this big, they've got to have a bigger crisis to cover up the last crisis, like cover up
[00:06:40.606 --> 00:06:44.688]  All the vaccine problems, all the tainted vaccines, all the sicknesses, all the autism.
[00:06:44.688 --> 00:06:45.148]  The U.N.
[00:06:45.148 --> 00:06:48.770]  said in 2019 at the December emergency meeting, head of the U.N.
[00:06:48.770 --> 00:06:50.911]  vaccine program said these vaccines are killing people.
[00:06:50.911 --> 00:06:51.511]  They don't work.
[00:06:51.511 --> 00:06:52.551]  Doctors don't believe in them.
[00:06:52.551 --> 00:06:53.252]  Remember all that?
[00:06:53.252 --> 00:06:55.733]  We'll put the article on screen.
[00:06:55.733 --> 00:06:59.114]  Remember all that?
[00:06:59.114 --> 00:07:07.738]  And so now they have this big crisis, this even bigger vaccine damage, and they admit that, and then they get more control because the medical system then responds to that.
[00:07:07.738 --> 00:07:10.079]  So this is how you enslave people while you kill them.
