[00:00:07.332 --> 00:00:08.773]  9VoltLight.com.
[00:00:08.773 --> 00:00:12.336]  That address again is 9VoltLight.com.
[00:00:12.336 --> 00:00:13.897]  Or, call us today at 877-715-4448.
[00:00:13.897 --> 00:00:14.157]  That's 877-715-4448.
[00:00:14.157 --> 00:00:17.180]  And taxes are due tomorrow for Travis County.
[00:00:17.180 --> 00:00:20.522]  You are listening to GCN, the Genesis Communications Radio Network.
[00:00:20.522 --> 00:00:21.082]  On News Radio 590K.
[00:00:36.972 --> 00:00:39.934]  IRN USA Radio News, I'm Jody Jordan.
[00:00:39.934 --> 00:00:46.477]  The death toll stands at 113, but is expected to rise in one of Kenya's deadliest accidents.
[00:00:46.477 --> 00:00:52.681]  Officials say an overturned gasoline tanker exploded as hundreds of people were trying to scoop up free fuel.
[00:00:52.681 --> 00:00:56.003]  Victims include small children suffering horrific burns.
[00:00:56.681 --> 00:00:59.642]  British doctor Sarah Hughes is treating the injured.
[00:00:59.642 --> 00:01:05.843]  I think the most serious injured have already left, but there are still some here that will require surgery and further treatment.
[00:01:05.843 --> 00:01:09.384]  And Afghan President Hamid Karzai is renewing his demand to the U.S.
[00:01:09.384 --> 00:01:12.705]  that Afghan soldiers lead overnight raids in villages.
[00:01:12.705 --> 00:01:19.186]  Hundreds of Afghans demonstrated today against an American raid that one villager said killed several civilians.
[00:01:19.186 --> 00:01:23.707]  Meanwhile, a suicide bomber and a car attacked a convoy of foreign troops in Kabul today.
[00:01:24.267 --> 00:01:27.789]  That's Folsom for the Taliban insurgent.
[00:01:27.789 --> 00:01:29.610]  Claim responsibility for the blast.
[00:01:33.604 --> 00:01:34.745]  It was a dead end.
[00:01:34.745 --> 00:01:36.786]  You don't know what to do because you don't have the money.
[00:01:36.786 --> 00:01:38.648]  But you want to take care of the debt.
[00:01:38.648 --> 00:01:42.650]  How would you like to wipe out 30 to 60 percent of your credit card debt?
[00:01:42.650 --> 00:01:49.075]  There are secret programs most credit card companies won't tell you about that can allow a portion of your debt to be forgiven.
[00:01:49.075 --> 00:01:56.740]  Financial Freedom of America uses these programs to help you avoid bankruptcy, save thousands, and get more cash back in your pocket every month.
[00:01:58.702 --> 00:02:00.844]  Yeah, but FFA came through like promise.
[00:02:00.844 --> 00:02:03.647]  We're kind of excited to have that stress-free feeling now.
[00:02:03.647 --> 00:02:07.190]  Find out the secret that credit card companies hope you don't discover.
[00:02:07.190 --> 00:02:14.697]  FFA will give you the steps to eliminating a large percentage of your credit card bills, medical bills, or department store debt.
[00:02:14.697 --> 00:02:17.299]  Individual results vary and it's not available in all states.
[00:02:17.299 --> 00:02:19.501]  So call for your free information now.
[00:02:19.701 --> 00:02:19.801]  800-515-4749.
[00:02:19.801 --> 00:02:19.861]  800-515-4749.
[00:02:19.861 --> 00:02:20.081]  Call 800-515-4749.
[00:02:20.081 --> 00:02:20.141]  800-515-4749.
[00:02:20.141 --> 00:02:23.182]  Rafael Nadal has beaten Roger Federer in the men's final of the Australian Open.
[00:02:39.042 --> 00:02:40.043]  Here's Graham Agar's.
[00:02:57.171 --> 00:03:04.253]  For Federer, it was a match of missed opportunities as he squandered 13 of his 19 breakpoint chances against Nadal.
[00:03:04.253 --> 00:03:11.335]  The Spaniard took full advantage of Federer's mistakes and further established himself as the dominant player in men's tennis.
[00:03:11.335 --> 00:03:12.835]  Graham Agars, Melbourne.
[00:03:12.835 --> 00:03:20.498]  Israeli Prime Minister Ehud Olmert says his country will respond when and where it chooses and that the retaliation will be harsh.
[00:03:20.498 --> 00:03:24.859]  Olmert's comments come after Gaza militants launched two rockets into southern Israel today.
[00:03:25.500 --> 00:03:28.008]  No casualties or damage were reported.
[00:03:28.008 --> 00:03:31.418]  For more news and analysis, log on to IRNNews.com.
[00:03:33.579 --> 00:03:43.942]  If you're paying your credit cards with credit cards, or maybe some other crisis in your life made you fall behind on your bills, there is a light at the end of the tunnel with Consumer Credit of America.
[00:03:43.942 --> 00:03:48.743]  They can help you find your way out of the debt trap and find financial freedom.
[00:03:48.743 --> 00:03:49.243]  Call now.
[00:03:49.243 --> 00:03:49.523]  877-348-FREE.
[00:03:49.523 --> 00:03:49.903]  That's 877-348-F-R-E-E.
[00:03:49.903 --> 00:03:51.203]  Or visit them on the web at ccofamerica.com.
[00:03:51.203 --> 00:03:51.643]  877-348-FREE.
[00:03:51.643 --> 00:03:52.624]  Not available in all states.
[00:04:03.974 --> 00:04:11.842]  National Guard troops in Kentucky will be going door-to-door today, checking on residents left in the dark for nearly a week after an ice storm.
[00:04:11.842 --> 00:04:19.430]  At last report, more than 700,000 utility customers remained without power, which crews are working feverishly to restore.
[00:04:20.134 --> 00:04:21.836]  This is Governor Steve Beshear.
[00:04:21.836 --> 00:04:31.204]  We're going in the right direction and we've just got to keep going until we get the lights of everybody on and get heat in every home again and get their telephone service back.
[00:04:31.204 --> 00:04:39.751]  The World Economic Forum in Davos, Switzerland has concluded without any new plan for stemming, much less revising the global financial meltdown.
[00:04:39.751 --> 00:04:47.118]  There's widespread agreement that there's plenty left to do, starting at the April meeting of the leaders of the 20 largest economies in London.
[00:04:47.839 --> 00:04:50.841]  This is Nobel Prize winning economist Joseph Stiglitz.
[00:04:50.841 --> 00:04:58.426]  This time they've gotten more depressed as they learn about the problems that each of them face.
[00:04:58.426 --> 00:05:04.150]  So in that sense, it almost surely has contributed to the deepening of the gloom.
[00:05:04.150 --> 00:05:11.695]  Initial results from Iraq's elections are still days away, but allies of the U.S.-backed Prime Minister appear to have made gains.
[00:05:11.695 --> 00:05:12.616]  Here's Brian Murphy.
[00:05:12.856 --> 00:05:17.357]  What's at stake is future power struggles in national elections this year.
[00:05:17.357 --> 00:05:21.458]  If the government runs strong, their position is strengthened.
[00:05:21.458 --> 00:05:28.880]  If they don't do so well, it leaves room for other Shiite parties to try to claim the leadership in the elections later this year.
[00:05:28.880 --> 00:05:32.041]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.725 --> 00:05:37.708]  Do you have aches and pains or suffer from indigestion or inflammation?
[00:05:37.708 --> 00:05:40.670]  Are you tired of feeling restless from insomnia?
[00:05:40.670 --> 00:05:48.476]  These symptoms are produced by harmful toxins, but with the correct information, understanding, and care, you can cleanse them from your body.
[00:05:48.476 --> 00:05:53.580]  Allomaster.com would like to help you begin the road to recovery with aloe vera.
[00:05:53.580 --> 00:06:01.866]  For over 4,000 years, aloe vera has been known for its therapeutic and healing properties, and is widely recognized as the plant that helps alleviate minor burns.
[00:06:02.146 --> 00:06:10.353]  Allomaster.com picks the best aloe leaves and produces the most potent aloe vera concentrated juices and freeze-dry capsules you can find.
[00:06:10.353 --> 00:06:18.580]  Allomaster.com offers products with 10 times the potency of ordinary aloe products, enhancing the benefits of this ancient cleansing plant.
[00:06:18.880 --> 00:06:22.681]  Turn over a new leaf and visit us today at alomaster.com.
[00:06:22.681 --> 00:06:25.621]  That's A-L-O-E, master.com.
[00:06:25.621 --> 00:06:26.482]  Or call us at 1-800-934-A-L-O-E.
[00:06:26.482 --> 00:06:26.982]  That's 1-800-934-2563 today.
[00:06:26.982 --> 00:06:30.562]  Prepare yourself for a talk radio experience like no other.
[00:06:30.562 --> 00:06:31.543]  He stands for truth.
[00:06:31.543 --> 00:06:32.343]  He stands for justice.
[00:06:49.929 --> 00:06:52.371]  He stands for what's right.
[00:06:52.371 --> 00:06:55.653]  This is the Alex Jones Show.
[00:06:55.653 --> 00:06:58.554]  Call Alex now, toll free at 877-590-5525.
[00:06:58.554 --> 00:07:02.237]  Now live from Austin, Texas, here's Alex Jones.
[00:07:11.058 --> 00:07:17.600]  And for the next hour and a half, we're honored to be joined by one of the most sought-after speakers on radio and in person.
[00:07:17.600 --> 00:07:21.121]  Filmmaker, best-selling author, David Icke.
[00:07:21.121 --> 00:07:23.862]  Also championship goalie in his own right.
[00:07:23.862 --> 00:07:31.504]  Of course, BBC News presenter before his startling Saul on the road to Damascus transformation.
[00:07:32.600 --> 00:07:36.021]  Literally being knocked off his horse with a revelation.
[00:07:36.021 --> 00:07:50.827]  And in the last 15, 16, 17 years, he has spoken to millions of people around the world, and we're honored to have him again for the next hour and a half to talk about the current world economic crisis being engineered, and how this is really going to force an even faster awakening to this tyranny.
[00:07:50.827 --> 00:07:56.069]  So, David Icke, it is great to have you joining us here from England.
[00:07:56.069 --> 00:07:58.410]  Thank you, Alex.
[00:07:58.410 --> 00:08:02.152]  This is a short segment, but what are some of the things you want to discuss and go over today?
[00:08:03.587 --> 00:08:32.339]  Well certainly we talk about the financial situation because you know for me what we're looking at is a similar situation to when they have a controlled demolition of a building and the charges go off and you see the flashes and then extraordinarily there's that split second when nothing seems to happen and then the whole thing crashes and for me where we are in this economic engineered collapse is in that split second before the whole thing starts to collapse and you know when you think
[00:08:32.955 --> 00:08:33.235]  I think so.
[00:08:56.412 --> 00:09:06.676]  Your bullets at the situation, and they're not working, and we're not even into it yet, to the level it's coming, then we've got a lot of challenges to face.
[00:09:06.676 --> 00:09:19.081]  But as you say, Alex, there's a word in Chinese, I think, that means both danger and opportunity, and this is a danger from the system as we perceive it now and through our lives, but it's a wonderful opportunity to change the system.
[00:09:21.192 --> 00:09:30.219]  In the time we have left in this first segment, I want to get your response, since the last time we had you on, to... It's got to be more than 400 articles I've seen.
[00:09:30.219 --> 00:09:39.607]  If you Google the term New World Order and put it into the news section, not web, but news, the last time I checked it was 4,600 news articles, but I only, over the last few months, have read
[00:09:40.399 --> 00:09:41.540]  I know it's more than 300.
[00:09:41.540 --> 00:09:43.261]  It's 10 or 15 a day.
[00:09:43.261 --> 00:09:44.541]  I'd see without looking.
[00:09:44.541 --> 00:09:55.227]  Financial Times of London, Wall Street Journal, Der Spiegel, all the major publications of record of the establishment, the Bilderberg run of their editor-in-chief, of course, is Bilderberg, Mr. Wolf.
[00:09:55.928 --> 00:10:12.352]  Times of London, Financial Times, saying, and now for world government, and they say, we set it up in secret, it's for your own good, we'll save you from the financial collapse when they engineered it, and they go on to say that we're going to pay carbon taxes on all our activities to them.
