[00:00.000 --> 00:12.000]  Big Brother mainstream media government cover-ups you want answers well so does he
[00:12.000 --> 00:31.000]  He's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones
[00:31.000 --> 00:40.000]  We are live my friends thank you for joining us on this 28th day of October 2009 Wednesday edition
[00:40.000 --> 00:47.000]  We're going to be live here for the next four hours today masses of vital news and information to cover
[00:47.000 --> 00:55.000]  Your phone calls and to guest we had him on about three weeks ago and I want to have him back on to take your questions
[00:55.000 --> 01:14.000]  He was a Hitler youth his brother died in the war he was a Hitler youth from the early 1930s when Hitler came to power he served in the German Army during World War 2
[01:14.000 --> 01:30.000]  And we will break down the similarities the parallels between the United States and the western world for that matter and the police state the surveillance the worship of government the worship of the military the worship of police and the parallels that we're facing as a society
[01:30.000 --> 01:43.000]  This attitude of you've got to do with the government says the government is the authority it knows best it's doing it for your own interest versus what the founder said government is deadly dangerous and anytime it gets big it is going to become very corrupt
[01:43.000 --> 01:59.000]  And it's going to abuse you very very badly Darrell rundus will be joining us in studio to talk about a host of issues and different news items and issues and throughout the radio broadcast just like yesterday we're going to be taking your phone calls
[01:59.000 --> 02:19.000]  In fact I am going to go even further we're going to do a blitz of phone calls on the other side of this quick break I am going to take 12 phone calls in the 12 minute segment this is more than a 12 minute segment I guess it's a
[02:19.000 --> 02:37.000]  No it's a 12 minute segment in the 12 minute segment coming up I will take 12 phone calls and then in the next five minute segment I will take five phone calls and in the segment after that I will I will take a phone call every minute or will average out to every
[02:37.000 --> 02:55.000]  minute of live transmission time that we have because I love the different perspectives the ideas the angles the wild card news articles and items or personal observations that listeners raise here on this radio broadcast
[02:55.000 --> 03:11.000]  So we're going to be taking your phone calls at 1-800-259-9231 that's 1-800-259-9231 first time callers will go to the head of the line today
[03:11.000 --> 03:31.000]  As first time callers come in I will put them to the head of the line but we do have open phones but here's the deal if we're going to be able to get to your calls we need you to be focused to the point lined up on the starting line so when you hear the start pistol
[03:31.000 --> 03:47.000]  That's when they go to your call you'll hear a that's the signal you're on the air have your point your comment your question ready and I will limit my responses and answers to one line answers or one line responses
[03:47.000 --> 04:05.000]  1-800-259-9231 this is not the new format of the radio show this is how I started my radio show off almost 14 years ago and how I did start my access TV show out 14 years ago but I do want to shake the broadcast
[04:05.000 --> 04:26.000]  I'm going to pause throughout the show to go over the news and I have three big vital stacks in front of me I will briefly mention when we start the next segment what some of the top stories are today and what we're facing as a society what I believe is most important
[04:26.000 --> 04:47.000]  We will then go to your phone calls and then Daryl Rundes in studio with open phones yet again and Hilmer Von Campe as well today the former Hitler youth and German soldier under Adolf Alois Hitler and the parallels with the rapidly expanding
[04:47.000 --> 05:00.000]  Parasitical state controlled by private interest robbing and looting society in an orgy of corruption it's all coming up today fall will republic is out stay with us
[05:00.000 --> 05:18.000]  Hello this is Alex Jones with some important questions if you're going into a battle and they give you a rifle and a sidearm how much ammunition do you want my answer would be all I can get in the battle for freedom and the lives of your loved ones food is your only ammunition how much do you want when do you want it
[05:18.000 --> 05:35.000]  now or after the battle starts when will you need it can you buy it without proper identification will there be any food will it make your children sick if there's a quarantine and you can't feed yourself will you go to the gathering center and be immunized you wipe out all these problems if you have a good food supply
[05:35.000 --> 05:51.000]  food is your ammunition to fight for your freedom and your life how much will you need we don't know how much do you want all you can get I'm Alex Jones I want all of you good guys to live to fight another day call 1-800-409-5633
[05:51.000 --> 06:06.000]  or check it out on the web at efoodsdirect.com again that number 1-800-409-5633
[06:06.000 --> 06:25.000]  this is our last chance to not relive history as we're finishing off this agenda that we're pulling the rug from underneath Americans at home have tremendous influence on our president in Congress and they really are calling the shots I think it's incumbent upon all of us as American citizens to pay attention
[06:25.000 --> 06:36.000]  full of the republic identifies the enemies of our nation the criminal offshore cartel hell bent on destroying sovereignty and on its ashes constructing world government
[06:36.000 --> 06:42.000]  Tim Geithner Bernanke their arsonists they're asking for more matches and the Congress is saying who do we make the check out to
[06:42.000 --> 06:49.000]  today seems like nobody does care and right now in Washington DC we have seen a fall of the republic
[06:49.000 --> 07:00.000]  get your copy of full of the republic on DVD at info wars dot com or watch it online right now in super high quality at prison planet dot TV
[07:00.000 --> 07:09.000]  this is Alex Jones with five good reasons you should consider buying a solar power generator number one new climate legislation could easily double or triple your electric bill
[07:09.000 --> 07:20.000]  number two our new energies are wants to control how much power your electric company allows you to have it's true total government control of electricity in the name of smart grid technology is coming
[07:20.000 --> 07:29.000]  number three in some areas of the country the power grid is dangerously overloaded and now new socialist legislation is only compounding the problem
[07:29.000 --> 07:36.000]  number four dangerous weather is always a threat to local grids every year thousands of families lose their power from weather related onages
