[00:00.000 --> 00:26.940]  the
[00:26.940 --> 00:33.020]  March 8th, 2020. I am your host Alex Jones. Thank you so much for joining us on this live
[00:34.300 --> 00:41.740]  unfiltered teleprompter free globalist talking point free transmission. I am your host Alex Jones.
[00:42.620 --> 00:50.860]  Okay. I intend to open the phones up coming up at the bottom of the hour today. And I obviously
[00:50.860 --> 01:01.580]  would be covering the waterfront with everyone here. We now see coronavirus shutting down
[01:01.580 --> 01:07.660]  entire countries, shutting down commerce out of China, creating a supply chain, mega massive
[01:10.540 --> 01:17.740]  nightmare. And we see the two camps, either people saying that this is
[01:17.740 --> 01:23.340]  no big deal in all hoax or people saying it's the end of the world. Well, we already know
[01:24.460 --> 01:28.620]  that with the supply chain and with what's happening to commerce and tourism, it's already
[01:28.620 --> 01:34.140]  really hurting the global economy. And we know that big leftist institutions like Big Tech and
[01:34.140 --> 01:39.740]  South by Southwest are canceling all these big events to create the precedent that Trump better
[01:39.740 --> 01:45.100]  cancel all these big events and cancel school coming up as the virus spreads the next two weeks
[01:45.100 --> 01:51.100]  to three months that really starts heating up in two weeks. If you look at all the growth models
[01:51.100 --> 01:56.940]  and spread models of the virus so that if Trump doesn't shut down the US economy,
[01:56.940 --> 02:02.860]  somehow it's his fault what happens to the economy. And we went back six weeks ago and said,
[02:02.860 --> 02:09.180]  this thing is synthetic. This thing is manmade. This thing is a big, big, big issue.
[02:09.180 --> 02:17.580]  And whether it's really a super deadly virus or not, it's being used for massive control.
[02:18.700 --> 02:22.860]  So there's no doubt that the response is a hoax. There's no doubt it's a media setup.
[02:22.860 --> 02:25.420]  It is no doubt it's manmade. That doesn't mean it doesn't kill people.
[02:25.980 --> 02:31.260]  But it is synthetic. So I've harped on that. I've spoken to that. And now we have all these big
[02:31.260 --> 02:39.980]  developments that we'll be getting to once we start the next segment.
[02:45.260 --> 02:55.420]  That said, we will then get into the ongoing spectacle of bizarreness that is the Democrat
[02:55.420 --> 03:02.780]  race now tightening down to Joe Biden and Bernie Sanders. What a pair of miscreant criminals,
[03:03.420 --> 03:10.220]  one completely addled and in mid-stage dementia, got a bunch of those clips coming up,
[03:10.220 --> 03:14.460]  gaps every time he opens his mouth. And the other just a con man scammer,
[03:16.700 --> 03:19.980]  promising people things that are absolutely impossible to deliver.
[03:19.980 --> 03:25.660]  And the corporate media trying to wrap its mind around the fact that that's their two candidates,
[03:25.660 --> 03:33.340]  we've got that as well. Then we also have the news that Eric Prince has been behind a lot of
[03:33.340 --> 03:39.740]  funding and support and training for the folks over at Project Veritas. That's very interesting.
[03:39.740 --> 03:48.460]  I'm going to dig into that some. Stink, Uggur of the young turds has had a big flip out that's
[03:48.460 --> 03:53.260]  gone viral and it just illustrates how communist think everything supposedly works perfect
[03:54.300 --> 03:58.620]  in communist countries, but then they hate capitalist countries that actually work much,
[03:58.620 --> 04:03.660]  much better. He's had a complete public flip out. We're going to be getting to all that. Also,
[04:04.300 --> 04:13.580]  Greek border in flames as migrants keep trying to break through. So that's all coming up as the
[04:13.580 --> 04:22.220]  globalist launch their attack on the borders of Europe as well. 2020, just a few months into 2020.
[04:23.020 --> 04:27.980]  Just two months and eight days into 2020 is already shaping up to be spectacular in every way.
[04:28.940 --> 04:37.180]  None of it's going to be boring. It's going to be a wild year with only 239 days left until
[04:37.180 --> 04:44.060]  the historic election that has so much riding on it and make no mistake, it's now clear. Whatever's
[04:44.060 --> 04:49.580]  really behind this virus or how readily it really is, it is synthetic and it is designed to take
[04:49.580 --> 04:54.940]  down America and is the chai con response to them losing the trade war with the U.S. We'll be back
[04:54.940 --> 05:03.900]  in full wars.com. It's really smart to get high quality, storyable food and enforced toward
[05:03.900 --> 05:10.140]  it. It's also smart to drink filtered water with Alexa pure system. It's one of the highest rated
[05:10.140 --> 05:15.500]  out there and extremely affordable. And it's just as important to have your immune system boosted
[05:15.500 --> 05:22.060]  during times like this. And DNA force plus with PQQ CoQ 10 and so many other amazing ingredients
[05:22.060 --> 05:28.220]  is the base foundation for your entire body, your mitochondrial output inside your cells,
[05:28.220 --> 05:36.140]  your telomeres and so much more. DNA force is now after four months of being sold out back in stock
[05:36.140 --> 05:42.700]  40% off. This is our flagship product. I'm so proud of it and I had run out of it as well.
[05:42.700 --> 05:47.420]  So when I got it last week, when it came back in, I was so excited. It's now available at
[05:47.420 --> 05:53.020]  infowarstore.com. You're getting a wonderful formula and it funds the information war with
[05:53.020 --> 05:56.460]  the important fight that we're carrying out for not just the American people, but the people of
[05:56.460 --> 06:13.900]  the world. So please your DNA force plus today at infowarstore.com big brother mainstream media
[06:14.460 --> 06:22.060]  government coverups. You want to stop tyranny? Well, so does he live from the info wars.com
[06:22.060 --> 06:40.140]  studios. It's Alex Jones. Welcome, ladies and gentlemen, welcome to this live Sunday,
[06:40.140 --> 06:45.900]  March 8 2020 worldwide transmission with 239 days out from the election.
[06:45.900 --> 06:55.660]  There is no longer any doubt coronavirus is going to be a massive seismic event. It already is.
[06:56.220 --> 07:01.900]  It's going to be extremely destructive and everybody better get buttoned down as they say.
[07:02.700 --> 07:09.660]  Italy restricts quarter of their population travel chaos CPAC virus nightmare CDC has only tested
[07:09.660 --> 07:18.860]  1,583 people read report.com has some of the best wide range reporting on what's going on.
[07:19.660 --> 07:24.620]  So does info wars.com and news wars.com. We're going to be covering all of that in detail and
[07:24.620 --> 07:28.940]  what I think is really going on and what's coming next in the next segment. Here's some of the
[07:28.940 --> 07:35.020]  headlines on that front. This is the one headline you really have as a takeaway. Americans divided
[07:35.020 --> 07:42.060]  on party lines over risk from coronavirus Reuters poll. So it's been made political
[07:42.060 --> 07:49.740]  from the beginning and I got to say it. Man, we called it like we had a crystal ball.
[07:52.220 --> 07:57.820]  So regardless of what's really going on with it, it's been made political. It was political
[07:57.820 --> 08:07.580]  from the beginning. It's pointed at America and knowing that we'll be half the battle. So that
[08:07.580 --> 08:14.460]  is coming up next segment of videos. It's like scenes from Mad Max movies. People clear shelves
[08:14.460 --> 08:21.260]  around the country. What did I tell you six weeks ago? I said you better buy storeable food because
[08:21.260 --> 08:25.820]  it's five times less expensive than store bought food. It's high quality. We have it in stock
[08:25.820 --> 08:30.940]  and it's only going to go up in value and a lot of folks ordered so they've already gotten their food.
[08:31.740 --> 08:35.980]  All the other major storeable food companies back then were sold out. We did some test orders
[08:35.980 --> 08:41.420]  with major names. Six weeks later, none of it came in. As our delivery time got longer,
[08:41.420 --> 08:44.620]  not because we don't have food, but because we have to package it and get it out at the big
[08:44.620 --> 08:49.180]  factories. I told you it was going to take six to eight weeks for delivery. It's really four to
[08:49.180 --> 08:56.860]  five weeks, but we say six to eight to under promise over deliver. The reason you have storeable food
[08:57.740 --> 09:04.300]  is because of the economy and wars or asteroids or earthquakes or tornadoes. It's just something
[09:04.300 --> 09:09.500]  good you have that last 25 years. It's sealed up in big plastic tote containers inside sealed bags
[09:09.500 --> 09:15.020]  inside. Just because of inflation, it's a good move to make. I have the biggest, most successful
[09:15.020 --> 09:19.020]  storeable food company in the world. It used to be like number two or number three and they explained
[09:19.020 --> 09:22.940]  to me, we're now number one and that's in the news they are because they have quality and they get
[09:22.940 --> 09:27.100]  it out to you and we're partnered with them. That's when you order at m4store.com off the full
[09:27.100 --> 09:33.100]  catalog. Get the best deal on my Patreon supply food. Like I told you, you're going to see what
[09:33.100 --> 09:40.540]  happened in China, duplicated and spread across the world because it's a globalist political
[09:40.540 --> 09:47.020]  attack on the nation state. This is a globalist temper tantrum because of patriots getting
[09:47.020 --> 09:51.660]  elected from Brazil to the US to the UK and the globalists being thrown out everywhere.
[09:51.660 --> 09:58.860]  This is their answer for a planetary corporate societal reset. Again, that's coming up next
[09:58.860 --> 10:03.660]  segment, but let me get to this right now. You know, I've talked a lot about the emblematic nature,
[10:03.660 --> 10:11.180]  the illustrative nature of Joe Biden and Bernie Sanders. Two ages, 78 year old men,
[10:11.820 --> 10:23.180]  I guess Bernie's even older and 78, 79 and one of them has obvious dementia and cannot string
[10:23.180 --> 10:31.500]  a sentence together. The other is a con man, a flagrant liar and he just is saying the most
[10:31.500 --> 10:36.540]  insane things by the minute. There's like six or seven of them today. I can't even get to them all.
[10:36.540 --> 10:39.180]  He says there's no way they're going to win the election. I'll get to that in a moment.
[10:40.300 --> 10:44.780]  He doesn't know Obama's name. He doesn't call God, God. He says that thing.
[10:46.460 --> 10:52.220]  He doesn't. He thinks his wife's his daughter. I guess he does friends, kisses children. So
[10:53.740 --> 10:58.380]  but the fact that the establishment will be trying to run this guy and doesn't care what we
[10:58.380 --> 11:02.380]  think and it's so disconnected. Again, it's emblematic. It's like Bloomberg thought of
[11:02.380 --> 11:06.540]  he spent $500 million. People love him. Everybody hates Michael Bloomberg. The guy's a joke.
[11:08.860 --> 11:16.540]  So let's just play a few of these clips because again, this, this is a media and a corporate
[11:16.540 --> 11:22.300]  system and the chai comms and Democrat constituents. This is who the Democrats and the congressional
[11:22.300 --> 11:28.940]  black caucus and Kamala Harris are endorsing as if their endorsement means anything. When you give
[11:28.940 --> 11:34.220]  Nobel Peace Prizes to warmongers, it becomes a joke. When you endorse a gibbering idiot, it makes
[11:34.220 --> 11:41.580]  you a joke. Biden, we can only reelect Donald Trump. He goes on to say there's no way we can get
[11:41.580 --> 11:47.900]  elected. This is announcing. There's no way they can win. Here it is. Turn this primary from a
[11:47.900 --> 11:54.140]  campaign that's about negative attacks into one about what we're for, because we cannot get reelect.
[11:54.140 --> 11:59.100]  We cannot win this reelection. Excuse me. We can only reelect Donald Trump.
[12:00.700 --> 12:07.260]  I mean, it's sad. I remember my grandma when she was like 92 once a week going and having dinner
[12:07.260 --> 12:13.660]  with her sitting around the little table at her nursing home and watching her get to where
[12:13.660 --> 12:23.100]  she was half as adled as him. I mean, this is bad folks. But again, it's that the Democrats have
[12:23.100 --> 12:27.420]  endorsed it. They're supporting it. They believe this is going to be successful for them. It's
[12:27.420 --> 12:34.860]  beyond amazing. Here's another one. He also forgot Barack Obama's name. And then there's another
[12:34.860 --> 12:40.140]  clip again where he will get to all of them. Here he is not remembering Barack Obama's name.
[12:40.140 --> 12:47.340]  Because they invaded another country and annexed a significant portion of it called
[12:47.340 --> 12:54.700]  Crimean. He's saying that it was president. My boss. It was his fault.
[12:56.620 --> 13:01.500]  And again, it's not out of context. It's constant. Here it is. Biden calls himself an
[13:01.500 --> 13:10.860]  O Biden, Obama Democrat. Here it is. All of Amy's folks, all of Pete's folks, all of countless folks, all of the folks who have better folks.
[13:10.860 --> 13:17.100]  I tell you what, what a gigantic difference it's made. We're going to unite this party and unite this country.
[13:20.380 --> 13:27.180]  The folks who want to nominate a Democrat, a lifelong Democrat, a proud Democrat,
[13:27.180 --> 13:37.020]  and a white Obama Democrat, join us. If you want to nominate, we'll bring the party together.
[13:37.580 --> 13:43.820]  We'll run a positive progressive vision for the future, not turn this Crimean into a
[13:43.820 --> 13:49.100]  campaign of negative attacks because that will only reelect Donald Trump if we go that route.
[13:49.740 --> 13:51.260]  If you want that, join us.
[13:51.260 --> 13:59.740]  So he's talking through another major stroke. He's had one that almost killed him before,
[13:59.740 --> 14:05.260]  but it's not just that the neurological control of his speech centers are out.
[14:05.260 --> 14:10.140]  The words are out too. So it's dementia. It's dementia on top of a stroke.
[14:10.860 --> 14:16.380]  And this is who they have walking into political machine gun fire of Donald Trump,
[14:16.380 --> 14:23.820]  who is going to massacre him politically in the election. But all I can say is,
[14:23.820 --> 14:30.620]  truth is my North Star. Trump about two years ago slurred his words, acted exhausted,
[14:30.620 --> 14:34.140]  stumbled around for a couple of weeks, and I thought they might have been drugging his food,
[14:34.140 --> 14:36.540]  remember? And then turned out they thought that might have been going on.
[14:37.740 --> 14:43.340]  That's how you get away with it, very small dosages. Well, he looks deflated and very tired
[14:43.340 --> 14:48.540]  and almost falling asleep at the podium. And my mom doesn't listen to my show.
[14:48.540 --> 14:51.420]  She can't handle it. So she didn't get this from me. She was over at the house
[14:53.500 --> 14:58.380]  Friday night and she said, man, he looks deflated. Like when people are giving speeches,
[14:58.380 --> 15:04.380]  he looks like he's falling asleep up there. So Trump is a million miles away from where Biden is.
[15:04.380 --> 15:09.740]  But at 73, my God, I'd be, I'm exhausted today. I've been up since 4 a.m. working.
[15:09.740 --> 15:14.620]  I couldn't imagine being 73 at Trump's job, but I always worry about him. And he is really
[15:14.620 --> 15:21.020]  puffed up, gained some weight and needs to take some time off to work out and needs to sleep
[15:21.020 --> 15:28.540]  more than four hours a night. Don't we all? But I'm worried about Trump. He is showing some signs
[15:28.540 --> 15:33.660]  of where and who would, but he's looking bad. I'll just, I mean, we're not in a cult here,
[15:33.660 --> 15:37.420]  man. I'll tell you, you know, eight months ago, I said, Biden's clearly had another stroke. He
[15:37.420 --> 15:42.460]  can't talk. He'll never finish the race. And in Facebook said, we're banning even using his name
[15:42.460 --> 15:47.740]  in a positive way, Alex Jones, because of that fake news. Give me a break. I called the emperors
[15:47.740 --> 15:56.220]  new clothes and I was right again info wars.com common sense today and tomorrow's news a year early.
[15:56.220 --> 16:05.900]  We'll be back. I always promote DNA Force Plus with PQQ and CoQ10 that cleans up the cells
[16:05.900 --> 16:11.660]  and empowers the telomeres and the mitochondria. It's the most powerful formula out there sold
[16:11.660 --> 16:16.300]  over the counter that is known to energize the body. I'm not going to jack up prices during
[16:16.300 --> 16:20.540]  crisis, but I am going to end up running out. So funding info war, boost your immune system and
