[00:00.000 --> 00:11.000]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[00:11.000 --> 00:19.000]  Well, ladies and gentlemen, it is April Fool's Day, and we've got the April Fool's virus out there in full effect.
[00:19.000 --> 00:25.000]  No, it's a real bio weapon. It's probably going to kill, I think Mike Adams' original analysis is pretty good.
[00:25.000 --> 00:31.000]  He's saying 80, 90,000. We had the flu kill 80,000 in 2018.
[00:31.000 --> 00:36.000]  We have the total lockdown of society and the stop market plunging, which it is right now. No, we didn't.
[00:36.000 --> 00:44.000]  The President Trump's getting out ahead of it so that the globalists can't use the crisis to bring in their own civil emergency.
[00:44.000 --> 00:49.000]  Down 700 points right now, 21,214.
[00:49.000 --> 00:58.000]  And so he's trying to be in control of it so that they don't bring in total lockdowns of every city, absolute bonafide martial law.
[00:58.000 --> 01:01.000]  At first, the globalists played it very slickly.
[01:01.000 --> 01:03.000]  Nine weeks ago, they covered up the severity.
[01:03.000 --> 01:07.000]  The Democrats said open the borders, let folks fly in from China.
[01:07.000 --> 01:14.000]  Even in late February, Nancy Pelosi and others were saying it in San Francisco. The Blasio was saying it in New York.
[01:14.000 --> 01:24.000]  Trump said, well, we actually should control some of this, at least to save some lives, like people flying in from Italy or people flying in from China.
[01:24.000 --> 01:31.000]  Russia closed its borders. China closed its borders, but would let people leave to actually give everybody the disease.
[01:31.000 --> 01:33.000]  I mean, it's all scripted.
[01:33.000 --> 01:38.000]  And then they went, oh no, you're not allowed to block Chinese coming in from China.
[01:38.000 --> 01:45.000]  And then on a dime, about March 1st, a month ago, they flipped and said it's all Trump's fault.
[01:45.000 --> 01:51.000]  It's the American virus. America's a crap hole. It's going to have the most cases because we're going to have the most testing.
[01:51.000 --> 01:56.000]  So they run the hoax that we're not testing. We're not testing more testing the whole world combined.
[01:56.000 --> 02:02.000]  Hundreds of times the testing of China. China stopped testing two weeks ago on record.
[02:02.000 --> 02:10.000]  So this is a real virus and it is manmade. It's got four different receptor delivery systems to attack four different parts of the body.
[02:10.000 --> 02:19.000]  And the consensus at the Senate intelligence and the Pentagon and, again, people that are part of the pro-American camp there,
[02:19.000 --> 02:27.000]  is that this is a globalist attack by the deep state through communist China because America was taking over the new world order
[02:27.000 --> 02:34.000]  and Americanizing at 1776 worldwide a plan that I have put forward, a thesis.
[02:34.000 --> 02:39.000]  And it's just a common sense flow that was already the American century, the American millennium.
[02:39.000 --> 02:43.000]  It was already the Renaissance going into overdrive at the end of World War II,
[02:43.000 --> 02:50.000]  but it all got hijacked by the eugenicist scientific dictatorship that Eisenhower warned us about in his farewell address in 1961.
[02:50.000 --> 03:01.000]  He said the technocracy, we've got a speech only 21 minutes long. He says the scientific elite are in control of the military industrial complex
[03:01.000 --> 03:08.000]  and are establishing a tyranny over all thought, all science, and all industry and are the great threat.
[03:08.000 --> 03:13.000]  That's because they proposed to him what they had already set up that's beyond the Manhattan Project.
[03:13.000 --> 03:21.000]  So that's the competing systems, a pro-human future, a liberty future, an authoritarian, anti-human, robot future.
[03:21.000 --> 03:28.000]  The globalist lust after robots that will follow all their orders cutting humans out of the equation and making us obsolete,
[03:28.000 --> 03:37.000]  like the obsolete man that is the entire Malthusian slash eugenics operation.
[03:37.000 --> 03:40.000]  And so we're going to be laying it all out today.
[03:40.000 --> 03:49.000]  But Mike Adams' projections so far are tracking with several thousand deaths in New York.
[03:49.000 --> 03:55.000]  They believe it will end up being about a thousand deaths a day in the United States by late April.
[03:55.000 --> 03:59.000]  And the problem is the virus keeps coming back. It's a soft-kill weapon.
[03:59.000 --> 04:05.000]  So here's the thing they don't want you to know and that the Democrats are trying to block and they're failing, the deep states failing.
[04:05.000 --> 04:13.000]  They have fought like the devil to tell you there is no treatment and there is no hope and that if you get it,
[04:13.000 --> 04:16.000]  you're just basically dead or get ready for a ventilator.
[04:16.000 --> 04:23.000]  Not telling you that if your immune system is boosted and that if you've got a lot of zinc in your body,
[04:23.000 --> 04:29.000]  a lot of D3 and a lot of sunshine and things like that, that it's very hard to get it.
[04:29.000 --> 04:35.000]  And that's just a fact. And they're so pissed that medical doctors are saying that they had a bunch of governors trying to block them while they all failed.
[04:35.000 --> 04:42.000]  Now the governors like Michigan that were telling people that hydroxychloroquine was illegal are now begging for it.
[04:42.000 --> 04:47.000]  And the FDA says, yeah, they have massive success. 90 plus percent, as I said, brought off their own reports.
[04:47.000 --> 04:54.000]  I was reading major news out of Europe, mainline news, that now they've just capitulated the Democrats are failing in blocking the medicine of the people.
[04:54.000 --> 04:58.000]  But it shows they are psychotic filth of the highest order.
[04:58.000 --> 05:09.000]  The ultimate tumeric and inflammatory support product on the market, bodies, is available at 40 percent off at the InfoWars store.
[05:09.000 --> 05:14.000]  Using pure tumeric extract plus peppering from black pepper,
[05:14.000 --> 05:25.000]  bodies makes for optimal formula absorption to help boost and support your flexibility, mobility, joint function, immune system and so much more.
[05:25.000 --> 05:32.000]  Truly utilizing its potential, bodies contains over 95 percent of the active ingredients in tumeric.
[05:32.000 --> 05:40.000]  And with five other organic herbs and extracts, bodies is a synergistic powerhouse of full body support.
[05:40.000 --> 05:45.000]  We worked hard to create a formula that takes advantage of the power of tumeric.
[05:45.000 --> 05:55.000]  Check out bodies today for 40 percent off at InfoWarsStore.com and see what this time tested ingredient can add to your daily routine.
[06:16.000 --> 06:26.000]  We are live, ladies and gentlemen, on this Wednesday, April 1st, 2020 global transmission.
[06:26.000 --> 06:30.000]  I am your host, Alex Jones.
[06:30.000 --> 06:36.000]  The news sites are InfoWars.com, NewsWars.com and Band.Video.
[06:36.000 --> 06:40.000]  Then Paul Watson has his great site, Summit.News.
[06:40.000 --> 06:46.000]  OK, let me tell you what's coming up today and I certainly hope you stay with us for the entire transmission.
[06:46.000 --> 06:49.000]  Mike Adams is with us at the bottom of the hour.
[06:49.000 --> 06:59.000]  His numbers are tracking to be in the sweet spot right on for what we're going to probably see here in the next two or three months.
