[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[00:29.700 --> 00:36.700]  It'll be J. Austin, Texas.
[00:36.700 --> 00:39.700]  I-R-N-U-S-A Radio News. I'm Jody Jordan.
[00:39.700 --> 00:45.700]  Spring is only weeks away, but it doesn't look like it in Alabama, Georgia, and other parts of the South and East.
[00:45.700 --> 00:51.700]  The National Weather Service is predicting as much as 14 inches of snow for the Philadelphia area.
[00:51.700 --> 00:55.700]  As much as 15 inches could fall across southern New England.
[00:55.700 --> 00:58.700]  Brian Cordy is a meteorologist with the National Weather Service.
[00:58.700 --> 01:09.700]  This storm is expected to produce a wide swath of moderate to heavy snows all the way through from the western portion of the Carolinas all the way up through New England.
[01:09.700 --> 01:19.700]  Bob Nations, who's the director of the Shelby County Office of Emergency Preparedness, says it's very unusual to see any accumulating snow in and around Memphis.
[01:19.700 --> 01:29.700]  We get some snow flurries usually each year, but when it gets to be three or four inches, that's not necessarily common for our area.
[01:29.700 --> 01:50.700]  This is I-R-N-US-A Radio News.
[01:59.700 --> 02:20.700]  The White House budget director says President Barack Obama will sign a big spending bill despite Republican calls for a veto.
[02:20.700 --> 02:27.700]  The $410 billion measure would keep the government operating through September 30th, the end of the current budget year.
[02:27.700 --> 02:34.700]  A watchdog group says the measure includes nearly $8 billion in airmarks, which Obama campaigned about.
[02:34.700 --> 02:38.700]  Israeli officials say Palestinian rocket attacks are still targeting Israel.
[02:38.700 --> 02:43.700]  Six weeks after the end of a military offensive aimed at stopping them for good.
[02:43.700 --> 02:49.700]  Prime Minister E. Hood-Almert is threatening painful retaliation against Gaza militants if the attacks continue.
[02:49.700 --> 02:59.700]  The comets come as Secretary of State Henry Rodham Clinton arrives in the region to discuss a two-state solution that aims to establish a Palestinian state at peace with Israel.
[02:59.700 --> 03:07.700]  And about 2,000 Shiites in Iraq have been protesting the results of provincial elections in tents to Lila province.
[03:07.700 --> 03:24.700]  For the latest news and analysis, log on to I-R-N-US-A News.com.
[03:37.700 --> 03:52.700]  The Chairman of the Joint Chiefs of Staff says he's confident about Iraq's future and the future of the U.S. withdrawal from the country.
[03:52.700 --> 04:01.700]  Admiral Mike Mullen says he's reluctant to talk about winning and losing in Iraq, but he tells Foxx that Baghdad will be able to successfully take control of the country.
[04:01.700 --> 04:10.700]  He doesn't listen to General Odiano, General Petraeus, all the Chiefs throughout this process, which was very thorough and very deliberate.
[04:10.700 --> 04:13.700]  And I have a great deal of confidence in that process.
[04:13.700 --> 04:20.700]  Pakistani officials say suspected U.S. missiles have hit an alleged terrorist target near the Afghanistan border.
[04:20.700 --> 04:25.700]  The strike struck a suspected Taliban compound. Here's Nahal Tusi.
[04:25.700 --> 04:33.700]  The officials are telling us that Taliban militants immediately surrounded the compound and we're still trying to get more details.
[04:33.700 --> 04:36.700]  It's unclear exactly who was among the dead.
[04:36.700 --> 04:41.700]  A broadcast pioneer with one of the nation's most familiar radio voices has died.
[04:41.700 --> 04:45.700]  Paul Harvey was 90 and died yesterday in Arizona.
[04:45.700 --> 04:53.700]  ABC Radio Network's President Jim Robinson says Paul Harvey lost his wife of almost 70 years, Angel, less than a year ago.
[04:53.700 --> 04:57.700]  She was being deficit and they were quite in love every day.
[04:57.700 --> 04:59.700]  And it was a pleasure to be around them as a couple.
[04:59.700 --> 05:01.700]  I will miss them both dearly.
[05:01.700 --> 05:07.700]  Former President George W. Bush says Harvey entertained, enlightened and informed.
[05:07.700 --> 05:13.700]  I'm Jody Jordan for IRN USA Radio News.
[05:13.700 --> 05:23.700]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S. and the world.
[05:23.700 --> 05:27.700]  And for the first time in their lives, they are feeling the need for preparedness.
[05:27.700 --> 05:33.700]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[05:33.700 --> 05:37.700]  Ready Reserve is the manufacturer, unlike other companies that just broker canned foods.
[05:37.700 --> 05:43.700]  You can buy from start to finish with double enameled cans and nitrogen packaging.
[05:43.700 --> 05:47.700]  When purchasing from Ready Reserve Foods, you are buying Factory Direct at wholesale prices.
[05:47.700 --> 05:53.700]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[05:53.700 --> 05:55.700]  Many companies do not even offer a catalog.
[05:55.700 --> 05:59.700]  We will be more than happy to send a catalog to you free of charge.
[05:59.700 --> 06:05.700]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at readyreservefoods.com.
[06:05.700 --> 06:09.700]  Factory Direct, wholesale pricing from Ready Reserve Foods.
[06:09.700 --> 06:13.700]  Call us at 1-800-453-2202.
[06:13.700 --> 06:31.700]  He stands for truth. He stands for justice. He stands for what's right.
[06:31.700 --> 06:43.700]  This is the Alex Jones show. Call Alex now toll free at 877-590-5525.
[06:43.700 --> 06:53.700]  Now live from Austin, Texas. Here's Alex Jones.
[06:53.700 --> 06:59.700]  We are live. Thank you so much for joining us on this Sunday edition.
[06:59.700 --> 07:07.700]  This is an abbreviated transmission I do every Sunday from 4-6pm, abbreviated from the weekday, four hour broadcast.
[07:07.700 --> 07:13.700]  All right, very important radio show today. Very informative. A lot of key information for everybody out there.
[07:13.700 --> 07:27.700]  We'll also have open phones on the subject we're bringing up at 877-590-5525, 877-590-5525, and that will get you up and on the year.
[07:27.700 --> 07:40.700]  There's a lot of issues I want to cover today. Obama is just adding new lies every week, going 180 degrees away from everything he claimed and said that he would do.
[07:40.700 --> 07:45.700]  And I want to go back over some of the old lies, but first get to the new lies.
[07:45.700 --> 07:51.700]  One of them is that he promised to immediately bring home U.S. troops within six months.
[07:51.700 --> 07:59.700]  And he said he'd look at it in 16 months. Now they're saying 23 months, they'll look at it and that 50,000 troops will stay there permanently.
[07:59.700 --> 08:10.700]  Well, that was always the Pentagon plan. It doesn't matter what presidents in, the big foreign banks that have hijacked this nation, control the military, control the Pentagon, control the whole military industrial complex.
[08:10.700 --> 08:35.700]  But the issue here is, the headline across the nation this weekend is Obama to end occupation of Iraq within 20 months, 23 months. But then you read the sub-paragraphs, it says, oh, he's going to bring back all the combat troops and combat operations will be over, will be over within the 20-plus months.
[08:35.700 --> 08:42.700]  Well, that's what George Bush said six months after the invasion of Iraq back in 2003.
[08:42.700 --> 08:52.700]  Remember on the aircraft carrier and the commando, you know, fighter pilot outfit with the giant codpiece, he's up there saying that major combat operations are over.
[08:52.700 --> 09:01.700]  This is all the same lies and the presidents are puppets that just read off of a teleprompter.
[09:01.700 --> 09:16.700]  Also, Obama said that he was only going to raise taxes back to the old 1990s tax rate of 40% against couples making more than $250,000 a year, individuals making $125,000 a year.
[09:16.700 --> 09:33.700]  But now it's coming out, scores of new taxes on Medicare and Medicaid and capital gains tax and they're getting rid of many of the tax exemptions for legitimate things. So just a complete and total lie there.
[09:33.700 --> 09:44.700]  He's also stated that they're going to continue the violation of the Geneva Convention of the Constitution. Even the Supreme Court said they couldn't do it last year at Bob Graham Air Base and other camps around the world.
[09:44.700 --> 09:54.700]  They may shut Guantanamo, but they're going to open more camps and even camps in the United States, according to ABC News, and violate the Bellarites Constitution and Geneva Convention.
[09:54.700 --> 10:03.700]  Of course, he's basically hired nothing but top lobbyist and special interest into the new White House swearing he wouldn't do that. He swore he'd end the Patriot Act.
[10:03.700 --> 10:10.700]  He says he's going to expand that. He swore that they were going to go up for telecoms. Then he voted for it and the warrantless wiretapping.
[10:10.700 --> 10:14.700]  Now they're going to expand that. That's in the news.
[10:14.700 --> 10:24.700]  What is he told the truth about though, saying he would set up a million person domestic security force under the Pentagon's control and turn mercenaries loose on the American people.
[10:24.700 --> 10:40.700]  They are doing that. But now he has the nerve to come out in his weekly radio address Saturday and say that he is fighting special interest in Port Barrel.
[10:40.700 --> 10:49.700]  And then he knows special interest is going to come after him and that they want to fight and that he's ready to fight them similar to Bush saying bring it on.
[10:49.700 --> 10:57.700]  As if this guy isn't Mr. Special Interest worse than even Bush. I mean, it's hard to believe. Worse than even Clinton. Hard to top that.
[10:57.700 --> 11:03.700]  But he has the nerve to sit there and say, I'm going to help the American people. I'm going to cut the budget.
[11:03.700 --> 11:14.700]  I'm going to go after special interest when he just passed a $787 billion stimulus package that major analysts have looked at 90% of it goes to special interest.
[11:14.700 --> 11:20.700]  And yes, there is a every two weeks a $15 and 35 cent buy pizza with that.
[11:20.700 --> 11:23.700]  I'm going to get a combo and get two medium pizzas for that.
[11:23.700 --> 11:33.700]  Now you might get one pizza and maybe a liter of Coke. I'm not sure. The point is that yes, that's your tax cut while he raises all these other taxes.
[11:33.700 --> 11:42.700]  And then he's announced and it's not state of the union. They build it as that address to Congress last week for the carbon taxes on everything.
[11:42.700 --> 11:48.700]  Toilet paper, light bulbs, all fuels, heating oil, natural gas, your homes.
[11:48.700 --> 11:53.700]  That will be a tax also on U.S. factories and businesses that will be passed on to you.
[11:53.700 --> 11:57.700]  So just unbelievable tax increases on every front.
[11:57.700 --> 12:02.700]  But here he is shaking his finger at the teleprompter, reading a speech written by somebody else.
[12:02.700 --> 12:07.700]  He's ready for a fight for the people and he's going to fight special interest.
[12:07.700 --> 12:12.700]  Just like he was going to not hire any lobbyist and just like on and on and on.
[12:12.700 --> 12:18.700]  This is going to be a three and a half trillion dollar budget.
[12:18.700 --> 12:23.700]  And on top of that, on top of the record, one plus trillion dollar defense budget he's supporting.
[12:23.700 --> 12:33.700]  He wants 800 billion for combat operations on top of that and is going to increase the total number of U.S. troops in the Middle East and Central Asia.
[12:33.700 --> 12:41.700]  Just, I mean, even if you support Barack Obama and like him and like his tie in a suit or whatever, I mean, do you like the fact that he lied about everything?
[12:41.700 --> 12:45.700]  Here he is arrogantly putting out more propaganda.
[12:45.700 --> 12:48.700]  I realize that passing this budget won't be easy.
[12:48.700 --> 12:54.700]  Because it represents real and dramatic change, it also represents a threat to the status quo in Washington.
[12:54.700 --> 12:57.700]  Oh, I know that the insurance industry will like the idea.
[12:57.700 --> 12:59.700]  Hit pause, back it up.
[12:59.700 --> 13:01.700]  I mean, this is incredible.
[13:01.700 --> 13:02.700]  Real change.
[13:02.700 --> 13:03.700]  It's a five minute address.
[13:03.700 --> 13:04.700]  We're going to play like a minute of it.
[13:04.700 --> 13:06.700]  You can go watch it at White House.gov.
[13:06.700 --> 13:07.700]  It's on the front page if you want.
[13:07.700 --> 13:11.700]  I mean, he says this has changed from business as usual.
[13:11.700 --> 13:12.700]  Well, I guess in a way it's true.
[13:12.700 --> 13:14.700]  I mean, Bush triple the size of government.
[13:14.700 --> 13:17.700]  I guess Obama's going to double it in one year.
[13:17.700 --> 13:18.700]  And Bush tripled it in eight.
[13:18.700 --> 13:26.700]  So if he doubles it every year or triples it every year, this is a little more than a doubling about two and a half times.
[13:26.700 --> 13:35.700]  Then I guess he will make it seven times bigger, eight times bigger instead of or maybe 10 times bigger.
[13:35.700 --> 13:36.700]  Do the math.
[13:36.700 --> 13:42.700]  So I guess in a way business as usual is growing the government, the bureaucracy, the corruption, the looting, the pork barrel.
[13:42.700 --> 13:46.700]  And so he's radically expanding that, dwarfing what Bush did.
[13:46.700 --> 13:48.700]  And I guess it is change.
[13:48.700 --> 13:51.700]  But it is business as usual, though, folks.
[13:51.700 --> 13:52.700]  It's a grow government.
[13:52.700 --> 13:53.700]  Here it is.
[13:53.700 --> 13:58.700]  I realize that passing this budget won't be easy because it represents real and dramatic change.
[13:58.700 --> 14:01.700]  It also represents a threat to the status quo in Washington.
[14:01.700 --> 14:05.700]  Oh, I know that the insurance industry won't like the idea that they'll have to bid competitively.
[14:05.700 --> 14:07.700]  To continue offering Medicare coverage.
[14:07.700 --> 14:14.700]  But that's how we'll help preserve and protect Medicare and lower healthcare costs for American families.
