[00:00.000 --> 00:24.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[00:24.000 --> 00:31.000]  You're live, ladies and gentlemen, it is Sunday, the 21st day already of February 2016.
[00:31.000 --> 00:34.000]  I'm your host, Alex Jones. We're going to be here for the next two hours.
[00:34.000 --> 00:37.000]  This will be, again, a particularly jam-packed transmission.
[00:37.000 --> 00:45.000]  Donald Trump wins in South Carolina big time and obviously in the next state as well.
[00:45.000 --> 00:47.000]  We'll go over his delegate numbers.
[00:47.000 --> 00:58.000]  He has 67 with his closest competitor, Ted Cruz, with 11, Rubio, 10, Kasich at 5, Carson with 3, and Jeb Bush, ladies and gentlemen,
[00:58.000 --> 01:03.000]  of course has dropped out, so the Bush dynasty is in flames right now.
[01:03.000 --> 01:07.000]  A big referendum on how angry folks are at the establishment. That's all coming up.
[01:07.000 --> 01:12.000]  But first, a special report from John Bowne, Hillary Clinton.
[01:12.000 --> 01:16.000]  Drudge is right. He's too sick to be able to assume office.
[01:16.000 --> 01:26.000]  Mrs. Hillary Clinton, former Nelson Rockefeller campaign staff member, Saul Alinsky Neophyte, first lady cut queen,
[01:26.000 --> 01:34.000]  New York Wall Street guard dog senator, treasonous secretary of state, and now sickly presidential candidate.
[01:34.000 --> 01:39.000]  The red carpet Hillary thought she walked in on is quickly being rolled back up.
[01:39.000 --> 01:48.000]  The Associated Press GFK poll shows that 72% of registered Democratic voters are leaning towards Democratic candidate Bernie Sanders.
[01:48.000 --> 01:53.000]  A 21% jump since the poll was taken less than three months ago.
[01:53.000 --> 01:59.000]  Liberal stalwart Salon magazine is even declaring Hillary's campaign to be on its last legs.
[01:59.000 --> 02:03.000]  Meanwhile, Hillary's public presence is a slow-motion disaster.
[02:03.000 --> 02:10.000]  Hillary told Scott Pele of CBS News that she tries not to lie to the American people, whatever that means.
[02:10.000 --> 02:13.000]  You talk about leveling with the American people. Have you always told the truth?
[02:13.000 --> 02:14.000]  I've always tried to.
[02:14.000 --> 02:19.000]  And even Britney Spears deleted her recent endorsement of the Clinton campaign.
[02:19.000 --> 02:28.000]  But the real question plaguing Hillary's now desperate presidential bid isn't her giant sham of a platform or her trail of deception.
[02:28.000 --> 02:30.000]  It's Hillary herself.
[02:30.000 --> 02:34.000]  Excuse me.
[02:34.000 --> 02:38.000]  In the administration, we assume you won't be...
[02:38.000 --> 02:42.000]  Alicent.
[02:42.000 --> 02:46.000]  I have one.
[02:46.000 --> 03:01.000]  You talk.
[03:01.000 --> 03:04.000]  She may not even be fit to take office.
[03:04.000 --> 03:21.000]  From Corsi of WorldNet Daily reports, the concussion Hillary Clinton suffered in December of 2012 that led to a serious blood clot requiring hospitalization may also have caused her to suffer post-concussion syndrome with symptoms including confusion, headaches, and dizziness.
[03:21.000 --> 03:35.000]  Florida physician Dr. Daniel Cassacea, a dual-board certified osteopathic neurologist and a leading headache specialist who directs the Florida Headache and Movement Disorders Center in Sarasota, Florida, told WorldNet Daily,
