[00:00.000 --> 00:11.640]  Waging war on corruption.
[00:11.640 --> 00:28.000]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:28.000 --> 00:38.000]  It's Sunday, March 17th, 2013.
[00:38.000 --> 00:44.040]  I am your host Alex Jones and we're going to be live here for the next two hours as
[00:44.040 --> 00:50.880]  we are every Sunday, 4 to 6 p.m. Central Standard Time blasting out on the AM and FM dial and
[00:50.880 --> 00:57.160]  of course simulcasting with audio and video streams at prisonplanet.tv, infowars.com and
[00:57.160 --> 00:58.560]  prisonplanet.com.
[00:58.560 --> 01:05.080]  All right, my friends, where to start here?
[01:05.080 --> 01:14.000]  I remember last year, there were reports that the EU was discussing the European Commission
[01:14.000 --> 01:22.560]  taking over the private bank accounts of Greece and just exercising a large portion of the
[01:22.560 --> 01:27.120]  money directly out of the bank account after tax money, before tax money, didn't matter.
[01:27.120 --> 01:34.680]  And that caused bank runs, not just in Greece, but all over from Germany to Spain.
[01:34.680 --> 01:40.520]  Now they did propose it, it did cause runs, then they came out and denied it.
[01:40.520 --> 01:49.060]  They have begun to freeze the bank accounts in Cyprus and move in that Mediterranean nation
[01:49.060 --> 01:53.500]  that a lot of Brits live in, it's kind of like a bedroom community of England.
[01:53.500 --> 02:01.920]  They are moving to seize and in some reports are now seizing upwards of 10%.
[02:01.920 --> 02:07.800]  Some people are having 7%, others are having 10% directly taken out of their bank account.
[02:07.800 --> 02:14.320]  In fact, visitors, it says British military personnel and government personnel, to give
[02:14.320 --> 02:20.120]  me an example, Prince Philip is from Cyprus, the Queen of England's husband.
[02:20.120 --> 02:25.480]  So for a long time, it was a British held area, especially Britain, or part of the UK,
[02:25.480 --> 02:28.800]  and they're saying they're gonna have their money taken.
[02:28.800 --> 02:34.240]  So it's becoming a big deal, and this dovetails into all the preparations we're seeing with
[02:34.240 --> 02:38.280]  governments worldwide to engage in similar activities.
[02:38.280 --> 02:43.080]  So we're gonna be breaking that down and tying it into the engineered financial meltdown
[02:43.080 --> 02:44.080]  worldwide.
[02:44.080 --> 02:50.800]  Here's another one from the tap website and has direct links to the press releases that
[02:50.800 --> 02:53.040]  have been put out by PepsiCo.
[02:53.040 --> 02:59.120]  You know, PepsiCo has been caught with things like bromine or brominated things in their
[02:59.120 --> 03:00.120]  different drinks.
[03:00.120 --> 03:03.240]  And of course, two years ago, it came out and I didn't believe it until I went and looked
[03:03.240 --> 03:04.520]  at the news and found out it was true.
[03:04.520 --> 03:09.520]  A caller called in and said, Pepsi's putting fetal tissue in their flavor enhancers.
[03:09.520 --> 03:14.320]  And I said, come on, come on, don't call it, make it stuff up like that.
[03:14.320 --> 03:18.760]  Search engine did, and it was true and they had big shareholder fights over it.
[03:18.760 --> 03:22.640]  And then Obama did some federal order to block it being released, what they were doing with
[03:22.640 --> 03:25.100]  the baby parts.
[03:25.100 --> 03:29.960]  And then they said, well, we promised to start, but then the news in the last few months was
[03:29.960 --> 03:33.460]  they're just making it secret, kind of like they're moving right now to make aspartame
[03:33.460 --> 03:34.980]  not be labeled.
[03:34.980 --> 03:38.520]  It's on record to give you type 2 diabetes and brain cancer and everything else.
