[00:00.000 --> 00:19.000]  Info Wars. Tomorrow's news. Today.
[00:30.000 --> 00:52.000]  I have decided we really need camps for adults. And we need the kind of camps that you all run. I mean, really.
[00:52.000 --> 01:00.000]  There are millions of Americans, almost all white, almost all Republicans, who somehow need to be deprogrammed.
[01:00.000 --> 01:08.000]  And the question is, how are we going to really almost deprogram these people who have signed up for the cult of Trump?
[01:08.000 --> 01:16.000]  There are millions of people who believe that the election was rigged. How do you begin to deprogram them?
[01:16.000 --> 01:23.000]  Once we educate them, we coach them on how to interact and empower the person to start thinking for themselves.
[01:23.000 --> 01:29.000]  There are members of a cult, the Trumpist cult, and we have to be deprogrammed.
[01:29.000 --> 01:36.000]  Because they've been brainwashed, Joy. I really believe that they have been brainwashed by this misinformation campaign.
[01:36.000 --> 01:39.000]  So how do you deradicalize these people?
[01:39.000 --> 01:48.000]  We probably need to double, triple, quadruple, or increase funding for these deradicalization programs.
[01:48.000 --> 02:09.000]  It's 11.59 a radio-free America, and this is Uncle Sam with music and the truth until dawn. Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[02:09.000 --> 02:22.000]  And for all of you out there on or behind the lines, this is your song.
[02:22.000 --> 02:29.000]  The FBI has arrested hundreds of people in connection with the January 6th insurrection at the US Capitol, and more could be on the way.
[02:29.000 --> 02:32.000]  Approximately 800 people have been arrested.
[02:32.000 --> 02:40.000]  Joseph Biggs was indicted earlier this week by a federal grand jury along with four other members of the group with conspiracy to commit sedition.
[02:40.000 --> 02:47.000]  Joseph Biggs facilitated political violence even if they weren't armed and didn't assault anybody at the Capitol on January 6th.
[02:47.000 --> 03:03.000]  A couple hours ago, I was informed by my attorney that there is a warrant out for my arrest with allegations involving January 6th. I will have to turn myself in Monday morning.
[03:03.000 --> 03:18.000]  The DOJ, the five administration, announced is charging a host at InfoWars, a man called Owen Shroyer, with several federal crimes, including, quote, entering a restricted area on January 6th.
[03:18.000 --> 03:23.000]  Well, that sounds bad. What did Owen Shroyer do? He didn't go inside the Capitol building on January 6th. He stood on the Capitol steps with hundreds of other people.
[03:23.000 --> 03:29.000]  Enrique Tario pleaded guilty to two misdemeanor charges, including the burning of a Black Lives Matter banner.
[03:29.000 --> 03:38.000]  As for those text messages, the January 6th committee is now planning to subpoena them as it looks into Jones' role in the Capitol attack.
[03:38.000 --> 03:47.000]  The American people are not buying the whole fraud. The January 6th was the new Pearl Harbor, worse than 9-11, all these preposterous ass-ine things that were said and done.
[03:47.000 --> 03:59.000]  January 6th was a false flag. Everybody knows it at this point, from Ray Epps to the Pipe Bomber. I mean, it's obvious. It's all coming out. It's all being exposed.
[03:59.000 --> 04:06.000]  We're not going to be the ones on trial anymore. No, globalist, we're coming after you. Nuremberg 2.0 begins now.
[04:06.000 --> 04:19.000]  Wolverines!
[04:19.000 --> 04:30.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe, you got one!
[04:30.000 --> 04:36.000]  From the front lines of the information war, it's Alex Jones.
[04:36.000 --> 05:01.000]  It's Friday, ladies and gentlemen. January 13th, 2023. The special Friday 13 transmission. Straight ahead.
