[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[00:20.000 --> 00:33.000]  Choose your own reality culture is pervading every corner of American life. Choose your own reality.
[00:33.000 --> 00:40.000]  If you want to believe that the Pro-Trump riots of January 6 were instigated by the feds, you can choose a show that claims that is true.
[00:40.000 --> 00:47.000]  You can choose a TV star who claims it's real. Carlson is a conspiracy monger, but he's far from the first.
[00:47.000 --> 00:57.000]  As my colleague Oliver Darcy pointed out this week, Carlson is sounding more and more like InfoWars host and notorious conspiracy theorist Alex Jones.
[00:57.000 --> 01:00.000]  You can hear the similarities.
[01:00.000 --> 01:02.000]  The NSA has been reading our emails.
[01:02.000 --> 01:06.000]  It's not that I think the government spies on me. It's admitted that they do.
[01:06.000 --> 01:12.000]  It is a lie to say there are no risks. There are risks in everything, including in getting a vaccine.
[01:12.000 --> 01:15.000]  Everybody's got family that got killed or got sick from a vaccine.
[01:15.000 --> 01:24.000]  So FBI operatives were organizing the attack on the Capitol on January 6, according to government documents.
[01:24.000 --> 01:34.000]  It is overwhelming the evidence that criminal elements of the federal government provocateur and stage January 6.
[01:34.000 --> 01:39.000]  All right, Oliver Darcy is back with me. I think the sound speaks for itself.
[01:39.000 --> 01:43.000]  Is it a stretch to say that Tucker Carlson is the new Alex Jones?
[01:43.000 --> 01:45.000]  It's not a stretch, Brian.
[01:45.000 --> 01:48.000]  Tucker Carlson is the new Alex Jones.
[01:48.000 --> 01:56.000]  If you watch Tucker Carlson's program and you watch Alex Jones' program, they might differ a little bit in antics and the way they deliver their message,
[01:56.000 --> 02:00.000]  but that message to viewers is consistent and it's pretty identical.
[02:00.000 --> 02:07.000]  Whether it's talking about vaccine conspiracy theories, false flag conspiracy theories, deep state conspiracy theories,
[02:07.000 --> 02:12.000]  the messages that Tucker Carlson and Alex Jones are sending are the same.
[02:12.000 --> 02:18.000]  They seem to see eye to eye on the biggest issues that they talk about every single night.
[02:18.000 --> 02:20.000]  Don't blink. Don't even blink.
[02:20.000 --> 02:26.000]  Do we know anything about their relationship, whether they have one, because we play two back-to-back soundbites.
[02:26.000 --> 02:31.000]  One is of Tucker sympathizing with Jones, but the other one has Alex Jones basically saying,
[02:31.000 --> 02:36.000]  hey, yeah, I'm going to let Tucker present this January 6 conspiracy theory first.
[02:36.000 --> 02:41.000]  I'm going to let Tucker present the inside job theory because he's going to do a great job with it.
[02:41.000 --> 02:45.000]  I heard that. I thought, are these two guys in cahoots? Are they friends? Do they communicate?
[02:45.000 --> 02:48.000]  Let's listen to these two soundbites and then we'll talk about it.
[02:48.000 --> 02:55.000]  I made the decision not to get into this until it broke on Tucker because I thought he'd do a better job than I did.
[02:55.000 --> 02:57.000]  He did. He did a great job in 15 minutes.
[02:57.000 --> 03:00.000]  Why do we laugh at Alex Jones again since your question?
[03:00.000 --> 03:03.000]  Are they bros? What do we know about the relationship?
[03:03.000 --> 03:06.000]  It does sound like they're talking to each other, right, Brian?
[03:06.000 --> 03:11.000]  Look, you don't have to take it from us. Just listen to that clip you played of Tucker Carlson.
[03:11.000 --> 03:18.000]  He's basically saying that he doesn't think that Tucker Carlson or that Alex Jones' views are out there, that they're crazy.
[03:18.000 --> 03:23.000]  Evidently, he thinks that they're legitimate and should be debated and he's bringing them up on his own show.
[03:23.000 --> 03:31.000]  And Brian, this matters because these far-right conspiracy theories, they used to be confined to the info war section on the Internet.
[03:31.000 --> 03:34.000]  You just have to seek them out. I'm not that old,
[03:34.000 --> 03:38.000]  but I remember when the Republican Party and Fox News mocked Alex Jones and said,
[03:38.000 --> 03:41.000]  that guy is crazy. We're not going to touch that sort of stuff.
[03:41.000 --> 03:46.000]  But now, Fox's face is effectively Alex Jones.
[03:46.000 --> 03:53.000]  The fact that the leader of the Republican Party is touting the same stuff that Jones touts on his show.
[03:53.000 --> 03:59.000]  And Fox remains silent about what would be, if true, an abuse of power.
[03:59.000 --> 04:04.000]  If the NSA is actually reading Tucker's emails, then that's really disturbing.
[04:04.000 --> 04:08.000]  But for some reason, Fox hasn't condemned the NSA, they haven't demanded an investigation,
[04:08.000 --> 04:12.000]  they haven't called for congressional inquiry, like Fox hasn't said anything.
[04:12.000 --> 04:14.000]  It's like they don't believe him.
[04:18.000 --> 04:22.000]  CNN Writing today, low watermark this week on Monday.
[04:22.000 --> 04:29.000]  Not a single show cracked one million viewers.
[04:52.000 --> 04:56.000]  Alright folks, we'll be back with a live broadcast.
[05:22.000 --> 05:27.000]  They can't get raw materials, whether it's for food, whether it's for medicine, whether it's for supplements,
[05:27.000 --> 05:31.000]  whether it's for textiles, whatever the product is, you see it in the news.
[05:31.000 --> 05:37.000]  It is record level supply chain breakdowns because the global has shut down the world of comics for more than a year.
[05:37.000 --> 05:39.000]  And now they're trying to bring the shutdown back again.
[05:39.000 --> 05:44.000]  In fact, areas like India and areas of Africa, the shutdown is ongoing.
[05:44.000 --> 05:47.000]  It's killing those people in massive numbers.
[05:47.000 --> 05:52.000]  So, M4 Wars doesn't have a lot of our best-selling products anymore for six, seven, eight months.
