[00:00:11.989 --> 00:00:14.631]  Waging war on corruption.
[00:00:14.631 --> 00:00:19.874]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.874 --> 00:00:27.440]  31-year-old Mohamed Lahou Yage Bouhoulel
[00:00:40.635 --> 00:00:44.898]  From Tunisia, North Africa.
[00:00:44.898 --> 00:00:47.861]  Ran over and killed 83 people last night.
[00:00:47.861 --> 00:00:54.046]  He targeted a celebration he knew was full of men, women and most importantly, children.
[00:00:54.046 --> 00:01:03.734]  And witnesses are reporting that he attempted to, like something out of a dystopic Road Warrior movie, target and run down the children.
[00:01:03.734 --> 00:01:06.036]  Will there be a Mad Max response to this?
[00:01:06.036 --> 00:01:07.176]  Certainly not.
[00:01:07.176 --> 00:01:08.918]  We'll be taught more sensitivity training.
[00:01:10.666 --> 00:01:12.508]  That's what the London Mayor is calling for.
[00:01:12.508 --> 00:01:15.390]  You need to submit to the Muslims and they'll stop killing you.
[00:01:15.390 --> 00:01:19.554]  But don't worry, it's up on InfoWars.com.
[00:01:19.554 --> 00:01:26.321]  Media blames truck, not terrorists or Islam for the Nice attack.
[00:01:26.321 --> 00:01:29.984]  And we have CNN, we have the New York Times.
[00:01:29.984 --> 00:01:33.787]  When you go to CNN.com, like I did this morning, I took these screenshots.
[00:01:34.764 --> 00:01:35.885]  And send them to Watson.
[00:01:35.885 --> 00:01:46.630]  When you go and look at this, there were more than 15 articles I looked at, scrolling down, that said truck attack, truck maniac, man in truck goes berserk.
[00:01:46.630 --> 00:01:55.675]  No, it was a cold calculated jihad attack on little children.
[00:01:55.675 --> 00:02:03.699]  Now, when a cop who's wrong, or a cop who's in a bad situation, or a cop who's psycho, shoots an innocent person in the back, be they black or white, you're going to see it on the news.
[00:02:05.111 --> 00:02:07.512]  They're going to be personalized.
[00:02:07.512 --> 00:02:10.294]  One man dies is a tragedy, 10,000 dies is a statistic.
[00:02:10.294 --> 00:02:18.958]  But when Islam does this, you try to show the footage on Facebook, YouTube, you name it, they are shutting you down.
[00:02:18.958 --> 00:02:20.179]  I've seen the footage.
[00:02:20.179 --> 00:02:20.939]  It was about 5.30.
[00:02:20.939 --> 00:02:21.879]  I just got home.
[00:02:21.879 --> 00:02:25.801]  I was walking in to say hi to my children.
[00:02:25.801 --> 00:02:26.622]  I'm sitting there in
[00:02:28.322 --> 00:02:32.708]  The parking lot of my house, in the driveway, and I go, I'm gonna check in full force.
[00:02:32.708 --> 00:02:37.295]  And I go there, boom, dozens run over in niche.
[00:02:37.295 --> 00:02:40.580]  I go, okay, I know where to go to have something even ahead of us.
[00:02:41.721 --> 00:02:42.802]  This just happened 50 minutes ago.
[00:02:42.802 --> 00:02:43.462]  Boom, got a drug.
[00:02:43.462 --> 00:02:45.084]  There's like 15 articles, everything.
[00:02:45.084 --> 00:02:47.746]  Bam, bam, bam, bam, bam, bam.
[00:02:47.746 --> 00:02:49.407]  You know, 50-something dead at that time.
[00:02:49.407 --> 00:02:51.189]  Now it's 80-plus.
[00:02:51.189 --> 00:02:54.771]  And I just turned the car around and drove right back over here to the office.
[00:02:54.771 --> 00:02:58.855]  We did two hours of InfoWars Nightly News live, and then aired the news after that.
[00:03:01.337 --> 00:03:12.725]  As I said months ago, as I said years ago, and it's kind of a sick feeling to see Bill O'Reilly now picking it up, and Newt Gingrich, because they're usually so wrong, but they're totally right this time.
[00:03:12.725 --> 00:03:15.607]  This is a war against the West.
[00:03:15.607 --> 00:03:20.531]  This is a slow-motion Tet Offensive, or Tet II.
[00:03:20.531 --> 00:03:25.795]  As we've been warning you, and this is only the beginning, you notice the attacks are getting bigger, and they're getting closer together.
[00:03:27.737 --> 00:03:30.458]  And France is close to 30% Islamic now.
[00:03:30.458 --> 00:03:36.541]  A lot of folks are converting under pressure.
[00:03:36.541 --> 00:03:38.122]  They're not going to go back.
[00:03:38.122 --> 00:03:41.183]  You can't deport them without a civil war.
[00:03:41.183 --> 00:03:42.964]  France is gone.
[00:03:42.964 --> 00:03:44.465]  It's gone.
[00:03:44.465 --> 00:03:45.565]  England is almost gone.
[00:03:45.565 --> 00:03:47.806]  The mayor has declared it's an Islamic city.
[00:03:47.806 --> 00:03:48.887]  He said, we don't care about Brexit.
[00:03:48.887 --> 00:03:49.847]  We're staying with the EU.
[00:03:49.847 --> 00:03:52.789]  Let's open the borders to Islam's invasion.
[00:03:52.789 --> 00:03:55.090]  The EU bureaucrats have allied with Islam.
[00:03:55.090 --> 00:03:56.170]  That is not rhetoric.
[00:03:56.170 --> 00:03:57.271]  This is actually happening.
[00:03:58.576 --> 00:04:06.978]  I used to hear this from Pentagon people 15 years ago, and I'd say, you guys are paranoid, it's crazy, you know, this clash of civilizations is bad news, you're going to stir this up.
[00:04:06.978 --> 00:04:14.059]  Well, the Pentagon's not bad, they're the ones fighting it, but the globalists above it are the ones that have stirred it up, and let me tell you, it's on.
[00:04:14.059 --> 00:04:25.981]  You're going to see more and more of these attacks, they're going to get more and more frequent, and it was incredible last night, we have it in live-time video during the broadcast, trying to upload videos that we'd shot live, sections
[00:04:27.369 --> 00:04:34.793]  Facebook would not let you put in any words about Islamic terror, anything, in the descriptions.
[00:04:34.793 --> 00:04:36.574]  In live time, just wouldn't let you put it.
[00:04:36.574 --> 00:04:48.721]  So it's not just the President tells you what words to use now, and no one will say Islamic terror, now they won't let you, just like an iPhone won't let you say a cuss word or whatever?
[00:04:50.695 --> 00:04:53.080]  You try to say the F word, it puts the word duck in.
[00:04:53.080 --> 00:04:56.507]  Now the AI is controlling everything in live time.
[00:04:56.507 --> 00:04:58.731]  This is information warfare against us.
[00:05:00.376 --> 00:05:11.442]  Leftist media outlets reacted to the devastating attack in Nice, not by blaming Islam or even terrorists, but by suggesting that an inanimate object, the truck, was responsible for the carnage.
[00:05:11.442 --> 00:05:18.505]  Instead of pointing our fingers at Islam, CNN, CBC, and the New York Times all published headlines that served to hide the true nature of the attack.
[00:05:18.505 --> 00:05:23.108]  CBC reported, children feared killed in Nice as truck attacks family events.
[00:05:23.108 --> 00:05:29.871]  Presumably, the truck was somehow able to manifest artificial intelligence and plow itself through dozens of victims.
[00:05:30.171 --> 00:05:32.092]  Way to go, mainstream media!
[00:05:32.092 --> 00:05:33.172]  Ding, ding, ding!
[00:05:33.172 --> 00:05:36.153]  Not to be outdone, CNN reported, truck rams crowd.
[00:05:36.153 --> 00:05:43.696]  84 dead in Nice, again providing a convenient way of avoiding any mention of the ideology that inspired the driver.
[00:05:43.696 --> 00:05:46.297]  Did it rhyme with Aloha snack bar?
[00:05:46.297 --> 00:05:49.258]  The New York Times went with truck attack on French crowd.
[00:05:49.258 --> 00:05:54.099]  Scores die, again pinning the blame on the vehicle rather than the Islamists inside it.
[00:05:54.099 --> 00:05:57.661]  You can find more reports like this at InfoWars.com.
[00:05:57.661 --> 00:05:58.181]  Aloha!
[00:05:58.561 --> 00:06:00.181]  A snack bar!
[00:06:00.181 --> 00:06:01.562]  Infowarslife.com.
[00:06:01.562 --> 00:06:04.362]  For a limited time, get a flagship nutraceutical DNA Force.
[00:06:04.362 --> 00:06:06.463]  We're 25% off at Infowarslife.com.
[00:06:06.463 --> 00:06:07.303]  All supplies last.
[00:06:07.303 --> 00:06:09.863]  This is our most advanced product in the Infowars store.
[00:06:09.863 --> 00:06:15.444]  The DNA Force is loaded with the patented BioPQQ compound, which is backed by 175 clinical studies.
[00:06:15.444 --> 00:06:19.785]  Respected researchers, this amazing compound is known to influence nerve growth and regeneration.
[00:06:19.785 --> 00:06:23.206]  But this is also how you fund the operation, and we've got free shipping on orders of more than $50.
[00:06:24.406 --> 00:06:28.349]  I'm always so careful because of the FDA and all the rest of it that I don't make claims about any of the products.
[00:06:28.349 --> 00:06:28.989]  Just try them.
[00:06:28.989 --> 00:06:29.810]  They're amazing.
[00:06:29.810 --> 00:06:31.791]  Five-star reviews by top health sites.
[00:06:31.791 --> 00:06:32.692]  They're unprecedented.
[00:06:32.692 --> 00:06:45.401]  This is our best product, and I was almost, in a weird way, ashamed of it because it costs so much, but it cost us $75 to $80 a bottle just to package it, just to put the Bio PQQ in it, which is the equivalent of 300 pounds of blueberries.
[00:06:45.401 --> 00:06:51.386]  It's above vitamin C. I mean, you talk about in the winter for your immune system and stuff, this is the hydrogen bomb, okay?
[00:07:00.149 --> 00:07:08.311]  If you ever wanted a great deal on a powerful solar generator, but were waiting for an outrageously low price, you are not going to want to miss this important message.
[00:07:08.311 --> 00:07:09.131]  Here's why.
[00:07:09.131 --> 00:07:13.272]  My friends, we already see major power grid problems, and it's getting worse.
[00:07:13.272 --> 00:07:14.192]  So please listen.
[00:07:14.192 --> 00:07:17.893]  Solar generators really do provide life-saving electrical power.
[00:07:17.893 --> 00:07:24.274]  And unlike gas generators, solar generators run silently, emit no fumes or gases, and produce electricity from the sun.
[00:07:24.274 --> 00:07:26.595]  Whether it's dangerous summer storms, blackouts,
[00:07:26.875 --> 00:07:28.656]  Intensifying civil unrest.
[00:07:28.656 --> 00:07:31.577]  You're not going to have to suffer through it like the rest of the sheep.
[00:07:31.577 --> 00:07:33.918]  And here's the best news if you want to get one this week.
