[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[00:00:20.135 --> 00:00:20.915]  The year is 2021.
[00:00:20.915 --> 00:00:23.316]  I am Alex Jones, your host.
[00:00:23.316 --> 00:00:25.257]  Owen Schroer is about to take over.
[00:00:25.257 --> 00:00:31.019]  I'll be joining in the transmission in about 30 minutes live from the road.
[00:00:31.019 --> 00:00:33.440]  Well, the big question is, are we under martial law?
[00:00:33.440 --> 00:00:38.581]  That's what outgoing Hawaiian Congresswoman Tulsi Gabbard just asked Joe Biden.
[00:00:38.581 --> 00:00:41.723]  And the answer is, of course we are, but it's not Joe Biden's martial law.
[00:00:41.723 --> 00:00:42.403]  He's a figurehead.
[00:00:43.223 --> 00:00:48.846]  There's a UN, Davos Group, world government reset.
[00:00:48.846 --> 00:00:59.570]  All these unpopular governments that were hanging on by fraud in France, in Germany, in Spain and other areas, they have all used the ongoing lockdowns as their pretext for control.
[00:00:59.570 --> 00:01:03.892]  And as I predicted six months ago, the lockdowns will be extended over and over again.
[00:01:03.892 --> 00:01:05.653]  And then once they stole the election from Trump,
[00:01:07.267 --> 00:01:13.751]  They would then morph the medical martial law, which is physical martial law already on the streets, into a permanent military martial law.
[00:01:13.751 --> 00:01:18.494]  This is all part of normalization ahead of forced economic global collapse.
[00:01:18.494 --> 00:01:23.777]  They want to put us onto a guaranteed universal income so they can dictate every aspect of our lives.
[00:01:23.777 --> 00:01:26.678]  And now what we predicted decades ago is official.
[00:01:26.678 --> 00:01:28.960]  Once they make everybody go on welfare, that's what this is.
[00:01:29.560 --> 00:01:39.590]  Then they can make you all take whatever inoculations they want of gene therapies that aren't even vaccines that will then of course give you cancer, sterilize you, whatever the globalists want.
[00:01:39.590 --> 00:01:40.791]  This is next level.
[00:01:40.791 --> 00:01:44.695]  And once the media and the culture goes along with this, it'll be too evil to fail.
[00:01:44.695 --> 00:01:50.061]  Just like autism, hundreds of millions of people have gotten sick from the vaccine conservatively.
[00:01:50.061 --> 00:01:51.602]  But once the public goes along with the cover-up,
[00:01:52.523 --> 00:01:56.285]  It becomes too evil to fail, a term I've coined.
[00:01:56.285 --> 00:01:59.687]  So I'll be on in 30 minutes with Owen laying all of this out.
[00:01:59.687 --> 00:02:00.788]  Yes, it's despotic.
[00:02:00.788 --> 00:02:01.648]  Yes, it's scary.
[00:02:01.648 --> 00:02:03.149]  Yes, it's depressing.
[00:02:03.149 --> 00:02:07.431]  But folks now understand, I didn't say all this stuff just to scare you.
[00:02:07.431 --> 00:02:09.593]  I didn't make this stuff up.
[00:02:09.593 --> 00:02:15.436]  And I talked about this in a special report we're going to put out later today, but in Secret Rulers of the World that came out over 20 years ago,
[00:02:17.145 --> 00:02:35.789]  Harry Shearer, of course, Spinal Tap and some of the other great movies, but also The Simpsons, was talking about listening to me over shortwave radio with his family and how it was some of the best science fiction stuff he'd ever heard, some of the best writing, and that, you know, I was basically a masterful fiction writer.
[00:02:35.789 --> 00:02:37.750]  No, I'm not Stephen King.
[00:02:37.750 --> 00:02:40.330]  I'm covering what the globalists had in white papers.
[00:02:40.330 --> 00:02:42.431]  It sounds unbelievable.
[00:02:42.431 --> 00:02:43.291]  Now it's out in the open.
[00:02:44.051 --> 00:02:46.775]  Somebody told you this was going on 20 years ago, you wouldn't believe it.
[00:02:46.775 --> 00:02:49.558]  But they were setting it all up, they were planning it, they were laying it all out.
[00:02:49.558 --> 00:02:53.663]  And so, going along with it only puts you in more jeopardy.
[00:02:54.773 --> 00:02:55.073]  I don't
[00:03:18.146 --> 00:03:23.528]  And only becoming aware of this global order and the controllers, do we have any shot at turning the tide against them.
[00:03:23.528 --> 00:03:29.171]  Alright, back to Owen Schroeder on live transmission, and I'll see you coming up at the bottom of the hour.
[00:03:29.171 --> 00:03:32.332]  Alright, ladies and gentlemen, a lot developing here today.
[00:03:32.332 --> 00:03:38.855]  We're going to have all the latest breaking news for you on the Alex Jones Show.
[00:03:38.855 --> 00:03:41.296]  All the latest breaking news at InfoWars.com.
[00:03:43.032 --> 00:03:50.516]  There is one unifying presence in America today, and that's nobody likes Joe Biden.
[00:03:50.516 --> 00:03:51.716]  Nobody likes Kamala Harris.
[00:03:51.716 --> 00:04:05.383]  Only the most brainwashed mainstream media, mainstream entertainment stooges can even stand Joe Biden and Kamala Harris being in the White House.
[00:04:05.383 --> 00:04:10.266]  And of course, voters' remorse for Joe Biden is already off the charts.
[00:04:11.920 --> 00:04:16.543]  But of course, we're seeing what Joe Biden was really all about.
[00:04:16.543 --> 00:04:21.305]  And that's the China first.
[00:04:21.305 --> 00:04:24.067]  China first.
[00:04:24.067 --> 00:04:26.308]  New world order.
[00:04:26.308 --> 00:04:29.710]  Lawmakers are coming after Trump supporters.
[00:04:29.710 --> 00:04:31.471]  Coming after military vets.
[00:04:31.471 --> 00:04:36.174]  And they now even want to rewrite the military.
[00:04:37.563 --> 00:04:42.125]  And purge all Trump supporters or conservatives from the military.
[00:04:42.125 --> 00:04:55.729]  They are now proposing that legislation in Congress as we speak, as Biden surpasses 30 executive orders, a record, most executive orders in a president's first week.
[00:04:55.729 --> 00:04:56.990]  That's an authoritarian.
[00:05:00.686 --> 00:05:03.428]  Alex Jones here with some very, very good news.
[00:05:03.428 --> 00:05:08.072]  Our best-selling product, Vitamin Mineral Fusion, has been sold out for months, and now it's back in stock.
[00:05:08.072 --> 00:05:15.538]  It is a liquid multivitamin with all the essential vitamins and minerals and key amino acids, so your body uploads it better.
[00:05:15.538 --> 00:05:21.343]  And despite the fact it's been sold out in a bestseller, it is 50% off, so nobody has an excuse not to get it.
[00:05:21.343 --> 00:05:28.889]  This is what your body and your body's defenses need, it's what your cells need, and it's available right now at InfoWarsTore.com at 50% off.
[00:05:29.770 --> 00:05:33.671]  That's InfoWarsTore.com or call toll-free, 888-253-3139.
[00:05:33.671 --> 00:05:38.813]  Vitamin Refusion with Vitamin D3, Zinc, and so much more.
[00:05:38.813 --> 00:05:39.993]  All the essentials are there.
[00:05:39.993 --> 00:05:45.015]  I know you know this, but please tell your friends and family as well to protect themselves and to be healthy.
[00:05:45.015 --> 00:05:52.898]  You need what's in Vitamin Refusion available at InfoWarsTore.com and the purchase funds are operations that are critical to battling the globals.
[00:05:52.898 --> 00:05:53.898]  Thank you for your support.
[00:05:53.898 --> 00:05:56.419]  Get Vitamin Refusion today at InfoWarsTore.com.
[00:06:06.943 --> 00:06:10.207]  You found it, the tip of the spear.
[00:06:10.207 --> 00:06:18.437]  It is the Alex Jones Show with Owen Troyer.
[00:06:18.437 --> 00:06:21.261]  Ladies and gentlemen, fellow comrades,
[00:06:23.396 --> 00:06:26.938]  It is Monday, January 25th, 2021.
[00:06:26.938 --> 00:06:30.060]  This is the Alex Jones Show.
[00:06:30.060 --> 00:06:32.642]  Owen Troyer here sitting in for Alex.
[00:06:32.642 --> 00:06:43.509]  We are going to be hearing from Alex throughout the broadcast, including live in T-minus 25 minutes.
[00:06:43.509 --> 00:06:48.432]  Well, if you wanted to hurt the United States,
[00:06:50.819 --> 00:07:13.992]  If you wanted to permanently do damage to the United States and weaken it, or say you were a global power like China, and you wanted a new world order to be in your favor, in your dominance, you would have to do something about the United States of America.
[00:07:16.864 --> 00:07:41.339]  And if you could, you'd want to weaken the military, you'd want to weaken the culture, you'd want to divide the people, you'd want to get the people to hate their own history, their own culture, hell, their own skin color, you would propagandize the youth, you would buy up the Hollywood celebrities and entertainers, you would buy up all the major sports leagues so you could control that.
[00:07:41.339 --> 00:07:46.162]  Well, ladies and gentlemen, that is the formula that is being used right now by China, plus many other factors.
[00:07:47.807 --> 00:07:50.508]  They don't have any limits on their pollution.
[00:07:50.508 --> 00:07:52.149]  They don't have any minimum wage.
[00:07:52.149 --> 00:07:54.430]  They have slave labor.
[00:07:54.430 --> 00:07:55.490]  So they get all the advantages.
[00:07:55.490 --> 00:08:07.975]  And then you, the American in the free market that industrialized the West, ended slavery, liberated women.
[00:08:07.975 --> 00:08:10.656]  No, see, you're the bad guy.
[00:08:10.656 --> 00:08:11.677]  You have to pay for it all.
[00:08:13.646 --> 00:08:17.448]  And now you don't even get to elect a president.
[00:08:17.448 --> 00:08:21.250]  China just gets to install whoever they want.
[00:08:21.250 --> 00:08:26.953]  And in this case, that someone is Joe Biden.
[00:08:26.953 --> 00:08:29.555]  But you see, Biden doesn't even know what's going on.
[00:08:29.555 --> 00:08:31.596]  You notice you don't see much from Joe.
[00:08:31.596 --> 00:08:34.837]  You don't hear much from Joe.
[00:08:34.837 --> 00:08:39.300]  Joe's day is pretty low energy.
[00:08:39.300 --> 00:08:42.121]  He rolls out of bed, maybe around eight, if he can do it.
[00:08:42.121 --> 00:08:43.102]  If he can hack it that day.
[00:08:44.175 --> 00:08:45.736]  They pop him up with meds.
[00:08:45.736 --> 00:08:47.317]  They get him all rolled up.
[00:08:47.317 --> 00:08:48.798]  They tell him what's going on.
[00:08:48.798 --> 00:08:49.779]  He kind of has to open it.
[00:08:49.779 --> 00:08:51.981]  Huh?
[00:08:51.981 --> 00:08:53.482]  Okay, Joe.
[00:08:53.482 --> 00:08:56.004]  It's time to get dressed.
[00:08:56.004 --> 00:08:59.306]  It's time to get ready, Joe.
[00:08:59.306 --> 00:09:02.348]  He puts on his suit.
[00:09:02.348 --> 00:09:03.509]  He gets his tie.
[00:09:03.509 --> 00:09:08.833]  He gets all ready and then he gets shuffled over to the desk.
[00:09:10.506 --> 00:09:16.387]  He gets shuffled over, he gets guided to the desk where they have a stack of executive orders.
[00:09:16.387 --> 00:09:22.048]  And then two microphones and he sits down and he signs the executive orders.
[00:09:22.048 --> 00:09:28.789]  And then he goes to the podium and reads a speech that he has no idea what it's about.
[00:09:28.789 --> 00:09:32.050]  And then he calls a lid.
[00:09:32.050 --> 00:09:39.411]  Because he needs more meds, he needs more attention, and quite frankly he's just drained of energy.
[00:09:40.410 --> 00:09:45.555]  And so that's Joe Biden.
[00:09:45.555 --> 00:09:47.417]  That's the New World Order puppet.
[00:09:47.417 --> 00:09:51.762]  That's the Chinese owned operative.
[00:09:51.762 --> 00:10:00.531]  Who, yes, got locked out of the White House in symbolic fashion, in natural, real world
[00:10:02.103 --> 00:10:07.004]  But if you were the Chinese Communist Party puppet in the White House, what would you do?
[00:10:07.004 --> 00:10:08.084]  Well, there'd be two things on your agenda.
[00:10:08.084 --> 00:10:09.784]  You'd want to make us energy dependent
[00:10:31.238 --> 00:10:33.839]  Oh, Biden did that.
[00:10:33.839 --> 00:10:39.601]  Cancelled all federal drilling or oil deals.
[00:10:39.601 --> 00:10:42.422]  Cancelled the Keystone Pipeline.
[00:10:42.422 --> 00:10:46.643]  And then had it send it out on Warren Buffett's train lines straight over to China.
[00:10:46.643 --> 00:10:49.104]  Mmm.
[00:10:49.104 --> 00:10:52.165]  Way to go, Joe.
[00:10:52.165 --> 00:10:53.706]  So you'd make us energy dependent.
[00:10:53.706 --> 00:10:55.806]  You'd ship our energy out.
[00:10:55.806 --> 00:10:57.307]  Let other countries have it.
[00:10:57.307 --> 00:10:57.747]  Like China.
[00:10:59.872 --> 00:11:04.554]  Instead of bringing it here when we already built the pipeline and had the deal done.
[00:11:04.554 --> 00:11:08.115]  And then you would weaken the military.
[00:11:08.115 --> 00:11:12.097]  Which now the Democrats are moving on two fronts right now.
[00:11:12.097 --> 00:11:13.938]  Joe Biden signs an executive order.
[00:11:13.938 --> 00:11:16.839]  It's time for transgenders to be back in the military.
[00:11:16.839 --> 00:11:20.080]  Hoorah!
[00:11:20.080 --> 00:11:24.522]  It's time for the trannies to be back in the military.
[00:11:24.522 --> 00:11:25.943]  We can't be bigoted here.
[00:11:27.609 --> 00:11:30.110]  Oh, you don't even know what gender you are?
[00:11:30.110 --> 00:11:31.290]  You don't know what sex you are?
[00:11:31.290 --> 00:11:32.691]  Eh.
[00:11:32.691 --> 00:11:33.331]  Sounds great.
[00:11:33.331 --> 00:11:34.531]  Get in.
[00:11:34.531 --> 00:11:36.612]  You're hired.
