[00:00:06.397 --> 00:00:08.160]  Mainstream media.
[00:00:08.160 --> 00:00:09.923]  Government cover-ups.
[00:00:09.923 --> 00:00:11.505]  You want answers?
[00:00:11.505 --> 00:00:12.407]  Well, so does he.
[00:00:12.407 --> 00:00:17.274]  He's Alex Jones on the GCN Radio Network.
[00:00:17.274 --> 00:00:21.340]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.032 --> 00:00:35.296]  Joining us for his monthly visit today, on the 7th of October 2008, Tuesday edition.
[00:00:35.296 --> 00:00:43.281]  Coming up in an hour, we're going to have a 30 minute visit, coming up in a half hour, with Bob Chapman of the International Forecaster about what's happening in the markets.
[00:00:43.281 --> 00:00:55.087]  The markets, by the way, are down right now, 21 points after a huge plunge of around 400 points is what it closed at yesterday, down from last Friday.
[00:00:55.985 --> 00:01:14.956]  So, Bob Chapman, then we have, of course, joining us, Mike Rivera, then we have Richard C. Cook, the historian and economist, analyst, and then Webster Tarpley popping in for an hour as well.
[00:01:14.956 --> 00:01:23.361]  There's a lot of financial news I want to cover today, obviously.
[00:01:23.361 --> 00:01:24.081]  On top of it,
[00:01:25.214 --> 00:01:28.156]  We have a poll by CNN.
[00:01:28.156 --> 00:01:31.418]  60% say depression is likely.
[00:01:31.418 --> 00:01:39.844]  So, I'm sure that was aided by the President and every other major party leader running around saying we're going to have a depression.
[00:01:39.844 --> 00:01:45.307]  Because they want to implode the market now and then loot what's left of the currency.
[00:01:45.307 --> 00:01:48.289]  Brazil, Argentina abandon the U.S.
[00:01:48.289 --> 00:01:49.650]  dollar, completely dump it.
[00:01:52.026 --> 00:01:58.973]  There's also a report on CNBC that they believe gold prices to double on paper market default.
[00:01:58.973 --> 00:02:01.396]  We'll tell you about that.
[00:02:01.396 --> 00:02:07.402]  Fed considers plan to buy companies unsecured debt and states unsecured debt.
[00:02:07.402 --> 00:02:15.590]  So you've only seen the beginning of the takeover where tax money buys
[00:02:17.168 --> 00:02:21.352]  Securities buys different assets and hands it over to other private interests.
[00:02:21.352 --> 00:02:31.661]  By the way, former head of Goldman Sachs has hired the vice president from Goldman Sachs to head up handing out the multi-trillions.
[00:02:31.661 --> 00:02:35.344]  If you really read the bill, it's upwards of five trillion as we keep reporting.
[00:02:35.344 --> 00:02:36.745]  And we'll get into that as well.
[00:02:36.745 --> 00:02:40.349]  So this is a Goldman Sachs operation almost entirely.
[00:02:40.349 --> 00:02:44.032]  So we'll go over some of that news.
[00:02:45.009 --> 00:02:47.310]  Also, Delta Force Officers says U.S.
[00:02:47.310 --> 00:02:50.891]  officials stop plans to kill Bin Laden.
[00:02:50.891 --> 00:02:52.532]  That's up on InfoWars.com.
[00:02:52.532 --> 00:03:02.756]  We have a clip there from 60 Minutes, where they admit what we told you in my first 9-11 film.
[00:03:02.756 --> 00:03:04.456]  Well, the first 9-11 film, period.
[00:03:04.456 --> 00:03:07.858]  9-11, The Road to Tyranny, put out just three months.
[00:03:07.858 --> 00:03:13.160]  Well, the first version was put out two weeks after, but the final version was put out about three months after 9-11.
[00:03:15.211 --> 00:03:20.656]  And we break down there that Delta Force was not allowed to capture or kill Bin Laden.
[00:03:20.656 --> 00:03:23.719]  That was only one case of hundreds.
[00:03:23.719 --> 00:03:35.511]  And so I want to go back over that, but here is the Delta Force commander saying exactly what we told you close to seven years ago.
[00:03:36.716 --> 00:03:49.344]  And, uh, you know, in Illinois, Missouri, and other areas, like Connecticut, people have been threatened with arrest if they quote, uh, lie about Barack Obama.
[00:03:49.344 --> 00:03:51.606]  The police said they will come and charge you.
[00:03:51.606 --> 00:03:53.487]  That was in the newscast.
[00:03:53.487 --> 00:03:58.290]  Several of the newscast and news articles in the campaign confirmed that.
[00:03:58.290 --> 00:03:59.991]  But still, people were in denial about it.
[00:04:02.040 --> 00:04:06.743]  And then the prosecutors and county sheriffs had to back off of that, at least publicly.
[00:04:06.743 --> 00:04:18.990]  And now John McCain is using that police state tactic as a campaign point in new attack ads against Barack Obama.
[00:04:18.990 --> 00:04:29.417]  Meanwhile, the Times of London reports Corsi detained, deported from Kenyon, and the police told him when he arrived he was going to meet with one of
[00:04:30.726 --> 00:04:37.808]  Barack Obama's brothers, they told him you're not allowed to come here and lie.
[00:04:37.808 --> 00:04:44.490]  And so he was arrested, detained, and thrown out of the country.
[00:04:44.490 --> 00:04:49.352]  And, uh, the local paper said it was being done on behalf of Lord Obama.
[00:04:49.352 --> 00:04:53.213]  So, uh, just amazing police state tactics.
[00:04:53.213 --> 00:04:55.074]  And look, I don't have a dog in this fight.
[00:04:55.074 --> 00:04:56.394]  I'm not for McCain or Obama.
[00:04:56.394 --> 00:04:58.035]  They're both in the world order.
[00:04:58.035 --> 00:04:58.895]  This is very serious.
[00:05:00.652 --> 00:05:04.076]  You ever have one of those days where everything goes right?
[00:05:04.076 --> 00:05:06.399]  First, I get the best parking space at work.
[00:05:06.399 --> 00:05:09.702]  Tonight, I have a date with a very lovely Rachel.
[00:05:09.702 --> 00:05:16.570]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston.
[00:05:16.570 --> 00:05:18.693]  Online, from my desk, with Webex.
[00:05:19.173 --> 00:05:22.475]  Webex lets me take meetings and give presentations from my desk.
[00:05:22.475 --> 00:05:27.278]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:05:27.278 --> 00:05:31.201]  So I can travel the world and still be here for my date tonight with Rachel.
[00:05:31.201 --> 00:05:32.822]  Travel less, meet online.
[00:05:32.822 --> 00:05:35.504]  Go to Webex.com and try Webex free.
[00:05:35.504 --> 00:05:37.705]  Just click the radiographic and enter promo code
[00:05:37.725 --> 00:05:38.225]  We're good.
[00:06:00.905 --> 00:06:06.628]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:06:06.628 --> 00:06:07.929]  And we knew what to do.
[00:06:07.929 --> 00:06:09.950]  Or at least we thought we did.
[00:06:09.950 --> 00:06:16.313]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:06:16.983 --> 00:06:25.887]  Whitman, EPA director on the 18th made a statement that the air was safe to breathe.
[00:06:25.887 --> 00:06:32.970]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:06:32.970 --> 00:06:36.031]  He had his hand over the radio while he was getting a countdown.
[00:06:36.031 --> 00:06:41.173]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom.
[00:06:41.893 --> 00:06:44.994]  This is an emergency transmission worldwide.
[00:06:44.994 --> 00:06:50.916]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:06:50.916 --> 00:06:53.957]  Or order the DVD at Infowars.com.
[00:06:53.957 --> 00:06:58.858]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:07:00.646 --> 00:07:02.647]  Heart disease is on the rise.
[00:07:02.647 --> 00:07:09.591]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:07:09.591 --> 00:07:17.996]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:07:17.996 --> 00:07:23.719]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:07:24.019 --> 00:07:25.741]  My blood pressure has normalized.
[00:07:25.741 --> 00:07:28.024]  My diabetes has totally improved.
[00:07:28.024 --> 00:07:32.450]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:07:32.450 --> 00:07:34.673]  I recommend Heart and Body Extract to everyone.
[00:07:34.673 --> 00:07:42.443]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:07:42.603 --> 00:07:46.805]  Order your two-month supply today by calling 866-295-5305.
[00:07:46.805 --> 00:07:50.706]  That's 866-295-5305.
[00:07:50.706 --> 00:07:53.727]  Or order online, HBextract.com.
[00:07:53.727 --> 00:07:55.988]  Heart and Body Extract, 866-295-5305.
[00:07:55.988 --> 00:08:02.170]  Or HBextract.com.
[00:08:02.170 --> 00:08:08.353]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:08.353 --> 00:08:11.754]  It's Alex Jones and the GCN Radio Network.
[00:08:17.023 --> 00:08:28.146]  We are steaming towards an interview in 22 minutes with Bob Chapman, then Mike Rivera, then Richard C. Cook, and Webster Tarpley.
[00:08:28.146 --> 00:08:35.988]  So four guests today, predominantly on the economy, what's happening around the world, and the unfolding police state.
[00:08:35.988 --> 00:08:46.310]  On the Dr. Corsi issue, love him or hate him, the mainstream media really won't attack Dr. Corsi on the claims he's made about
[00:08:47.478 --> 00:08:51.201]  Barack H. Obama.
[00:08:51.201 --> 00:08:57.245]  And I have said over and over again that John McCain is pure evil, pure New World Order.
[00:08:57.245 --> 00:09:03.550]  He wants to use the military on the streets of America for law enforcement, which just goes with the whole unfolding plan.
[00:09:03.550 --> 00:09:08.574]  These guys are just frontmen and puppets, so they push the agenda.
[00:09:08.574 --> 00:09:14.018]  I actually went and pulled up the YouTube clips and writings and votes of Obama in the State Senate
[00:09:15.266 --> 00:09:16.247]  And in the U.S.
[00:09:16.247 --> 00:09:20.611]  Senate, he is probably more anti-gun than even Chuck Schumer.
[00:09:20.611 --> 00:09:24.855]  It really is true that he wants to ban .308 rounds, .223 rounds.
[00:09:24.855 --> 00:09:29.420]  He wants to ban many types of rifles.
[00:09:29.420 --> 00:09:32.703]  And I have not heard that from John McCain.
[00:09:32.703 --> 00:09:35.605]  And I try to control myself.
