[00:00.000 --> 00:04.740]  Gavin McInnis is back with his all-new online network, FreeSpeech.tv.
[00:04.740 --> 00:26.840]  Gavin McInnis, Joe Biggs, Miley Unopolis, and Soph, all at FreeSpeech.tv.
[00:34.740 --> 00:42.740]  You can look to the left and look to the right, but you will live in danger tonight.
[00:42.740 --> 00:46.740]  When the enemy comes, you will never be heard.
[00:46.740 --> 00:50.740]  The more you're mine, the nicer day you're worth.
[00:50.740 --> 00:56.740]  We're live, ladies and gentlemen, on this Friday edition, October 25th, 2019.
[00:56.740 --> 01:05.740]  Here to tell you, some heads are going to roll politically, economically, and criminally.
[01:05.740 --> 01:15.740]  The only question is, whose heads are going to roll?
[01:15.740 --> 01:24.740]  We've had close to a century of a rotting political system parlaying American power into a global corporate system.
[01:24.740 --> 01:30.740]  All my friends, that is coming to an end right now.
[01:30.740 --> 01:33.740]  There's more than just change in the wind.
[01:33.740 --> 01:40.740]  There's change in the gut, in the spirit, in the soul, in the blood of humanity, not just America.
[01:40.740 --> 01:51.740]  But America is the most powerful nation in the world, and so the forces of good and evil are contending for the future destiny of humanity
[01:51.740 --> 01:56.740]  within the borders of the United States, and that's why this broadcast is so important.
[01:56.740 --> 01:58.740]  That's why you're so important.
[01:58.740 --> 02:07.740]  Well, last night, it was 10 a.m. straight up, and my children had gone to bed.
[02:07.740 --> 02:12.740]  At least the three that live with me, my son's already 17 and moved out.
[02:12.740 --> 02:17.740]  And my phone went, and I usually ignore it by then, but I said, I need to check that.
[02:17.740 --> 02:26.740]  It was Mike Adams, and he said, they just dropped the hammer.
[02:26.740 --> 02:31.740]  Just as Mike gave me a call two weeks ago, and he said, by two Fridays from now, the word is from his Pentagon sources,
[02:31.740 --> 02:39.740]  and he's got good ones, that they'll announce the criminal probe that's already been well underway for a year by Attorney General Barr,
[02:39.740 --> 02:43.740]  and that expect hell to break close within the next seven days.
[02:43.740 --> 02:58.740]  And just like clockwork, before two Fridays passed, they released that information at about 9.55 Central, 10.55 Eastern last night.
[02:58.740 --> 03:05.740]  So that is a big, big deal, obviously, ladies and gentlemen, and we're going to be going over all of that.
[03:05.740 --> 03:15.740]  Here today, and the planet's kind of aligned, we're going to have an individual who's at the center of it all,
[03:15.740 --> 03:23.740]  who hasn't spoken for a while, has been heard from here on the broadcast,
[03:23.740 --> 03:33.740]  and that's coming up in T-minus 57 minutes from now, and we'll announce who that guest is when they join us.
[03:33.740 --> 03:38.740]  You see, if you control America, you can control the world. That's the big secret.
[03:38.740 --> 03:45.740]  And of course, if you're informed, it's not a secret at all, but to the ignorant, quite a bit is secret.
[03:45.740 --> 03:53.740]  A cult just simply means hidden, and we fight a cult left-hand path powers who wish to keep humanity in the dark.
[03:53.740 --> 04:01.740]  I wish to bring humanity into the light, the true light of God, not the false light of Lucifer, their God.
[04:01.740 --> 04:07.740]  And so this is going to be a very important transmission today, because there's not just those two big planets aligning.
[04:07.740 --> 04:13.740]  There's a bunch of other big developments coming together today, this weekend, and through next week.
[04:13.740 --> 04:16.740]  Because Trump has made the decision not to back down.
[04:16.740 --> 04:20.740]  He's made the decision to try to break through their blockade.
[04:20.740 --> 04:28.740]  Truly, an Andrew Jackson-type move, and if he can do it, he'll be up there with Andrew Jackson and George Washington.
[04:28.740 --> 04:32.740]  Hell, he already is. But a lot of people are scared.
