[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[00:11.000 --> 00:16.000]  to happen at the end of this, but you want to fight, you better believe, you got one!
[00:16.000 --> 00:21.000]  We're live from the front lines of the information war.
[00:21.000 --> 00:23.000]  It's Alex Jones.
[00:23.000 --> 00:34.000]  Sunday, August 7th, massive four-hour transmission lined up. Spread the word, Patriots. You are the Paul Revere's of the 21st century and a battle for the future of humanity.
[00:34.000 --> 00:55.000]  For less than 20 minutes, Alex Jones questioned the official narrative of the Sandy Hook School shooting because for the so-called
[00:55.000 --> 01:05.000]  Truth or Community, that was the big story. And so he did his job and covered the story. Just like he's done for the other 1.8 million minutes of his career.
[01:05.000 --> 01:15.000]  Alex Jones has been questioning the official narrative of the corrupt mainstream media and exposing the authoritarian cabal hiding in the shadows for 28 years.
[01:15.000 --> 01:30.000]  And over time, this revival of truth has grown into millions worldwide. Alex Jones expanded his broadcast by selling a line of products focused on healing from the toxic world of a corrupt system,
[01:30.000 --> 01:39.000]  which has allowed Info Wars to remain a free public broadcast to combat the dangerous lies of the mainstream media.
[01:39.000 --> 01:49.000]  In 2018, with zero evidence of their wild claims, a George Soros-funded lawsuit was filed against Alex Jones and Info Wars.
[01:49.000 --> 02:01.000]  Four months later, big tech removes Info Wars from the internet. We were meant to be destroyed four years ago, but thanks to an awakened audience that cares about the truth,
[02:01.000 --> 02:16.000]  the Info Wars signal has only grown stronger. And now they are no longer hiding the fact that they are standing on the graves of dead children and using their grieving parents as a political weapon to silence all of alternative news media.
[02:16.000 --> 02:33.000]  I ask that with your verdict, you not only take Alex Jones' platform that he talks about away, I ask that you make certain he can't rebuild the platform. That's what matters.
[02:33.000 --> 02:55.000]  Take him out of this discourse, of this misinformation, of this peddling of lies and make sure he can't do it again. Alex Jones is patient zero for our society's inability to speak without lies.
[02:55.000 --> 03:00.000]  He is patient zero for alternative facts.
[03:00.000 --> 03:09.000]  And according to Judge Gamble, acting like O'Brien straight out of George Orwell's 1984, the judge decides what is true.
[03:09.000 --> 03:30.000]  You may not say to this jury that you provide the support. That is not true. You may not say it again. You may not tell this jury that you are bankrupt. That is also not true. You were already under oath to tell the truth.
[03:30.000 --> 03:56.000]  You've already violated that oath twice today in just those two examples. It seems absurd to instruct you again that you must tell the truth while you testify. Yet here I am. You must tell the truth while you testify. This is not your show. Do you understand what I have said?
[03:56.000 --> 03:58.000]  Yes. I believe what I said was true.
[03:58.000 --> 04:12.000]  Yes, you believe everything you say is true, but it isn't. Your beliefs do not make something true. That is what we're doing here. Just because you claim to think something is true does not make it true.
[04:12.000 --> 04:19.000]  There's going to be a large set of plaintiffs who are going to be dividing up the corpse of Info Wars in the bankruptcy estate.
[04:19.000 --> 04:39.000]  The decision to terminate the Info Wars broadcast is not in the hands of this crooked cabal. It is and always has been the will of our audience that decide our fate. The Info Wars audience has mobilized and awakened the world to the threat that is globalism.
[04:39.000 --> 04:49.000]  And with your continued support, we will keep going. Join us now and support the Info War.
[04:49.000 --> 05:01.000]  Absolutely. We got a hell of a broadcast line up for you today. Wait until we get what we cover when we come back. I'm not letting them distract me from the main issue.
[05:01.000 --> 05:14.000]  The great reset in the war for the world is the book that the government doesn't want you to read, that most of the big, powerful companies trying to control your life, the big tech companies, they don't want you to read this book.
[05:14.000 --> 05:26.000]  They want to control what you think, what you do, what you read, but you don't want that. And Alex Jones doesn't want that. And this book shows you what's happening and gives you the sort of playbook for how to fight against it.
[05:26.000 --> 05:39.000]  And so by buying this book, you're going to prove that censorship doesn't work, that freedom is alive in this country. This is a central reading. And, you know, I would go right now and buy it before the censorship kicks in.
[05:39.000 --> 05:49.000]  It's not going to be available in bookstores. It's not going to be available in libraries. They're going to try to take it down from every platform that they can, but they're not going to be able to do it.
[05:49.000 --> 05:59.000]  Prove that censorship doesn't work. Buy the great reset. Thank you, Alex Jones. I really appreciate you having me on and I appreciate you writing this book and getting the information out there.
[06:30.000 --> 06:43.000]  I am honored and blessed to be here in the Crucible in the arena with you this evening. This live Sunday, August 7th Worldwide Broadcast will be here for the next four hours.
[06:43.000 --> 07:00.000]  And just remember, the power structure is working around the clock to silence this information. He's working tirelessly to stop the populist pro-human voices that stand against their great reset and the new world order.
[07:00.000 --> 07:13.000]  The new spending bill has been passed in the Senate. It's being sent back to the House of Representatives. The Neutron's treason and treachery has a lot of to happen.
[07:13.000 --> 07:33.000]  In it is shutting down more coal plants, shutting down more oil drilling, shutting down more energy development in the United States, and is a certain death blow to what's left of our economy if you think the nation is already in trouble.
[07:33.000 --> 07:39.000]  And there's a bunch of gun bans inside the legislation as well. This is hellish.
[07:39.000 --> 07:47.000]  Now I want to explain something here that's very critical in the hierarchy of what I believe is the most important issues you may agree you may disagree.
[07:47.000 --> 07:57.000]  During the weekday shows this week we'll be up with the phones up a lot to get your take on all this, but number one issue is a relationship with God and being a good, decent person.
[07:57.000 --> 08:10.000]  And after that we see the temporal issues taking place. 64 million extra people, the UN says, starving to death the last 32 months during the globalist lockdown in the third world is still ongoing.
[08:10.000 --> 08:19.000]  The collapse of civilization. 60 plus million is starving to death. Tens of millions around the world have died after taking the COVID shots.
[08:19.000 --> 08:35.000]  I'm going to show you mainstream news insurance company press releases coming up next segment. So mass starvation and collapse the third world flooding the first world run by the UN.
[08:35.000 --> 08:44.000]  The replacement migration. Tens of millions dying from the poison shots already. Imagine how bad it's going to get.
[08:44.000 --> 08:53.000]  Then the collapsing borders, the wars, the fentanyl being shipped in the pedophilia being promoted via drag queen pedophile time.
[08:53.000 --> 09:00.000]  The list goes on and on of the attack happening on our civilization.
[09:00.000 --> 09:10.000]  And when you look at what they're doing, it's total war against our civilization.
[09:10.000 --> 09:26.000]  Senate passes sweeping tax climate change package. We'll go to the house next. It hires 80 plus thousand IRS agents in the legislation to target blue collar and middle class people to shut down small businesses.
[09:26.000 --> 09:40.000]  What do you think the lockdowns were for six months in 2020 and longer in places like California, New York over a year saying small businesses are not essential, but big corporations are essential.
[09:40.000 --> 09:49.000]  That's designed to destroy small business. That's designed to consolidate power. That's designed as siege and economic war.
[09:49.000 --> 10:06.000]  So in the hierarchy of issues, mass starvation, new lockdowns, forced injections, mass death, the eve of World War Three, huge wars taking place around the planet, the proxy war in Ukraine, the collapsing borders,
[10:06.000 --> 10:16.000]  tripling of the average of suicide, crime rates exploding, George Soros buying up thousands of DA's and counting attorneys having them stand down for real crime,
