[00:00:00.000 --> 00:00:20.000]  InfoWars. Tomorrow's News. Today.
[00:00:30.000 --> 00:00:59.760]  Ex-head of Respiratory Research at Pfizer, Mike Yeadon, and researchers
[00:00:59.760 --> 00:01:06.320]  including Craig Pardecouper have sourced VAERS data on vaccine death and injury in the U.S.,
[00:01:07.120 --> 00:01:15.440]  a database of over 700,000 adverse reactions caused by the Moderna, Pfizer, and Janssen vaccines.
[00:01:15.440 --> 00:01:21.760]  These vaccines have been deployed in different batches, officially referred to as LOTS. This
[00:01:21.760 --> 00:01:27.920]  has allowed Yeadon's team to back-engineer Big Pharma's COVID-19 vaccine deployment agenda
[00:01:27.920 --> 00:01:35.200]  in the U.S. All their information is published at howbadismybatch.com and howbad.info.
[00:01:35.840 --> 00:01:42.560]  And what we learn is quite telling. About 0.5% of all the different batches are highly toxic,
[00:01:43.280 --> 00:01:48.880]  resulting in hospitalization, disability, and death within days or weeks of injection.
[00:01:49.600 --> 00:01:54.880]  Other batches cause minimal adverse reactions and most appear to be harmless placebos.
[00:01:55.680 --> 00:02:00.880]  When plotting on a timeline, we can see that these three companies have been working together
[00:02:00.880 --> 00:02:07.360]  to quietly monitor the lethal effectiveness of specific deadly batches. While one company is
[00:02:07.360 --> 00:02:13.360]  deploying a lethal batch, the other two deploy harmless ones, creating the scientific environment
[00:02:13.360 --> 00:02:19.760]  to perform dose range finding, or the maximum tolerated dose for each specific batch.
[00:02:20.560 --> 00:02:26.480]  The timeline shows that each lethal batch deployment is preceded and followed by a quiet
[00:02:26.480 --> 00:02:32.240]  period, allowing them time to establish their baseline before the next deadly batch is deployed.
[00:02:33.120 --> 00:02:39.440]  Private leaked documents from the CDC show a list of expiry dates, and only certain LOTS
[00:02:39.440 --> 00:02:44.960]  are included, the very same LOTS found to be highly toxic in part of Cooper's database.
[00:02:45.680 --> 00:02:50.800]  Which makes sense, there would be no reason to list expiration dates for saline placebo,
[00:02:51.600 --> 00:02:57.440]  only the deadly ones. This mode of deployment allows governments the ability to direct
[00:02:57.440 --> 00:03:04.960]  deadly batches into specific populations, such as red states. Analysis of the number of dying
[00:03:04.960 --> 00:03:11.520]  per 100,000 vaccinated in 50 states shows us that the overwhelming majority of vaccine deaths
[00:03:11.520 --> 00:03:18.400]  are happening in red states. Some red states are experiencing 11 times more vaccine deaths
[00:03:18.400 --> 00:03:23.440]  than other states. On average, red states are experiencing twice the amount of vaccine
[00:03:23.440 --> 00:03:28.320]  death and injuries than blue states. After ruling out other possibilities,
[00:03:28.320 --> 00:03:33.600]  part of Cooper concluded that this can only be due to the fact that red states received at least
[00:03:33.600 --> 00:03:40.400]  twice as much of the lethal batches than blue states did. Among several other crimes,
[00:03:40.400 --> 00:03:45.440]  they are tipping the scales of the democratic process by killing people who voted against
[00:03:45.440 --> 00:03:52.480]  the New World Order's WOKE BUILD BACK BETTER GREAT RESET, while at the same time endlessly
[00:03:52.480 --> 00:03:58.160]  flooding the borders with unvaccinated foreigners. And it's happening right now.
[00:03:58.160 --> 00:04:01.920]  Reporting for InfoWars, this is Greg Reese.
[00:04:29.120 --> 00:04:35.200]  And why have we heard that report 15 times? Because it was independent U.S. researchers
