[00:00:03.086 --> 00:00:04.287]  You found it!
[00:00:04.287 --> 00:00:06.308]  The tip of the spear!
[00:00:06.308 --> 00:00:10.272]  It is the Alex Jones Show!
[00:00:10.272 --> 00:00:12.193]  And it's Tuesday, August 27th, 2019.
[00:00:12.193 --> 00:00:17.297]  Thank you for joining us on this Live Tuesday Transmission.
[00:00:17.297 --> 00:00:20.940]  Owen Schroer is going to be hosting most of the broadcast today.
[00:00:20.940 --> 00:00:22.922]  He's going to have in studio the
[00:00:23.822 --> 00:00:33.309]  An amazing, interesting guest that we had on yesterday, but they're going to get into a whole host of other issues that we didn't get to with Count Dankula yesterday.
[00:00:33.309 --> 00:00:37.511]  We're also going to have some other surprise guests popping in.
[00:00:37.511 --> 00:00:44.236]  Also, we're going to have my interview that I taped Sunday with Sargon of Akkad.
[00:00:44.236 --> 00:00:46.237]  That's over an hour long.
[00:00:46.237 --> 00:00:48.219]  Rob Dube kind of made it a mini documentary.
[00:00:49.079 --> 00:00:54.483]  And added a lot of documentation to what I and Sargon were talking about.
[00:00:54.483 --> 00:00:57.765]  So that's all coming up in the second hour as well.
[00:00:57.765 --> 00:01:07.311]  And then Owen will be back in the third and into the fourth hour today with, again, Count Dankula.
[00:01:07.311 --> 00:01:15.757]  Yesterday, I went to DrudgeReport.com and there was the headline, The Post-Human World.
[00:01:16.638 --> 00:01:22.502]  And I clicked on the article, and it was NBC News, saying humans will soon be extinct.
[00:01:22.502 --> 00:01:24.904]  And there's a plan to get rid of us.
[00:01:24.904 --> 00:01:27.286]  Pretty amazing.
[00:01:27.286 --> 00:01:31.469]  You'd think that would be our top story, because it's a sea, we told you so.
[00:01:34.162 --> 00:01:47.392]  I got caught around the axle covering how the system is attempting to crash the economy and openly allying with the Communist Chinese against America and a whole host of other important issues.
[00:01:47.392 --> 00:02:00.782]  But still, if you don't understand the transhumanist movement and where it came from, you don't understand the ruling class's ethos and their religion and where they're taking us.
[00:02:00.782 --> 00:02:02.604]  If you know this, you know everything.
[00:02:05.506 --> 00:02:13.169]  And you know why they're fomenting hatred of fellow man and promoting racism in the name of fighting racism and sexism and all the whole trans movement.
[00:02:13.169 --> 00:02:14.449]  You can be a woman.
[00:02:14.449 --> 00:02:15.310]  You can be a man.
[00:02:15.310 --> 00:02:16.510]  A man can have a baby.
[00:02:16.510 --> 00:02:17.690]  None of it's true.
[00:02:17.690 --> 00:02:21.152]  Because they're getting you ready for the quote cyborgs.
[00:02:21.152 --> 00:02:27.114]  And the great deception that comes with that that I'm going to break down on the other side of this break.
[00:02:27.114 --> 00:02:30.035]  And there isn't a more important issue.
[00:02:30.035 --> 00:02:31.976]  It ties into everything.
[00:02:31.976 --> 00:02:32.876]  And then Owen will come in
[00:02:36.513 --> 00:02:39.095]  I put it off a few months, so it's gotta happen.
[00:02:39.095 --> 00:02:43.098]  Now, first I want to hit this, though, because it ties into the hate.
[00:02:43.098 --> 00:02:53.806]  MSNBC guest, who's a Washington Post senior columnist, came out and said Dems must burn down conservatives with, quote, no survivors.
[00:02:53.806 --> 00:02:54.886]  A scorched earth policy.
[00:02:54.886 --> 00:03:02.072]  Not just remove Trump, but destroy conservative culture, destroy nationalist culture, tear it all out so we can never come back.
[00:03:03.387 --> 00:03:08.771]  This is total authoritarianism, this is cultural genocide, and they're leading towards physical genocide.
[00:03:08.771 --> 00:03:16.176]  But after all, they work for the establishment that are transhumanist, that are building a post-human era.
[00:03:16.176 --> 00:03:20.499]  So let's go ahead and roll some of the chilling statements of this truly dangerous authoritarian.
[00:03:21.533 --> 00:03:25.737]  This is an extreme administration that is dangerous.
[00:03:25.737 --> 00:03:28.920]  If you are a Latino right now, you probably need to carry your birth certificate around.
[00:03:28.920 --> 00:03:34.726]  I've known people that are carrying them because they're so scared that they're going to be scooped up and stolen.
[00:03:34.726 --> 00:03:35.827]  But yet, it's fine.
[00:03:35.827 --> 00:03:37.109]  Go and dance on TV.
[00:03:37.109 --> 00:03:38.050]  It is incredible.
[00:03:38.650 --> 00:03:39.470]  It is.
[00:03:39.470 --> 00:03:49.155]  You know, I wrote a column way back when, I think it was around the time that Sarah Huckabee Sanders was denied service at the restaurant, that what we should be doing is shunning these people.
[00:03:49.155 --> 00:03:56.678]  Shunning, shaming these people is a statement of moral indignation, that these people are not fit for polite society.
[00:03:56.678 --> 00:04:04.081]  I think any institution, University of Virginia for example, for a bit, had a relationship with Mark Short, who is now back with the administration.
[00:04:04.081 --> 00:04:04.541]  I think it's
[00:04:04.861 --> 00:04:16.431]  Absolutely abhorrent that any institution of higher learning, any news organization, or any entertainment organization that has a news outlet would hire these people.
[00:04:16.431 --> 00:04:21.516]  I also want to echo something that my friend EJ said.
[00:04:21.516 --> 00:04:25.920]  It's not only that Trump has to lose, but that all his enablers have to lose.
[00:04:25.920 --> 00:04:26.160]  They have
[00:04:26.560 --> 00:04:30.643]  We have to collectively, in essence, burn down the Republican Party.
[00:04:30.643 --> 00:04:31.963]  We have to level them.
[00:04:31.963 --> 00:04:37.727]  Because if there are survivors, if there are people who weathered this storm, they will do it again.
[00:04:37.727 --> 00:04:41.889]  They will take this as confirmation that, hey, it just pays to ride the waves.
[00:04:41.889 --> 00:04:43.791]  Look at me, I've made it through.
[00:04:43.791 --> 00:04:49.754]  And so up and down the ticket, federal, state, local offices, the country has to repudiate this.
[00:04:49.754 --> 00:04:51.435]  It is not a normal administration.
[00:04:51.435 --> 00:04:55.578]  And when these people say, oh, you can't criticize us, it will destroy our public service.
[00:04:56.198 --> 00:04:56.799]  We'll be right back.
[00:04:56.799 --> 00:05:00.921]  Stay with us.
[00:05:00.921 --> 00:05:03.323]  One half of the incredible eight pack power stack.
[00:05:03.323 --> 00:05:07.526]  The AM wake up and work packet is exactly what you need to start your day right.
[00:05:07.526 --> 00:05:13.730]  The pack contains five original formulas built to fuel your day and take care of your body's individual needs in the morning.
[00:05:13.730 --> 00:05:17.353]  Targeting the heart, brain, muscles, energy production, and more.
[00:05:17.353 --> 00:05:24.298]  Each AM pack contains a flex and joint support, energy kickstart, krill oil, nootropic brain, and greens detox formula.
[00:05:25.118 --> 00:05:25.899]  With the P.M.
[00:05:25.899 --> 00:05:30.605]  pack in the eight pack power stack, you can rest easy and simplify your routine.
[00:05:30.605 --> 00:05:33.248]  Containing four original formulas, the P.M.
[00:05:33.248 --> 00:05:37.432]  rest and recover pack will build up your body's defenses and help you get restful,
[00:05:39.735 --> 00:05:44.017]  Containing bone support, krill oil, sound sleep and immune support formulas.
[00:05:44.017 --> 00:05:44.538]  The P.M.
[00:05:44.538 --> 00:05:48.760]  packet was created to support improving your body's bones and immune system.
[00:05:48.760 --> 00:05:50.661]  All while you rest from the day's work.
[00:05:50.661 --> 00:05:51.942]  When combined with the A.M.
[00:05:51.942 --> 00:05:57.465]  wake up and work packet, it makes the 8 pack power stack the new can't miss InfoWars life product.
[00:06:07.245 --> 00:06:17.009]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:17.009 --> 00:06:20.010]  It's Tuesday, August 27th, 2019.
[00:06:20.010 --> 00:06:22.631]  I am your host, Alex Jones.
[00:06:22.631 --> 00:06:23.932]  Thank you so much for joining us.
[00:06:25.842 --> 00:06:27.242]  I mentioned this some yesterday.
[00:06:27.242 --> 00:06:32.264]  I said I'd get to it, but it's so important I'm going to hit it right up front, right now.
[00:06:32.264 --> 00:06:34.985]  Go to drugsreport.com, you saw that headline.
[00:06:34.985 --> 00:06:36.945]  Right there, bigger than Dallas.
[00:06:36.945 --> 00:06:40.847]  The post-human era is here.
[00:06:40.847 --> 00:06:44.128]  And it linked to an NBC featured story.
[00:06:44.128 --> 00:06:49.649]  In the first paragraph it says, soon humans will be extinct.
[00:06:49.649 --> 00:06:51.390]  What a fantastical statement.
[00:06:52.574 --> 00:07:06.024]  Why, Hitler just said he wanted certain groups of humans to be extinct, and we're told he was the most evil man that ever lived on the face of the Earth.
[00:07:06.024 --> 00:07:08.185]  Isn't that just amazing?
[00:07:08.185 --> 00:07:19.213]  But when it's pushed by the transhumanists, James Lovelock, why, it's a beautiful thing.
[00:07:19.213 --> 00:07:20.534]  It's a wonderful thing.
[00:07:22.250 --> 00:07:28.154]  It's something that we need to embrace as saving the Earth.
[00:07:28.154 --> 00:07:31.896]  And in this six-page article, they say it all.
[00:07:31.896 --> 00:07:46.385]  Now, when I saw the headline at NBC, when I followed the link, I knew exactly what I was going to read word for word, because I've read it 5,000 times.
[00:07:46.385 --> 00:07:50.768]  But back when I read it the first few dozen times, it was 25 years ago.
[00:07:53.755 --> 00:08:14.419]  When I first got really politically engaged and involved on air, before I read a lot of history books and done a lot of research, and I read Brave New World, and I read 1984, and then I read non-fiction books by those authors explaining these are future predictions of what's going to happen if we don't change course.
[00:08:14.419 --> 00:08:16.500]  Then I found out that the author of Brave New World
[00:08:18.046 --> 00:08:32.536]  He wrote it in 1932, Aldous Huxley, that his brother was the head of the World Eugenics Society, and after World War II called it the World Transhumanist Society, and that much of their ideas had been adopted by Hitler.
[00:08:32.536 --> 00:08:35.798]  And then it starts making a lot more sense.
[00:08:35.798 --> 00:08:45.305]  And then you realize the British royal family has funded this, and IBM funded it, and the Bill and Melinda Gates Foundation has followed in those footsteps, and Warren Buffett.
[00:08:45.305 --> 00:08:46.426]  This is the religion.
[00:08:47.469 --> 00:08:49.050]  This is the club.
[00:08:49.050 --> 00:08:54.253]  And you know, I've made films on this and I've covered this for 25 years.
[00:08:54.253 --> 00:09:00.496]  But see, now it matters because now people see me lay out and predict basically everything.
[00:09:00.496 --> 00:09:09.742]  And they've gone from this being in academic papers and in academic books that cost $50, $100, $200 a piece
[00:09:13.973 --> 00:09:24.497]  And then a Reddit PhD and above level to it now being brought out into the pop culture and the front page of NBCNews.com.
[00:09:24.497 --> 00:09:39.623]  And you read this, I pledge to you that tomorrow I'm going to come in and I'm going to dedicate at least the first couple hours to this.
[00:09:41.051 --> 00:09:45.553]  I was not supposed to be here today, but I had to come in.
[00:09:45.553 --> 00:09:50.056]  I'm getting a tooth worked on, a root canal, and I've put it off too long.
[00:09:50.056 --> 00:09:52.237]  I've got to get that taken care of.
[00:09:52.237 --> 00:09:54.158]  And so I'm going to get that done.
[00:09:54.158 --> 00:09:57.820]  But tomorrow, Owen's coming in to take over.
[00:09:58.871 --> 00:10:07.699]  We've got Sargon of Akkad going to be here with us in a very important interview and also Count Dankula is back in, so it's a big transmission today.
[00:10:07.699 --> 00:10:15.386]  But I had to come in just to highlight here that this is the big enchilada.
[00:10:15.386 --> 00:10:23.514]  And if you put the name Adolf Hitler on this, people would decry it and say it was the worst thing in the world, because it is.
[00:10:25.677 --> 00:10:47.602]  But because they put, oh, the environmentalist, oh, he's such the famed James Lovelock, because they put it in that context, it's sold as a wonderful thing.
[00:10:47.602 --> 00:10:54.204]  And then they go into, oh, and don't worry, you're ruling elite, your superhumans are already here.
[00:10:55.427 --> 00:10:58.589]  And they're already geoengineering the Earth.
[00:10:58.589 --> 00:11:02.791]  And the machines that have merged with humans may decide to kill you.
[00:11:02.791 --> 00:11:06.452]  Or they may keep you around like a potted plant.
[00:11:06.452 --> 00:11:13.236]  Well, that's like Ray Kurzweil saying, oh, once we're AI gods, we might destroy you, but we probably just see you as a bug.
[00:11:13.236 --> 00:11:17.878]  So hope we don't step on you.
[00:11:17.878 --> 00:11:22.120]  Now think about how this is the most selfish, arrogant, evil thing
[00:11:23.430 --> 00:11:26.713]  That anyone could possibly ever imagine.
[00:11:26.713 --> 00:11:28.074]  Think about that.
[00:11:28.074 --> 00:11:33.939]  That they're saying, we don't even know where humans came from, from their perspective.
[00:11:33.939 --> 00:11:41.726]  But they are going to chart for us the whole future of our supposed evolution.
[00:11:41.726 --> 00:11:46.791]  And when they first started pitching this 100 years ago, it was how it was going to empower us.
[00:11:46.791 --> 00:11:49.634]  But it was always designed to replace us.
[00:11:51.496 --> 00:12:02.720]  Because since the time of the ancient Egyptians, the so-called elites have always wanted to cheat death.
[00:12:02.720 --> 00:12:03.561]  But it was a fraud.
[00:12:03.561 --> 00:12:15.765]  They would put all their wealth, all their power into being mummified, have their wives mummified, have their dogs, their cats mummified, have models of their ships and their litters and everything put in those tombs with them.
[00:12:15.765 --> 00:12:16.926]  And it was all delusional.
[00:12:18.001 --> 00:12:28.568]  And to this day, we get mummified, we get embalmed, we get buried, as if keeping this body around somehow holds the spirit.
[00:12:28.568 --> 00:12:30.869]  It's blasphemy.
[00:12:30.869 --> 00:12:39.495]  It's the original sin of not recognizing the spirit that's already in us, and the fact that this is just a rose colored darkly that we wear, an earth suit.
[00:12:41.721 --> 00:12:46.625]  So they tell us that the post-human era is here, that we're all going to be gone soon.
[00:12:46.625 --> 00:12:51.328]  I'm going to read some of these quotes here in a moment.
[00:12:51.328 --> 00:12:53.910]  I've written a lot of notes here that I want to go over, but that'll be tomorrow.
[00:12:53.910 --> 00:12:57.132]  And we're just supposed to sit here and take it.
[00:12:57.132 --> 00:12:59.354]  And I know the whole history of these people.
[00:12:59.354 --> 00:13:00.575]  I know where they started.
[00:13:00.575 --> 00:13:01.736]  I know how they operate.
[00:13:01.736 --> 00:13:03.857]  I know their modern configurations.
[00:13:03.857 --> 00:13:09.642]  I knew as soon as I saw old James Lovelock's name, he was a horrible anti-human
[00:13:10.675 --> 00:13:15.717]  Overpopulation, human exterminist pusher that he'd worked with, Julian Huxley.
[00:13:15.717 --> 00:13:18.618]  I pulled up the books that they're in together.
[00:13:18.618 --> 00:13:19.799]  Again, textbooks that cost $100.
[00:13:19.799 --> 00:13:29.883]  And all the things they say, how they're going to put flora in the water to dumb us down and make us more manageable, how they're going to feed us poison GMO.
[00:13:29.883 --> 00:13:31.223]  They're not saving the earth.
[00:13:31.223 --> 00:13:39.947]  They believe they're gods and the earth has to be absorbed by them like an egg from which they then emerge from.
[00:13:41.343 --> 00:13:45.305]  So remember, everything they're telling you is a lie.
[00:13:45.305 --> 00:13:54.229]  They tell you that if you're an adherent to their religion, they tell you that if you accept their Luciferian religion, it's a Luciferian, right?
[00:13:54.229 --> 00:13:57.250]  You read deeper into literature, they admit they follow Lucifer.
[00:13:57.250 --> 00:14:06.614]  So did one of their other top priests, 2001 Space Odyssey author, Arthur C. Clarke.
[00:14:06.614 --> 00:14:08.395]  He gave interviews and wrote essays and admitted it.
[00:14:10.196 --> 00:14:17.319]  They traveled to Jupiter to meet Lucifer and ignite the new star, the Morning Star.
[00:14:17.319 --> 00:14:26.002]  But expanding on that, the New York Times said, oh look, he's a kook, he's a transhumanist.
[00:14:26.002 --> 00:14:29.863]  Jeffrey Epstein was just nobody, don't look into it.
[00:14:29.863 --> 00:14:33.965]  Yeah, he was helping head up the Albert Einstein Institute.
[00:14:33.965 --> 00:14:37.146]  And yeah, Bill Gates met with him, but won't talk about what
[00:14:38.234 --> 00:14:39.455]  They were meeting about it.
[00:14:39.455 --> 00:14:51.868]  So did the Royalty, and so did Warren Buffett, and so did Oprah Winfrey, and so did all the other top scientists in New York at these week-long meetings that they have several times a year.
[00:14:51.868 --> 00:14:58.975]  And he would fly around the world to all these scientific institutions constantly because he was just a gopher of these people.
[00:15:00.814 --> 00:15:03.596]  They're developing human cloning, new bodies for themselves.
[00:15:03.596 --> 00:15:06.738]  It doesn't mean they've done it yet, but that's what they're doing.
[00:15:06.738 --> 00:15:11.581]  They say David Rockefeller had seven heart transplants before he died.
[00:15:11.581 --> 00:15:12.021]  At a hundred.
[00:15:12.021 --> 00:15:15.523]  Or whatever it was.
[00:15:15.523 --> 00:15:16.764]  Look at how long David Rockefeller was.
[00:15:16.764 --> 00:15:18.265]  I think it was a hundred.
[00:15:18.265 --> 00:15:19.526]  He did break the family record.
[00:15:19.526 --> 00:15:22.328]  Nobody ever made it to a hundred and he did it.
[00:15:22.328 --> 00:15:25.750]  So of course you're ultra-rich and corrupt and a sociopath.
[00:15:25.750 --> 00:15:27.151]  All you care about is living forever.
[00:15:28.174 --> 00:15:37.956]  And then no matter which group or organization it is throughout history, they're told you must enslave your people, you must transcend humanity to live forever, you must kill them.
[00:15:37.956 --> 00:15:40.036]  And that's the Lucifer energy.
[00:15:40.036 --> 00:15:51.339]  And you read this, this is a Luciferian manuscript and a death letter, a death order to you and your family, where they say, we're going to kill you.
[00:15:51.339 --> 00:15:52.459]  NBC News.
[00:15:52.459 --> 00:15:53.059]  You're dead.
[00:15:54.192 --> 00:15:58.295]  So enjoy the 5G, drink that fluoride, take those vaccines, and say bye-bye.
[00:15:58.295 --> 00:15:59.355]  Bye-bye.
[00:16:10.623 --> 00:16:19.927]  Bill Hyde here and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:16:19.927 --> 00:16:25.209]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:16:25.209 --> 00:16:37.414]  Because of the flooding, we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwaters backstory.
[00:16:37.414 --> 00:16:38.674]  So here's what you should do right now.
[00:16:38.674 --> 00:16:40.555]  Check out the PPX microgrid system.
[00:16:40.555 --> 00:16:41.396]  That's right.
[00:16:59.193 --> 00:17:01.153]  Heart disease is on the rise.
[00:17:01.153 --> 00:17:06.455]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:06.455 --> 00:17:08.055]  But the symptoms are there.
[00:17:08.055 --> 00:17:16.397]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:16.397 --> 00:17:22.098]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:22.398 --> 00:17:22.798]  I don't know.
[00:17:40.851 --> 00:17:45.016]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:17:45.016 --> 00:17:48.901]  That's 8 6 6 2 9 5 5 3 0 5.
[00:17:48.901 --> 00:17:50.102]  Or order online.
[00:17:50.102 --> 00:17:54.227]  HB extract .com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract .com
[00:18:01.235 --> 00:18:08.663]  What you have witnessed is the biggest development in free speech in the Western world's history.
[00:18:08.663 --> 00:18:12.928]  This is a digital AI-enforced gag order.
[00:18:12.928 --> 00:18:16.652]  Not to say the name Alex Jones or InfoWars.com.
[00:18:22.298 --> 00:18:24.019]  This is Nazi Germany level.
[00:18:24.019 --> 00:18:25.240]  This is racketeering.
[00:18:25.240 --> 00:18:26.341]  This is cartels.
[00:18:26.341 --> 00:18:28.763]  Mr. President, we need your help.
[00:18:28.763 --> 00:18:30.645]  We need it now.
[00:18:30.645 --> 00:18:32.326]  You can take on Big Tech.
[00:18:32.326 --> 00:18:41.294]  They saw Infowars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[00:18:41.294 --> 00:18:49.341]  So they thought, first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like dominoes would fall.
[00:18:49.341 --> 00:18:50.182]  The way to fight back
[00:18:50.822 --> 00:18:55.654]  It's to support Infowars now more than ever and make it a standard of freedom and free speech.
[00:18:55.654 --> 00:18:59.443]  Understand that if they believe they can take us down, they'll take everybody else down.
[00:19:00.253 --> 00:19:13.446]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living that would end up saving the nation.
[00:19:13.446 --> 00:19:16.349]  And today, the communist Chinese have banned all U.S.
[00:19:16.349 --> 00:19:18.111]  farming goods a week ago.
[00:19:18.111 --> 00:19:21.774]  And we've seen massive increases in polls, support for the president.
[00:19:22.395 --> 00:19:26.960]  And what he's doing in this trade war wants China to put pressure on our farmers.
[00:19:26.960 --> 00:19:28.001]  That's beautiful.
[00:19:28.001 --> 00:19:29.902]  Americans aren't going to be bullied.
[00:19:29.902 --> 00:19:31.504]  And we aren't going to back down.
[00:19:31.504 --> 00:19:39.091]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[00:19:39.091 --> 00:19:41.413]  And all you've done is awaken the human spirit.
[00:19:41.413 --> 00:19:45.597]  And the human spirit lives at Infowars.com and Newswars.com.
[00:19:45.597 --> 00:19:46.538]  And I'm asking listeners.
[00:19:47.299 --> 00:19:51.424]  Whatever you do, spread those links because we are the light in the dark of the night.
[00:19:51.424 --> 00:19:52.525]  We are the resistance.
[00:19:52.525 --> 00:20:02.756]  We are 1776 worldwide.
[00:20:02.756 --> 00:20:05.419]  You're listening to the Alex Jones Show.
[00:20:18.146 --> 00:20:19.567]  Alright, welcome back to reality.
[00:20:19.567 --> 00:20:24.110]  I'm Alex Jones, your host, and I want to explain something again.
[00:20:24.110 --> 00:20:27.032]  I had read all this science fiction, but also history.
[00:20:27.032 --> 00:20:30.354]  Isaac Asimov's foundation series, Frank Herbert's Dune.
[00:20:30.354 --> 00:20:32.675]  I mean, I was a voracious reader.
[00:20:32.675 --> 00:20:36.078]  But I'd read more history than science fiction.
[00:20:36.078 --> 00:20:46.824]  And then I noticed that a lot of the science fiction was based on eugenics and Plato and Hitler and just a lot of things that actually happened.
[00:20:46.824 --> 00:20:47.245]  And then I
[00:20:48.370 --> 00:20:54.474]  Went to college and learned that it was all a bunch of anti-human, anti-American, anti-free market communism.
[00:20:54.474 --> 00:21:00.959]  And then I decided to read what the actual controllers were writing and saying, the real social engineers.
