[00:00.000 --> 00:02.000]  You
[00:30.000 --> 00:43.640]  Do my amazing son Rex Jones who's now 19 years old today. We love you Rex
[00:43.640 --> 00:48.440]  You're such a great patriot and look forward to fighting the globals with you for many years to come
[00:48.440 --> 00:52.920]  Until we've read the planet of these monsters, but maybe not for many years to come
[00:52.920 --> 00:59.640]  I'd love to hang up my spurs. Ladies and gentlemen, the entire New World Order program is on fire
[00:59.640 --> 01:03.680]  And not in a good way. It is falling apart in front of us
[01:04.360 --> 01:07.840]  The developments are just simply amazing. I'm gonna fly back to Austin
[01:09.120 --> 01:11.120]  At 8 a.m. Tomorrow I
[01:11.920 --> 01:15.200]  Should be able to get back from the airport by the time the show kicks off at 11 a.m
[01:15.400 --> 01:18.920]  We're gonna have a lot of the articles and a lot of the documents a lot of the stories for you today
[01:18.920 --> 01:22.920]  I know Owen Troyer's gonna be co-hosting so you can show those all to you, but we have
[01:22.920 --> 01:30.480]  The number one and number two scientists of the FDA going public three weeks ago that writing a letter to lands it saying this will destroy vaccine
[01:31.480 --> 01:37.560]  Safety and people trust in vaccines for generations saying don't give it to children the regular vaccine is hurting people
[01:37.560 --> 01:39.920]  It's not a vaccine and don't give people boosters
[01:40.840 --> 01:48.800]  You then had one FDA board next to the highest level 26 to 2 vote last Friday to stop all the injections
[01:48.800 --> 01:56.320]  Basically yellow card. It's saying this drug clothes failing. We had another top FDA board over all drugs and vaccines on the
[01:57.560 --> 01:59.560]  Weekend on on the 18th Saturday
[02:01.040 --> 02:08.600]  Two days ago come out and vote 16 to 2 saying this drug quote is failing. It's not working. They call the drug down a vaccine
[02:08.640 --> 02:11.640]  That's what it is. It's a gene therapy. This is not a proper
[02:12.840 --> 02:17.600]  Proper approval and they went on to say you shouldn't give people boosters and you shouldn't give it to children
[02:17.600 --> 02:22.120]  Fauci and the head of the National Institutes of Health and others Collins
[02:22.520 --> 02:27.240]  All came out and said we're gonna give it to children. We're gonna give it to newborns
[02:28.560 --> 02:34.480]  But trust the science so this is Fauci that cooked up the bio weapon in Wuhan released it
[02:34.600 --> 02:39.400]  Obviously is released new strains. That's what all the top intelligence operatives and I believe them have said look out
[02:39.400 --> 02:43.360]  Just hit Texas and just hit Florida when we were open and had the lowest cases
[02:43.360 --> 02:48.240]  This is globalist bio warfare through the chai comms with their agents
[02:49.000 --> 02:52.480]  David Rockefeller was a chai comm agent helped set up the whole regime and power
[02:54.000 --> 02:56.000]  People like Klaus Schwab
[02:56.680 --> 03:01.400]  And people like Bill Gates are China files. They worship common is China
[03:01.880 --> 03:04.400]  They say we should never open China did a great job
[03:04.400 --> 03:07.160]  And I'm gonna talk about if we come back from break the key to all this
[03:07.160 --> 03:11.080]  I know I harp on this a lot, but I want to talk real slow for new listeners out there
[03:11.080 --> 03:14.160]  And I want all of us including myself really have this sink in
[03:14.960 --> 03:17.040]  We are facing a new type of war
[03:17.040 --> 03:22.440]  We're facing covert war against populations and against infrastructure and against our health and our souls
[03:22.760 --> 03:26.400]  Which is not a new type of war. It's really satanic satanic war. It's total war
[03:26.760 --> 03:29.640]  but it's a new type of war in modern times in that
[03:30.760 --> 03:37.400]  There's no announcement. There's no uniforms. There's no nothing there's people we think we should trust in positions of trust
[03:37.400 --> 03:42.800]  They're directing these attacks on us. So that is all coming up today
[03:42.800 --> 03:46.240]  And I want Troyer also has a very prominent medical doctor
[03:46.760 --> 03:51.880]  Sylvia studio with him. I'm I'm here still in DC in studio with him in the third hour
[03:51.880 --> 03:54.680]  In fact, the doctor gets there earlier probably get him in there
[03:55.440 --> 04:00.600]  Even sooner or maybe you guys are gonna take the fourth hour today. I'm just saying one hour is not enough
[04:00.840 --> 04:03.160]  That is all coming up in so much more
[04:03.160 --> 04:09.720]  Oh, and I want to talk about the undeclared war a covert war the perfect operating system for total tyranny
[04:09.720 --> 04:16.120]  And how to stop it becoming fully aware of the war and then seeing how things that are connected from the globalist own statements
[04:16.120 --> 04:19.240]  and how to stop this program and
[04:19.480 --> 04:23.840]  They were also going to look at the ongoing globalist invasion of the southern border
[04:23.840 --> 04:26.240]  We first broke it yesterday and of course it was confirmed
[04:27.080 --> 04:28.800]  another 10,000
[04:28.800 --> 04:33.320]  patients coming across a building up on the side of Rio no so by a
[04:33.960 --> 04:38.760]  Callan by plane hours away an hour away by car five and a half hours away
[04:39.120 --> 04:43.920]  200 plus miles away physically as the crow flies from del Rio. What's happening there?
[04:43.920 --> 04:49.400]  That's now all broken, but barely it did a box news reported local Texas news is reporting it
[04:49.440 --> 04:54.600]  But I searched the term this morning patients in McAllen. It was like two articles about it
[04:54.600 --> 05:00.800]  So this is just huge news. I will destroy your riding shotgun. We'll be right back. Stay with us
[05:00.800 --> 05:02.800]  We're already halfway through September
[05:03.400 --> 05:05.040]  2021
[05:05.040 --> 05:11.040]  It's just incredible and now the world is waking up that info wars was the tip of the spear and was dead on
[05:11.040 --> 05:13.480]  That's why it's more important than ever to keep us on air
[05:13.480 --> 05:16.600]  And I thank you all for your support your prayers and your word of mouth
[05:16.600 --> 05:23.400]  That is key to circumvent and override the sensors and to get great products at info or short calm at the same time
[05:23.400 --> 05:29.040]  That are 50% off that make you healthier wiser and overall a stronger immune system
[05:29.040 --> 05:35.240]  We have winter sun 50% off vitamin D3 back in stock. We have ultra 12 high quality vitamin B12
[05:35.240 --> 05:41.640]  Take another tongue again back in stock 50% off. We have our incredibly strong turmeric extract concentrate back in stock 50% off
[05:41.640 --> 05:43.640]  We have our great sleep aid
[05:43.800 --> 05:47.440]  Knockout back in stock info or short calm and the hair and beard formula for men
[05:47.440 --> 05:53.920]  It's also great for women. It's really a multi-vitamin back in stock all 50% off at info war store calm
[05:53.920 --> 05:58.720]  We can't stay on there without you. Please continue to support us. I want to thank you from bottom of my heart
[05:58.720 --> 06:00.720]  Plus these are great products. Please take action
[06:09.520 --> 06:11.680]  Waging war on corruption
[06:11.680 --> 06:19.600]  It's alex jones coming to you live from the front lines of the info war
[06:24.240 --> 06:31.360]  And we are back live thanks to the race of god, thank you so much for joining us on this live
[06:32.240 --> 06:34.240]  monday september 20th
[06:35.680 --> 06:37.680]  2021 edition
[06:37.680 --> 06:41.720]  I talked about this some last night, but I have got my notes here
[06:42.880 --> 06:47.640]  Specifically how physically incontinent but more importantly mentally in a continent
[06:49.000 --> 06:51.000]  Joe biden has become
[06:51.240 --> 06:53.920]  We're gonna be breaking that down at the bottom of the hour
[06:53.920 --> 06:56.880]  I've got all the notes right here several pages of them
[06:57.120 --> 07:01.640]  I'm gonna go over why this is so incredibly important directly from the secret
[07:01.640 --> 07:07.280]  Service directly from the secret service directly from the people that were guarding
[07:08.400 --> 07:10.400]  Biden in new jersey and
[07:11.000 --> 07:13.000]  on 9-11
[07:13.000 --> 07:20.960]  We can have a in new york and from inside the white house. This is from two separate sources in the secret service
[07:21.000 --> 07:23.000]  We're here in DC right now
[07:23.880 --> 07:29.800]  This is of the greatest national security import and it is exclusive horrible information
[07:29.800 --> 07:32.400]  I mean you've seen much of it unfold in the public eye
[07:33.360 --> 07:38.640]  But that's why they cancel a lot of biden events when he's not drugged up properly and going into full-on dementia
[07:39.640 --> 07:41.880]  But everybody else behind the scenes has to see it
[07:43.400 --> 07:47.400]  That's why when you see the secret service around biden or you see people talking to him or looking they're just like
[07:48.080 --> 07:50.080]  totally freaked out because
