[00:00:13.977 --> 00:00:18.842]  Defending the Republic from enemies foreign and domestic.
[00:00:18.842 --> 00:00:24.368]  It's Alex Jones and now your host Owen Troyer.
[00:00:24.368 --> 00:00:28.211]  You know when I woke up today
[00:00:29.204 --> 00:00:30.705]  I knew I was filling in for Alex.
[00:00:30.705 --> 00:00:36.069]  I did not expect I would be hosting such an important broadcast.
[00:00:36.069 --> 00:00:41.033]  And the next two hours are going to be massively important.
[00:00:41.033 --> 00:00:48.279]  So tell your friends and family about this broadcast, folks, because we're going to break everything down from the Jussie Smollett
[00:00:48.999 --> 00:00:52.882]  To the Democrats declaring that they're going to confiscate guns.
[00:00:52.882 --> 00:00:57.726]  To the real national emergency that nobody's been talking about.
[00:00:57.726 --> 00:00:59.668]  Again, showing how the media controls the narrative.
[00:00:59.668 --> 00:01:04.172]  And that's why they censored Alex Jones last year.
[00:01:04.172 --> 00:01:08.395]  Because InfoWars was kicking their ass.
[00:01:08.395 --> 00:01:11.638]  Now, Alex Jones joins us over the phone.
[00:01:11.638 --> 00:01:14.000]  Alex, what do we have coming up in the next two hours?
[00:01:15.231 --> 00:01:16.932]  Well, I'll be out of here in about 20 minutes, Holmes.
[00:01:16.932 --> 00:01:19.353]  I appreciate you doing a great job, and I've got to take a rest sometimes.
[00:01:19.353 --> 00:01:22.215]  But, I mean, as you said, there's so much news.
[00:01:22.215 --> 00:01:24.496]  The quickening is happening.
[00:01:24.496 --> 00:01:26.197]  Everything we've talked about.
[00:01:26.197 --> 00:01:29.318]  We literally wrote over 50 articles.
[00:01:29.318 --> 00:01:29.899]  I looked it up.
[00:01:29.899 --> 00:01:33.120]  We did over 100 programs in 2017 and 2018.
[00:01:33.120 --> 00:01:39.584]  Just type in, and I'm not tootin' our horn, but this is why the Global's paid us, so they're trying to shut us down.
[00:01:39.584 --> 00:01:41.365]  We're over the target.
[00:01:41.365 --> 00:01:43.246]  And by knowing that we're right, now we know how to
[00:01:44.045 --> 00:01:44.465]  Deal with them.
[00:01:44.465 --> 00:01:46.867]  This just confirms everything we've said.
[00:01:46.867 --> 00:02:01.638]  That you've had the deep state rogue intelligence agencies, with the FBI and the Democrats, engaged in massive fraud, engaged in criminal activity, in a planned deep state rogue government coup against the President.
[00:02:01.638 --> 00:02:03.540]  Now, we've used those exact words.
[00:02:04.591 --> 00:02:12.661]  Now, Politico, CNN, The Washington Post all admitted that in the last two weeks, and then Limbaugh admitted it on Friday.
[00:02:12.661 --> 00:02:19.709]  And Limbaugh's a good guy overall, but conservatives are so afraid of being called names by Democrats and by the media.
[00:02:20.749 --> 00:02:27.734]  That even Limbaugh would start calling it a deep state silent coup until it was in the Washington Post like a week ago.
[00:02:27.734 --> 00:02:37.542]  So all I'm saying is that's why conservatives and libertarians and nationalists and Christians are in so much trouble is, yes, it's extreme to have people planning an illegal coup.
[00:02:37.542 --> 00:02:39.123]  And it sounds extreme to say it's happening.
