[00:00.000 --> 00:02.000]  You've got it
[00:07.400 --> 00:09.400]  Waging war on corruption
[00:09.400 --> 00:38.400]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:38.400 --> 00:44.400]  All right, we've got another extremely important broadcast lined up for you today
[00:50.400 --> 00:55.400]  And we are going to be here for the next two hours
[00:55.400 --> 01:08.400]  It is, of course, Sunday, the 12th day of February 2012
[01:08.400 --> 01:16.400]  And yes, I'll get into Whitney Houston dead, and it looks like it's from prescription drugs
[01:16.400 --> 01:18.400]  And we'll go over some of the numbers
[01:18.400 --> 01:22.400]  Prescription drugs, of course, kill a lot more people than illegal drugs do
[01:22.400 --> 01:27.400]  Different numbers out there, but it dwarfs them by more than 10 to 1 conservatively
[01:27.400 --> 01:30.400]  Prescription drugs are one of the most dangerous things out there
[01:30.400 --> 01:37.400]  And not just the ones that supposedly get you high, like opiates and some of the speed drugs out there
[01:37.400 --> 01:39.400]  Like Adderall and Ridland
[01:39.400 --> 01:52.400]  No, it's just regular prescription drug interactions and even over-the-counter prescription drug interactions that we are talking about
[01:52.400 --> 01:56.400]  And so we're going to be breaking all of that down today
[01:56.400 --> 02:01.400]  Also, if you've wondered why they fired people like Glenn Beck at Fox News
[02:01.400 --> 02:12.400]  And why they have gotten rid of FreedomWatch and why you see people like the Chipmunk
[02:12.400 --> 02:21.400]  Who's got a weekend show coming out and endorsing Obama and saying he's a Christian and a man of the Lord
[02:21.400 --> 02:23.400]  And then Obama's a great guy
[02:23.400 --> 02:33.400]  It's because Rupert Murdoch is clearly being blackmailed by the criminal gun-running drug dealing, money laundering, justice department
[02:33.400 --> 02:39.400]  And there's now been a bunch more arrests made in England and there's open talk of Rupert Murdoch being arrested
[02:39.400 --> 02:45.400]  His son being arrested who runs a news corps over in the UK and a lot more
[02:45.400 --> 02:49.400]  Of course, Mike Huckabee, I call him the Chipmunk
[02:49.400 --> 02:58.400]  I guess that's kind of my nickname for him, kind of like my nickname for Janet Napolitano is Mr. Napolitano or Janet Dung beetle Napolitano
[02:58.400 --> 03:02.400]  So I shouldn't just address her as the Dung beetle, some people won't know what I'm talking about
[03:02.400 --> 03:08.400]  The fake conservative Chipmunk, they're the pacified libertarians and conservatives and Christians
[03:08.400 --> 03:11.400]  Huckabee, of course, is saying how great Obama is
[03:11.400 --> 03:15.400]  You're going to see a lot more of that, you're going to hear a lot more of that
[03:15.400 --> 03:19.400]  Because it's all a mutual blackmail society
[03:19.400 --> 03:23.400]  And yeah, a news corps is basically a private intelligence gathering operation
[03:23.400 --> 03:25.400]  Always has been
[03:25.400 --> 03:32.400]  And now British arrest ate an inquiry about Murdoch tabloid paying off police
