[00:00.000 --> 00:11.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:11.000 --> 00:38.000]  By the way, the prediction I made a month ago, in the days following the Christ Church massacre where 40 plus people died at the hands of a lunatic who said he wanted to cause a global race war,
[00:38.000 --> 00:42.000]  he said he was creating a false flag to make people kill each other.
[00:42.000 --> 00:49.000]  And I said, but you watch when the week of Easter comes, all over Europe, all over Asia, all over the Middle East, all over Africa,
[00:49.000 --> 01:00.000]  Christian churches will be burned and bombed starting on Palm Sunday and they will be shot up and they will be brought to the ground.
[01:00.000 --> 01:08.000]  And you can actually pull it up, type in Alex Jones Conspiracies after Christ Church Media Matters, you name it, CNN.
[01:08.000 --> 01:20.000]  Jones claims that the media is overreporting on Christ Church, but will ignore supposed made up bombings that Muslims are going to be carrying out.
[01:20.000 --> 01:29.000]  And then of course, like clockwork, 800 plus churches have been burned in France or blown up this year alone.
[01:29.000 --> 01:36.000]  Thousands across Europe, hundreds across the Middle East, and there have been stabbings and bombings and shootings at churches all over the world.
[01:36.000 --> 01:40.000]  But you've got to go read deep into the local regional news to find it.
[01:40.000 --> 01:51.000]  Except in Sri Lanka, the most religious country arguably in the world after Tibet, 99% of the people living there believe in God,
[01:51.000 --> 01:54.000]  and they've only got a 9% Muslim population.
[01:54.000 --> 02:00.000]  But guess what? They had a good time today.
[02:00.000 --> 02:06.000]  Killed over 200 people, that's 400 times what died at Christ Church, over 400 times.
[02:06.000 --> 02:10.000]  Oh, but guess what? It doesn't matter.
[02:10.000 --> 02:20.000]  Because even the BBC and Al Jazeera, the articles are up on enforce.com, says it's Islamophobic, something made up by the Muslim Brotherhood.
[02:20.000 --> 02:23.000]  You damn right I'm Islamophobic.
[02:23.000 --> 02:29.000]  Muslims have invaded the whole world. They always hit 10% and start bombing.
[02:29.000 --> 02:40.000]  It's their orders from Muhammad. Burning, bombings, stabbing, raping, kidnapping, when they hit the magic number, 10%.
[02:40.000 --> 02:45.000]  And Sri Lanka is now, according to the latest census, a year ago at 9.6.
[02:45.000 --> 02:50.000]  And Muslims breed faster than anybody else on earth. Their religion does, an average of over five kids.
[02:50.000 --> 02:54.000]  So you know the new census when it comes out will show about 10.5%.
[02:54.000 --> 02:59.000]  And right when they pass the 10%, bombings ensue.
[02:59.000 --> 03:05.000]  And then they push you out of the enclaves. They always target a smaller minority than them.
[03:05.000 --> 03:09.000]  They bomb that group. The Christians are only 7%.
[03:09.000 --> 03:12.000]  They're the smallest religion in Sri Lanka.
[03:12.000 --> 03:17.000]  And so they'll drive them out of the country, out of their neighborhoods, and then they'll move on to the next group.
[03:17.000 --> 03:19.000]  They'll move on to the next group.
[03:19.000 --> 03:24.000]  So that's how the operation works.
[03:24.000 --> 03:28.000]  It's a program. Like you go to a play and you open it up and it's got three acts.
[03:28.000 --> 03:32.000]  You're like, oh, they're, they're hitting 10%. Oh, no.
[03:32.000 --> 03:37.000]  The bombings will start just like India got invaded 1200 years ago by Islam.
[03:37.000 --> 03:43.000]  It was all Buddhist or Hindu. And now the second largest religion is Islam.
[03:43.000 --> 03:56.000]  And the areas on the map, no non-Muslims allowed because it's the religion of liberalness and the religion of peace.
[03:56.000 --> 04:06.000]  So there's an exact blueprint. When they hit 10%, they start burning your churches down and burning your cars and raping your daughters and burning your country down.
[04:06.000 --> 04:09.000]  But it's okay because it's a liberal.
[04:09.000 --> 04:18.000]  And so there's been some reportage that four hotels got attacked in churches and people dining and inside churches.
[04:18.000 --> 04:20.000]  And in fact, viewer discretion is advised.
[04:20.000 --> 04:24.000]  But when we come back, we're going to roll some of the footage of the aftermath.
[04:24.000 --> 04:29.000]  It's up on info wars.com. People with their arms and legs and faces blown off for you.
[04:29.000 --> 04:38.000]  And then we're going to show you the dirt bags who've reportedly taken responsibility for it that the media is coddling.
[04:38.000 --> 04:46.000]  Oh, don't say their names or show their faces. It's Islamophobic. That's right.
[04:46.000 --> 04:54.000]  So just daily calls to prayer. Everyone in solidarity with Muslims after what happened in Christ church? Sure, that's fine. I agree.
[04:54.000 --> 05:09.000]  But now not a word. Where are the Muslims decrying this attacks? Don't hold your breath.
[05:24.000 --> 05:29.000]  Right here to Austin from the plant in the Rockies, and it's going to be shipped out to you.
[05:29.000 --> 05:37.000]  Be sure and sign up for auto ship and an additional 10% off the 25% off celebration of the fact that we got it back and we're relaunching it.
[05:37.000 --> 05:40.000]  Research the iodine conspiracy. Find out why it's so important.
[05:40.000 --> 05:44.000]  Find out why the globalists don't want you to have the good halogens.
[05:44.000 --> 05:47.000]  You have the bad halogens at infowarstore.com.
[05:47.000 --> 05:48.000]  That's the umbrella site.
[05:48.000 --> 05:54.000]  Infowarstore.com makes you write the supplements, and this is the King Daddy.
[05:54.000 --> 06:20.000]  Ladies and gentlemen, it is X2 original now back at infowarstore.com.
[06:20.000 --> 06:49.000]  Ladies and gentlemen, it is Easter Sunday, April 21st.
[06:49.000 --> 07:01.000]  April 21st, 2019, and there have been churches burned and desecrated and bombed all over the world from Europe to Asia today.
[07:01.000 --> 07:10.000]  Hundreds and hundreds are dead and only in the Sri Lanka case because it's 400 times bigger than the Christ church massacre.
[07:10.000 --> 07:14.000]  Are you getting and seeing any reportage on this?
[07:14.000 --> 07:25.000]  Bombs detonating inside churches, inside hotels, splattering people, all over the walls, blowing their arms and their legs off.
[07:25.000 --> 07:29.000]  Viewer discretion advised. If you're a TV viewer, remember we are a radio show.
[07:29.000 --> 07:36.000]  Also, some will cast on television on many TV stations across the country and at infowarstore.com.
[07:36.000 --> 07:48.000]  But remember what I said over and over again when they were having calls to prayer, not just here, but all over the world after the tragic New Zealand attack that killed 49 people.
[07:48.000 --> 07:55.000]  And we were hearing that Christianity and white people are inherently evil and the greatest terrorists and that Islam is peaceful.
[07:55.000 --> 08:05.000]  And I'm like, thousands of churches blown up a year, hundreds blown up a year in the Middle East, fire bombed, 800 plus bombed or burned down in France.
[08:05.000 --> 08:08.000]  And there's almost no coverage of it.
[08:08.000 --> 08:14.000]  And I said, you watch. You come Palm Sunday right through Easter.
[08:14.000 --> 08:18.000]  There's going to be bombings and shootings and killings all over the world.
[08:18.000 --> 08:24.000]  And there were, but almost no coverage of it except for Sri Lanka because it was so spectacular.
[08:24.000 --> 08:29.000]  But just around the mill, a couple people shot, stabbed, church burned down.
[08:29.000 --> 08:38.000]  No coverage of that. I mean, we can show you hours of footage of crosses being torn down in Egypt and churches being blown up.
[08:38.000 --> 08:41.000]  This is what goes on, but oh, it gets worse.
[08:41.000 --> 08:56.000]  Al Jazeera, BBC and others are saying that if you report the name of the alleged Sri Lanka suicide bomber, let's show folks a document, Tim, shot of this evil looking dude, that you're being Islamophobic because Islam did not do this.
[08:56.000 --> 09:00.000]  That's right. Islam is the religion of peace.
[09:00.000 --> 09:10.000]  Media downplay Sri Lanka, Islamic bombing that killed 400% more people than Christ Church in full wars.com. Get it out. See it for yourself.
[09:10.000 --> 09:14.000]  It's also on news wars.com. Easier to spread that. It's not censored as much.
[09:14.000 --> 09:16.000]  A river of blood.
[09:16.000 --> 09:23.000]  Secretary of State Mike Pompeo says several Americans killed in Sri Lanka, Easter bombing, massacred.
[09:23.000 --> 09:30.000]  Five Brits among 207 killed in Sri Lanka Church and luxury hotel bomb attacks.
[09:30.000 --> 09:36.000]  Here's some of the last pictures tweeted out before these sweet families were blown limb from limb.
[09:36.000 --> 09:42.000]  How dare those evil Christians in peace, 7% of the population live and breathe.
[09:42.000 --> 09:46.000]  They'll be pushed out of their areas soon enough.
[09:46.000 --> 10:02.000]  Bloody Sunday, Sri Lanka Easter Church. Oh, and remember police, 875 churches have been burned or blown up or desecrated in 2018 alone, just last year in France.
[10:02.000 --> 10:08.000]  Oh, but don't investigate Notre Dame, even though the architect that rebuilt it 10 years ago said, old oak doesn't burn like that.
[10:08.000 --> 10:11.000]  It's almost impossible to light the carbons all out of it.
[10:11.000 --> 10:17.000]  Anybody that knows about firewood knows that's true. An oak tree's been down more than five years. It won't even burn.
[10:17.000 --> 10:25.000]  But people don't seem to understand that. And there's a lot of witnesses that said some bizarre behavior was happening inside the church.
[10:25.000 --> 10:34.000]  But who knows? Maybe it's leftist. They caught a leftist philosophy professor with cans of gas inside St. Patrick's.
[10:34.000 --> 10:49.000]  But that almost no coverage. Had the lighters, had the gasoline sloshing out. And of course, they have now charged him with planning to turn St. Patrick's Cathedral into a Roman candle.
[10:49.000 --> 10:57.000]  You can also pull up maps online. Again, other religious makeup of Sri Lanka, one of the most religious nations in the world.
[10:57.000 --> 11:06.000]  And you can see again, the last census, Muslims were approaching 10 percent, Christians approaching 7 percent.
[11:06.000 --> 11:16.000]  And you can notice that the Christians live right up against the Muslims and will now be pushed out by the sword, following the edict of Allah.
